,date,location,news title,news source(url),content summary,keywords,class_name,new_class_name
0,Nov-21,SINGAPORE ,"Easing of Covid-19 travel restrictions in S'pore could lead to uptick in flu cases, doctors warn",https://www.straitstimes.com/singapore/easing-of-covid-19-travel-restrictions-in-spore-could-lead-to-uptick-in-flu-cases-doctors,"SINGAPORE - People should take their flu jabs to protect against concurrent infection of both Covid-19 and the flu, which can lead to severe disease, doctors have advised.
This is especially important as Singapore continues to ease its travel restrictions and opens up its borders, they said, adding that influenza cases can be expected to rise.
In Singapore, Covid-19 safe management measures such as social distancing and mask wearing have been known to keep in check other unrelated respiratory virus infections, including influenza and the common cold.
These risks could be mitigated if more people also get vaccinated for flu on top of the Covid-19 vaccines.
In comparison, Singapore saw a higher number of flu cases in December 2019 and January 2020, which typically coincides with year-end spikes as people usually travel overseas, said Dr Maiwald.","number, easing, lead, restrictions, flu, virus, warn, spore, respiratory, doctors, singapore, covid19, uptick, study, wearing, safe, travel",Human health crises,pandemic
1,Nov-21,"Catch up on the hottest topics on The Big Story, The Straits Times' weekday online news programme.

Covid",The Big Story: High medical costs for Covid-19 ICU patients in S'pore who chose to be unvaccinated,https://www.straitstimes.com/multimedia/the-big-story-high-medical-costs-for-covid-19-icu-patients-in-spore-who-chose-to-be,"Catch up on the hottest topics on The Big Story, The Straits Times' weekday online news programme.
Covid-19 patients who are unvaccinated by choice and end up in the intensive care unit could be looking at a bill of around $25,000 before subsidies.
Under the current regulations, a person's vaccination status expires one year and 14 days after their second dose of the Covid-19 vaccine.
Looking overseas, the COP26 climate summit is expected to formally wrap up on Friday (Nov 12)after two weeks of discussions and pledges.
Science and environment correspondent Audrey Tan, who is in Glasgow, shares her key takeaways from the climate conference.","weighs, expected, singapore, flu, big, chose, medical, climate, unvaccinated, icu, high, straits, weekday, weeks, spore, covid19, patients, costs, wrap",Human health crises,pandemic
2,Oct-21,SINGAPORE ,S'pore's daily Covid-19 numbers should not blur the bigger picture and cause unintended pain,https://www.straitstimes.com/singapore/health/daily-covid-19-numbers-should-not-blur-the-bigger-picture-and-cause-unintended-pain,"SINGAPORE - The Covid-19 numbers released every day by the Ministry of Health (MOH) are quite troubling.
The number of daily Covid-19 cases reported in September has crossed more than 1,000 with regularity.
Transiting to living with Covid-19 might be easier if people are not being bombarded - and frightened - by numbers every night.
Infectious diseases expert Dale Fisher of the National University Hospital agreed that for those vaccinated, Covid-19 ""can be treated like the flu"".
Associate Professor David Allen, an infectious diseases expert at the NUS, also did not agree with Norway's stance.","unintended, singapore, blur, expert, picture, population, bigger, diseases, daily, numbers, vaccinated, cause, pain, influenza, number, professor, day, covid19, spores",Human health crises,pandemic
3,Sep-21,WASHINGTON (AFP) ,Pfizer launches mRNA flu vaccine trial,https://www.straitstimes.com/world/united-states/pfizer-launches-mrna-flu-vaccine-trial,"WASHINGTON (AFP) - US pharmaceutical company Pfizer said Monday (Sept 27) it had begun a clinical trial to test an influenza vaccine designed with the same mRNA technology behind its successful Covid-19 shot.
""The Covid-19 pandemic allowed us to deliver on the immense scientific opportunity of mRNA,"" Kathrin Jansen, head of vaccine research at Pfizer, said in a statement.
Specifically, Pfizer wants to compare the safety and level of immune response of a single, double and quadruple strain mRNA vaccine at different dosage levels versus a conventional, licensed quadruple strain vaccine.
Pfizer began work on its mRNA influenza vaccine in 2018 with its German partner BioNTech, which would receive a royalty upon approval and commercialisation.
Moderna likewise is working on an mRNA flu vaccine and one against respiratory syncytial virus (RSV).","vaccine, launches, strain, mrna, virus, technology, vaccines, pfizer, genetic, viruses, flu, trial",Human health crises,pandemic
4,Jun-21,LONDON (REUTERS) ,"Novavax says efficacy preserved in participants receiving influenza, Covid-19 vaccines",https://www.straitstimes.com/world/europe/novavax-says-efficacy-preserved-in-participants-receiving-influenza-covid-19-vaccines,"LONDON (REUTERS) - US biotech firm Novavax said on Monday (June 14) vaccine efficacy appeared to be preserved in those receiving an approved influenza vaccine along with its Covid-19 vaccine candidate compared to those receiving its Covid-19 vaccine alone.
The company released the results from a sub-study it conducted as part of its late-stage clinical trial of NVX-CoV2373, its protein-based Covid-19 vaccine candidate, in the United Kingdom.
The 431 participants enrolled in the sub-study received an approved seasonal influenza vaccine with about half the participants administered NVX-CoV2373, while the rest received placebo.
The company said vaccine efficacy was 87.5 per cent compared to 89.8 per cent in the main study.
Novavax is also testing its combined flu/Covid-19 vaccine and in May said the combination produced functional antibodies against influenza and the coronavirus in a pre-clinical study.","vaccine, efficacy, substudy, preserved, nvxcov2373, covid19, vaccines, study, results, novavax, receiving, participants, influenza, received",Human health crises,pandemic
5,Mar-21,SINGAPORE ,No flu cases at S'pore polyclinics in more than 8 months,https://www.straitstimes.com/singapore/health/no-flu-cases-at-spore-polyclinics-in-more-than-8-months,"These polyclinics and GP clinics are used by the Ministry of Health (MOH) to monitor for possible outbreaks, and to track influenza strains.
Samples from some patients who appear to have influenza at these clinics are sent to the National Public Health Laboratory for testing.
The last case that tested positive for influenza, according to the MOH's weekly infectious diseases bulletin, was one person with type A influenza in May last year.
An MOH spokesman said: ""This is the first time such a steep decline in influenza activity has been observed since the start of the surveillance programme.""
Associate Professor Lim Poh Lian, a senior consultant at the National Centre for Infectious Diseases, agreed that ""sharply decreased year-end travel, both inbound and outbound"" had reduced the import of flu and other respiratory viruses.","infectious, health, spore, national, diseases, case, moh, polyclinics, clinics, spokesman, cases, influenza, flu, months",Human health crises,pandemic
6,Jul-21,LONDON (BLOOMBERG) ,"Virus trio could push British hospitals to brink in winter, scientists warn",https://www.straitstimes.com/world/europe/virus-trio-could-push-british-hospitals-to-brink-in-winter-scientists-warn,"LONDON (BLOOMBERG) - A mix of Covid-19, influenza and a respiratory virus common among children could push the UK's National Health Service to the breaking point this winter, according to a new report.
The Academy of Medical Sciences warned that hospital admissions and deaths from flu and respiratory syncytial virus could double from normal levels alongside a third Covid-19 wave.
New modelling showed that flu deaths in Britain could hit 60,000 in the worst-case scenario.
""We as a society owe it to our fellows to make sure we limit the possibility of transmitting the virus.""
Government advisers warned earlier this week that Covid-19 deaths could rise to 200 a day in England, well above current levels but below a January peak of 1,200, following the latest reopening steps next week.","trio, winter, according, deaths, virus, flu, warn, respiratory, worstcase, week, covid19, normal, brink, british, push, hospitals, scientists",Human health crises,pandemic
7,Feb-21,WUHAN (XINHUA) ,"Influenza virus can promote Covid-19 infection in cells, mice: Study",https://www.straitstimes.com/asia/east-asia/influenza-virus-can-promote-covid-19-infection-in-cells-mice-study,"WUHAN (XINHUA) - Chinese scientists have published a paper in the journal Cell Research showing that the influenza A virus can aggravate Covid-19 infection in cell and animal tests.
However, the interaction between influenza viruses and the novel coronavirus remained unclear.
It reported for the first time that the influenza A virus can enhance subsequent Covid-19 infection in cells and mice.
In further experiments, similar promotive effects on Covid-19 infection were not observed with several other respiratory viruses, indicating that the influenza A virus has a unique ability to aggravate Covid-19 infection, and thus, the prevention of influenza infection is of great significance during the Covid-19 pandemic, said the study.
Researchers recommended both influenza vaccination and Covid-19 vaccination to people with a high risk of co-infection.","virus, novel, promote, mice, respiratory, vaccination, study, covid19, viruses, wuhan, influenza, cells, infection",Human health crises,pandemic
8,Feb-21,WUHAN • Chinese scientists have published a paper in the journal Cell Research showing that influenza A virus can aggravate Covid,Influenza A can worsen Covid-19 impact: Study,https://www.straitstimes.com/asia/influenza-a-can-worsen-covid-19-impact-study,"WUHAN • Chinese scientists have published a paper in the journal Cell Research showing that influenza A virus can aggravate Covid-19 infection in cell and animal tests.
However, the interaction between influenza viruses and the coronavirus remained unclear.
It reported for the first time that influenza A virus can enhance subsequent Covid-19 infection in cells and mice.
In further experiments, similar promotive effects on Covid-19 infection were not observed with several other respiratory viruses, indicating that influenza A virus has a unique ability to aggravate Covid-19 infection, and thus, the prevention of influenza infection is of great significance during the Covid-19 pandemic, the study noted.
Researchers recommended both influenza vaccination and Covid-19 vaccination to people with a high risk of co-infection.","impact, virus, respiratory, worsen, study, covid19, viruses, vaccination, wuhan, influenza, cells, infection",Human health crises,pandemic
9,Oct-20,SINGAPORE ,Demand for flu vaccines spikes despite low number of influenza cases in Singapore,https://www.straitstimes.com/singapore/demand-for-flu-vaccines-spikes-despite-low-number-of-influenza-cases-here,"SINGAPORE - The demand for flu vaccines has spiked in the past few months, as people look to safeguard their health with the looming winter flu season, and as travel gradually resumes.
Doctors and infectious diseases experts here have been encouraging people to take the flu vaccine even though the number of influenza cases remains low, so as to guard against a possible ""twindemic"" of Covid-19 and the flu.
Locally, the number of influenza cases has remained low, with polyclinics seeing fewer than half the number of patients seeking treatment for acute respiratory infections (ARI) compared with the same period last year.
But among those who had sought treatment for ARI, the number of patients with influenza-like illness was below 5 per cent, and the number of those who tested positive for influenza has remained at zero since June.
Despite this, Dr Cheng has seen a 40 per cent increase in people getting flu vaccines in August and September, compared to the same period last year, as many are ""becoming more conscious about their overall health and well-being"".","vaccine, number, period, low, singapore, spikes, vaccines, travel, treatment, patients, despite, cases, influenza, flu, demand",Human health crises,pandemic
