,date,location,news title,news source(url),content summary,keywords,class_name,new_class_name
0,Dec-21,SINGAPORE ,Singapore's 'batman' receives top science award for research in Sars and Covid-19,https://www.straitstimes.com/singapore/health/singapores-batman-receives-top-science-award-for-research-in-sars-and-covid-19,"SINGAPORE - A ""batman"" who helped trace the severe acute respiratory syndrome (Sars) back to bats and is now involved in the Covid-19 fight has bagged the President's Science Award.
The award is part of the annual President's Science and Technology Awards (PSTA) given to scientists whose work has led to significant scientific, technological or economic benefits for the country.
The other awards under the PSTA are the President's Science and Technology Medal - the nation's top scientific honour - and the President's Technology Award.
Soon after the 2003 Sars outbreak, Prof Wang, 61, led an international team of experts who traced the Sars-CoV-1 virus that caused the disease to bats.
In the areas of Covid-19 research, Prof Wang and his team developed a test kit last year that detects whether someone has antibodies which neutralise the coronavirus.","antibodies, presidents, work, batman, singapores, receives, wang, sars, technology, research, science, award, cpass, test, prof, covid19, psta",Human health crises,pandemic
1,Sep-21,VIENTIANE (BLOOMBERG) ,Bats in Laos caves found to carry coronaviruses that share key feature with Sars-CoV-2,https://www.straitstimes.com/asia/se-asia/bats-in-laos-caves-harbour-closest-relatives-to-covid-19-virus,"VIENTIANE (BLOOMBERG) - Bats dwelling in limestone caves in northern Laos were found to carry coronaviruses that share a key feature with Sars-CoV-2, moving scientists closer to pinpointing the cause of Covid-19.
Researchers at France's Pasteur Institute and the University of Laos looked for viruses similar to the one that causes Covid-19 among hundreds of horseshoe bats.
They found three with closely matched receptor binding domains - the part of the coronavirus' spike protein used to bind to human ACE-2, the enzyme it targets to cause an infection.
The BANAL-236 virus has an almost identical receptor binding domain to the pandemic virus, according to the paper.
It is a feature of the Sars-CoV-2 virus that has led some scientists to theorise that it was created in a laboratory.","sarscov2, coronaviruses, caves, binding, nature, sampling, carry, laos, viruses, receptor, key, feature, share, pandemic, virus, bats",Human health crises,pandemic
2,Aug-21,SINGAPORE ,Booster jab targeting Sars virus may be effective for all Covid-19 variants: S'pore scientists,https://www.straitstimes.com/singapore/booster-jab-targeting-sars-virus-may-be-effective-for-all-covid-19-variants-and-future,"SINGAPORE - Scientists here have found that people who have recovered from Sars in 2003 and who received the Pfizer-BioNTech vaccine are able to produce antibodies to neutralise all known Covid-19 variants of concern.
The findings could pave the way for the development of a booster jab, which may involve targeting the Sars-CoV-1 virus responsible for the Sars epidemic in 2003, to offer a broader spectrum of protection for future variants and coronaviruses.
Neutralising antibodies are able to prevent the viral spike protein from binding with the ACE2 molecules in human cells.
To test their hypothesis, the researchers then recruited eight people who recovered from Sars-CoV-1, 10 healthy people and 10 people who recovered from Covid-19.
The investigations were conducted using an improved version of Duke-NUS' surrogate virus neutralisation test (sVNT).","antibodies, sarscov1, jab, spore, known, neutralising, sars, variants, scientists, recovered, effective, booster, test, dukenus, targeting, covid19, virus",Human health crises,pandemic
3,Aug-21,SINGAPORE ,"Debrief: Origins of Sars-CoV-2, the virus that causes Covid-19",https://www.straitstimes.com/asia/se-asia/debrief-origins-of-the-coronavirus-sars-cov-2-that-causes-covid-19,"SINGAPORE - Scientists are no closer to finding out the origins of Sars-CoV-2, the virus that causes Covid-19, nearly two years after it was first reported to have emerged in China.
To date, more than 215 million Covid-19 cases and 4.48 million deaths have been recorded worldwide, and the number is still climbing.
Covid-19 was first detected in the central Chinese city of Wuhan in December 2019 and spread rapidly across the globe.
The World Health Organisation (WHO) team investigating the origins of Sars-CoV-2 earlier this year also suggested that the virus most likely infected humans from an intermediate animal host.
The report, released in Washington on Friday, said several organisations within the sprawling US intelligence community believed that the virus emerged from ""natural exposure to an animal infected with it or a close progenitor virus"", but they had only ""low confidence"" in that conclusion.","sarscov2, origins, causes, emerged, biological, fort, debrief, various, wuhan, chinese, covid19, virus, theory",Human health crises,pandemic
4,Aug-21,SINGAPORE ,Sars-CoV-2 virus can change its shape to improve survival: Singapore study,https://www.straitstimes.com/singapore/health/singapore-study-find-sars-cov-2-virus-can-change-its-shape-to-improve-survival,"SINGAPORE - Scientists here have made an important discovery about the shape and structure of the Sars-CoV-2 virus' genetic material that can help in producing more effective drugs to treat Covid-19.
The Sars-CoV-2 virus, which causes Covid-19, has a single-strand genome that is made up of RNA as its genetic material.
When the virus infects and enters the human cell, the spike protein on the surface of its cell binds with the human or host cell receptor.
As the virus' genetic material closely resembles that of human cellular RNA, the human cell is therefore ""tricked"" into helping the virus to create its proteins.
Aside from the discovering the shape and structure of the Sars-CoV-2 virus' genetic material, the team also learnt that the virus binds with a small nucleolar RNA, or snoRNA, to steal its modification abilities.","sarscov2, survival, human, viral, shape, genetic, rna, change, singapore, study, genome, cell, virus, improve",Human health crises,pandemic
5,Jul-21,MELBOURNE (BLOOMBERG) ,"Covid-19 origins mirror Sars genesis in animals, study finds",https://www.straitstimes.com/asia/australianz/covid-19-origins-mirror-sars-genesis-in-animals-study-finds,"MELBOURNE (BLOOMBERG) - Early Covid-19 cases traced to markets in Wuhan, China, mirror the initial spread of Sars 17 years earlier, scientists said in a paper that concludes that an animal contagion is the most likely explanation for the pandemic's genesis.
It gives a detailed explanation for Sars-CoV-2's genetic signatures, early epidemiology and research undertaken at the Wuhan Institute of Virology.
Debate about Covid-19's emergence has coalesced around two competing ideas: a laboratory escape or a spillover from animals.
The link to Wuhan, therefore, more likely reflects the fact that pathogens often require heavily populated areas to become established.
Initial Sars-CoV-2 cases are not likely to have spread the virus to other people, and only a small subset of spillover events from animals to humans results in major outbreaks.","origins, sarscov2, animal, pandemics, cases, animals, authors, finds, sars, genesis, university, studies, study, likely, mirror, wuhan, covid19, virus",Human health crises,pandemic
6,May-21,SINGAPORE ,"Public calm, private anguish: PM Lee on ESM Goh's handling of 2003 Sars crisis",https://www.straitstimes.com/singapore/politics/public-calm-private-anguish-pm-lee-on-esm-goh-chok-tongs-handling-of-the-2003,"SINGAPORE - When the severe acute respiratory syndrome (Sars) hit Singapore in 2003, then Prime Minister Goh Chok Tong mounted a ""maximum national response"" to stem the spread.
It touches on topics that have defined Mr Goh's 14-year premiership, including the Sars crisis a year before he stepped down in 2004.
In his speech, PM Lee set out the situation when Sars hit Singapore.
People understood what was at stake, took heart, and played their part to win the fight,"" Mr Lee said.
When Covid-19 hit 17 years later, it adapted the measures that worked during the Sars period, Mr Lee added.","public, lee, esm, calm, prime, goh, crisis, mr, minister, sars, handling, gohs, private, anguish, singapore, covid19, hit",Human health crises,pandemic
7,Aug-21,SINGAPORE ,"Nurse manager who's worked during Sars, H1N1 takes Covid-19 in her stride",https://www.straitstimes.com/singapore/health/nurse-manager-whos-worked-during-sars-h1n1-takes-covid-19-in-her-stride,"SINGAPORE - Ms Prema Harrison, unit nurse manager of wards in level nine at Tan Tock Seng Hospital (TTSH), went through the Sars epidemic in 2003 and the H1N1 crisis in 2009.
Some with children sent their kids to live with their grandparents during the period, said Ms Prema, who lives alone.
The 14-day quarantine also coincided with Mother's Day and Hari Raya Aidilfitri, which was painful for some nurses in isolation.
Ms Prema said: ""During our daily Zoom session on Mother's Day, we could see the mothers tearing up, and it was very sad.""
When asked if the pandemic was the most challenging period of her 20-year career, Ms Prema said she is taking it in her stride.","stride, work, sars, whos, quarantine, manager, nurses, prema, day, period, nurse, h1n1, waiting, zoom, worked, takes, covid19, ms, mothers",Human health crises,pandemic
8,Jun-21,SINGAPORE ,Scientists from Singapore-MIT alliance develop more precise method to detect Sars-CoV-2,https://www.straitstimes.com/singapore/health/scientists-from-singapore-mit-alliance-develop-more-precise-method-to-detect-sars,"SINGAPORE - Scientists from the Singapore-MIT Alliance for Research and Technology (Smart) have developed a more precise method of detecting numerous viruses, including Sars-CoV-2, the coronavirus that causes Covid-19.
Professor Hanry Yu, co-corresponding author of the study, told The Straits Times on Tuesday (June 8) that PCR tests have two main drawbacks.
Prof Yu said there exists a more precise version of the PCR method, known as the digital PCR method.
Conventional PCR tests can take about an hour, said Dr Xiaolin Wu, a postdoctoral associate at Smart Camp.
The second drawback is that all PCR tests require expensive, specialised machinery as samples need to be put through a wide range of temperatures.","sarscov2, alliance, different, yu, singaporemit, sample, precise, pcr, scientists, detect, singapore, test, value, tests, develop, smart, method",Human health crises,pandemic
9,Feb-21,Horseshoe bats carrying coronaviruses very similar to the one that causes Covid,Bats carrying viruses similar to Sars-CoV-2 found outside China,https://www.straitstimes.com/singapore/health/bats-carrying-viruses-similar-to-sars-cov-2-found-outside-china,"Horseshoe bats carrying coronaviruses very similar to the one that causes Covid-19 have been found outside China, new research has found.
All three are horseshoe bats from the genus Rhinolophus.
The researchers also used serological tests to determine if bats and pangolins - another animal shown to carry coronaviruses similar to Sars-CoV-2 - had neutralising antibodies against the virus.
For the bats, four out of 98 serum samples showed the presence of strong positive neutralising antibodies.
However, one pangolin tested positive for neutralising antibodies.","sarscov2, virus, antibodies, coronaviruses, china, outside, viruses, neutralising, wang, pangolins, horseshoe, similar, carrying, bats",Human health crises,pandemic
