,date,location,news title,news source(url),content summary,keywords,class_name,new_class_name
0,22-Feb,KYIV (BLOOMBERG) ,Cyber attack to hit Ukraine worst of its kind in its history,https://www.straitstimes.com/world/europe/cyberattack-to-hit-ukraine-worst-of-its-kind-in-its-history,"KYIV (BLOOMBERG) - A cyber attack aimed at paralysing banks and government websites was the worst of its kind in Ukrainian history, officials in Kyiv said, as the standoff with Russia continues to draw warnings of a potential invasion.
In the past, Ukraine's Security Service has said hacking groups linked to Russian intelligence services may have been responsible for similar attacks, allegations Moscow has denied.
Russia, which annexed Crimea from Ukraine in 2014 and supports separatists in Ukraine's eastern Donbas region, says it has no plans to invade.
This year, hackers defaced Ukrainian government websites in January, broadcasting a message that falsely claimed to have stolen private data from citizens.
Russia ""had nothing to do"" with this week's cyberattack in Ukraine, Kremlin spokesman Dmitry Peskov said.","russia, cyber, services, history, ukraines, websites, worst, country, ukraine, security, service, attack, hit, kind, ukrainian",cyberattack,cyberattack
1,22-Feb,WASHINGTON (REUTERS) ,"US, UK: Russia responsible for cyber attack against Ukrainian banks",https://www.straitstimes.com/world/europe/us-uk-russia-responsible-for-cyberattack-against-ukrainian-banks,"US deputy national security adviser Anne Neuberger told journalists at the White House that Washington was seeking to hold Russia to account for its aggressive moves in cyberspace.
""Russia likes to move in the shadows and counts on a long process of attribution,"" Neuberger said.
""In light of that, we're moving quickly to attribute the DDoS attacks.
We believe the Russian government is responsible for widespread attacks on Ukrainian banks this week.""
""The attack showed a continued disregard for Ukrainian sovereignty,"" Britain's Foreign Commonwealth and Development Office (FCDO) said in a statement.","russia, cyber, russias, military, attacks, uk, russian, websites, ddos, washington, united, neuberger, banks, responsible, attack, ukrainian",cyberattack,cyberattack
2,22-Feb,KYIV/MOSCOW/WASHINGTON (REUTERS) ,Ukraine hit by cyber attack as US questions Russian troop pullback,https://www.straitstimes.com/world/europe/ukraine-hit-by-cyber-attack-as-us-questions-russian-troop-pullback,"KYIV/MOSCOW/WASHINGTON (REUTERS) - Kyiv appeared to blame Russia for a cyber attack on Tuesday (Feb 15) as US President Joe Biden warned that more than 150,000 Russian troops were still amassed near Ukraine’s borders after Moscow’s announcement of a partial pullback was met with scepticism.
On Tuesday, the Russian defence ministry published footage to demonstrate it was returning some troops to base after exercises.
“Our analysts indicate that they remain very much in a threatening position.”Hours after Moscow’s announcement, Ukraine said the online networks of its defence ministry and two banks were overwhelmed in what is called a distributed denial-of-service.
The manoeuvre works when hackers flood a network with unusually high volumes of data traffic to paralyse it.
Although Kyiv did not name who was behind the incident, a statement suggested it was pointing the finger at Russia.","russia, cyber, ministry, russian, suggested, biden, defence, questions, kyiv, ukraine, pullback, moscows, attack, hit, troop, troops",cyberattack,cyberattack
3,22-Feb,UNITED NATIONS (REUTERS) ,"North Korea grows nuclear, missiles programmes, profits from cyber attacks: UN report",https://www.straitstimes.com/asia/east-asia/north-korea-grows-nuclear-missiles-programmes-profits-from-cyberattacks-un-report,"The annual report by independent sanctions monitors was submitted on Friday evening to the UN Security Council North Korea sanctions committee.
""Although no nuclear tests or launches of ICBMs (intercontinental ballistic missiles) were reported, DPRK continued to develop its capability for production of nuclear fissile materials,"" the experts wrote.
North Korea is formally known as the Democratic People's Republic of Korea (DPRK).
It has long been banned from conducting nuclear tests and ballistic missile launches by the UN Security Council.
Cyber attacks, illicit tradeThe monitors said ""cyber attacks, particularly on cryptocurrency assets, remain an important revenue source"" for North Korea and that they had received information that North Korean hackers continued to target financial institutions, cryptocurrency firms and exchanges.","korea, cyber, attacks, continued, programmes, profits, nuclear, sanctions, dprk, ballistic, north, missile, grows, report, monitors, missiles",cyberattack,cyberattack
4,22-Feb,TOKYO (REUTERS) ,Japan eyes tighter curbs to counter cyber attacks,https://www.straitstimes.com/tech/tech-news/japan-eyes-tighter-curbs-to-counter-cyber-attacks,"TOKYO (REUTERS) - Japan will consider imposing tighter curbs on companies in security-sensitive sectors that procure overseas software as part of efforts to ramp up steps to counter cyber attacks, according to a proposal by a key panel released on Tuesday (Feb 1).
The move would be part of Prime Minister Fumio Kishida's initiative to defend Japan's economic security mainly against China, such as by preventing leaks of sensitive technology and building more resilient supply chains.
""Due to rapid digitalisation in today's world, almost all areas of economic activity including those involving critical infrastructure are targets of cyber attacks,"" the panel said, in explaining the need for fresh legislation.
Advanced economies, including the United States and Japan, have faced several major cyber attacks recently including those with ties to Russia and China.
Japan is under pressure to follow in the footsteps of the US in boosting counter-measures against cyber attacks and compete with Beijing's growing push to export sensitive technologies such as commercial drones and security cameras.","cyber, proposal, economic, companies, attacks, tokyo, eyes, including, panel, japan, tighter, counter, security, curbs",cyberattack,cyberattack
5,22-Feb,WASHINGTON (NYTIMES) ,US sends top security official to help Nato brace for Russian cyber attacks,https://www.straitstimes.com/world/united-states/us-sends-top-security-official-to-help-nato-brace-for-russian-cyberattacks,"The visit by the official, Ms Anne Neuberger, the deputy national security adviser for cyber and emerging technology, underscored recent intelligence assessments that an invasion of Ukraine would almost certainly be preceded by renewed cyber attacks on Ukraine's electric grid, its communications systems and its government ministries.
All of those systems have been Russian targets in the past six years.
Ukraine has often been President Vladimir Putin's testing ground for Russia's arsenal of cyberweapons.
The official spoke on the condition of anonymity to talk about American assessments of Mr Putin's next moves.
When the White House tried to explain what Mr Biden meant when he questioned how the West would respond to a ""minor incursion"" into Ukrainian territory, White House press secretary Jen Psaki suggested in a statement that he had ""cyber attacks and paramilitary tactics"" in mind, which fall short of traditional military attacks.","sends, cyber, russian, attacks, official, ukraine, nato, help, house, sanctions, security, weeks, white, brace",cyberattack,cyberattack
6,22-Feb,NEW YORK (REUTERS) ,News Corp suspects China behind cyberattack on its system,https://www.straitstimes.com/world/united-states/news-corp-suspects-china-behind-cyberattack-on-its-system,"NEW YORK (REUTERS) - News Corp disclosed on Friday (Feb 4) it was the target of a cyberattack that accessed data of some employees, with its internet security adviser saying the hack was likely aimed at gathering ""intelligence to benefit China's interests"".
The publisher of the Wall Street Journal said the breach, discovered in late January, accessed emails and documents of a limited number of employees, including journalists, but added that cybersecurity firm Mandiant had contained the attack.
""Our preliminary analysis indicates that foreign government involvement may be associated with this activity, and that some data was taken.""
The company added that its other business units, including HarperCollins Publishers, Move, News Corp Australia, Foxtel, REA, and Storyful, were not targeted in the attack.
The Wall Street Journal, which reported the news first, competes with Reuters, the news division of Thomson Reuters Corp, in supplying news to media outlets.","street, activity, corp, mandiant, limited, wall, likely, system, number, china, york, cyberattack, employees, suspects",cyberattack,cyberattack
7,22-Jan,SINGAPORE ,"Fund to offer up to $90,000 for initiatives to boost growth of S'pore's cyber talent",https://www.straitstimes.com/tech/tech-news/fund-to-offer-up-to-90000-for-initiatives-to-boost-growth-of-spores-cyber-talent,"SINGAPORE - More talents are needed to fight cyber threats, so a new fund will be launched later this month offering up to $90,000 for initiatives to boost their growth.
Mrs Josephine Teo, Minister-in-charge of cyber security and the Smart Nation initiative, made an open call for participation on Friday (Jan 14).
Under the Cyber Security Agency's (CSA) new SG Cyber Talent Development Fund, Singaporeans, permanent residents and organisations registered in Singapore can apply for funding for various projects.
Training or job placement programmes for cyber security talent, including conversion programmes, will receive the highest tier of support with up to $90,000 for projects lasting up to a year.
She was speaking at the Marina Bay Sands Convention Centre during the annual Cyber Security Awards 2021 organised by the Association of Information Security Professionals.","90000, initiatives, spores, cyber, fund, support, programmes, growth, lasting, offer, talent, security, boost, teo, projects, receive",cyberattack,cyberattack
8,22-Jan,KIEV (REUTERS) ,Ukraine suspects group linked to Belarus intelligence over cyber attack,https://www.straitstimes.com/world/europe/ukraine-suspects-group-linked-to-belarus-intelligence-over-cyberattack,"KIEV (REUTERS) - Kiev believes a hacker group linked to Belarusian intelligence carried out a cyber attack that hit Ukrainian government websites this week and used malware similar to that used by a group tied to Russian intelligence, a senior Ukrainian security official said.
""We believe preliminarily that the group UNC1151 may be involved in this attack,"" he said.
His comments offer the first detailed analysis by Kiev on the suspected culprits behind the cyber attack on dozens of websites.
In a reference to UNC1151, he said: ""This is a cyber-espionage group affiliated with the special services of the Republic of Belarus.""
Mr Demedyuk, who used to be the head of Ukraine's cyber police, said the group had a track record of targeting Lithuania, Latvia, Poland and Ukraine, and had spread narratives decrying the Nato alliance's presence in Europe.","cyber, kiev, russian, websites, intelligence, demedyuk, mr, ukraine, used, unc1151, belarus, group, linked, attack, suspects",cyberattack,cyberattack
9,22-Jan,KIEV (AFP) ,Ukraine says has 'evidence' Russia behind cyber attack,https://www.straitstimes.com/world/europe/ukraine-says-has-evidence-russia-behind-cyberattack,"Some analysts fear the cyber attack could be the prelude to a military attack.
""All the evidence points to Russia being behind the cyber attack,"" the Ukrainian digital transformation ministry said in a statement.
Russian denialEarlier the Kremlin insisted there was no evidence Russia was behind the attack.
Kiev said late Friday it had uncovered the first indications that Russian security services could have been behind the cyber attack.
Microsoft warningBut Microsoft warned on Sunday that the cyber attack could prove destructive and affect more organisations than initially feared.","russia, cyber, warned, ukraine, evidence, microsoft, security, ministry, attack, organisations",cyberattack,cyberattack
