,date,location,news title,news source(url),content summary,keywords,class_name,new_class_name
0,22-Feb,WELLINGTON (AFP) ,"Cyclone, Barry Manilow fail to dislodge New Zealand anti-Covid-19 vaccine protesters",https://www.straitstimes.com/asia/australianz/cyclone-barry-manilow-fail-to-dislodge-new-zealand-anti-covid-19-vaccine-protesters,"WELLINGTON (AFP) - Cyclone Dovi caused power outages, mudslides and evacuations across New Zealand on Sunday (Feb 13), but neither the storm nor the music of Barry Manilow could dislodge anti-vaccine protesters camped outside Parliament.
Deputy Prime Minister Grant Robertson told Television New Zealand there was a ""sad element"" to the protest.
""I do find the rhetoric of these protests highly disturbing... there is a sad element to it, there is a conspiracy theory element that people have been sucked in by.""
Like the Canadian truckers in Ottawa, the New Zealand protesters object to the strict Covid-19 restrictions imposed on the country and are demanding an end to vaccine mandates.
This only saw the manicured lawns in front of the parliamentary buildings churned into a muddy morass even before Cyclone Dovi hit.","sad, end, element, manilow, protesters, dislodge, barry, zealander, truckers, wellington, anticovid19, vaccine, dovi, cyclone, zealand, fail",Severe weather disruptions,Acute climatological event (cyclone)
1,22-Feb,ANTANANARIVO (AFP) ,Madagascar death toll from Cyclone Batsirai hits 94 as rescuers advance,https://www.straitstimes.com/world/madagascar-death-toll-from-cyclone-batsirai-hits-94-as-rescuers-advance,"ANTANANARIVO (AFP) - Rescuers on Thursday (Feb 10) reached almost all the regions of Madagascar devastated by Tropical Cyclone Batsirai, as authorities said the death toll had hit 94.
""Right now, the toll is 94 dead,"" said Faly Aritiana Fabien of the national disaster management agency, BNGRC.
""We've made great efforts to reach all of the areas hit by the cyclone.
Batsirai hit Madagascar last weekend, with heavy rain and winds of 165kmh.
The cyclone struck the Indian Ocean island less than two weeks after Tropical Storm Ana left 55 dead in Madagascar.","madagascar, batsirai, 94, need, reach, left, death, advance, workers, toll, hit, rescuers, tropical, hits, cyclone, storm",Severe weather disruptions,Acute climatological event (cyclone)
2,22-Feb,"VATOMANDRY, MADAGASCAR (AFP) ","Cyclone Batsirai kills 10, displaces tens of thousands in Madagascar",https://www.straitstimes.com/world/cyclone-batsirai-weakens-after-hitting-madagascar-floods-feared,"VATOMANDRY, MADAGASCAR (AFP) - Cyclone Batsirai killed at least ten people and displaced nearly 48,000 when it struck Madagascar overnight, the national disaster management agency said on Sunday.
Cyclone Batsirai later weakened but not before wreaking havoc in the poor Indian Ocean island nation which is still reeling from a deadly tropical storm earlier this year.
Parts of the country were lashed with heavy rains and wind before the cyclone made landfall in Mananjary.
Batsirai made landfall in Mananjary on Saturday night as an “intense tropical cyclone”, packing winds of 165 kilometres per hour, Faly Aritiana Fabien of the country’s disaster management agency told AFP.
His colleague responsible for risk management in the same agency, Paolo Emilio Raholinarivo, listed 10 dead, but gave no further details.","madagascar, batsirai, sea, landfall, waves, wind, displaces, kills, tropical, thousands, tens, management, agency, cyclone",Severe weather disruptions,Acute climatological event (cyclone)
3,22-Feb,ANTANANARIVO (REUTERS) ,Cyclone Batsirai destroys homes and knocks out power in Madagascar,https://www.straitstimes.com/world/cyclone-batsirai-destroys-homes-and-knocks-out-power-in-madagascar,"ANTANANARIVO (REUTERS) - Cyclone Batsirai made landfall on Madagascar's eastern coastline late on Saturday (Feb 5), with residents reporting strong winds, a power blackout and houses destroyed as the storm swept inland.
There were fears that Batsirai could compound the devastation wreaked by another cyclone, Ana, which hit the island just two weeks ago, killing 55 people.
A local weather bulletin said the Batsirai storm system hit an area about 14km north of the town of Mananjary in Madagascar's south-east at about 8pm (1am on Sunday, Singapore time).
The waves are very high,"" Hanitra Raharisoa, a resident of Mananjary, told Reuters by phone.
""Cyclone Batsirai seems very strong,"" she told Reuters, giving only her first name.","madagascar, batsirai, power, destroys, winds, homes, strong, weather, knocks, mananjary, bulletin, madagascars, cyclone, told, storm",Severe weather disruptions,Acute climatological event (cyclone)
4,22-Feb,"PORT LOUIS, MAURITIUS (AFP) ",Thousands lose power but Mauritius escapes 'major damage' from cyclone,https://www.straitstimes.com/world/thousands-lose-power-but-mauritius-escapes-major-damage-from-cyclone,"PORT LOUIS, MAURITIUS (AFP) - Thousands of homes were left without power in Mauritius on Wednesday (Feb 2) but the Indian Ocean island nation escaped without ""major damage"" from a battering by powerful cyclone winds.
Tropical cyclone Batsirai passed within 130km of the holiday paradise, bringing heavy downpours and winds of 120kmh, with a peak of 151kmh recorded in the capital, Port Louis.
At least 7,500 homes were without power after the winds knocked down trees onto electricity lines, according to the local electricity board.
It passed some distance from the island and did not cause major damage,"" Prime Minister Pravind Kumar Jugnauth said on national television.
""All cyclone (warning) advisories will be lifted around 10pm (2am on Thursday, Singapore time),"" said a statement from the weather service.","passed, power, winds, electricity, escapes, mauritius, homes, damage, lose, major, thousands, cyclone, island, port",Severe weather disruptions,Acute climatological event (cyclone)
5,22-Jan,BOSTON (AFP) ,Boston ties snow record as 'bomb cyclone' batters eastern US,https://www.straitstimes.com/world/united-states/boston-ties-snow-record-as-bomb-cyclone-batters-eastern-us,"Major cities such as New York and Boston bore the brunt of the blizzard, which the National Weather Service (NWS) confirmed had intensified into a ""bomb cyclone"" - characterised by the explosive power of rapid drops in atmospheric pressure.
The heaviest-hit parts of New York and Massachusetts received 61cm of snow by early evening.
In Times Square, the famous neon billboards formed glowing halos in the snowy air.
But the frigid temperatures did not stop Mr Robert Burck, a Times Square fixture known as the ""Naked Cowboy"".
Wearing only his underwear, a cowboy hat and cowboy boots, he strolled through the nearly empty tourist hot spot, strumming his guitar.","bomb, boston, nws, snow, record, towns, weather, eastern, square, cowboy, times, ties, batters, temperatures, cyclone, york",Severe weather disruptions,Acute climatological event (cyclone)
6,22-Jan,NEW YORK (AFP) ,'Bomb cyclone' blankets north-east US in snow,https://www.straitstimes.com/world/united-states/bomb-cyclone-blankets-north-east-us-in-snow,"NEW YORK (AFP) - A winter snowstorm known as a ""bomb cyclone"" blanketed the northeastern United States on Friday (Jan 7), cancelling hundreds of flights, closing schools and causing treacherous driving conditions.
The storm brought snow to Kentucky, Nashville and Tennessee, then Virginia and the Washington DC area before heading north up the Atlantic seaboard.
The National Weather Service recorded more than 20cm of snow at New York City's LaGuardia aiport, where 340 flights were cancelled as of 9.15am (10.15pm Singapore time).
Nearby JFK airport reported 220 flight cancellations while 250 flights were canceled at Logan International Airport in Boston.
The National Weather Service (NWS) said that the highest snowfall recorded so far was 45cm in Cheektowaga in upstate New York on the border with Canada.","bomb, blankets, snow, northeast, schools, weather, winter, service, flights, recorded, cyclone, airport, york, storm",Severe weather disruptions,Acute climatological event (cyclone)
7,21-Nov,"SUNDARBANS, INDIA (AFP) ",Women plant mangroves to bolster India's cyclone defences,https://www.straitstimes.com/asia/south-asia/women-plant-mangroves-to-bolster-indias-cyclone-defences,"SUNDARBANS, INDIA (AFP) - With India facing ever more powerful cyclones, women in the world's largest mangrove forest are planting thousands of saplings to help protect their coastal communities from climate change.
""This is an area prone to storms and cyclones,"" said Ms Shivani Adhikari, one of the women involved in the initiative.
They can help fight climate change by sequestering millions of tonnes of carbon each year in their leaves, trunks, roots and the soil.
""If these embankments are protected, our village will survive,"" said Mr Goutam Nashkar, who lives near the project site.
The project, backed by a local non-profit and the West Bengal government, aims to plant around 10,000 mangrove saplings.","cyclones, indias, worlds, women, mangroves, sundarbans, protect, plant, thousands, survive, village, help, climate, cyclone, bolster, defences",Severe weather disruptions,Acute climatological event (cyclone)
8,21-Sep,KOLKATA (AFP) ,Evacuations as Cyclone Gulab bears down on eastern India,https://www.straitstimes.com/asia/south-asia/evacuations-as-cyclone-gulab-bears-down-on-eastern-india,"KOLKATA (AFP) - Tens of thousands of people have been evacuated in three Indian states ahead of a cyclone expected to smash into the east coast later Sunday (Sept 26), authorities said.
Cyclone Gulab is expected to make landfall between the coastal states of Odisha and Andhra Pradesh, bearing gusts of up to 95kmh, the state-run India Meteorological Department said.
Authorities in West Bengal - to the north of Odisha - said Sunday that, while Gulab appeared unlikely to hit the state directly, they were still taking precautions.
Ganjam, a coastal district, was expected to be badly hit by the cyclone, Mr Jena added in a statement.
In Andhra Pradesh, some 85,000 families were expected to be moved from low-lying areas to temporary relief shelters.","gulab, states, evacuated, odisha, state, india, pradesh, eastern, evacuations, expected, thousands, coast, tens, bears, cyclone",Severe weather disruptions,Acute climatological event (cyclone)
9,21-Sep,KOLKATA (AFP) ,Two reported dead as cyclone slams into eastern India,https://www.straitstimes.com/asia/south-asia/two-reported-dead-as-cyclone-slams-into-eastern-india,"KOLKATA (AFP) - Two fishermen were reported dead after a cyclone packing strong winds and rains barrelled into India's east coast late Sunday (Sept 26), forcing the evacuation of more than 200,000 people in three states to shelters.
Cyclone Gulab made landfall between the coastal states of Odisha and Andhra Pradesh just after 6:00 pm local time (1230 GMT), bearing gusts of up to 95 kilometres per hour, the state-run India Meteorological Department said.
A rescue operation was launched after a fishing boat travelling from Odisha to Andhra Pradesh capsized during the storm, local media reported.
There were also early reports of trees being uprooted as the cyclone hit a coastal district in Andhra Pradesh.
In Andhra Pradesh, some 110,000 families were moved from low-lying areas to temporary relief shelters.","gulab, andhra, odisha, winds, state, india, dead, slams, pradesh, eastern, coastal, bengal, hit, reported, cyclone",Severe weather disruptions,Acute climatological event (cyclone)
