,date,location,news title,news source(url),content summary,keywords,class_name,new_class_name
0,22-Feb,PARIS (AFP) ,"Climate change-boosted drought in western US worst in 1,200 years: Study",https://www.straitstimes.com/world/united-states/climate-change-boosted-drought-in-western-us-worst-in-1200-years-study,"As of Feb 10, 95 per cent of western US had drought conditions, according to the US government's Drought Monitor.
But without climate change it ""wouldn't hold a candle to the megadroughts of the 1500s, 1200s or 1100s,"" Dr Williams said in a statement.
Climate change worsened the El Nino-driven droughts of 2015-2016, leading to widespread crop failures, loss of livestock, Rift Valley fever outbreaks, and increased rates of malnutrition.
In a 4 deg C world, that figure is up to four billion people.
Earth's surface has already warmed 1.1 deg C on average, and is almost certain to breach the 1.5 deg C cap called for in the Paris Agreement within two decades.","water, changeboosted, western, drought, 1200, worst, study, deg, change, hit, dry, cent, according, climate, c",Severe weather disruptions,Acute climatological event (droughts)
1,22-Feb,"UNAIZAH, Saudi Arabia (REUTERS) ",Saudi Arabia turns to drought-surviving saxaul tree for climate defence,https://www.straitstimes.com/world/middle-east/saudi-arabia-turns-to-drought-surviving-saxaul-tree-for-climate-defence,"UNAIZAH, Saudi Arabia (REUTERS) - As drought ravages the Middle East, Saudi environmental activist Abdullah Abduljabar sees a silver lining for deserts: Saxaul trees produce seeds only as they become drier, opening a window to plant even more in the kingdom's vast wilderness of Qassim.
""The saxaul is a legacy of the people of Unaizah... one of its benefits is that it holds down the sands,"" Abduljabar said.
Planting saxaul trees is part of green initiative by the Saudi government aimed at reducing carbon emissions, pollution and land degradation.
The country also plans to work with other Arab states to plant an additional 40 billion trees across the Middle East.
On a recent visit, an expanse of saxaul trees stretched to the horizon, enlivening the desert as wind blew through their needle-like leaves.","water, trees, environmental, unaizah, alghadha, plant, middle, turns, tree, saxaul, defence, temperatures, droughtsurviving, arabia, climate, saudi",Severe weather disruptions,Acute climatological event (droughts)
2,22-Feb,"MARANELLO, ITALY (AFP) ",Formula One: Ferrari unveil sleek new car with ambitions to end world title drought,https://www.straitstimes.com/sport/formula-one/formula-one-ferrari-unveil-sleek-new-car-with-ambitions-to-end-world-title-drought,"MARANELLO, ITALY (AFP) - Charles Leclerc said ""expectations are very high"" as Ferrari on Thursday (Feb 17) unveiled their new F1-75 car which they hope can challenge Mercedes and Red Bull for the Formula One world title this year.
Ferrari have not won the constructors' title in 14 years, with the Scuderia finishing third last season and sixth in 2020.
The most successful Formula One team won the last of their record 16 constructors' titles in 2008, with Finland's Kimi Raikkonen lifting the last drivers' title for the Prancing Horse in 2007.
Monaco's Leclerc and Spaniard Carlos Sainz will continue their quest to break Mercedes and Red Bull's domination next season.
Revealed at Maranello, the F1-75 takes its name from an important anniversary for the team, 75 years since founder Enzo Ferrari produced his first Ferrari car.","ferrari, formula, end, ambitions, red, drought, f175, race, title, sleek, car, season, leclerc, team, cars, world, unveil, won",Severe weather disruptions,Acute climatological event (droughts)
3,22-Feb,SPAIN (REUTERS) ,Ghost village emerges in Spain as drought empties reservoir,https://www.straitstimes.com/world/europe/ghost-village-emerges-in-spain-as-drought-empties-reservoir,"SPAIN (REUTERS) - A ghost village that has emerged as drought nearly emptied a dam on the Spanish-Portuguese border is drawing crowds of tourists with its eerie, grey ruins.
With the reservoir at 15 per cent of its capacity, details of a life frozen in 1992, when the Aceredo village in Spain's north-western Galicia region was flooded to create the Alto Lindoso reservoir, are being revealed once more.
""My feeling is that this is what will happen over the years due to drought and all that, with climate change.""
On Feb 1, Portugal's government ordered six dams, including Alto Lindoso, to nearly halt water use for electricity production and irrigation, due to the worsening drought.
Contacted by Reuters, EDP said the low reservoir levels were due to the drought, but that it was managing water resources ""efficiently"" and that these were above the minimum requirements, including Alto Lindoso.","water, portugals, drought, reservoir, feeling, emerges, including, lindoso, spain, ghost, alto, village, empties, nearly",Severe weather disruptions,Acute climatological event (droughts)
4,22-Feb,"MANCHESTER, ENGLAND (REUTERS) ",Football: Ronaldo breaks goal drought as United defeat Brighton,https://www.straitstimes.com/sport/football/football-ronaldo-breaks-goal-drought-as-united-defeat-brighton,"MANCHESTER, ENGLAND (REUTERS) - Cristiano Ronaldo broke his goal drought to score Manchester United's opener in a 2-0 defeat of Brighton & Hove Albion that lifted them into the Premier League's top four on Tuesday (Feb 15).
Brighton had been the better side before half-time with United again looking disjointed and lacking spark.
Even then United were unconvincing and Brighton's Jakub Moder curled an effort against the crossbar before former United striker Danny Welbeck headed over a late chance.
We are all very happy,” said the Spaniard, who made a stunning save to stop Brighton taking the lead in the first half.
There are many teams fighting for the same position and with the quality we have we should win a lot of points.”","brighton, defeat, drought, goal, important, breaks, football, united, half, win, rangnick, points, ronaldo, second, games, today",Severe weather disruptions,Acute climatological event (droughts)
5,22-Feb,NAIROBI (AFP) ,13 million face hunger as Horn of Africa drought worsens: UN,https://www.straitstimes.com/world/13-million-face-hunger-as-horn-of-africa-drought-worsens-un,"NAIROBI (AFP) - An estimated 13 million people in Kenya, Somalia and Ethiopia are facing severe hunger as the Horn of Africa experiences its worst drought in decades, the World Food Programme (WFP) said on Tuesday (Feb 8).
""Harvests are ruined, livestock are dying, and hunger is growing as recurrent droughts affect the Horn of Africa,"" he said in a statement.
Some 5.7 million needed food assistance in southern and southeastern Ethiopia, including half a million malnourished children and mothers.
Another 2.8 million people need assistance in south-eastern and northern Kenya, where a drought emergency was declared in September.
In 2011, failed rains led to the driest year since 1951 in arid regions of Kenya, Somalia, Ethiopia, Djibouti and Uganda.","drought, somalia, worsens, horn, million, africa, 13, wfp, southeastern, hunger, severe, ethiopia, kenya, face",Severe weather disruptions,Acute climatological event (droughts)
6,22-Feb,ABU DHABI (AFP) ,Football: Lukaku ends drought as Chelsea reach Club World Cup final,https://www.straitstimes.com/sport/football/football-lukaku-ends-drought-as-chelsea-reach-club-world-cup-final,"ABU DHABI (AFP) - Romelu Lukaku scored a much-needed goal as Chelsea beat Saudi Arabia's Al Hilal 1-0 on Wednesday (Feb 9) to advance to the Club World Cup final against South American champions Palmeiras.
Chelsea can join Manchester United and Liverpool as the third English side to win the Club World Cup, having finished as runners-up to Corinthians on their first appearance in 2012.
Despite the presence of former Manchester United and Watford forward Odion Ighalo alongside ex-Porto striker Moussa Marega in attack, Al Hilal struggled initially to test Kepa Arrizabalaga in goal.
The Spaniard kept his place in the line-up despite the return of Edouard Mendy following his Africa Cup of Nations triumph with Senegal.
Hakim Ziyech fired a shot narrowly over and Lukaku failed to make proper contact with Cesar Azpilicueta's low ball across goal, but there was no shortage of service for the Belgian.","failed, lukaku, drought, al, club, ends, football, reach, final, hilal, win, united, chelsea, second, manchester, world, cup",Severe weather disruptions,Acute climatological event (droughts)
7,22-Jan,"BAFOUSSAM, CAMEROON (AFP) ",Football: Mane ends Cup of Nations goal drought as Senegal beat nine-man Cape Verde,https://www.straitstimes.com/sport/football/football-mane-ends-cup-of-nations-goal-drought-as-senegal-overcome-nine-man-cape-verde,"BAFOUSSAM, CAMEROON (AFP) - Liverpool star Sadio Mane ended a 243-minute Senegal goal drought by scoring in a 2-0 win over nine-man Cape Verde in a fiery Africa Cup of Nations last-16 clash in Bafoussam on Tuesday (Jan 25).
Bamba Dieng, who replaced Mane, added a second goal two minutes into added time after a breakaway left a single Cape Verde defender facing two Senegalese attackers.
Cape Verde welcomed back head coach Pedro 'Bubista' Brito, who had to watch the group stage in the island nation as he recovered from coronavirus.
Senegal seemed determined to end their goal drought early in the match and continually put pressure on the Cape Verde defence at Stade Kouekong in the western Cameroon highlands.
Cape Verde suffered a major blow on 21 minutes when Andrade was sent off for stamping on the leg of Pape Gueye.","drought, cameroon, mane, goal, verde, nations, football, ends, match, win, vozinha, nineman, cape, senegal, sent, minutes, cup",Severe weather disruptions,Acute climatological event (droughts)
8,21-Dec,LOS ANGELES (AFP) ,Drought-hit western US walloped by powerful winter storm,https://www.straitstimes.com/world/united-states/drought-hit-western-us-walloped-by-powerful-winter-storm,"LOS ANGELES (AFP) - A powerful winter storm battered the western United States on Monday (Dec 27), dumping much-needed snow on the drought-parched mountains of California, but causing travel misery over a wide area.
""We were definitely not expecting a wet winter,"" said Dr Andrew Schwartz, lead scientist at the Central Sierra Nevada Snow Laboratory at UC Berkeley, California.
""It just so happens that we ended up with a lot more snow this year than we expected, which is a pleasant surprise, of course,"" Dr Schwartz told AFP.
It is too soon to declare the drought over, said Dr Schwartz, but ""it looks like the western United States is getting some help"".
The immediate impact of the storm was less positive, with tens of thousands of people experiencing electricity blackouts and roads blocked.","dr, seattle, western, states, snow, walloped, united, winter, suffered, schwartz, powerful, storm, droughthit",Severe weather disruptions,Acute climatological event (droughts)
9,21-Dec,SINGAPORE ,"Fire hot spots, haze could occur this dry season in parts of Asean even as near-to-above average rainfall expected",https://www.straitstimes.com/singapore/fire-hotspots-haze-could-occur-this-dry-season-in-parts-of-asean-even-as-near-to-above,"SINGAPORE - Fire hot spots and smoke haze could develop during extended periods of dry and warm weather in the next few months, even as near-to-above average rainfall is expected in most of the Asean region.
The traditional dry season in the northern part of the region has started and is expected to last until May next year.
Consequently, near-to-above average rainfall is predicted for many parts of the northern Asean region, except for northern parts of Laos, Myanmar and Vietnam, from this month to next March.
However, fire hot spots and smoke haze could still occur during long spells of dry and warm weather, the centre said.
Transboundary haze may occur if the winds blow any smoke haze from fires to neighbouring countries.","parts, northern, winds, northeast, season, spots, occur, neartoabove, region, asean, weather, expected, hot, dry, centre, rainfall, smoke, haze",Severe weather disruptions,Acute climatological event (droughts)
