,date,location,news title,news source(url),content summary,keywords,class_name,new_class_name
0,22-Feb,SINGAPORE ,"Flood warnings issued amid heavy showers in Choa Chu Kang, Upper Paya Lebar",https://www.straitstimes.com/singapore/environment/flood-warnings-issued-amid-heavy-showers-at-chua-chu-kang-upper-paya-lebar,"SINGAPORE - Heavy showers hit Singapore on Sunday afternoon (Feb 20), sparking flash flood warnings in several areas.
PUB, the national water agency, tweeted at around 4.30pm that water levels in Upper Paya Lebar Road were at 100 per cent, and indicated that there was a high flood risk.
The same alert was issued for Choa Chu Kang Avenue 1, where water levels had also risen above 90 per cent at 4.20pm, PUB posted.
Rain is expected throughout the week, according to forecasts by the National Environment Agency, which indicated showers on Monday afternoon and thundery showers on Wednesday.
It also said in an advisory on Sunday afternoon that moderate to heavy showers with gusty wind are expected to continue across the island over the afternoon.","water, levels, lebar, paya, singapore, showers, chu, upper, national, pub, warnings, expected, heavy, afternoon, flood, issued, kang, agency",Severe weather disruptions,Acute climatological event (flood)
1,22-Feb,"PETROPOLIS, BRAZIL (AFP) ","Race to find survivors after Brazil floods, landslides kill 104",https://www.straitstimes.com/world/race-to-find-survivors-after-brazil-floods-landslides-kill-104,"PETROPOLIS, BRAZIL (AFP) - Rescuers raced against the clock on Thursday (Feb 17) to find survivors among the mud and wreckage caused by devastating flash floods and landslides that killed 104 people in the picturesque Brazilian city of Petropolis.
""Unfortunately, it is going to be difficult to find survivors,"" Luciano Goncalves, a 26-year-old volunteer, told AFP, completely covered in mud.
We have to be very careful because there are still areas at risk"" of fresh landslides, he added.
He was defending his territory, because he knew that his masters had been buried below, in the mud,"" he said.
Civil defence authorities have warned of more heavy rains later Thursday, and the government has said there is a high risk of new landslides.","race, mud, north, houses, landslides, missing, brazil, kill, floods, firefighters, risk, 104, hillside, survivors, rio",Severe weather disruptions,Acute climatological event (flood)
2,22-Feb,"PETRÓPOLIS, Brazil (AFP) ",'Scenes of war' amid search for victims of Brazil floods,https://www.straitstimes.com/world/scenes-of-war-amid-search-for-victims-of-brazil-floods,"PETRÓPOLIS, Brazil (AFP) - An increasingly desperate search was under way on Friday (Feb 18) for people buried by a deluge of mud that swept through the Brazilian city of Petropolis leaving what resembled ""scenes of war"" according to President Jair Bolsonaro.
""We saw enormous destruction, like scenes of war,"" Mr Bolsonaro told reporters after his helicopter flyover on Friday.
He had headed straight for Petropolis on his return to Brazil after an official visit to Russia and Hungary.
More than 500 firefighters with helicopters, excavation machinery and sniffer dogs continued the search even as hope dwindled of finding anyone alive.
Hundreds of volunteers are giving give a hand to residents digging through the mud themselves in a frantic search for missing loved ones.","scenes, mud, city, victims, search, bodies, brazil, floods, according, war, swept, risk, amid, rio",Severe weather disruptions,Acute climatological event (flood)
3,22-Jan,BRASILIA (REUTERS) ,"Heavy rains cause landslides and flooding in Brazil, killing at least 19",https://www.straitstimes.com/world/heavy-rains-cause-landslides-and-flooding-in-brazil-killing-19,"BRASILIA (REUTERS) - Landslides and flooding from heavy rains in Sao Paulo state have killed at least 19 people since Friday, including seven children, public safety officials said on Sunday (Jan 30).
According to São Paulo state authorities, nine other people were injured in the rains and four more were missing, while some 500 families were left homeless across the state.
The hardest-hit municipalities around greater São Paulo included Aruja, Francisco Morato, Embu das Artes and Franco da Rocha.
The storms also caused damages upstate in Varzea Paulista, Campo Limpo Paulista, Jau, Capivari, Montemor and Rafard, state officials said.
Since December last year, heavy rains have triggered deadly floods in north-east Brazil, threatened to delay harvests in the mid-west and briefly forced the suspension of mining operations in the state of Minas Gerais.","rains, flooding, killing, 19, state, são, officials, million, landslides, cause, brazil, paulo, varzea, heavy, paulista, upstate",Severe weather disruptions,Acute climatological event (flood)
4,22-Feb,"QUITO (AFP, REUTERS) ","22 dead, dozens injured as flooding hits Ecuador's capital",https://www.straitstimes.com/world/eighteen-dead-46-injured-as-flooding-hits-ecuadors-capital,"QUITO (AFP, REUTERS) - At least 24 people perished in a landslide in Ecuador’s capital Quito, and 12 others were missing, Mayor Santiago Guarderas said on Tuesday (Feb 2), as rescue teams searched homes and streets covered by mud following the worst deluge in nearly two decades.
Other videos showed a torrent sweeping away trees, vehicles, dumpsters and even electricity poles, while some people were rescued from the muddy water by neighbours.
Ecuador is facing heavy rains in several areas, which have caused rivers to overflow and affected hundreds of homes and roads.
The 17-hour deluge caused a deluge that damaged roads, agricultural areas, clinics, schools, a police station and an electric power substation.
The resultant failure sent a kilometre-long deluge through a sports field where volleyball players were practicing with spectators on the sidelines.","water, structure, streets, landslide, mud, ecuadors, quito, missing, muddy, kills, caused, deluge, spectators, away, 24, capital, 12",Severe weather disruptions,Acute climatological event (flood)
5,22-Jan,KUALA LUMPUR (REUTERS) ,Malaysia floods caused nearly $2 billion in losses,https://www.straitstimes.com/asia/se-asia/malaysia-floods-caused-nearly-2-billion-in-losses,"KUALA LUMPUR (REUTERS) - Floods that had devastated much of Malaysia in recent weeks have caused an estimated RM6.1 billion (S$1.97 billion) in overall losses, a government report said on Friday (Jan 28).
Dozens of people died while more than 120,000 were displaced after unusually heavy rain caused severe flooding in multiple states in mid-December and early January.
In a special report on the floods' impact, the Department of Statistics said damage to public assets and infrastructure caused losses of RM2 billion, followed by RM1.6 billion in damage to homes.
Selangor was also the worst hit overall, with about half of Malaysia's losses recorded in the state, the report said.
Malaysia's government has previously said it would provide about RM1.4 billion ringgit in cash aid and other forms of relief to those affected by the floods.","malaysia, losses, report, state, kuala, caused, damage, floods, overall, billion, recorded, nearly",Severe weather disruptions,Acute climatological event (flood)
6,22-Jan,KUALA LUMPUR ,Malaysia PM blames Selangor amid arguments over accountability for flood crisis,https://www.straitstimes.com/asia/east-asia/malaysia-pm-blames-selangor-amid-arguments-over-accountability-for-flood-crisis,"Datuk Seri Ismail singled out Selangor, the most developed state, in a special parliamentary session meant to address issues surrounding the causes and management of the crisis.
""There were weaknesses in the state and district-level disaster management committees, and I was forced to intervene,"" he said in his opening address.
""The Selangor flood management did not improve after the second and third day, leading to dissatisfaction over slow aid,"" said Mr Ismail, while comparing the disaster management responses in Selangor to that in Pahang - his home state.
The floods in Selangor claimed 25 lives, and Pahang was the second-worst affected state with 21 deaths.
However, Mr Ismail said that unlike Selangor, Pahang's disaster management apparatus was more prepared and orderly, and had ""managed well"" despite some challenges.","malaysia, blames, role, ismail, pahang, state, slow, disaster, logging, floods, arguments, selangor, accountability, flood, management, amid, crisis",Severe weather disruptions,Acute climatological event (flood)
7,22-Jan,BEIJING (BLOOMBERG) ,China says Henan officials under-reported deaths in July flood,https://www.straitstimes.com/asia/east-asia/china-says-henan-officials-under-reported-deaths-in-july-flood,"BEIJING (BLOOMBERG) - Local government officials under-reported the number of people who died or went missing during severe flooding in central Henan province last July, China's Cabinet said, following a months-long investigation into the disaster.
Officials in Henan either concealed or delayed the recording of 139 such cases, the State Council, China's top government body, said in a report posted on its website late on Friday (Jan 21).
The final toll from the disaster was 398, the report showed.
At the time, the central government said that it will ""hold anyone responsible for dereliction of duty"".
The problems uncovered by the report will be transferred to the Central Commission for Discipline Inspection, the State Council said.","zhengzhou, report, state, officials, disaster, chinas, provincial, central, deaths, missing, council, henan, flood, china, underreported",Severe weather disruptions,Acute climatological event (flood)
8,22-Jan,BEIJING (REUTERS) ,Beijing punishes local officials for handling of deadly Henan floods,https://www.straitstimes.com/asia/east-asia/beijing-punishes-local-officials-for-handling-of-deadly-henan-floods,"BEIJING (REUTERS) - Beijing has punished almost 100 officials and company managers for dereliction of duty around catastrophic floods that hit Henan province and killed hundreds of people last July, state news agency Xinhua said on Friday (Jan 21).
They were among 89 local officials punished by the central government for what Beijing called poor handling of the emergency response to the floods, Xinhua said, citing the conclusions of an investigation led by the central government in Beijing.
The government has called the Henan floods the worst since China began keeping meteorological records.
From July 17-23, 398 people died or went missing in Henan province, according to the Xinhua report, published on the central government's website on Friday.
In China, regional and municipal officials are frequently demoted by the central government in response to the poor handling of manmade and natural disasters.","local, zhengzhou, province, officials, central, response, handling, floods, punishes, henan, punished, beijing, xinhua, deadly",Severe weather disruptions,Acute climatological event (flood)
9,22-Jan,PETALING JAYA (THE STAR/ASIA NEWS NETWORK) ,"Despite clinic loss, doctors in Malaysia press on with free services for flood victims",https://www.straitstimes.com/asia/se-asia/despite-clinic-loss-doctors-in-malaysia-press-on-with-free-services-for-flood-victims,"PETALING JAYA (THE STAR/ASIA NEWS NETWORK) - Her clinic was a total loss after the floods hit, with water destroying an expensive X-ray machine and all the medication.
Unexpected massive floods hit several states in mid-December, when the country experienced the heaviest rainfall in the past 100 years.
Eight of the 11 states in Peninsular Malaysia, including Selangor, Pahang and Negri Sembilan, were affected by the floods.
Having been a victim of floods herself in 1995 in that same area, Dr Shalini said she understood how it felt to be in such a position.
So the couple put aside their worries about their damaged clinic and started a temporary medical camp on Dec 25.","malaysia, dr, states, press, victims, medical, space, loss, despite, doctors, floods, hit, free, clinic, services, flood, camp, shalini",Severe weather disruptions,Acute climatological event (flood)
