,date,location,news title,news source(url),content summary,keywords,class_name,new_class_name
0,Feb-22,WASHINGTON (AFP) ,Wife of US nuclear engineer pleads guilty in sub secrets plot,https://www.straitstimes.com/world/united-states/wife-of-us-nuclear-engineer-pleads-guilty-in-sub-secrets-plot,"WASHINGTON (AFP) - The wife of a US Navy nuclear engineer pleaded guilty on Friday (Feb 18) to taking part in a plot to sell submarine secrets to a foreign country, the Justice Department said.
Diana Toebbe, 46, admitted taking part in her husband Jonathan Toebbe's plan to sell information on US nuclear submarines to an unidentified foreign buyer.
But last week Jonathan Toebbe, 43, pleaded guilty to the same charge, and in doing so admitted his wife took part in the plot.
Jonathan Toebbe was a nuclear engineer for the US Navy dealing with nuclear submarine propulsion systems when the two were arrested on October 9, 2021 after he hid a small SD card carrying US secrets at a dead drop location in West Virginia.
One of the Toebbes' communications indicated that English might not be the country's native tongue, and others suggest that the country's navy is familiar with nuclear propulsion technology.","toebbes, pleads, engineer, husband, information, navy, secrets, guilty, wife, plot, countrys, submarine, toebbe, nuclear, sub, pleaded",Man-Made Disaster,Man-Made Disaster
1,Feb-22,"DONETSK, UKRAINE/MOSCOW (REUTERS) – Russia’s strategic nuclear forces held exercises overseen by President Vladimir Putin on Saturday (Feb 19), and Washington accused Russian troops massed near Ukraine’s border of advancing and being “poised to strike”.

With Western fears of war rising, foreign ministers from the G","Putin oversees nuclear drills, US says Russian forces ‘poised to strike’",https://www.straitstimes.com/world/europe/putin-launches-nuclear-drills-as-us-says-russia-poised-to-invade-ukraine,"DONETSK, UKRAINE/MOSCOW (REUTERS) – Russia’s strategic nuclear forces held exercises overseen by President Vladimir Putin on Saturday (Feb 19), and Washington accused Russian troops massed near Ukraine’s border of advancing and being “poised to strike”.
US Defence Secretary Lloyd Austin said Russian forces were beginning to “uncoil and move closer” to the border.
Venting his frustration at a security conference in Munich, Ukrainian President Volodymyr Zelenskiy said the global security architecture was “almost broken”.
Hypersonic, cruise missilesThe Kremlin said Russia had successfully test-launched hypersonic and cruise missiles at sea during the strategic nuclear forces’ military exercises.
Putin observed the exercises on screens with Belarusian leader Alexander Lukashenko from what the Kremlin called a “situation centre”.","military, drills, world, poised, exercises, zelenskiy, nuclear, strike, ukraine, austin, oversees, russian, president, forces, security, putin",Man-Made Disaster,Man-Made Disaster
2,Feb-22,BERLIN (REUTERS) ,"US, Germany clash over role of nuclear energy in green transition",https://www.straitstimes.com/world/europe/us-germany-clash-over-role-of-nuclear-energy-in-green-transition,"BERLIN (REUTERS) - Germany and the United States clashed on Friday (Feb 18) over whether nuclear power should be part of the energy mix as rich countries race to cut emissions to limit the impact of global warming.
The administration of US President Joe Biden has been putting pressure on Germany to ditch the Nord Stream 2 pipeline project that would increase it dependence on Russian gas.
""I personally believe that we can't get there as fast as we need to without some component of nuclear in that mix.""
He appeared to question the wisdom of Germany's reliance on gas by calling long-term gas infrastructure ""stranded assets,"" without mentioning Nord Stream 2, which runs under the Baltic Sea and bypasses Ukrainian territory.
Asked by a moderator if Germany's decision to shut its last nuclear plants this year did not amount to avoiding the most efficient path to a green future, said Brantner, pointing to Kerry: ""No.","fuel, role, stream, gas, clash, pipeline, germany, kerry, reliance, nord, germanys, nuclear, green, energy, transition",Man-Made Disaster,Man-Made Disaster
3,Feb-22,"MOSCOW (AFP, XINHUA) ",Ukraine tensions: Belarus says could host nuclear weapons if faces Western threat,https://www.straitstimes.com/world/europe/ukraine-tensions-belarus-says-could-host-nuclear-weapons-if-faces-western-threat,"MOSCOW (AFP, XINHUA) - Belarusian leader Alexander Lukashenko said on Thursday (Feb 17) that his country could host nuclear weapons if it faces any external threats, as tensions soar between his ally Russia and the West over Ukraine.
""But if there are no threats to Belarus from unfriendly countries, then nuclear weapons are not needed here for a hundred years,"" he added, according to the state-run Belta news agency.
Ex-Soviet Belarus, which is not a nuclear power, will later this month hold a vote on constitutional reforms which could make it legal for Belarus to host nuclear weapons.
Moscow and Minsk are currently holding joint military exercises in Belarus, exacerbating concerns that Russia is planning to escalate the conflict in Ukraine.
Belarus has said that all Russian soldiers and military equipment will leave after the drills end conclude on Feb 20.","tensions, western, weapons, belarus, military, belarusian, training, lukashenko, russian, nuclear, faces, ukraine, host, threat, russia, threats",Man-Made Disaster,Man-Made Disaster
4,Feb-22,SYDNEY (AFP) ,"Australia, UK hail 'progress' on nuclear subs deal",https://www.straitstimes.com/asia/australianz/australia-uk-hail-progress-on-nuclear-subs-deal,"SYDNEY (AFP) - Australia's bid to acquire nuclear-powered submarines is making ""significant progress"", the country said on Thursday (Feb 17) in a joint statement with Britain after a virtual summit between their leaders.
""All three partners have made significant progress in their collective endeavour to provide the Royal Australian Navy with a conventional-armed nuclear-powered submarine capability at the earliest possible date,"" Australia and Britain said.
""Leaders further welcomed the presence in Australia of British and US officials to provide expert advice on the many facets of nuclear stewardship needed to operate a nuclear-powered submarine capability,"" they said.
The secretly negotiated Aukus deal infuriated France, which discovered at the last moment that its own diesel-electric submarine contract with Australia had been scrapped.
A study released in December by the influential Australian Strategic Policy Institute said the nuclear-powered submarine programme would cost more than US$80 billion (S$107 billion) and take decades to complete.","deal, subs, significant, weapons, britain, alliance, hail, submarines, australia, nuclearpowered, aukus, uk, submarine, nuclear, british, progress",Man-Made Disaster,Man-Made Disaster
5,Feb-22,WASHINGTON (AFP) ,US says nuclear deal possible within days if Iran 'shows seriousness',https://www.straitstimes.com/world/united-states/us-says-nuclear-deal-possible-within-days-if-iran-shows-seriousness,"WASHINGTON (AFP) - The United States said on Thursday (Feb 17) that ""substantial progress"" during negotiations in Vienna to save the Iran nuclear deal had been made, deeming an agreement possible within days if Iran ""shows seriousness"" on the matter.
The Vienna talks, which involve Iran as well as Britain, China, France, Germany and Russia directly, and the United States indirectly, resumed in late November with the aim of restoring the 2015 deal.
That accord had offered Tehran sanctions relief in exchange for curbs on its nuclear programme.
But the United States unilaterally withdrew in 2018 under former president Donald Trump and reimposed heavy economic sanctions, prompting Iran to begin rolling back on its commitments.
But ""anything much beyond that would put the possibility of return to the deal at grave risk"", the spokesperson added.","shows, seriousness, states, deal, days, possible, sanctions, united, return, iran, agreement, tehran, nuclear",Man-Made Disaster,Man-Made Disaster
6,Feb-22,SEOUL (REUTERS) ,Small quakes reported near North Korea nuclear site amid talk of resumed testing,https://www.straitstimes.com/asia/east-asia/small-quakes-reported-near-north-korea-nuclear-site-amid-talk-of-resumed-testing,"SEOUL (REUTERS) - A series of small, natural earthquakes has struck near North Korea's shuttered nuclear test site, South Korea has said, highlighting the area's geological instability as Pyongyang hints it could resume testing for the first time since 2017.
The latest was a 2.5 magnitude quake on Tuesday (Feb 15) morning, which was centred about 36km from the Punggye-ri Nuclear Test Site.
Punggye-ri in north-east North Korea is the country's only known facility for conducting nuclear tests.
""Such seismicity should not prevent the Punggye-ri nuclear test from being used again in the future,"" he said.
North Korea rejected calls for international experts to inspect the closure.","states, near, test, north, tests, united, reported, testing, experts, korea, nuclear, small, site, resumed, talk, quakes",Man-Made Disaster,Man-Made Disaster
7,Feb-22,PARIS (AFP) ,France warns Iran only days left to agree nuclear deal,https://www.straitstimes.com/world/europe/france-warns-iran-only-days-left-to-agree-nuclear-deal,"PARIS (AFP) - Iran has just days left to accept a deal on its nuclear programme at talks in Vienna, France said on Wednesday (Feb 16), warning that a major crisis would be unleashed if there is no agreement.
World powers are entering the final stage of talks with Iran in Vienna aimed at reviving the 2015 deal, which was rendered moribund by the US walking out of the accord in 2018.
""Either they unleash a serious crisis in the next days... or they accept an agreement that respects the interests of all the parties, especially those of Iran,"" he said.
But he said that time was running out because Iran was continuing to intensify its nuclear activities in violation of the 2015 deal, which aimed to provide safeguards that Teheran would never seek a nuclear weapon.
""The more this goes on, the more Iran is accelerating its nuclear procedures,"" he said.","warns, france, deal, days, talks, vienna, teheran, left, agree, iran, agreement, violation, nuclear, question",Man-Made Disaster,Man-Made Disaster
8,Feb-22,SINGAPORE (BLOOMBERG) ,Oil prices tumble on optimism Iran nuclear deal within sight,https://www.straitstimes.com/business/companies-markets/oil-prices-tumble-on-optimism-iran-nuclear-deal-within-sight,"SINGAPORE (BLOOMBERG) - Oil dropped during a volatile session on Thursday (Feb 17) as traders weighed the possibility that an Iranian nuclear deal may be imminent, while tracking tensions over Ukraine that swung financial assets from gold to stocks.
Teheran appears to be taking steps in Asia for its official return to the market, with officials from state-owned National Iranian Oil meeting South Korean refiners.
Should a deal with Iran be concluded, it could lead to a resumption of sanctions-free exports, augmenting global supplies.
Still, obstacles to an agreement remain substantial, with major differences on what is required to roll back Iranian nuclear advances.
“Positive developments in the US-Iran nuclear negotiations are helping to calm oil prices,” Rystad Energy senior vice-president Claudio Galimberti said in a note.","tensions, deal, oil, talks, teheran, crude, ukraine, weigh, traders, iran, drops, nuclear, iranian, week, market",Man-Made Disaster,Man-Made Disaster
9,Feb-22,VIENNA (REUTERS) ,Iran 'is in a hurry' to revive nuclear deal if its interests secured: Minister,https://www.straitstimes.com/world/middle-east/iran-is-in-a-hurry-to-revive-nuclear-deal-if-its-interests-secured-minister,"The 2015 deal limited Iran's enrichment of uranium to make it harder for Teheran to develop material for nuclear weapons, in return for a lifting of international sanctions against Teheran.
But it has eroded since 2018 when then-President Donald Trump withdrew the United States and reimposed far-reaching sanctions on Iran.
He urged Western powers to stop ""playing with time"".
Western leaders say time is running out for a viable accord and have accusing Iran of stalling to increase its leverage.
He said Iran further wants the removal of some 300 extra sanctions on Iranian entities and individuals not related to the nuclear deal.","deal, revive, western, talks, teheran, vienna, sanctions, secured, iran, minister, interests, nuclear, iranian, powers, hurry",Man-Made Disaster,Man-Made Disaster
