,date,location,news title,news source(url),content summary,keywords,class_name,new_class_name
0,Jan-22,IPOH (THE STAR/ASIA NEWS NETWORK) ,'Like a tornado': Freak storm damages homes in Malaysia's Ipoh,https://www.straitstimes.com/asia/se-asia/like-a-tornado-freak-storm-damages-many-homes-in-malaysias-ipoh,"IPOH (THE STAR/ASIA NEWS NETWORK) - Many homes in Ipoh, Malaysia, were damaged during a freak storm on Sunday (Jan 30) evening.
Some residents had described the incident as being hit by a ""tornado"".
Her roof was badly damaged while the ceiling in her house gave way, she said.
Ipoh Barat MP M. Kulasegaran advised residents to lodge police reports over the incident.
""They can ask their state assemblyman to assist them to get aid from the state government,"" he said.","way, tornado, state, roof, residents, homes, malaysias, freak, damages, teoh, saidi, incident, damaged, ipoh, storm, ceiling",Severe weather disruptions,Acute climatological event (tornado)
1,Dec-21,WASHINGTON (REUTERS) ,US tornadoes push insurers' 2021 bill over $143b as climate change impact grows,https://www.straitstimes.com/business/economy/us-tornadoes-push-insurers-2021-bill-over-143b-as-climate-change-impact-grows,"Climate change has been driving more so-called ""secondary peril"" weather events that are smaller than hurricanes, for instance, but less predictable.
Other secondary perils include small to mid-sized localised events like wildfires, winter storms and hail storms.
""Clearly underlying that, something else is going on, of which the most obvious thing is climate change,"" he said.
Unlike primary perils like hurricanes, which have the highest potential for losses and are therefore closely monitored and modelled, secondary perils are unpredictable.
""Hurricanes have been recorded, and we know the path and we know the damage, whereas tornadoes, they just... pop up,"" he added.","insurers, severe, states, 2021, perils, grows, tornadoes, secondary, winter, change, bill, weather, events, billion, impact, push, climate, 143b",Severe weather disruptions,Acute climatological event (tornado)
2,Dec-21,KENTUCKY (REUTERS) ,"Night of tornadoes kills more than 70 in Kentucky, other US states",https://www.straitstimes.com/world/united-states/50-likely-killed-in-tornadoes-as-kentucky-governor-declares-state-of-emergency,"KENTUCKY (REUTERS) - A devastating swarm of tornadoes ripped through six US states, killing more than 70 people in Kentucky and leaving a trail of destroyed homes and businesses along a path that stretched more than 200 miles, officials said on Saturday (Dec 11).
Kentucky Governor Andy Beshear said the collection of tornadoes was the most destructive in the state’s history.
He said 70 workers at the candle factory in the city of Mayfield remained unaccounted for after about 110 people were inside when it was reduced to a pile of rubble.
That storm moved from Arkansas and Missouri and into Tennessee and Kentucky.
“In December, we’re typically thinking of snowstorms, not tornadoes and not certainly tornadoes at night.”","states, mayfield, missouri, kentucky, night, kills, tornadoes, workers, 70, factory, candle, storm",Severe weather disruptions,Acute climatological event (tornado)
3,Dec-21,EDWARDSVILLE (REUTERS) ,Amazon driver died in bathroom sheltering from tornado with colleagues,https://www.straitstimes.com/world/united-states/amazon-driver-died-in-bathroom-sheltering-from-tornado-with-colleagues,"EDWARDSVILLE (REUTERS) - Amazon cargo driver Austin J. McEwen, 26, was an only child who loved to listen to rapper Mac Miller and hunt with his friends.
He died trying to shelter from a powerful tornado in the bathroom at an Amazon.com warehouse on Friday (Dec 10) night, according to a coworker.
The first warning was issued about 40 minutes before the tornado hit, according to firefighters and the Illinois governor.
Amazon confirmed in an email that the site got tornado warnings through various alerts.
They made us shelter in place til we left - it was at least two and a half hours in there.""","shelter, illinois, bathroom, colleagues, tornado, employees, warehouse, sheltering, workers, st, worked, place, driver, amazon, died",Severe weather disruptions,Acute climatological event (tornado)
4,Dec-21,"MAYFIELD, KENTUCKY (REUTERS) – Clean",Kentucky clears mountains of tornado debris; 12 children among 74 dead,https://www.straitstimes.com/world/united-states/crews-begin-herculean-task-of-removing-tornado-debris-in-kentucky,"While the state’s death toll remained at 74, Beshear disclosed that a dozen children were among the tornadoes’ victims.
There is just so much destruction,” Beshear said at a briefing, adding that more than 100 people remain missing and eight of the victims have yet to be identified.
More than 100 people were working at a candle factory in Mayfield, Kentucky, when the storm, which Bashear said “will probably be one of the most devastating tornado events in US history,” reduced the plant to rubble.
Hundreds National Guard service members were in communities, searching for victims and survivors, clearing roads and providing police services, Beshear said.
I told him, I said: you need to get yourself to shelter and we said ‘I love you’ and we hung up.”","beshear, states, shelter, debris, tornado, kentucky, victims, dead, clears, tornadoes, children, mountains, governor, mayfield, 74, destruction, 12",Severe weather disruptions,Acute climatological event (tornado)
5,Dec-21,"MAYFIELD, KENTUCKY (REUTERS, AFP) ","In an instant, Kentucky factory gone as tornadoes in US wreak havoc",https://www.straitstimes.com/world/united-states/in-an-instant-kentucky-factory-gone-as-tornadoes-in-us-wreak-havoc,"Reached through Facebook on Saturday, Ms Tingle told Reuters she had driven four hours to the factory site in the hopes of finding her mother, whose fate remains unknown.
We don't know how to feel, we are just trying to find her,"" Ms Tingle said.
""I'm really scared,"" Ms Kyanna Parsons-Perez can be heard saying in a live video she shared on Facebook while she waited to be rescued.
The screams and prayers of other workers, some in Spanish, pierce the almost complete darkness of the collapsed factory.
""I didn't think I was going to make it,"" Ms Parsons-Perez said in another video she shared after her rescue on Saturday, her birthday.","tingle, think, mayfield, factory, tornado, kentucky, shared, ms, havoc, tornadoes, workers, gone, wreak, instant, storm, video",Severe weather disruptions,Acute climatological event (tornado)
6,Dec-21,SEATTLE (NYTIMES) ,"At Amazon site, tornado collided with company's peak delivery season",https://www.straitstimes.com/business/companies-markets/at-amazon-site-tornado-collided-with-companys-peak-delivery-season,"Mr Harris, 44, ran into a shelter on Amazon's site and heard a loud roar.
One of the tornadoes that roared through Kentucky, Arkansas, Illinois and other states on Friday had plowed straight into Amazon's delivery station in Edwardsville.
It was initially unclear how many people had been at Amazon's site and what safety measures could have been taken to minimise the loss of life.
Only seven people at Amazon's site were full-time employees, said a Madison County commissioner who declined to give his name.
He said most were delivery drivers in their 20s who work as contractors.","companys, amazons, illinois, tornado, season, delivery, ms, mr, edwardsville, drivers, collided, site, amazon, peak",Severe weather disruptions,Acute climatological event (tornado)
7,Dec-21,WASHINGTON (AFP) ,"Severe weather is new normal, US emergency chief warns after tornadoes",https://www.straitstimes.com/world/united-states/severe-weather-is-new-normal-us-emergency-chief-warns-after-tornadoes,"Meteorologists and other scientists have long warned of the growing intensity of weather events like storms, fires and flooding.
""The effects that we're seeing from climate change are the crisis of our generation,"" the FEMA chief added.
Ms Criswell warned of the challenge that the US faces in addressing such severe weather events.
""We're seeing more intense storms, severe weather, whether it's hurricanes, tornadoes, wildfires,"" she said on ABC's This Week.
One paper published recently by scientific association AGU says its analysis ""suggests increasing global temperature will affect the occurrence of conditions favourable to severe weather"".","warns, chief, tornado, seeing, warned, severe, weather, climate, tornadoes, storms, change, normal, emergency, warming",Severe weather disruptions,Acute climatological event (tornado)
8,Dec-21,MAYFIELD (REUTERS) ,At least 64 people confirmed dead in Kentucky after barrage of tornadoes,https://www.straitstimes.com/world/united-states/at-least-64-people-confirmed-dead-in-kentucky-after-barrage-of-tornadoes,"MAYFIELD (REUTERS) - At least 64 people lost their lives in Kentucky after a raft of tornadoes tore through six states, Governor Andy Beshear said on Monday (Dec 13).
""It may be weeks before we have counts on both deaths and levels of destruction,"" Beshear told reporters.
In the hard-hit small town, the tornado destroyed not only the candle factory but also the police and fire stations.
Rescue workers resumed combing through debris on Monday in the scant hope of finding more survivors from a battery of deadly tornadoes that tore through six states.
President Joe Biden on Sunday declared a major federal disaster in Kentucky, paving the way for additional federal aid, the White House said.","beshear, mayfield, tornado, kentucky, dead, confirmed, tornadoes, workers, toll, 64, governor, town, factory, barrage",Severe weather disruptions,Acute climatological event (tornado)
9,Dec-21,NEW YORK (REUTERS) ,"Workers sue tornado-hit Kentucky candle factory, say they were forced to stay",https://www.straitstimes.com/world/united-states/workers-sue-tornado-hit-kentucky-candle-factory-say-they-were-forced-to-stay,"NEW YORK (REUTERS) - Workers at a Kentucky candle factory that was destroyed by a tornado last week have filed a lawsuit claiming supervisors threatened to fire employees who left work as the storm approached.
The lawsuit accuses the company of failing to provide a hazard-free workplace in violation of state safety regulations and seeks monetary damages on behalf of employees.
Kentucky Governor Andy Beshear said on Tuesday that state workplace safety regulators would investigate the factory's collapse.
A series of powerful tornadoes tore through Kentucky and neighbouring states on Dec 10, killing 76 people in Kentucky and 22 in the town of Mayfield, where the candle factory is located, including eight workers at the factory.
The US workplace safety regulator is investigating that incident.","lawsuit, mayfield, safety, state, tornado, kentucky, workplace, workers, stay, tornadohit, products, sue, forced, factory, candle, say, company",Severe weather disruptions,Acute climatological event (tornado)
10,Dec-21,"WILMINGTON, DELAWARE (REUTERS) ",Biden declares major disaster in Kentucky after deadly tornadoes,https://www.straitstimes.com/world/united-states/biden-approves-emergency-declaration-for-kentucky-after-tornado-disaster,"WILMINGTON, DELAWARE (REUTERS) - US President Joe Biden on Saturday (Dec 11) approved an emergency declaration for Kentucky after the state was battered by a swarm of tornadoes that killed at least 70 people.
Kentucky Governor Andy Beshear formally requested the declaration on Sunday after the twisters obliterated the small city of Mayfield and destroyed a candle factory.
The president had previously declared the storms a federal emergency, enabling the Federal Emergency Management Agency to assist in the aftermath as thousands face housing, food, water and power shortages.
But under an emergency declaration assistance is limited to US$5 (S$6.8 million) million, according to the FEMA website.
Asked if he thought climate change played a role in the devastation of the storms, Biden said he would be asking the Environmental Protection Agency and others to take a look.","kentucky, disaster, biden, saidthe, weather, major, tornadoes, federal, president, storms, declaration, emergency, declares, deadly",Severe weather disruptions,Acute climatological event (tornado)
11,Dec-21,WASHINGTON (REUTERS) ,"Many trapped, 2 dead as tornado hits nursing home in Arkansas",https://www.straitstimes.com/world/united-states/many-trapped-2-dead-as-tornado-hits-nursing-home-in-arkansas,"WASHINGTON (REUTERS) - A score of people were trapped on Friday (Dec 10) in a nursing home in northeastern Arkansas after it was struck by a tornado that killed two people and injured five, media said, citing a county official.
The tornado that hit the nursing home in the city of Monette was among a string of tornadoes in the region, including one in the nearby town of Truman, according to the channel KAIT, an affiliate of broadcaster NBC in Jonesboro.
It quoted the official, Judge Marvin Day of Craighead county, as saying two people were killed, five injured and at least 20 trapped in the Monette Manor nursing home near the Tennessee border.
There were reports that a nursing home in Truman was also damaged, with fire and rescue teams heading for the area, it added.
The US National Weather Service had issued tornado warnings on Friday night for areas in several states including Arkansas, Tennessee, Missouri and Illinois.","trapped, nursing, tennessee, tornado, dead, monette, truman, including, county, injured, arkansas, hits, killed",Severe weather disruptions,Acute climatological event (tornado)
