,date,location,news title,news source(url),content summary,keywords,class_name,new_class_name
0,Feb-22,"Highlights (click/tap above):

01:10 Ms Sabharwal's top reasons for a ""turnover tsunami"" affecting Singapore companies during the pandemic

04:42 How millennial Justin Chua views his career development in past two years after graduation following the start of the pandemic

05:40 His views on deeper problems within Singapore companies, such as with middle management

06:40 Why do millennial employees feel more burnt out at work these days?

08:05 What can managers do to better handle employee burnout issues?

Read Krist Boo's Work/Life columns: https://www.straitstimes.com/authors/krist",Work Talk Podcast: Is there a pandemic turnover tsunami affecting Singapore companies?,https://www.straitstimes.com/singapore/jobs/work-talk-podcast-is-there-pandemic-turnover-tsunami-affecting-singapore-companies,"Highlights (click/tap above):01:10 Ms Sabharwal's top reasons for a ""turnover tsunami"" affecting Singapore companies during the pandemic04:42 How millennial Justin Chua views his career development in past two years after graduation following the start of the pandemic05:40 His views on deeper problems within Singapore companies, such as with middle management06:40 Why do millennial employees feel more burnt out at work these days?
08:05 What can managers do to better handle employee burnout issues?
Read Krist Boo's Work/Life columns: https://www.straitstimes.com/authors/krist-booFollow ST podcasts:Channel: https://str.sg/JWVRSpotify: https://spoti.fi/2PwZCYUApple Podcasts: https://apple.co/2Lu4rPPGoogle podcasts: http://str.sg/googlestbtWebsites: http://str.sg/stpodcastsFeedback to: podcast@sph.com.sg---Discover more ST podcast series:Asian Insider Podcast: https://str.sg/JWa7Green Pulse Podcast: https://str.sg/JWafHealth Check Podcast: https://str.sg/JWaN#PopVultures Podcast: https://str.sg/JWadST Sports Talk Podcast: https://str.sg/JWREBookmark This!
Podcast: https://str.sg/JWasLunch With Sumiko Podcast: https://str.sg/J6hQDiscover BT Podcasts: https://bt.sg/pcPLFollow our shows then, if you like short, practical podcasts!","affecting, podcast, tsunami, pandemic, companies, singapore, worklife, work, views, podcasts, talk, turnover, millennial, st",natural calamities,geophysical event
1,Jan-22,WELLINGTON (REUTERS) ,"China, West rush tsunami relief supplies to tsunami-hit Tonga",https://www.straitstimes.com/asia/australianz/china-west-rush-tsunami-relief-supplies-to-tsunami-hit-tonga,"A navy vessel carrying drinking water and food will arrive from Fiji on Thursday, while two military aircraft will also deliver 33 tonnes of emergency supplies including drinking water, food, tents, and walkie-talkies, a Chinese foreign ministry spokesman said at a briefing late on Wednesday.
The Chinese navy will ship bulky items such as portable cabins, tractors, generators and water pumps to Tonga in coming days, it added.
Beijing claimed it was the first to supply drinking water and food supplies to Tonga on Jan 19, although this could not be independently verified by Reuters.
The Australian and New Zealand naval vessels have also arrived in Tonga, and Canberra promised an A$3 million (S$2.87 million) in humanitarian funding to Tonga.
The United States and its Western allies worry that China is using debt to secure influence over these stratigically important Pacific island nations, claims China has repeatedly denied.","relief, food, chinese, west, million, china, rush, navy, supplies, united, pacific, drinking, tonga, tsunamihit, water",natural calamities,geophysical event
2,Jan-22,SYDNEY (REUTERS) ,"Tonga struggles with ash, psychological trauma after eruption and tsunami",https://www.straitstimes.com/asia/tonga-struggles-with-ash-psychological-trauma-after-eruption-and-tsunami,"SYDNEY (REUTERS) - Families have stopped children playing outside as Tonga struggles to deal with ash and the psychological fallout of last week's volcanic eruption and tsunami, aid workers and residents said.
""Everyone is still struggling right now,"" said Mr Drew Havea, the vice-president of Tonga Red Cross.
Because of the ash, ""families are making sure their kids are not playing outside, that they are all indoors"", he said.
The psychological impact of waves rushing through and destroying villages will affect their lives for some time, he said.
The eruption of Hunga-Tonga-Hunga-Ha'apai volcano, which sits on the seismically active Pacific Ring of Fire, sent tsunami waves across the Pacific Ocean and was heard some 2,300km away in New Zealand.","ring, eruption, tsunami, psychological, volcano, outside, red, waves, tonga, residents, trauma, struggles, ash",natural calamities,geophysical event
3,Jan-22,"NUKU'ALOFA, TONGA (NYTIMES) ",Three tiny islands have borne the brunt of Tonga's tsunami,https://www.straitstimes.com/asia/australianz/three-tiny-islands-have-borne-the-brunt-of-tongas-tsunami,"NUKU'ALOFA, TONGA (NYTIMES) - Tonga, the Pacific nation that was struck by a powerful tsunami last weekend, consists of about 170 islands, some tiny, stretching across 270,000 square miles (699,000sq km), an area roughly the size of Texas.
""Homes have been completely wiped out,"" Ms Katie Greenwood, a spokesperson for the Red Cross in Fiji, said of the three islands, Nomuka, Mango and Fonoifua.
As of Saturday (Jan 22), just three deaths from the tsunami had been confirmed in Tonga.
But Ms Greenwood said Nomuka, Mango and Fonoifua were buffeted by waves almost 50 feet (15m) high, compared with waves of only 4 feet on Tongatapu.
It is by far the hardest hit of any of Tonga's inhabited islands, many of which suffered only superficial damage and extensive ashfall.","islands, fonoifua, tsunami, damage, tongas, tiny, way, borne, tongatapu, brunt, tonga, mango, island, nomuka",natural calamities,geophysical event
4,Jan-22,SINGAPORE (REUTERS) ,"In Tonga, a volcano-triggered tsunami underscores islands' acute climate risk",https://www.straitstimes.com/asia/australianz/in-tonga-a-volcano-triggered-tsunami-underscores-islands-acute-climate-risk,"By increasing temperatures and driving up sea levels, climate change will likely worsen disasters wrought by tsunamis, storm surges, and heat waves, experts say.
Their plea for global climate action is especially desperate, given that Pacific island nations account for only 0.03 per cent of global carbon emissions, according to the World Bank.
As sea levels continue to rise in coming decades, tsunamis and storm surges will likely be reaching further inland with even more risk of damage.
Sea water that washes ashore can taint agricultural soil and leave it useless for years.
With climate change warming the ocean's surface, such storm surges are more likely as the warm water fuels increasingly powerful cyclones.","islands, tsunamis, tsunami, surges, sea, risk, acute, underscores, global, waves, volcanotriggered, tonga, storm, water, climate",natural calamities,geophysical event
5,Jan-22,SYDNEY/TOKYO (REUTERS) ,"Tsunami warnings triggered in Japan, Pacific islands after Tonga volcano eruption",https://www.straitstimes.com/asia/australianz/tsunami-waves-crash-ashore-in-tonga-after-powerful-eruption,"SYDNEY/TOKYO (REUTERS) - An underwater volcano off Tonga erupted on Saturday (Jan 15), triggering tsunami warnings and evacuation orders in Japan and causing large waves in several South Pacific islands, where footage on social media showed waves crashing into coastal homes.
Japan’s meteorological agency issued tsunami warnings in the early hours on Sunday and said waves as high as three metres were expected in the Amami islands in the south.
In a briefing, a Japan Meteorological Agency official urged people not to go near the sea until the tsunami advisory and more serious tsunami warnings had been lifted.
Tsunami waves of 83cm were recorded by gauges in the Tongan capital of Nuku’alofa and two-foot waves were seen at Pago Pago, the capital of American Samoa, the Pacific Tsunami Warning Center said.
Fiji issued a tsunami warning, urging residents to avoid the shorelines “due to strong currents and dangerous waves”.","islands, eruption, tsunami, japan, warning, volcano, following, issued, triggered, waves, pacific, warnings, tonga, capital, meteorological",natural calamities,geophysical event
6,Jan-22,SYDNEY (REUTERS) ,"Fisherman recalls racing tsunami, raining rocks after Tongan volcano erupted",https://www.straitstimes.com/asia/australianz/fisherman-recalls-racing-tsunami-raining-rocks-after-tongan-volcano-erupted,"SYDNEY (REUTERS) - Mr Branko Sugar and his son were spearfishing on an outer reef in Tonga last Saturday (Jan 15).
The biggest wave I've ever seen,"" Mr Sugar told Reuters via telephone from Tonga on Friday where communications are still only being restored.
Mr Sugar turned his boat, a 400-horsepower 27-foot (8m) World Cat catamaran, and accelerated towards deep water near Eueiki Island.
As he raced for safety, Mr Sugar telephoned his home on Tonga's main island Tongatapu to warn of the approaching tsunami, but nobody answered.
We didn't know where to go,"" Mr Sugar said.","mr, tongan, tsunami, volcano, boat, turned, recalls, wave, boats, spearfishing, erupted, sugar, tonga, away, raining, stopped, racing, fisherman, rocks",natural calamities,geophysical event
7,Jan-22,WELLINGTON/SYDNEY (REUTERS) ,"Australia, New Zealand step up efforts to aid tsunami-hit Tonga",https://www.straitstimes.com/asia/australianz/impact-assessment-aid-efforts-underway-as-world-responds-to-tonga-tsunami,"Australia’s Minister for the Pacific Zed Seselja said initial reports suggested no mass casualties from Saturday’s eruption and tsunami but Australian police had visited beaches and reported significant damage with “houses thrown around”.
""We know there is some significant damage, and know there is significant damage to resorts,” he said in an interview with an Australian radio station, adding that Tonga’s airport appeared to be in relatively good condition.
The eruption of the Hunga-Tonga-Hunga-Ha’apai volcano triggered a tsunami on the shores of Tonga and cut off phone and internet lines for the entire island.
Telephone networks in Tonga have been restored but ash was posing a major health concern, contaminating drinking water.
The family that manages the resort had run for their lives through the bush to escape the tsunami, it said.","big, eruption, tsunami, damage, tongas, zealand, assessed, concern, red, pacific, significant, drinking, resort, tonga, water, ash",natural calamities,geophysical event
8,Jan-22,SYDNEY/WELLINGTON (REUTERS) ,"Tsunami-hit Tonga islands suffered extensive damage, fears death toll to rise",https://www.straitstimes.com/asia/australianz/damage-on-tsunami-hit-tongas-main-island-hampering-relief-effort,"SYDNEY/WELLINGTON (REUTERS) - Tonga’s small outer islands suffered extensive damage from a massive volcanic eruption and tsunami, a Tongan diplomat said on Tuesday, raising fears of more deaths and injuries.
Distress signalThe United Nations had earlier reported a distress signal was detected in Ha’apai, where Mango is located.
The Tongan navy reported the area was hit by waves estimated to be 5-10 metres high, said the UN Office for the Coordination of Humanitarian Affairs (OCHA).
“It is very alarming to see the wave possibly went through Atata from one end to the other,” said Mr Tu’ihalangingie.
The NZDF images, which were posted unofficially on a Facebook site and confirmed by Mr Tu’ihalangingie, also showed tarpaulins being used as shelter on Mango island.","mr, tongan, tsunami, zealand, death, pacific, haapai, damage, tonga, islands, toll, reported, suffered, mango, island, extensive, fears, rise, tsunamihit",natural calamities,geophysical event
9,Jan-22,WELLINGTON/SYDNEY (REUTERS) ,"World rushes aid to tsunami-hit Tonga as drinking water, food runs short",https://www.straitstimes.com/asia/australianz/world-rushes-aid-to-tsunami-hit-tonga-as-drinking-water-food-runs-short,"One Australian aid flight was turned around mid-flight on Thursday after being notified of a positive Covid-19 case onboard, an Australian defence official said.
More help is on the way with HMAS Adelaide en route from Brisbane and due in Tonga next week, the Australian High Commission in Tonga said on Facebook.
United Nations spokesperson Stephane Dujarric said in a briefing that Tonga has asked for urgent assistance and the agency is in close contact with the authorities.
Water quality testing continues, and most people are relying on bottled water,"" he said.
“We are incredibly concerned about the mental health of children in Tonga,"" said Ms Shairana Ali, CEO of Save the Children Fiji.","aid, world, rushes, food, urgent, runs, zealand, australian, assistance, children, school, dujarric, drinking, short, tonga, tsunamihit, water",natural calamities,geophysical event
