,date,location,news title,news source(url),content summary,keywords,class_name,new_class_name
0,Feb-22,GALÁPAGOS ISLANDS (NYTIMES) ,Galapagos volcano produces mesmerising river of fire,https://www.straitstimes.com/world/galapagos-volcano-produces-mesmerising-river-of-fire,"GALÁPAGOS ISLANDS (NYTIMES) - Videographer Joshua Vela-Fonseca was staying about 30km from a volcano in the Galápagos Islands last month when it started to erupt.
""There was a huge orange light,"" said Mr Vela-Fonseca, who was on a scientific expedition in the area when Wolf Volcano began spewing ash and lava on the night of Jan 6.
Neither the ash clouds nor the lava cascading down the volcano's slopes posed a safety risk to the people on the expedition.
""The magmas erupted on Wolf Volcano do not contain very much gas, but they're also very hot and runny, which allows any gas bubbles which are present to easily escape,"" Dr Stock said.
Dr Carrión captured the early stages of the eruption in a time-lapse video that he shot from near the top of the roughly 1,700m volcano.","wolf, mesmerising, galápagos, volcano, lava, dr, theyre, ash, galapagos, gas, produces, river, volcanoes, velafonseca",natural calamities,geophysical event
1,Jan-22,LIMA (AFP) ,Peru races to save birds threatened by oil spill after Tonga volcano eruption,https://www.straitstimes.com/world/peru-races-to-save-birds-threatened-by-oil-spill-after-tonga-volcano-eruption,"LIMA (AFP) - A Lima zoo is racing to save dozens of seabirds, including protected penguins, left covered in oil after 6,000 barrels of crude spilled off Peru's coast due to waves triggered by Tonga's undersea volcano eruption on Jan 15.
A team of veterinarians is caring for the birds, bathing them with special detergents to remove the suffocating oil.
""We have never seen anything like this in the history of Peru,"" said Ms Bermudez, while tending to a bird.
The abnormally large waves were triggered by the eruption of an undersea volcano near the archipelago of Tonga, thousands of kilometres away.
The spill near Lima has fouled beaches and harmed the fishing and tourism industries, with crews working non-stop to clean up the mess.","spilled, birds, eruption, save, threatened, sea, undersea, volcano, penguins, zoo, oil, lima, waves, triggered, tonga, races, peru, spill",natural calamities,geophysical event
2,Jan-22,SINGAPORE (REUTERS) ,Scientists struggle to monitor Tonga volcano after massive eruption,https://www.straitstimes.com/asia/scientists-struggle-to-monitor-tonga-volcano-after-massive-eruption,"Photographs and videos showed grey ash clouds billowing over the South Pacific and metre-high waves surging onto the coast of Tonga.
The unusual ""astounding"" speed and force of the eruption indicated a greater force at play than simply magma meeting water, scientists said.
Some volcanologists are likening the eruption to the 1991 Pinatubo eruption in the Philippines, the second-largest volcanic eruption of the 20th century, which killed around 800 people.
The Tonga Geological Services agency, which was monitoring the volcano, was unreachable on Monday.
Most communications to Tonga have been cut after the main undersea communications cable lost power.","eruption, massive, volcanologist, volcano, magma, struggle, monitor, pacific, communications, waves, tonga, water, explosion, scientists",natural calamities,geophysical event
3,Jan-22,SYDNEY (REUTERS) ,"Fisherman recalls racing tsunami, raining rocks after Tongan volcano erupted",https://www.straitstimes.com/asia/australianz/fisherman-recalls-racing-tsunami-raining-rocks-after-tongan-volcano-erupted,"SYDNEY (REUTERS) - Mr Branko Sugar and his son were spearfishing on an outer reef in Tonga last Saturday (Jan 15).
The biggest wave I've ever seen,"" Mr Sugar told Reuters via telephone from Tonga on Friday where communications are still only being restored.
Mr Sugar turned his boat, a 400-horsepower 27-foot (8m) World Cat catamaran, and accelerated towards deep water near Eueiki Island.
As he raced for safety, Mr Sugar telephoned his home on Tonga's main island Tongatapu to warn of the approaching tsunami, but nobody answered.
We didn't know where to go,"" Mr Sugar said.","mr, tongan, tsunami, volcano, boat, turned, recalls, wave, boats, spearfishing, erupted, sugar, tonga, away, raining, stopped, racing, fisherman, rocks",natural calamities,geophysical event
4,Jan-22,SYDNEY/TOKYO (REUTERS) ,"Tsunami warnings triggered in Japan, Pacific islands after Tonga volcano eruption",https://www.straitstimes.com/asia/australianz/tsunami-waves-crash-ashore-in-tonga-after-powerful-eruption,"SYDNEY/TOKYO (REUTERS) - An underwater volcano off Tonga erupted on Saturday (Jan 15), triggering tsunami warnings and evacuation orders in Japan and causing large waves in several South Pacific islands, where footage on social media showed waves crashing into coastal homes.
Japan’s meteorological agency issued tsunami warnings in the early hours on Sunday and said waves as high as three metres were expected in the Amami islands in the south.
In a briefing, a Japan Meteorological Agency official urged people not to go near the sea until the tsunami advisory and more serious tsunami warnings had been lifted.
Tsunami waves of 83cm were recorded by gauges in the Tongan capital of Nuku’alofa and two-foot waves were seen at Pago Pago, the capital of American Samoa, the Pacific Tsunami Warning Center said.
Fiji issued a tsunami warning, urging residents to avoid the shorelines “due to strong currents and dangerous waves”.","islands, eruption, tsunami, japan, warning, volcano, following, issued, triggered, waves, pacific, warnings, tonga, capital, meteorological",natural calamities,geophysical event
5,Jan-22,SYDNEY/WELLINGTON (REUTERS) ,"All homes on a Tongan island destroyed, three dead after volcanic eruption, tsunami",https://www.straitstimes.com/asia/all-homes-on-a-tongan-island-destroyed-three-dead-after-volcanic-eruption-tsunami,"SYDNEY/WELLINGTON (REUTERS) - All the homes on one of Tonga's small outer islands were destroyed in the massive volcanic eruption and tsunami, with three people so far confirmed dead, the government said on Tuesday (Jan 18) in its first update since the disaster hit.
But the office of Prime Minister Siaosi Sovaleni said in a statement that every house on Mango island, where around 50 people live, had been destroyed, only two houses remained on Fonoifua, and Namuka island had suffered extensive damage.
Mr Sovaleni's office said a 65-year-old woman on Mango Island and a 49-year-old man on Nomuka Island had been killed, in addition to a British national whose death was confirmed on Monday.
The United Nations said on Monday a distress signal was detected in the outlying Ha'apai islands, where Mango is located.
TsunamiTsunami waves reaching up to 15m had hit the Ha'apia island group and the west coast of Tonga's main island, Tongatapu, the prime minister's office said.","eruption, islands, tongan, tsunami, dead, volcanic, office, haapai, tuihalangingie, tongas, waves, destroyed, mango, island, homes",natural calamities,geophysical event
6,Dec-21,JAKARTA ,'I'm scared': Traumatised survivors of Indonesia's volcano eruption hope to relocate,https://www.straitstimes.com/asia/se-asia/im-scared-traumatised-survivors-of-indonesias-volcano-eruption-hope-to-relocate,"After taking shelter in a school for a few days, Ms Suprih Miyati, 40, ventured home to check if she could save some of her belongings.
Suddenly, it was all black,"" Ms Suprih said, recounting the moment before she fled with her husband and 19-year-old son to a relative's house.
Indonesia's geological agency has advised locals not to travel within 5km of Semeru crater as the air nearby is heavily polluted.
But, like Ms Suprih, many residents of the affected villagers have been venturing back to their houses to salvage their belongings or tend to livestock, despite a ban issued by the authorities.
Some glass windows and doors were broken, while thick ash filled the house, including the living room.","im, house, told, eruption, suprih, traumatised, ms, village, volcano, supiturang, semeru, relocate, indonesias, scared, hope, survivors, ash",natural calamities,geophysical event
7,Dec-21,JAKARTA (REUTERS) ,"Indonesia's Semeru volcano erupts again, people warned to stay away",https://www.straitstimes.com/asia/se-asia/indonesias-semeru-volcano-erupts-again-people-warned-to-stay-away,"JAKARTA (REUTERS) - Indonesia's Semeru volcano on Java island erupted early on Sunday (Dec 19), spewing a 2km-high ash column, prompting authorities to warn people to stay away from the eruption range.
Earlier this month, the eruption of Semeru, Java's tallest mountain, ejected ash clouds and pyroclastic flows that killed at least 46 people and left several missing, while thousands were displaced.
On Sunday, the early morning eruption resulted in dense white and grey ash clouds, according to Indonesia's Centre for Volcanology and Geological Hazard MitigationThe agency warned nearby residents not to conduct any activities within a 5km radius of the eruption centre and to keep a 500m distance from riversides due to risks of lava flow.
The agency also told people to not conduct any activities within 13km south-east of the eruption centre.
With 142 volcanoes, Indonesia has the largest population globally living in close range to a volcano, including 8.6 million within 10km.","conduct, clouds, eruption, erupts, warned, volcano, early, stay, agency, indonesias, away, semeru, centre, ash",natural calamities,geophysical event
8,Dec-21,JAKARTA (REUTERS) ,Indonesia Semeru volcanic eruption kills 14; dozens injured,https://www.straitstimes.com/asia/se-asia/indonesias-semeru-volcano-spews-ash-into-sky,"JAKARTA (REUTERS) - The eruption of Semeru volcano has killed at least 14 people and injured dozens on Java island, Indonesia's disaster agency said on Sunday (Dec 5), as rescue teams searched for victims under layers of ash, sometimes digging with their bare hands.
Semeru, the tallest mountain on Java island, threw up towers of ash and hot clouds on Saturday that blanketed nearby villages in East Java province and sent people fleeing in panic.
The eruption destroyed buildings and severed a strategic bridge connecting two areas in the nearby district of Lumajang with the city of Malang, authorities said.
Around 1,300 people have been evacuated, while nine people remain unaccounted for, BNPB said.
In a video he recorded, police and military officials tried to excavate bodies with their bare hands.","kills, 14, eruption, nearby, volcanic, dozens, rescue, lumajang, java, killed, severed, semeru, witness, indonesia, injured, island, ash",natural calamities,geophysical event
9,Dec-21,JAKARTA (AFP) ,Indonesia volcano eruption death toll rises to 34: Disaster agency,https://www.straitstimes.com/asia/se-asia/death-toll-of-indonesias-volcano-eruption-rises-to-22-over-30-missing,"JAKARTA (AFP) - The death toll from the eruption of Indonesia's Mount Semeru volcano rose to 34 on Tuesday (Dec 7), the national disaster agency said, as aid was rushed to the affected region.
""The latest update from the ground... (is) 34 people died, 17 are missing,"" the disaster agency spokesman Abdul Muhari told AFP.
Mt Semeru has remained active since Saturday, with small eruptions keeping emergency workers and area residents on edge.
There were three small eruptions on Tuesday, each spewing ash around a kilometre into the sky, authorities said.
Indonesia sits on the Pacific Ring of Fire, where the meeting of continental plates causes high volcanic and seismic activity, and the country has nearly 130 active volcanoes.","eruption, toll, disaster, volcanic, small, volcano, death, agency, high, sky, eruptions, mud, 34, semeru, indonesia, rises, ash",natural calamities,geophysical event
