,date,location,news title,news source(url),content summary,keywords,class_name
0,02/2022,MUMBAI (REUTERS) ,Himalayan avalanche kills seven Indian soldiers near border with China,https://www.straitstimes.com/asia/himalayan-avalanche-kills-seven-indian-soldiers-near-border-with-china,"MUMBAI (REUTERS) - A Himalayan avalanche killed seven Indian soldiers in the northeastern state of Arunachal Pradesh near the China border, a defence ministry spokesman said on Tuesday (Feb 8).
The avalanche struck in the Kameng region on Sunday.
Bodies of all seven individuals have been recovered from the avalanche site,"" Lieutenant Colonel Harsh Wardhan Pande, a spokesman for the Ministry of Defence in the northeast, said in a statement on Tuesday.
The Kameng region is at an altitude of 14,500 feet and had seen heavy snowfall in the last few days, he said.
Arunachal shares a border with Tibet.","kills, avalanche, defence, kameng, china, soldiers, himalayan, indian, region, pradesh, seven, border, spokesman, ministry, near",natural calamities
1,02/2022,ZURICH (REUTERS) ,Eight killed in two days after third deadly avalanche hits Austria,https://www.straitstimes.com/world/europe/eight-killed-in-two-days-after-third-deadly-avalanche-hits-austria,"ZURICH (REUTERS) - One person was killed and four others injured in an avalanche in western Austria on Saturday (Feb 5), police said, a day after two other avalanches killed seven skiers as heavy snowfall followed by warmer weather made for unusually dangerous conditions.
Austrian broadcaster ORF said the person killed in Saturday's avalanche in the municipality of Schmirn, in the state of Tyrol, was a 58-year-old local man.
Another member of the group, a 43-year-old Swede, was able to phone for help and was rescued, police said.
Two Austrian skiers were killed in a third incident.
""After they could no longer be reached, relatives made an emergency call at around 9.40pm,"" police said in a statement.","person, avalanche, tyrol, killed, days, skiers, relatives, reached, austria, phone, austrian, hits, man, deadly",natural calamities
2,02/2022,VIENNA (REUTERS) ,Avalanche in Austria near Swiss border kills five,https://www.straitstimes.com/world/europe/avalanche-in-austria-near-swiss-border-kills-five,"VIENNA (REUTERS) - An avalanche in an area of Austria bordering Switzerland has killed five people on an unusually dangerous day in the Alps after heavy snowfall followed by warmer weather, spokespeople for rescue services said on Friday (Feb 4).
One further person caught in the deadly avalanche near the town of Spiss on the border with Switzerland suffered minor injuries, and rescue helicopters from Switzerland and Austria were deployed, he added.
It was not immediately clear what activity the avalanche victims in Spiss were involved in or where they were from, Ortler said.
Another supervisor at the control centre, Andreas Baur, later said the missing person had died.
The total number of people involved was six including the slightly injured person.","kills, avalanche, person, services, supervisor, control, spiss, rescue, swiss, austria, involved, border, switzerland, ortler, near",natural calamities
3,02/2022,NEW DELHI (REUTERS) ,Himalayan avalanche traps Indian Army patrol team near China border,https://www.straitstimes.com/asia/south-asia/himalayan-avalanche-traps-indian-army-patrol-team-near-china-border,"NEW DELHI (REUTERS) - A Himalayan avalanche trapped a patrol team of seven Indian Army personnel in the north-eastern state of Arunachal Pradesh near China on Sunday and they have yet to be rescued, a defence ministry official said on Monday (Feb 7).
""Search and rescue operations are currently underway,"" he said in a statement.
""Specialised teams have been airlifted to assist in rescue operations.""
After several border stand-offs in the past few years soured ties with bigger neighbour China, India has intensified patrolling in Arunachal Pradesh on the eastern Himalayas and also stepped up construction of roads and tunnels.
Arunachal shares a border with Tibet.","arunachal, avalanche, army, defence, team, china, rescue, pradesh, himalayan, indian, past, traps, border, patrol, ministry, himalayas, near",natural calamities
4,02/2021,SALT LAKE CITY (NYTIMES) ,"4 skiers killed in avalanche in Utah, officials say",https://www.straitstimes.com/world/united-states/skiers-killed-in-avalanche-in-utah-officials-say,"SALT LAKE CITY (NYTIMES) - Four back-country skiers were killed on Saturday (Feb 6) in an avalanche in Utah, police said.
It was the deadliest avalanche in the United States since May 2014, when six climbers were killed on Mount Rainier in Washington, according to the Colorado Avalanche Information Centre.
Four of the skiers dug themselves out of the snow and then dug up the bodies of the four who had been killed, Sgt Cutler said.
The Utah Avalanche Centre had warned earlier on Saturday of ""dangerous avalanche conditions"".
""What it shows is the widespread nature of the particular avalanche conditions that we have right now,"" he said.","avalanche, states, killed, skiers, saidthe, salt, canyon, say, officials, cutler, utah, survivors",natural calamities
5,04/2021,NEW DELHI (XINHUA) ,8 killed after glacial burst triggers avalanche in India's Uttarakhand,https://www.straitstimes.com/asia/south-asia/8-killed-after-glacial-burst-triggers-avalanche-in-indias-uttarakhand,"According to officials, 384 others, mostly belonging to India's Border Roads Organisation (BRO) and General Reserve Engineer Force (GREF), have been rescued safely.
The avalanche took place on Friday late afternoon during heavy snowfall in Chamoli district of Uttarakhand.
Rescue operations by army continue unabated,"" reads a statement issued by Indian army.
Officials said though rescue operations were launched immediately on Friday, it had to be temporarily halted during night hours owing to bad weather conditions.
In February, a similar disaster led to a massive avalanche followed by floods, killing at least 80 people in the area.","avalanche, officials, bro, glacial, uttarakhand384, rescue, killed, indian, operations, uttarakhand, burst, rescued, indias, triggers, xinhua, weather",natural calamities
6,01/2021,VIENNA (REUTERS) ,Dogs' barking prompts owners' rescue from Swiss avalanche,https://www.straitstimes.com/world/europe/dogs-barking-prompts-owners-rescue-from-swiss-avalanche,"VIENNA (REUTERS) - Two people caught in an avalanche in Switzerland were rescued after their dogs barked for help, attracting the attention of nearby snow-shoers who were able to dig them out, air ambulance service Rega said on Sunday (Jan 31).
""Their dogs, who were not buried by the masses of snow, drew attention to themselves by barking loudly,"" the statement said.
""The dogs attracted the attention of a group of snow-shoers who were some distance away in the same valley but had not witnessed the avalanche.""
Roughly 15-20 minutes after the avalanche, the group was at the scene, where one of the avalanche victims' hands was visible; the other person was buried entirely, Rega said.
Rega did not say how many dogs were involved or what breed they were.","dogs, avalanche, buried, snowshoers, group, witnessed, rescue, prompts, swiss, attention, owners, barking, valley, switzerland, rega",natural calamities
7,01/2021,FRANCE (AFP) ,'Miracle' escape for man trapped in Alps avalanche,https://www.straitstimes.com/world/europe/miracle-escape-for-man-trapped-in-alps-avalanche,"FRANCE (AFP) - A man out walking with his family in the French Alps has made a miraculous escape from an avalanche after spending more than two and a half hours trapped under snow, rescuers said.
The 50-year-old father was snowshoeing near the high-altitude Val d'Isere ski resort with his wife and two children on Thursday without anti-avalanche safety equipment.
""I think it's a miracle,"" Alexandre Grether from the PGHM rescue team told the France 3 local news channel, adding that the man was found 2.5 metres below the surface.
The chances of survival after more than 20 minutes in an avalanche are usually slim.
""He was protected by a tree, that's what prevented him from being crushed by all the ice that slid down.","minutes, avalanche, local, escape, snow, rescue, snowshoeing, miracle, man, alps, rescuers, hours, trapped, team",natural calamities
8,01/2020,"MUZAFFARABAD, PAKISTAN (REUTERS) ",Girl buried under Pakistan avalanche for 18 hours is found alive,https://www.straitstimes.com/asia/south-asia/girl-buried-under-pakistan-avalanche-for-18-hours-is-found-alive,"MUZAFFARABAD, PAKISTAN (REUTERS) - A 12-year-old girl was found alive on Wednesday (Jan 15) after being buried for 18 hours when an avalanche in Pakistan-controlled Kashmir engulfed the family house.
Samina Bibi recalled screaming and shouting for help as she lay trapped in a room under the snow.
For Samina's mother, Shahnaz Bibi, who lost a son and another daughter, the rescue was nothing short of a miracle.
After being pulled out of the snow earlier, Shahnaz said she and her brother, Irshad Ahmad, had given up hope of finding Samina alive.
""We didn't hear a rumble,"" Shahnaz said, recalling the moments before the avalanche buried the three-storey house where she and her family were sheltering with others from the village.","buried, avalanche, waited, pakistan, village, 18, family, hours, bibi, alive, shahnaz, muzaffarabad, girl",natural calamities
9,12/2019,VIENNA (REUTERS) ,"Rescuers comb Austrian, Swiss avalanches in case of victims",https://www.straitstimes.com/world/europe/rescuers-comb-austrian-swiss-avalanches-in-case-of-victims,"VIENNA (REUTERS) - Rescuers hunted for possible victims of three avalanches that hit the Austrian ski resort of Ankogel and one at the Swiss resort of Andermatt on Thursday (Dec 26), injuring at least two people.
After a large avalanche spilled onto the piste at Andermatt, two people were pulled from the snow and taken to Uri hospital with minor injuries, Swiss police said.
In Austria, three avalanches came down in Ankogel in the province of Carinthia, police said.
One happened outside the secured ski slope and buried two free riders, who were able to escape.
The avalanche warning level had also been at three on a scale of five, according to Carinthia's warning service.","avalanche, large, snow, warning, swiss, victims, avalanches, case, ski, austrian, spokesman, comb, slope, scale, rescuers",natural calamities
