,date,location,news title,news source(url),content summary,keywords,class_name,new_class_name
0,Jan-22,SINGAPORE ,"Dengue-infected mosquitoes take more bites, increasing transmission chances: Study",https://www.straitstimes.com/singapore/health/dengue-infected-mosquitoes-take-more-bites-increasing-transmission-chances-study,"SINGAPORE - A dengue-infected mosquito bites more times to successfully draw blood, which triples the opportunity for the virus to be transmitted, a study has found.
They noted that the dengue virus also leads to mosquitoes becoming more attracted to humans.
Dengue-infected mosquitoes will fly faster to the host and more mosquitoes will land on the skin.
This increases the chance for dengue-infected mosquitoes to bite, said Associate Professor Ashley St. John, from Duke-NUS' Emerging Infectious Diseases programme.
With the dengue virus affecting more than 400 million people each year, killing around 40,000 of them, scientists have been working towards more effective disease control strategies.","bites, increasing, blood, dengue, mosquitoes, transmitted, virus, dengueinfected, transmission, mosquito, study, understand, chances, bite",Human health crises,pandemic
1,Jan-22,SINGAPORE ,"Dengue could surge in coming months, NEA warns as cases rose to 183 last week",https://www.straitstimes.com/singapore/community/dengue-could-surge-in-coming-months-warns-nea-as-cases-rise-to-183-last-week,"SINGAPORE - The uptick in dengue cases continued for a fifth week, with 183 cases reported last week.
This is because the previously uncommon dengue virus serotype 3 (DenV-3) - which people here have less immunity against - has been circulating, said NEA.
There were 147 dengue cases reported between Jan 9 and 15, and 105 the week before that.
The NEA said it expects dengue case numbers this year to exceed last year's 5,258 reported cases.
Cross-protective immunity to dengue virus serotypes is the protection against one dengue virus serotype due to pre-existing immunity developed from past exposure to a different serotype.","rose, dengue, coming, population, virus, surge, nea, week, singapore, reported, denv3, immunity, warns, cases, 183, serotype, outbreak, months",Human health crises,pandemic
2,Jan-22,SINGAPORE ,SingHealth researchers conducting trials on drug to treat dengue,https://www.straitstimes.com/singapore/health/singhealth-researchers-conducting-trials-on-drug-to-treat-dengue,"SINGAPORE - Researchers here are conducting clinical trials on a first-of-its-kind drug which, if successful, could treat dengue.
Professor Jenny Low, deputy clinical and scientific director at SingHealth Investigational Medicine Unit (IMU), which is running the trials, told The Straits Times that there is currently no drug to treat dengue specifically.
Instead, treatment focuses on supporting patients and treating the symptoms of dengue, such as fever and pain.
The new experimental drug works by preventing two proteins from the dengue virus - known as NS3 and NS4B - from interacting.
In rare cases, dengue may progress to dengue haemorrhagic fever or dengue shock syndrome, which can lead to death.","symptoms, dengue, conducting, singhealth, virus, drug, works, low, given, trials, treatment, researchers, treat, fever",Human health crises,pandemic
3,Oct-21,SINGAPORE ,Dengue cases expected to rise at year-end as Aedes mosquito population increases,https://www.straitstimes.com/singapore/health/dengue-cases-expected-to-rise-at-year-end-as-aedes-mosquito-population-increases,"SINGAPORE - Dengue cases in Singapore are expected to increase at the end of the year as the Aedes mosquito population rises, the National Environment Agency (NEA) warned on Tuesday (Oct 26).
More than 4,500 dengue cases have been reported this year and there are currently 12 active clusters in Singapore.
It noted the population of the Aedes aegypti mosquito - which spreads the dengue virus - increased by about 22 per cent in September this year, compared with August.
The mosquito population is high in some areas, including Geylang Bahru, Jalan Berseh, Kelantan Lane, Kelantan Road, Jelapang Road and Woodlands Street 81.
Since 2016, the predominant dengue virus serotype in Singapore was serotype 2 (DENV-2).","public, population, dengue, road, virus, expected, rise, singapore, mosquito, yearend, aedes, cases, serotype, increases",Human health crises,pandemic
4,Oct-21,TOKYO (AFP) ,'An amazing ride': Study offers dengue treatment hope,https://www.straitstimes.com/world/europe/an-amazing-ride-study-offers-dengue-treatment-hope,"And it appears to be effective whether taken protectively before infection or as a treatment after the virus is contracted.
There is no doubt about the threat posed by the mosquito-borne dengue virus, which is estimated to infect at least 98 million people a year and is endemic in 128 countries worldwide.
It can cause intense flu-like symptoms, and sometimes develops into severe dengue which can be fatal.
And because there are four different strains of the virus, infection with one doesn't protect against another, and catching dengue a second time is often more serious.
No treatment exists so far, with efforts focusing instead on reducing transmission - including a programme that infects mosquitoes with a disease-resistant bacteria.","amazing, symptoms, effective, dengue, virus, countries, ride, study, university, infection, treatment, research, hope, offers, neyts",Human health crises,pandemic
5,Sep-21,DHAKA (THE DAILY STAR/ASIA NEWS NETWORK) ,Are we headed towards another dengue crisis?: Daily Star contributor,https://www.straitstimes.com/asia/south-asia/are-we-headed-towards-another-dengue-crisis-daily-star-contributor,"By the end of July, the number of dengue cases climbed to 2,098 in the country.
For instance, of the 307 cases reported between September 14 and 15, about 20.52 per cent were cases reported outside the capital.
Did the 2020 outbreak of Covid-19 pandemic wash away all the memories of the horrid dengue crisis that the country suffered in 2019?
While the monsoon months typically see bouts of dengue infections anyway, the current dengue situation could also have been handled better, with preparations based on the experts' observation that dengue outbreaks seem to be worse every other year.
This study was presented by the centre to both the city corporations in May 2019.","headed, daily, dengue, crisis, contributor, insecticides, corporations, dhaka, reported, city, country, infections, cases, star, cent",Human health crises,pandemic
6,Oct-21,SINGAPORE ,"S'pore at risk of heatwaves, more dengue outbreaks as climate change worsens health woes: Report",https://www.straitstimes.com/singapore/environment/spore-at-risk-of-heatwaves-and-more-dengue-outbreaks-as-climate-change-worsens,"Over 90 researchers, including two from Singapore, from various institutions and United Nations agencies contributed to the new Lancet Countdown report.
They tracked 44 indicators of health impacts that are directly linked to climate change, from the lethality of extreme weather events to food security scares.
The report also stressed that key health trends are getting worse and exacerbating existing health and social inequities, especially in poorer nations.
""The Lancet Countdown report shows that many countries are under-prepared for the health effects of climate change.""
The researchers are among other healthcare professionals who are pinning their hopes on the United Nations' climate change conference in Glasgow that will begin in 10 days.","dengue, lee, health, nations, countries, worsens, spore, woes, risk, report, singapore, change, heatwaves, researchers, outbreaks, heat, climate",Human health crises,pandemic
7,Oct-21,"We thank Mr Kwek Geok Siong for his feedback (Stricter action needed to prevent mosquito breeding in unoccupied homes, Sept 23).

The National Environment Agency (NEA) takes a data",Forum: Order can be issued to owners to take measures to curb mosquito breeding,https://www.straitstimes.com/opinion/forum/forum-order-can-be-issued-to-owners-to-take-measures-to-curb-mosquito-breeding,"We thank Mr Kwek Geok Siong for his feedback (Stricter action needed to prevent mosquito breeding in unoccupied homes, Sept 23).
The National Environment Agency (NEA) takes a data-driven and integrated vector management approach to keep dengue cases low in Singapore.
Where necessary, NEA can issue an order to the premises owner to undertake measures to make the premises unfavourable to mosquito breeding.
The penalty for failure to comply with such an order is heavier than for the typical mosquito breeding offence.
We seek the cooperation of all residents and stakeholders to do the Mozzie Wipeout, to remove any stagnant water in their immediate surroundings and destroy any mosquito breeding habitats found.","dengue, unable, vector, breeding, nea, mosquito, owners, issued, order, forum, understand, officers, residents, curb, premises, measures",Human health crises,pandemic
8,Jul-21,SINGAPORE ,88% fewer dengue cases in selected study sites under Project Wolbachia: NEA,https://www.straitstimes.com/singapore/health/88-per-cent-fewer-dengue-cases-in-selected-study-sites-under-project-wolbachia-nea,"SINGAPORE - Project Wolbachia - Singapore's weapon against dengue fever - has managed to suppress the Aedes aegypti mosquito population by up to 98 per cent, with 88 per cent fewer dengue cases, at selected study sites.
This can help in suppressing the mosquito population and reduce the number of dengue cases.
NEA noted that the positive outcome of the field studies in Tampines and Yishun had shown a 98 per cent suppression of dengue vector populations at the core of the study sites.
In addition, the core areas within the study sites where mosquitoes had been released for at least a year had seen up to 88 per cent fewer dengue cases than in areas without any mosquito releases.
NEA noted that some of these areas were adjacent to non-release areas with persistently high Aedes aegypti populations or existing large dengue clusters, which contributed to dengue transmissions within the study sites from September to December last year.","dengue, mosquitoes, population, selected, sites, nea, areas, wolbachia, mosquito, study, aegypti, tampines, 88, project, fewer, aedes, cases",Human health crises,pandemic
9,Sep-21,"FIROZABAD, Uttar Pradesh state ","'This is like corona for us,' say Indians in villages hit by dengue outbreak",https://www.straitstimes.com/asia/south-asia/this-is-like-corona-for-us-say-indians-in-villages-hit-by-dengue-outbreak,"FIROZABAD, Uttar Pradesh state - Sixteen-year-old Kamna Yadav dreamt of becoming the top bureaucrat in her district one day.
This was on Dharmendra Singh's mind as he watched his daughter fight for her life earlier this month (September).","life, sixteenyearold, uttar, dengue, villages, watched, month, corona, pradesh, mind, singhs, hit, state, say, yadav, outbreak, indians",Human health crises,pandemic
10,Jun-21,SINGAPORE ,Rise in S'pore dengue cases expected as mosquito population grows by 30%,https://www.straitstimes.com/singapore/rise-in-spore-dengue-cases-expected-as-mosquito-population-grows-by-30-per-cent,"SINGAPORE - Dengue cases here are expected to increase, as the population of the Aedes aegypti mosquito - which transmits dengue and other viruses - has grown by about 30 per cent in April, compared with January, said the National Environment Agency on Tuesday (June 1).
Over 2,700 dengue cases have been reported since the start of this year and there are currently 22 active dengue clusters.
There were 35,315 reported dengue cases last year, with 28 deaths.
In addition, more than half of the positive dengue samples since February were of the less common dengue serotypes 3 (DENV-3) and 4 (DENV-4).
However, it added that it is too early to say that there has been a switch of dominant dengue virus serotype in Singapore.","street, grows, population, dengue, virus, period, nea, spore, rise, expected, mosquito, singapore, serotypes, cases, 30",Human health crises,pandemic
11,Jun-21,JAKARTA (AFP) ,Indonesia's Wolbachia study to control dengue shows drop in infections,https://www.straitstimes.com/asia/se-asia/indonesia-dengue-fever-study-offers-hope-in-disease-battle,"The study was conducted by the World Mosquito Program at Monash University in Australia and Indonesia's Gadjah Mada University.
Wolbachia suppresses the ability of the virus to replicate in dengue-carrying Aedes aegypti mosquitoes which cause infections when they bite humans.
""This is the result we've been waiting for,"" said World Mosquito Program director Scott O'Neill.
""We have evidence our Wolbachia method is safe, sustainable and dramatically reduces incidence of dengue.
Studies have also shown the Wolbachia method can be effective in preventing the transmission of Zika, chikungunya, yellow fever and other mosquito-borne illnesses, researchers said.","world, control, dengue, mosquitoes, shows, wolbachia, mosquito, study, drop, indonesias, infections, method, researchers, disease, fever",Human health crises,pandemic
12,Apr-21,SINGAPORE ,NEA urges continued vigilance against dengue even as situation in Singapore appears to be easing,https://www.straitstimes.com/singapore/environment/nea-urges-continued-vigilance-against-dengue-despite-what-appears-to-be-an,"More than 2,000 dengue cases have been reported in Singapore so far this year, NEA said on Thursday (April 29) in a statement on the launch of the national dengue prevention campaign.
Another is the spread of dengue virus serotypes that were previously uncommon in the Republic.
Getting infected with any of the four dengue serotypes induces immunity to that particular one, but does not confer long-term protection against the other serotypes.
Since 2016, the predominant dengue virus serotype in Singapore was serotype 2 (DenV-2), NEA said.
The launch of the annual dengue prevention campaign ahead of the traditional mid-year peak dengue season aims to rally the community to deal with the dengue threat seriously, NEA said.","easing, dengue, prevention, virus, nea, urges, singapore, mosquito, situation, saidthe, continued, serotypes, cases, vigilance, appears, months",Human health crises,pandemic
13,Sep-21,I am writing to seek a solution to a mosquito,Forum: Stricter action needed to prevent mosquito breeding in unoccupied homes,https://www.straitstimes.com/opinion/forum/forum-stricter-action-needed-to-prevent-mosquito-breeding-in-unoccupied-homes,"Since the water is discharged only once every two or three months, the chances of mosquito breeding are extremely high.
To its credit, the National Environment Agency (NEA) has been responsive to neighbours' complaints and contacts the owner to act.
So, when NEA notifies the owner, intense cleaning is done over the days before the agency's officers visit the premises.
Unsurprisingly, these inspections have not found any evidence of mosquito breeding.
This is definitely better than carrying out inspections after giving owners ample time to get rid of any incriminating evidence.","inspections, needed, regular, rainwater, breeding, pool, nea, stricter, owner, mosquito, unoccupied, forum, owners, prevent, water, action, homes",Human health crises,pandemic
14,Aug-21,NEW YORK (NYTIMES) ,What if you could become invisible to mosquitoes?,https://www.straitstimes.com/world/united-states/what-if-you-could-become-invisible-to-mosquitoes,"NEW YORK (NYTIMES) - If you could have just one superpower, flight or invisibility, which would you choose?
And would your answer change if you could become invisible to mosquitoes?
Sure, you might never soar among eagles or brush your cheek against a wisp of cloud.
But you would also no longer flee from swarming clouds of mosquitoes, and you would be protected from the deadly diseases that the insects spread.","nytimes, wisp, mosquitoes, invisible, spread, protected, swarming, mosquitoessure, superpower, soar, york",Human health crises,pandemic
15,Jul-21,"A National Environment Agency (NEA) officer visited my home in Lower Bukit Timah Road, in a dengue red zone with 10 cases detected, on June 28.

I showed him all the possible water receptacles, such as potted plants, and was quite confident there was no mosquito breeding as I was conscious of the danger.

But he found larvae in water collected in a plate placed below a pot.

I was rather concerned about the finding and possible consequences.

But the officer's communication and counselling put me at ease. He told me not to worry about a possible penalty, and said it was more important to determine the source of dengue.

This officer was well",Bouquets: NEA officer put resident's mind at ease during dengue check,https://www.straitstimes.com/opinion/forum/bouquets-nea-officer-put-residents-mind-at-ease-during-dengue-check,"A National Environment Agency (NEA) officer visited my home in Lower Bukit Timah Road, in a dengue red zone with 10 cases detected, on June 28.
I showed him all the possible water receptacles, such as potted plants, and was quite confident there was no mosquito breeding as I was conscious of the danger.
But he found larvae in water collected in a plate placed below a pot.
He told me not to worry about a possible penalty, and said it was more important to determine the source of dengue.
This officer was well-trained, experienced and compassionate with seniors.","check, told, bouquets, dengue, source, zone, nea, mind, visited, possible, timah, officer, ease, welltrained, residents, water, worry",Human health crises,pandemic
16,Jan-21,"The danger from dengue is far from over, even as the number of cases in Singapore has fallen, the National Environment Agency (NEA) warned yesterday.

There were 156 cases last week, compared with 236 infections a week in mid",Fewer cases but dengue still a danger,https://www.straitstimes.com/singapore/health/fewer-cases-but-dengue-still-a-danger,"The danger from dengue is far from over, even as the number of cases in Singapore has fallen, the National Environment Agency (NEA) warned yesterday.
""This could result in a continued high risk of dengue transmission given the current moderate number of dengue cases and the relatively high Aedes aegypti mosquito population.""
Last year, the NEA carried out about one million inspections for mosquito breeding and found 23,400 breeding habitats.
It took 8,100 enforcement actions against owners of premises for mosquito breeding and issued about 430 summonses and 37 stop-work orders to construction sites.
It promises to ""adopt a high tempo of preventive inspections to remove mosquito breeding habitats, and further reduce the risk of dengue transmission"".","number, dengue, population, breeding, nea, danger, mosquito, high, denv3, fewer, infections, cases",Human health crises,pandemic
17,Jan-21,SINGAPORE ,Dengue still a danger as Aedes mosquito population in Singapore grows even as cases fall,https://www.straitstimes.com/singapore/health/dengue-still-a-danger-as-aedes-mosquito-population-in-singapore-grows-even-as-cases,"SINGAPORE - The danger from dengue is far from over, even as the number of cases here has fallen, the National Environment Agency (NEA) warned on Monday (Jan 25).
However, the population of the Aedes aegypti mosquito, the vector that spreads dengue, has increased by 8 per cent last month.
The NEA said on Monday: ""If left unchecked, the current high Aedes aegypti mosquito population, coupled with the not insignificant number of dengue cases currently and the sizeable proportion of residents still working from home, would add to the dengue risk this year.""
""This could result in a continued high risk of dengue transmission given the current moderate number of dengue cases and the relatively high Aedes aegypti mosquito population.""
DenV-4 was found in the Bedok North Street 3 cluster of 46 cases and the Gangsa Road cluster of 21 cases.","fall, number, grows, population, dengue, road, nea, singapore, mosquito, danger, high, denv3, aedes, infections, cases",Human health crises,pandemic
