,date,location,news title,news source(url),content summary,keywords,class_name
0,Feb-22,"I recently terminated a StarHub TV subscription, and noticed that an excess deduction was made on my credit card.

I contacted StarHub's customer service via Facebook Messenger and e",Forum: Company insists on credit card details being sent over unsafe platforms,https://www.straitstimes.com/opinion/forum/forum-company-insists-on-credit-card-details-being-sent-over-unsafe-platforms,"I recently terminated a StarHub TV subscription, and noticed that an excess deduction was made on my credit card.
StarHub asked for my full credit card details including the expiry date to refund the money.
As Facebook Messenger and e-mail are not safe platforms to exchange credit card information, I declined to do so.
StarHub has insisted that it will refund me only after I provide the credit card details, and refuses to use other means such as cheque or PayNow.
I had provided my credit card details on StarHub's app to allow it to make deductions for monthly bill payment.","refund, excess, credit, messenger, card, unsafe, sent, recently, forum, platforms, company, starhub, insists, starhubs, facebook, details",Food safety/contamination
1,Dec-21,KUALA LUMPUR ,KL condo blocks deemed unsafe for occupancy after landslide,https://www.straitstimes.com/asia/se-asia/kl-condo-blocks-deemed-unsafe-for-occupancy-after-landslide,"The 25-year-old said they left on Dec 20 after seeing the extent of the floods in Selangor.
“My father was the first to notice the soil movement.
However, the entire area was declared unsafe on Tuesday (Dec 28), forcing all remaining residents in the 14-block apartment complex to evacuate immediately.
There are signs of soil movement that could further affect the structure.
According to Sentul police chief Beh Eng Lai, works to divert excess water from the slope had been carried out.","risk, kl, condo, dec, hundreds, floods, soil, movement, works, yeoh, water, residents, lumpur, evacuate, apartment, landslide, expected, kuala, block",Food safety/contamination
2,Dec-21,CAPE TOWN (BLOOMBERG) ,A quarter of unvaccinated S. Africans insist Covid-19 shots unsafe,https://www.straitstimes.com/world/a-quarter-of-unvaccinated-s-africans-insist-covid-19-shots-unsafe,"CAPE TOWN (BLOOMBERG) - A quarter of South Africans who haven't been vaccinated against Covid-19 say they refuse to get a shot because they believe it will harm or kill them, according to a study by the University of Cape Town.
Africa's most developed economy has fully inoculated just over 44 per cent of its adult population over a seven-month period even as the Omicron variant has fuelled record case numbers across the country since November.
Interviews were conducted with 1,940 unvaccinated people across the country.
As many as one in four will continue to refuse, the research found, mainly because of fears about the safety of the doses.
Most of the interviews were carried out since Omicron was announced as a variant of concern last month.","shot, refuse, country, variant, s, unsafe, quarter, cent, omicron, vaccinated, south, research, insist, cape, unvaccinated, covid19, africans, shots",Food safety/contamination
3,Nov-21,"If you are not locking your phone, it is equivalent to leaving your physical IC in the open, free for all to see. And for those who think that it is unsafe, then just don't download the Singpass app. Problem solved.

Dennis Cheng

I find it strange that we are unable to log out, hence anyone looking at my phone can see those details.

Lisa Hong","On Facebook: Is it unsafe to have one's name, photo, and partial IC number displayed prominently in the digital IC on the Singpass app home page?",https://www.straitstimes.com/opinion/forum/on-facebook-is-it-unsafe-to-have-ones-name-photo-and-partial-ic-number-displayed,"And for those who think that it is unsafe, then just don't download the Singpass app.
Lisa Hong-Ping KongPlease give us the option to hide or show the digital IC.
Ah DuanAll phones can be locked with passcode, thumbprint or facial recognition, so it should be safe to have all those features shown on the Singpass app home page.
Cai Chen(Having the digital IC) in one's phone is much safer than in one's wallet.
A lost phone is almost impossible to unlock, and only the legitimate owner can easily restore the profiles on a new phone.","lost, ic, singpass, displayed, number, wallet, partial, prominently, digital, unsafe, unlock, free, page, phone, ones, facebook, app",Food safety/contamination
4,Aug-21,SINGAPORE ,"Muslim nurses can wear tudung at work in most settings, but may not be allowed to do so if unsafe: MOH",https://www.straitstimes.com/singapore/politics/nurses-can-wear-tudung-in-most-settings-but-may-not-be-allowed-to-do-so-if-unsafe,"SINGAPORE - Muslim nurses who choose to don the tudung at work from November can wear the headgear in most healthcare settings, but may not be allowed to do so where there is risk to their safety, such as when patients behave unpredictably.
For most healthcare settings, it will be acceptable for staff to don a personal tudung that is tucked into the work attire to prevent the fabric from coming into contact with patients, said MOH, in response to queries from The Straits Times.
There will be clinical and implementation guidelines for the tudung.
MOH said that the clinical guidelines were developed in consultation with infectious disease experts, and were based on reviewed literature and practices overseas.
""The clinical guidelines prescribe a risk-gradated approach to the wearing of the tudung based on the clinical setting,"" it said.","wear, wearing, worn, work, healthcare, unsafe, nurses, safety, muslim, consultation, moh, guidelines, staff, settings, allowed, clinical, tudung",Food safety/contamination
5,Apr-21,"In 2010, Transient Workers Count Too (TWC2) issued a plea for workers to be transported in minivans or buses with proper seating and safety belts rather than in the back of lorries.

More than a decade has passed, yet this unsafe transportation practice continues.

Migrant workers rarely have a choice in the form of transportation they use, because their dormitories and their worksites are not well served by public transport systems, and also because the employers are expected to provide dedicated transport to lessen exposure of the workers to the public.

We understand that vehicles are costly and that employers tend to use the same lorries to transport both equipment and workers.

But considering migrant workers build our offices, homes, highways and physical infrastructure, they should be treated as better than human cargo.

We now repeat the plea that the fundamentals and enforcement of safety measures be recognised, to ensure the well",Forum: Unsafe mode of transportation for migrant workers has continued for years,https://www.straitstimes.com/opinion/forum/forum-unsafe-mode-of-transportation-for-migrant-workers-has-continued-for-years,"In 2010, Transient Workers Count Too (TWC2) issued a plea for workers to be transported in minivans or buses with proper seating and safety belts rather than in the back of lorries.
We understand that vehicles are costly and that employers tend to use the same lorries to transport both equipment and workers.
But considering migrant workers build our offices, homes, highways and physical infrastructure, they should be treated as better than human cargo.
We now repeat the plea that the fundamentals and enforcement of safety measures be recognised, to ensure the well-being of migrant workers at work and when they are commuting to and from work.
Deborah D. FordycePresidentTransient Workers Count Too (TWC2)","twc2, migrant, transportation, continued, transport, unsafe, count, workers, forum, safety, plea, employers, worksites, mode",Food safety/contamination
6,Apr-21,LOS ANGELES (AFP) ,"Golf: Tiger Woods crash due to 'unsafe' driving speed, at nearly double 70kmh limit",https://www.straitstimes.com/sport/golf/golf-tiger-woods-crash-due-to-unsafe-driving-speed-at-nearly-double-70kmh-limit,"LOS ANGELES (AFP) - Tiger Woods was driving at nearly double the 45mph (70kmh) speed limit when he crashed in California in February, the Los Angeles County's sheriff said on Wednesday (April 7).
""The primary causal factor for this traffic collision was driving at a speed unsafe for the road conditions and the inability to negotiate the curve of the roadway,"" said Alex Villanueva.
There were ""no signs of impairment,"" or evidence of any ""distracted driving,"" and Woods voluntarily allowed the results of the investigation to be made public, officials said.
Woods, 45, may have inadvertently hit the car's accelerator while attempting to press the brakes upon losing control, Captain James Powers said, although Woods himself does not recall the incident.
Investigators did not check Woods' phone or test his bloodwork because there was ""no evidence of any impairment or intoxication,"" Powers told a press conference.","tiger, woods, los, driving, powers, nearly, speed, crash, unsafe, press, right, road, golf, major, limit, shattered, double",Food safety/contamination
7,Jun-21,BRUSSELS (REUTERS) ,EU Commission sues Italy over unsafe drinking water,https://www.straitstimes.com/world/europe/eu-commission-sues-italy-over-unsafe-drinking-water,"BRUSSELS (REUTERS) - The European Commission took Italy to the EU's top court on Wednesday (June 9) over the country's failure to provide clean drinking water to its citizens.
The commission said it was suing Italy because in some areas, the levels of arsenic and fluoride in drinking water have long exceeded the maximum values allowed by EU law.
""This exceedance can harm human health, in particular the health of children.
Six areas continue to exceed safe levels of arsenic in drinking water: Bagnoregio, Civitella d'Agliano, Fabrica di Roma, Farnese, Ronciglione and Tuscania.
The areas of Bagnoregio and Fabrica di Roma have also exceeded safe levels of fluoride, the commission said.","water, safe, sues, italy, unsafe, areas, fluoride, commission, drinking, levels, health, eu, roma",Food safety/contamination
8,Mar-21,SINGAPORE ,"46 workers lost hands, fingers in accidents last year, mainly due to unsafe machinery use",https://www.straitstimes.com/singapore/46-workers-lost-hands-fingers-in-accidents-last-year-mainly-due-to-unsafe-machinery-use,"SINGAPORE - Forty-six workers lost their hands or fingers in amputation accidents last year, mainly due to the unsafe use of machinery.
The campaign, an initiative by the Workplace Safety and Health Council, focuses on raising awareness on machinery safety and practices to avoid hand and finger injuries.
Mr Zaqy said that there were 1,756 injuries due to machinery incidents last year, down from 2,262 in 2019.
The campaign is held in collaboration with the Singapore Manufacturing Federation.
Mr Zaqy called on more employers to take proactive steps to ensure their workers' safety.","mainly, lost, workplace, manufacturing, fingers, unsafe, workers, safety, machinery, injuries, accidents, singapore, hands, zaqy, 46",Food safety/contamination
9,May-21,SINGAPORE ,Ikea recalls some crockery items after reports they're unsafe with hot food,https://www.straitstimes.com/singapore/consumer/ikea-recalls-some-of-its-crockery-items-after-reports-they-are-unsafe-with-hot,"SINGAPORE - Ikea is recalling some of its plates, bowls and mugs because of safety concerns.
In a press release on Tuesday (May 18), the Swedish furniture chain said the Heroisk and Talrika plates, bowls and mugs can break when used with hot food and potentially cause burns.
It had received reports of these products breaking.
Despite this, we have received reports of the products breaking.
Customers who have bought these products are urged to stop using them and contact Ikea for a full refund.","products, used, recalls, reports, unsafe, food, crockery, mugs, hot, plates, using, items, theyre, urged, ikea, received, bowls",Food safety/contamination
