,date,location,news title,news source(url),content summary,keywords,class_name
0,01/2022,CHICAGO (REUTERS) ,"US finds more avian flu cases in wild birds, identifies strain",https://www.straitstimes.com/world/united-states/us-finds-more-avian-flu-cases-in-wild-birds-identifies-strain,"CHICAGO (REUTERS) - The US Department of Agriculture reported two more cases of highly pathogenic avian flu in wild birds on Tuesday (Jan 18), raising risks for potential infections in poultry.
That strain has caused a wave of outbreaks of bird flu in poultry across Europe and Asia.
Wild birds can transmit avian flu to each other or to poultry through direct contact and through their feathers or feces.
Prof Cardona said poultry producers need to make sure the virus cannot enter their barns.
""Poultry producers are going to be busy this spring,"" she said.","reported, wild, usda, cases, producers, strain, finds, birds, avian, health, identifies, flu, north, poultry",Pest and disease outbreaks
1,01/2022,CHICAGO (REUTERS) ,"US finds highly pathogenic bird flu in wild duck, first case since 2016",https://www.straitstimes.com/world/united-states/us-finds-highly-pathogenic-bird-flu-in-wild-duck-first-case-since-2016,"CHICAGO (REUTERS) - The US Department of Agriculture on Friday (Jan 14) confirmed the first case of a highly pathogenic type of avian influenza in a wild bird since 2016 in South Carolina.
The virus, Eurasian H5 avian influenza, was found in a wild duck that was hunted in Colleton County, in the southern part of South Carolina, officials said.
One case of the H7N3 strain of highly pathogenic avian influenza (HPAI) was found in a commercial turkey flock in South Carolina in 2020.
Wild birds can carry avian flu without showing symptoms and transmit it to poultry through their feathers or faeces.
In 2015, an outbreak of avian flu led to the deaths of about 50 million US chickens and turkeys.","wild, south, eurasian, case, influenza, h5, bird, pathogenic, 2016, highly, finds, avian, flu, duck, poultry",Pest and disease outbreaks
2,02/2021,MOSCOW (AFP) ,"Russia detects first case of H5N8 avian flu in humans, has alerted WHO",https://www.straitstimes.com/world/europe/russia-says-detected-first-case-of-h5n8-avian-flu-in-humans-has-alerted-who,"MOSCOW (AFP) - Russia said on Saturday (Feb 20) that its scientists had detected the world's first case of transmission of the H5N8 strain of avian flu from birds to humans and had alerted the World Health Organisation (WHO).
""Information about the world's first case of transmission of the avian flu (H5N8) to humans has already been sent to the World Health Organisation,"" Popova said.
While the highly contagious strain H5N8 is lethal for birds, it had never before been reported to have spread to humans.
The WHO confirmed on Saturday that it had been notified by Russia about the development.
WHO stressed that the Russian workers were ""asymptomatic"" and no onward human-to-human transmission had been reported.","detects, transmission, case, world, humans, russia, workers, popova, alerted, virus, birds, h5n8, health, avian, flu",Pest and disease outbreaks
3,02/2021,"MOSCOW • Russia said its scientists had detected the world's first case of transmission of the H5N8 strain of avian flu from birds to humans and had alerted the World Health Organisation (WHO).

In televised remarks on Saturday, the head of Russia's health watchdog Rospotrebnadzor, Ms Anna Popova, said scientists at the Vektor laboratory had isolated the strain's genetic material from seven workers at a poultry farm in southern Russia, where an outbreak was recorded among the birds in December.

The workers did not suffer any serious health consequences, she added. They are believed to have caught the virus from poultry on the farm.

""Information about the world's first case of transmission of the avian flu (H5N8) to humans has already been sent to the World Health Organisation,"" she said.

There are different sub",H5N8 bird flu found in humans for first time,https://www.straitstimes.com/world/h5n8-bird-flu-found-in-humans-for-first-time,"MOSCOW • Russia said its scientists had detected the world's first case of transmission of the H5N8 strain of avian flu from birds to humans and had alerted the World Health Organisation (WHO).
""Information about the world's first case of transmission of the avian flu (H5N8) to humans has already been sent to the World Health Organisation,"" she said.
While the highly contagious strain H5N8 is lethal for birds, it had never before been reported to have spread to humans.
Ms Popova praised ""the important scientific discovery"", saying ""time will tell"" if the virus can further mutate.
Avian flu has raged in several European nations including France, where hundreds of thousands of birds have been culled to stop the infection.","world, humans, bird, russia, worlds, workers, virus, birds, h5n8, health, avian, flu",Pest and disease outbreaks
4,11/2021,TOKYO (REUTERS) ,"Japan reports first bird flu outbreak of season, culls 143,000 chickens",https://www.straitstimes.com/asia/east-asia/japan-reports-first-bird-flu-outbreak-of-season-culls-143000-chickens,"TOKYO (REUTERS) - Japan has detected its first outbreak of bird flu for the 2021 winter season, with confirmation of a case of ""highly pathogenic avian influenza"" at a poultry farm in the northeast of the country, the agriculture ministry said on Wednesday (Nov 10).
""Under the current situation in Japan, we do not believe that there is any possibility of avian influenza being transmitted to humans through the consumption of chicken meat or eggs,"" the ministry said.
But an increase in the number of people in China getting infected from bird flu this year is turning into a source of concern among epidemiological experts, especially as the world slowly recovers from the Covid-19 pandemic.
Last winter, Japan had its worst season of winter flu on farms yet, with more than 3 million chickens culled and a quarter of the country's prefectures affected.
Japan has an egg-laying flock of around 185 million hens and a broiler population of 138 million, according to the ministry of agriculture.","season, culls, chickens, influenza, world, bird, outbreak, reports, winter, japan, 143000, million, ministry, avian, flu",Pest and disease outbreaks
5,10/2021,BEIJING (REUTERS) ,Rise in human bird flu cases in China shows risk of fast-changing variants,https://www.straitstimes.com/asia/east-asia/rise-in-human-bird-flu-cases-in-china-shows-risk-of-fast-changing-variants,"""The increase in human cases in China this year is of concern.
While human H5N6 cases have been reported, no outbreaks of H5N6 have been reported in poultry in China since February 2020.
The Chinese Centre for Disease Control and Prevention (CDC) could not be reached for comment on the rise in H5N6 human cases.
Avian influenza viruses constantly circulate in domestic and wild birds, but rarely infect people.
That suggests the latest H5N6 infections in China may be a new variant.","reported, viruses, influenza, shows, bird, fastchanging, cases, human, risk, china, h5n6, virus, variants, poultry, infections, rise, flu",Pest and disease outbreaks
6,12/2021,LONDON (BLOOMBERG) ,"Bird flu is raging, adding to the risks for food inflation",https://www.straitstimes.com/world/europe/bird-flu-is-raging-adding-to-the-risks-for-food-inflation,"LONDON (BLOOMBERG) - The world's poultry farmers are battling another grim spell of bird-flu cases, risking higher chicken prices and fewer free-range eggs.
""It's an additional factor that will impact food-price inflation,"" said Mr Mulder, a global poultry specialist.
Poultry production is largely adequate to meet global demand, but shipping hurdles and flu outbreaks in Europe and Asia are adding to supply challenges, the UN's food agency said last month.
But the risks could weigh on farmer sentiment and discourage expansion, Mr Mulder said.
Europe has ""tight supply and high prices"", Mr Mulder said.","inflation, production, food, prices, world, risks, bird, supply, mr, raging, birds, adding, poultry, europe, flu, chicken, mulder",Pest and disease outbreaks
7,01/2022,PARIS (REUTERS) ,"Wave of bird flu in Asia, Europe has greater risk of spreading to humans: Official",https://www.straitstimes.com/world/europe/wave-of-bird-flu-in-asia-europe-has-greater-risk-of-spreading-to-humans-official,"PARIS (REUTERS) - A wave of bird flu in Asia and Europe has a greater risk of spreading to humans because of a high number of variants, the World Organisation for Animal Health (OIE) said.
Fifteen countries had reported outbreaks of bird flu in poultry between October and the end of December, mostly the H5N1 strain.
H5N1 is one of the few bird flu strains that has passed to humans.
Dr Eloit stressed, however, that most countries had learned to contain outbreaks and transmissions to humans would be sporadic as bird flu is usually passed through close contact.
""If there are one, two or three humans infected it is worrying but it is not necessary to cry wolf too quickly about the risks of extension.","greater, outbreaks, asia, wave, spread, humans, bird, official, variants, risk, oie, strain, europe, spreading, infected, flu",Pest and disease outbreaks
8,12/2021,UNITED NATIONS (XINHUA) ,UN chief calls for global solidarity to stop infectious diseases,https://www.straitstimes.com/world/united-states/un-chief-calls-for-global-solidarity-to-stop-infectious-diseases,"UNITED NATIONS (XINHUA) - United Nations (UN) Secretary-General Antonio Guterres on Monday (Dec 27) called for global solidarity to stop infectious diseases.
In his video message for the International Day of Epidemic Preparedness, which falls on Monday, the UN chief said that building global solidarity would ""give every country a fighting chance to stop infectious diseases in their tracks"".
""And it reminded us that the world remains woefully unprepared to stop localised outbreaks from spilling across borders, and spiralling into a global pandemic,"" he said.
Noting that infectious diseases remain ""a clear and present danger to every country"", Dr Guterres maintained that Covid-19 would not be the last pandemic for humanity.
Even as the world responds to this health crisis, he spelled out the need to prepare for the next one.","chief, global, solidarity, stop, country, diseases, infectious, world, preparedness, saidit, calls, health, united",Pest and disease outbreaks
9,12/2021,BEIJING (REUTERS) ,Chinese woman dies from H5N6 strain of bird flu,https://www.straitstimes.com/asia/east-asia/chinese-woman-dies-from-h5n6-strain-of-bird-flu,"BEIJING (REUTERS) - A woman in China's Sichuan province died from the H5N6 strain of avian influenza last month, a regional health bureau said this week, in the latest human fatality from the lethal disease.
The 54-year-old woman from Zigong city developed symptoms on Nov 17 and was admitted to hospital on Nov 21.
She died on Nov 23, according to a Wednesday (Dec 8) statement on the website of the health bureau of semi-autonomous region Macau.
The number of people in China infected with H5N6 bird flu this year has jumped, raising concern among experts, who say a previously circulating strain appears to have changed and may be more infectious to people.
Of 26 infections reported by various government departments this year, most have been in Sichuan province, though cases have also been reported in neighbouring Chongqing and Guangxi, as well as Guangdong, Anhui and Hunan provinces.","reported, died, bird, nov, h5n6, province, sichuan, strain, dies, woman, health, chinese, flu, bureau",Pest and disease outbreaks
