,date,location,news title,news source(url),content summary,keywords,class_name
0,02/2022,BEIJING (REUTERS) ,Winter Olympics: China issues blizzard alert in first Beijing snowfall of 2022 Games,https://www.straitstimes.com/sport/winter-olympics-china-issues-blizzard-alert-in-first-snowfall-of-2022-games,"BEIJING (REUTERS) - The China Meterological Administration issued a blizzard warning for Sunday (Feb 13), saying significant snowfall is expected in large parts of northern China including Beijing, the capital and venue of the Winter Olympics.
The weekend snowfall, which had already begun in some areas on Saturday (Feb 12), is the capital's first since the Winter Olympics opened on Feb 4, government notices showed.
The women's freeski slopestyle qualification in Zhangjiakou, featuring Team China gold medalist Eileen Gu, was rescheduled to Monday (Feb 14) due to the snow, a notice on the Beijing 2022 official Olympic website said.
The authorities issued a blue blizzard warning, the lowest of the country's four-tiered alerts, with some regions forecast to receive up to 4cm of snow.
Beijing temperatures dropped, with the Beijing Meteorological Observatory forecasting a minimum temperature of -6 deg C.","blizzard, olympics, snow, issues, winter, alert, china, 2022, parts, southern, games, beijing, northern, feb, warning, snowfall",Severe weather disruptions
1,02/2022,SAN FRANCISCO (AFP) ,Microsoft vows app store fairness with Activison Blizzard merger,https://www.straitstimes.com/tech/tech-news/microsoft-vows-app-store-fairness-with-activison-blizzard-merger,"SAN FRANCISCO (AFP) - Microsoft on Wednesday (Feb 9) courted the favour of anti-trust regulators scrutinising its plan to buy video game maker Activision Blizzard, promising that any app store it builds will treat developers fairly.
Microsoft president Brad Smith laid out a set of ""Open App Store Principles"" that will apply to the store it runs for Windows-powered computers and ""the next-generation marketplaces we will build for games"".
Principles outlined by Microsoft included allowing all developers access to its app store and not requiring them to use the technology firm's payment system for in-app transactions.
""The world needs open app markets, and this requires open app stores.""
Tech giants have come under fire from multiple fronts for app store controls.","blizzard, activison, video, open, store, apple, world, vows, merger, microsoft, fairness, app, activision, system",Severe weather disruptions
2,02/2022,NEW YORK (BLOOMBERG) ,Microsoft deal for Activision Blizzard to be reviewed by FTC in US,https://www.straitstimes.com/tech/tech-news/microsoft-deal-for-activision-blizzard-to-be-reviewed-by-ftc-in-us,"The two agencies share responsibility for anti-trust reviews of mergers and often reach agreements about which one will investigate a deal.
Under her leadership, the agency has sued to block two major takeovers - Nvidia's proposed purchase of Arm and Lockheed Martin's deal to buy of Aerojet Rocketdyne Holdings.
The Activision investigation will focus on the combination of Activision's gaming portfolio with Microsoft's consoles and hardware systems.
Regulators are likely to look closely at how Microsoft's ownership of Activision could harm rivals by limiting their access to the company's biggest games.
Microsoft's last significant takeover, a US$17 billion deal to buy transcription software maker Nuance Communications, was approved last summer by US and European Union officials.","ftc, blizzard, microsofts, billion, reviewed, activision, takeover, microsoft, review, reviewing, deal, united, proposed",Severe weather disruptions
3,01/2022,NEW YORK (BLOOMBERG) ,Activision Blizzard sexual misconduct fallout prompted Microsoft to pursue deal,https://www.straitstimes.com/tech/tech-news/activision-blizzard-sexual-misconduct-fallout-prompted-microsoft-to-pursue-deal,"Another aim: to ensure that if Mr Kotick and the board were willing to sell the company, Microsoft would be well positioned to make an offer.
“We have a lot of ambition,” Mr Spencer said.
It also noted settlements that included cases in which Mr Kotick was accused of mistreatment.
Other partners said they were evaluating their ties to Activision and some investors and employees called for Mr Kotick to step down.
Mr Kotick told Bloomberg in an interview last Tuesday the deal had nothing to do with the controversy surrounding Activision or the pressure on him as CEO.","blizzard, xbox, kotick, bloomberg, staff, prompted, pursue, fallout, company, activision, spencer, microsoft, misconduct, mr, game, sexual, deal",Severe weather disruptions
4,01/2022,ISTANBUL (AFP) ,Istanbul airport delays reopening after blizzard,https://www.straitstimes.com/world/europe/istanbul-airport-delays-reopening-after-blizzard,"ISTANBUL (AFP) - The Istanbul Airport delayed its reopening on Tuesday (Jan 25) as Turkey's biggest city began digging itself out of a major snowstorm that paralysed traffic and disrupted services.
A blizzard on Monday shut Istanbul Airport down for the first time since it took over from the Ataturk Airport as the new hub for Turkish Airlines in 2019.
The city of 16 million people stood effectively still on Tuesday because of orders for drivers to stay off the streets.
The closure of Istanbul Airport - where a worker miraculously avoided injury when the roof of one of the cargo terminals collapsed under the snow - grounded flights from the Middle East, Africa, Europe and Asia.
Istanbul Airport serviced more than 37 million passengers last year despite disruptions caused by the coronavirus pandemic.","blizzard, traffic, flights, delays, reopening, passengers, airport, service, halt, vehicles, million, stood, istanbul",Severe weather disruptions
5,01/2022,NEW YORK (AFP) ,Activision Blizzard says it fired dozens over harassment allegations,https://www.straitstimes.com/tech/tech-news/activision-blizzard-says-it-fired-dozens-over-harassment-allegations,"NEW YORK (AFP) - The video game giant Activision Blizzard said Monday (Jan 17) it has fired nearly 40 employees and disciplined more than 40 others since July as it deals with allegations of sexual harassment and other misconduct.
Activision denied as ""simply inaccurate"" the allegation that Mr Kotick held up the report, in a statement prompted by the Journal story.
In July, California state regulators accused the company of condoning a culture of harassment, a toxic work environment, and inequality.
Nearly 20 per cent of Activision Blizzard's 9,500 employees have signed a petition calling for Mr Kotick to resign.
The Journal said the company is under pressure from shareholders and business partners for more accountability over its handling of misconduct issues.","blizzard, dozens, kotick, fired, received, statement, company, employees, mr, cent, journal, allegations, harassment, activision, sexual",Severe weather disruptions
6,01/2022,SEATTLE (BLOOMBERG),Microsoft to buy Activision Blizzard in $92 billion gaming deal,https://www.straitstimes.com/business/companies-markets/microsoft-to-buy-activision-blizzard-in-92-billion-gaming-deal,"SEATTLE (BLOOMBERG)- Microsoft said it's buying Activision Blizzard in a US$68.7 billion ($92.7 billion) deal, uniting two of the biggest forces in video games.
Activision chief executive Bobby Kotick will continue to serve in that role, Microsoft said.
Once the deal closes, the Activision Blizzard business will report to Mr Phil Spencer, who heads Microsoft Gaming.
""This acquisition will accelerate the growth in Microsoft's gaming business across mobile, PC, console and cloud and will provide building blocks for the metaverse,"" Microsoft said in a statement Tuesday.
One of the industry's most legendary publishers, Activision has been mired in controversy for months amid several lawsuits over allegations of gender discrimination and harassment.","blizzard, xbox, billion, video, microsofts, gaming, kotick, titles, buy, activision, 92, microsoft, largest, deal, publishers",Severe weather disruptions
7,01/2022,NEW YORK (BLOOMBERG) ,Activision Blizzard's CEO is looking at $505 million payday in Microsoft sale,https://www.straitstimes.com/tech/tech-news/activision-blizzards-ceo-is-looking-at-505-million-payday-in-microsoft-sale,"This year, he is up for a US$375.3 million (S$504.7 million) windfall.
That is the amount the video-game executive stands to receive before taxes when Microsoft completes its US$68.7 billion deal to buy Activision.
CEO since 2017, Mr Kotick owns almost 4 million shares of Activision, the most of any officer or director, filings show.
Mr Kotick's compensation was controversial even before California's Department of Fair Employment and Housing sued the video-game publisher in July, detailing a retaliatory ""frat boy"" culture.
The deal with Microsoft had nothing to do with the controversy surrounding Activision or the pressure on him as CEO, Mr Kotick said in an interview Tuesday with Bloomberg.","deal, kotick, 505, blizzards, koticks, microsoft, mr, compensation, payday, looking, board, shares, stock, million, activision, ceo, sale",Severe weather disruptions
8,01/2022,NEW YORK (NYTIMES) ,Microsoft bets on next generation of the Internet with acquisition of Activision Blizzard,https://www.straitstimes.com/business/companies-markets/microsoft-bets-on-next-generation-of-the-internet-with-acquisition-of-activision-blizzard,"NEW YORK (NYTIMES) - Microsoft is the dominant force in business software and a giant player in cloud computing.
In anticipation of a longer review, Microsoft said it did not expect the Activision deal to close until the next fiscal year, which ends in June 2023.
Activision makes major hits like Call of Duty and Candy Crush, and the takeover would make Microsoft the world's third-largest gaming company by revenue, behind Tencent and Sony, the company said.
Adding Activision is a bet that consumers want to play major games anywhere - on phones, consoles, computers and eventually in virtual reality.
""Our vision of the metaverse is based on intersecting global communities rooted in strong franchises,"" said Mr Phil Spencer, vice-president of gaming at Microsoft.","blizzard, deal, billion, major, gaming, bets, company, generation, virtual, microsoft, internet, metaverse, activision, acquisition, mobile",Severe weather disruptions
9,01/2022,ISLAMABAD (AFP) ,Army clearing roads to snow-bound Pakistan town after deadly blizzard,https://www.straitstimes.com/asia/south-asia/army-clearing-roads-to-snow-bound-pakistan-town-after-deadly-blizzard,"ISLAMABAD (AFP) - Pakistan rescuers were working on Sunday (Jan 9) to clear routes to a locked-in hill town sheltering thousands of tourists after 22 people died in vehicles trapped by heavy snow.
The resort town of Murree, around 70km north-east of Islamabad, was inundated with tourists and daytrippers last week after unusually heavy snow turned it into a winter wonderland.
But a blizzard from last Friday (Jan 7) onwards felled trees and blocked narrow roads leading in and out of the town, which clings to steep hills and valleys at an altitude of 2,300m.
Officials said nearly 100,000 visitors in thousands of vehicles had thronged the town by last Friday, causing an enormous traffic jam even before the blizzard.
Several Pakistan newspapers, however, excoriated administrators on Sunday, noting the country's weather bureau warned as early as last Thursday of the approaching blizzard.","heavy, blizzard, weather, roads, died, snow, deadly, trapped, town, clearing, tourists, vehicles, unprecedented, army, snowbound, pakistan, trees",Severe weather disruptions
