,date,location,news title,news source(url),content summary,keywords,class_name
0,02/2022,"AHMEDABAD, INDIA (REUTERS) ",Indian court orders death for 38 for deadly 2008 serial bomb blasts,https://www.straitstimes.com/asia/south-asia/indian-court-orders-death-for-38-for-deadly-2008-serial-bomb-blasts,"AHMEDABAD, INDIA (REUTERS) - An Indian court on Friday (Feb 18) sentenced 38 Muslim men to death and ordered life in prison for 11 others for a series of bomb blasts in 2008 in the city of Ahmedabad that killed more than 50 people, lawyers said.
The explosions had badly shaken the western state of Gujarat, where Hindu-Muslim riots in 2002 are believed to have killed thousands, mostly Muslims.
A group called the ""Indian Mujahideen"" had claimed responsibility for the blasts on July 26, 2008.
A defence lawyer said they would appeal the verdict in a higher court.
""But the court awarded death to the majority of them.","38, 2008, indian, appeal, deadly, killed, western, prison, serial, death, orders, ahmedabad, court, bomb, ordered, blasts",Conflict/Terrorist activities
1,02/2022,SINGAPORE ,'It was sizzling and turning': 82-year-old recalls bomb that dropped through roof during WWII,https://www.straitstimes.com/singapore/it-was-sizzling-and-turning-82-year-old-recalls-bomb-that-dropped-through-roof-during-wwii,"SINGAPORE - Forty years after the end of World War II in September 1945, a 0.5m-wide bomb-shaped hole still remained on the roof of a communal house in Everton Road in Outram Park.
Until the 1980s, the house was a ponthuk, a Boyanese communal house, occupied by about 10 families, immigrants from Pulau Bawean in East Java, Indonesia.
""This bomb fell onto the roof and landed on one of our neighbour's beds.
It was turning and sizzling and we quickly called the soldiers in to retrieve it.
""No one was in the bed at the time because we heard the sirens and we were all hiding under the staircase.","young, singapore, wrapped, world, turning, house, recalls, wwii, dropped, old, sizzling, communal, roof, quickly, bomb, 82yearold",Conflict/Terrorist activities
2,02/2022,WASHINGTON (REUTERS) ,"Teenager arrested, charged in bomb threats in Washington schools",https://www.straitstimes.com/world/united-states/teenager-arrested-charged-in-bomb-threats-in-washington-schools,"WASHINGTON (REUTERS) - A 16-year-old boy was arrested on Thursday (Feb 10) and charged with calling in bomb threats at seven predominantly Black schools in Washington a day earlier, the city police department said.
The four high schools and three charter schools, which were evacuated following Wednesday's bomb threats and later cleared, included Dunbar High School, which was threatened on Tuesday during a visit by US Vice-President Kamala Harris' husband.
The teenager from Southeast Washington was charged with making ""terrorist threats,"" the Metropolitan Police Department posted on Twitter.
No explosives were found at any of the HBCUs, but the threats are being probed by the FBI.
The United States faces heightened threats from extremist groups, underscored by the bomb threats at many HBCUs, among other factors, the Department of Homeland Security said on Monday.","harris, charged, threats, high, incident, black, bomb, washington, arrested, department, teenager, schools, hbcus",Conflict/Terrorist activities
3,02/2022,WASHINGTON (AFP) ,US vice-president Kamala Harris' husband evacuated in bomb threat,https://www.straitstimes.com/world/united-states/us-vice-presidents-husband-evacuated-in-bomb-threat,"WASHINGTON (AFP) - The husband of US Vice-President Kamala Harris was evacuated on Tuesday (Feb 8) after a reported bomb threat at the Washington high school he was visiting to celebrate African American history, officials said.
""It was a bomb threat,"" Washington public schools spokeswoman Enrique Gutierrez told reporters.
No immediate details about the nature of the bomb threat were made public.
Harris is the first woman elected US vice-president and also the first Black woman and Asian American in the post.
Emhoff, a lawyer who is the first-ever husband of a US vice-president, frequently travels alone or with Harris to help promote the White House agenda.","harris, threat, spokeswoman, school, husband, vicepresident, service, security, washington, woman, told, bomb, evacuated, kamala",Conflict/Terrorist activities
4,02/2022,WASHINGTON (AFP) ,US probe finds single attacker in Kabul evacuation bombing,https://www.straitstimes.com/asia/south-asia/us-probe-finds-single-attacker-in-kabul-evacuation-bombing,"Although some gunfire erupted after the bombing, US officers said they were warning shots and none of those who died in the event were killed by them.
""There were no gunshot wounds"" among the victims, said Brigadier-General Lance Curtis, who presented the investigation findings on Friday.
He said that the deaths were from shrapnel including ball bearings from the bomb, the wounds of which can look like gunshot wounds.
Curtis admitted that on the day, the US military thought the attack was ""complex,"" involving an Islamic State gunman as well as the bomber.
When combined with a small number of warning shots, that led many to assume that a complex attack had occurred,"" Curtis told reporters.","wounds, evacuation, attack, islamic, shots, single, killed, kabul, attacker, finds, investigation, state, probe, bombing, warning, gunshot, including",Conflict/Terrorist activities
5,02/2022,WASHINGTON (REUTERS) ,FBI says no explosives found at historically Black colleges after bomb threats,https://www.straitstimes.com/world/united-states/fbi-says-no-explosives-found-at-historically-black-colleges-after-bomb-threats,"WASHINGTON (REUTERS) - The FBI said on Wednesday (Feb 2) it has not detected any explosive devices, after several historically Black colleges and universities across the United States reported receiving bomb threats earlier this week.
The bomb threats on Monday led schools to cancel classes and issue shelter-in-place orders across the nation.
Among those receiving threats were Albany State University in Georgia, Delaware State University in Delaware, Southern University and A&M College in Louisiana, Howard University in Washington, DC, Bowie State University in Maryland and Bethune-Cookman University in Florida.
On Tuesday, at least a dozen more historically Black colleges received similar bomb threats, all of which coincided with the first day of US Black History Month.
Last month, the Justice Department announced it was forming a new unit to combat domestic terrorism threats.","fbi, white, university, threats, violent, black, terrorism, historically, washington, explosives, state, bomb, colleges",Conflict/Terrorist activities
6,01/2022,MONTREAL (AFP) ,False bomb threat on Ryanair jet diverted to Belarus 'deliberate': UN report,https://www.straitstimes.com/world/false-bomb-threat-on-diverted-ryanair-jet-deliberate-un-report,"Belarus authorities, including President Alexander Lukashenko, have maintained that the plane was diverted to Minsk because of the threat of a bomb on board.
The ICAO report confirmed that searches of the plane upon departure and arrival did not produce a bomb, and said therefore ""it is considered that the bomb threat was deliberately false"".
The report notes that the timeline provided by Belarus about the e-mail containing the bomb threat is incorrect.
""This report sheds light on all the inconsistencies in the Belarusian version of the facts,"" the French Foreign Affairs ministry said.
The United States, Canada, Britain and the European Union in June slapped economic sanctions on the country and individual sanctions on Mr Lukashenko over the ordeal.","threat, journalist, plane, jet, deliberate, ryanair, belarus, report, minsk, states, diverted, belarusian, false, bomb, united",Conflict/Terrorist activities
7,02/2022,NEW YORK (REUTERS) ,Repeated bomb threats rattle US Black colleges and universities,https://www.straitstimes.com/world/united-states/repeated-bomb-threats-rattle-us-black-colleges-and-universities,"The threats in cities from Baltimore to New Orleans coincided with the first day of US Black History Month.
In a statement, the FBI said it was aware of the bomb threats and working with its law enforcement partners to address potential threats.
Howard University in Washington, Morgan State University in Maryland, Spelman College in Georgia and Xavier University of Louisiana were among the colleges that received threats, according to Twitter posts and statements from the schools.
Howard gave the all clear a few hours after the campus received a threat at around 2.55am, but not all students were reassured.
""We will not let (the threats) deter us from fulfilling our mission of providing superior educational experiences to our students,"" Howard University said in a statement.","threat, white, university, threats, received, campus, howard, black, jacksonville, issues, repeated, universities, rattle, bomb, colleges",Conflict/Terrorist activities
8,01/2022,BANGKOK (REUTERS) ,Bomb attacks hit southern Thailand; two killed in police raid,https://www.straitstimes.com/asia/se-asia/bomb-attacks-hit-southern-thailand-two-killed-in-police-raid,"BANGKOK (REUTERS) - Bombers set off at least 13 blasts in a town in southern Thailand overnight, and police killed two suspected insurgents in a separate raid after a 20-hour siege in a nearby province, authorities said on Saturday (Jan 29).
The siege took place in Narathiwat province, where a combined force of soldiers and police surrounded a house in the Ra-ngae district on Friday, following a tip-off that suspects linked to bomb attacks last year were hiding inside.
One volunteer ranger was hurt and the two suspects killed in the raid.
As with most attacks in Thailand's deep south, there was no claim of responsibility.
The main rebel group in the region, Barisan Revolusi Nasional, did not immediately reply to a Reuters request for comment.","south, yala, hit, siege, killed, violence, town, province, narathiwat, southern, suspects, raid, thailands, attacks, thailand, bomb",Conflict/Terrorist activities
9,01/2022,"NEVELSKE, UKRAINE (REUTERS) ",Elderly Ukrainian couple left behind in bombed out eastern village,https://www.straitstimes.com/world/europe/elderly-ukrainian-couple-left-behind-in-bombed-out-eastern-village,"NEVELSKE, UKRAINE (REUTERS) - Elderly couple Kateryna and Dmytro Shklyar are among the last residents of Nevelske, a village near the front lines in east Ukraine where years of fighting have left them without running water, electricity or neighbours.
Nevelske sits some 25km from Donetsk, the biggest city in the contested eastern Ukraine region where Russia has backed separatist rebels fighting government troops since 2014.
The village had around 300 inhabitants 20 years ago but most have fled.
The Shklyars live without running water or a stable power supply, relying on the Ukrainian military and aid workers to deliver basic goods.
Russia has spooked Ukraine and the West in recent weeks by massing some 120,000 troops near its border with the former Soviet republic that now wants to join Nato.","village, ukraine, elderly, nevelske, eastern, troops, couple, russia, recent, left, running, bombed, west, water, ukrainian, near",Conflict/Terrorist activities
