,date,location,news title,news source(url),content summary,keywords,class_name
0,Nov-21,SINGAPORE ,SFA recalls ready-to-eat oysters from Australia due to bacteria contamination,https://www.straitstimes.com/singapore/health/sfa-recalls-ready-to-eat-oysters-from-australia-due-to-bacteria-contamination,"SINGAPORE - A batch of ready-to-eat oysters harvested in South Australia has been recalled due to bacterial contamination.
The Singapore Food Agency (SFA) said on Wednesday (Nov 24) it has told three importers to recall the oysters, which were harvested between Sept 4 and Nov 16.
The oysters were contaminated with vibrio parahaemolyticus, a type of bacteria found in raw seafood such as crustaceans and molluscan shellfish.
SFA said: ""Consumption of raw seafood with high levels of these bacteria can cause foodborne illnesses including fever, abdominal cramps and severe diarrhoea.""
The Guardian reported on Wednesday that at least 100 people have fallen ill in Coffin Bay, the South Australia region where the oysters were harvested.","contamination, bacteria, australia, harvested, nov, recalls, readytoeat, south, recall, raw, singapore, sfa, importers, seafood, oysters",Food safety/contamination
1,Aug-21,TOKYO (REUTERS) ,Japan's Moderna Covid-19 vaccine contamination woes widen as regions put a hold on more shots,https://www.straitstimes.com/asia/east-asia/japans-moderna-covid-19-vaccine-contamination-woes-widen-as-regions-put-holds-on-more,"TOKYO (REUTERS) - Moderna's Covid-19 vaccine contamination woes in Japan widened after two regions put temporary holds on shots following the discovery of foreign substances in more batches.
The latest reports of vaccine contamination came from Gunma prefecture near Tokyo and the southern prefecture of Okinawa, prompting temporary holds on Sunday (Aug 29) on shots from two new Moderna lots.
The contamination cases come on the heels of a government report on Saturday that two people died after receiving Moderna shots that were among lots later suspended.
Some 500,000 people received shots from those supplies, Mr Taro Kono, the minister in charge of the vaccine push, has said.
Rovi said, in a statement on Sunday, that an investigation was under way in coordination with Moderna, Takeda and the health authorities.","contamination, hold, vials, takeda, moderna, woes, okinawa, japans, regions, widen, vaccine, vaccination, covid19, japan, shots",Food safety/contamination
2,Oct-21,TOKYO (REUTERS) ,Japan's Takeda says 'human error' caused contamination of Moderna Covid-19 vaccines,https://www.straitstimes.com/asia/east-asia/japans-takeda-says-human-error-caused-contamination-of-moderna-covid-19-vaccines,"TOKYO (REUTERS) - Japan's Takeda Pharmaceutical said on Friday (Oct 1) that ""human error"" caused metal contaminants to get into Moderna Covid-19 vaccine doses, leading to a recall.
Moderna conducted an investigation in partnership with Takeda and Spanish manufacturer Rovi, which operates the plant where the contamination occurred.
A total of five, sequential lots of the Moderna Covid-19 vaccine manufactured at Rovi between June 27 and July 3 were investigated.
The first three were shipped to Japan and later recalled after the discovery of particles, later determined to be stainless steel, inside 39 vials.
The companies and Japan's health ministry have said the particles of stainless steel did not pose any additional health risk.","contamination, human, vaccines, report, particles, steel, takeda, moderna, japans, caused, health, stainless, error, vaccine, covid19, lots",Food safety/contamination
3,Dec-21,SINGAPORE ,Cold Storage recalls Cantorel's Plateau 5 Fromages cheese product due to possible bacterial contamination,https://www.straitstimes.com/singapore/consumer/cold-storage-recalls-cantorels-plateau-5-fromages-cheese-product-due-to-possible,"SINGAPORE - A cheese product has been taken off the shelves because it may contain a bacteria that can cause fever, abdominal cramps and diarrhoea.
Cantorel's ""Plateau 5 Fromages"" cheese product is produced in France.
This prompted SFA to direct Cold Storage, the sole importer of the product in Singapore, to recall the product.
""Those who have consumed the implicated product and have concerns about their health should seek medical advice,"" it said.
Consumers may contact Cold Storage on 1800-8918-100 for inquiries.","product, fromages, contamination, plateau, cheese, recalls, cold, bacteria, fever, storage, food, singapore, possible, cantorels, sfa, shelves, infection",Food safety/contamination
4,Aug-21,TOKYO (REUTERS) ,Japan stops use of 1.63 million Moderna Covid-19 vaccine doses over contamination,https://www.straitstimes.com/asia/east-asia/japan-stops-use-of-163-million-moderna-covid-19-vaccine-doses-over-contamination,"TOKYO (REUTERS) - Japan suspended the use of 1.63 million doses of Moderna's Covid-19 vaccine on Thursday (Aug 26), more than a week after the domestic distributor received reports of contaminants in some vials.
Both Japan and Moderna said no safety or efficacy issues had been identified and the suspension was just a precaution.
""Moderna confirms having been notified of cases of particulate matter being seen in drug product vials of its Covid-19 vaccine,"" the US vaccine maker said in a statement, adding it put the lot in question and two adjacent lots on hold.
Moderna has so far delivered to the EU over 70 million doses of its Covid-19 vaccine, EU's public data show.
Its rival Japan Airlines also cancelled some Covid-19 vaccinations for its employees on Thursday after receiving Moderna vaccines with particulate matter.","stops, million, contamination, 163, aug, takeda, moderna, vaccinations, investigating, affected, vaccine, batches, doses, covid19, japan",Food safety/contamination
5,Aug-21,BRUSSELS (REUTERS) ,EU investigating Moderna Covid-19 vaccine contamination incident,https://www.straitstimes.com/world/europe/eu-investigating-moderna-covid-19-vaccine-contamination-incident,"BRUSSELS (REUTERS) - The European Medicines Agency (EMA) said on Thursday (Aug 26) it was investigating a contamination incident in the manufacturing of Moderna Covid-19 vaccines to assess whether there was an impact on EU supply.
Earlier on Thursday, Japan suspended the use of 1.63 million doses of Moderna vaccine, with the company saying contamination could be due to a manufacturing issue on one of the production lines at its contract manufacturing site in Spain.
""EMA is investigating the matter and has requested the marketing authorisation holder to provide information on any potential impact on batches supplied to the EU in addition to details on the ongoing root cause investigation,"" the agency said in a statement to Reuters.","contamination, manufacturing, vaccines, suspended, impact, incident, moderna, eu, investigating, vaccine, covid19, agency",Food safety/contamination
6,Mar-21,SINGAPORE ,Singapore recalls eggs from Malaysian farm over Salmonella contamination,https://www.straitstimes.com/singapore/singapore-recalls-eggs-from-malaysian-farm-over-salmonella-contamination,"SINGAPORE - Eggs from the Lay Hong Berhad Layer Farm Jeram in Malaysia have been recalled by the Singapore Food Agency (SFA) after it detected the presence of bacteria that can cause food-bourne illness.
The SFA has directed several importers to recall these eggs, which have the farm code ""CES008"" on them, after discovering the presence of Salmonella enteritidis (SE), which may cause illness if food is consumed raw or undercooked.
The importers are Ang Seng Eggs Supplier, Dasoon, Heng Guan Food Industrial and Lam Leng Trading.
""The farm is also suspended and SFA will lift the suspension only when the farm has rectified the SE contamination issue,"" the agency said in a statement.
SE can survive in raw and undercooked eggs and may cause foodborne illness, noted the agency.","contamination, malaysian, recalls, salmonella, se, farm, food, cause, thoroughly, singapore, sfa, infection, eggs, agency",Food safety/contamination
7,Dec-20,SINGAPORE ,Singapore contractor fined for water contamination at condominium near River Valley Road,https://www.straitstimes.com/singapore/local-contractor-fined-for-water-contamination-at-condominium-near-river-valley-road,"SINGAPORE - A local contractor was fined $8,500 for an incident that led to water contamination at a private condominium near River Valley Road, said national water agency PUB on Monday (Dec 28).
Everrise Maintenance was convicted on Dec 1 for failing to ensure that regulated works were carried out by a licensed plumber.
""The smell was traced to one of the two compartments in the high-level water tank, which was immediately isolated to conduct flushing works.
Instead of hiring a licensed plumber, Everrise Maintenance told its workers to fix the crack line without proper instructions.
The workers applied sealant on both the exterior as well as the interior of the water tank cover, causing water inside the tank to be contaminated.","contractor, near, water, valley, contamination, condominium, licensed, regulated, pub, road, service, maintenance, singapore, fined, tank, works, plumber, river",Food safety/contamination
8,Dec-20,"A local contractor was fined $8,500 for an incident that led to water contamination at a private condominium near River Valley Road, said national water agency PUB yesterday.

Everrise Maintenance was convicted on Dec 1 for failing to ensure that regulated works were carried out by a licensed plumber.

It resulted in contamination to water supplied by PUB to Waterford Residence on Sept 8.

PUB said that after it received calls from residents about a smell in the water on Sept 9, it immediately sent officers to jointly investigate the incident with the condominium's managing agent (MA).

""The smell was traced to one of the two compartments in the high","Local contractor fined $8,500 for water contamination at condo",https://www.straitstimes.com/singapore/local-contractor-fined-8500-for-water-contamination-at-condo,"A local contractor was fined $8,500 for an incident that led to water contamination at a private condominium near River Valley Road, said national water agency PUB yesterday.
Everrise Maintenance was convicted on Dec 1 for failing to ensure that regulated works were carried out by a licensed plumber.
""The smell was traced to one of the two compartments in the high-level water tank, which was immediately isolated to conduct flushing works.
Instead of hiring a licensed plumber, Everrise Maintenance told its workers to fix the crack line without proper instructions.
The workers applied sealant on both the exterior as well as the interior of the water tank cover, causing water inside the tank to be contaminated.","contractor, contamination, water, local, condo, regulated, licensed, plumber, service, maintenance, tank, fined, works, pub, 8500",Food safety/contamination
9,Oct-20,PETALING JAYA (THE STAR/ASIA NEWS NETWORK) ,Water supply cut in Klang Valley affects 5m people as plants shut due to contamination again,https://www.straitstimes.com/asia/se-asia/water-cuts-in-selangor-to-over-1m-accounts-as-plants-shut-down-due-to-contamination,"The cut in the water supply affects 1,292 areas in Kuala Lumpur, Petaling, Klang/Shah Alam, Kuala Selangor, Hulu Selangor, Gombak and Kuala Langat.
The new disruption comes just as households are reeling from an earlier disruption in September, also caused by river contamination at Sungai Gong, which feeds Sungai Selangor.
The water supply is expected to be restored in another 24 hours, said Air Selangor.
He said this at a news conference after visiting the phase 2 water treatment plant in Sungai Selangor.
Households that need an immediate water supply for emergency purposes, such as in the case of performing funeral rites, can contact 15300.","contamination, sungai, water, valley, treatment, phase, plants, shut, cut, million, supply, selangor, affects, kuala, klang, 5m",Food safety/contamination
