,date,location,news title,news source(url),content summary,keywords,class_name
0,05/2020,"India is bracing itself for a growing assault on its western front, with droves of intruders flying in from Pakistan.

While the first reports of the current cycle of desert locusts came last month, swarms of these voracious insects have grown significantly in recent weeks, making inroads deep into the country and posing a threat to crops as well as vegetation used for animal fodder.

The fresh outbreak has been severe in Rajasthan, a state bordering Pakistan. Locusts have been spotted in more than 17 districts there, including some where they have never been reported before.

India's previous cycle of attacks by desert locusts lasted from May last year to this February, causing reported damage across 371,000ha, totalling 10 billion rupees (S$187.7 million), in Rajasthan alone.

Not only has the new cycle of attack come earlier than expected, the locusts have also spread wider in search of food given the lower availability of vegetation in summer months. Sightings have been reported in the states of Gujarat, Punjab, Haryana and Madhya Pradesh.

The resulting shortages in food and animal fodder risk exacerbating the impact of the Covid",India gears up for a new crisis: desert locusts,https://www.straitstimes.com/asia/south-asia/india-gears-up-for-a-new-crisis-desert-locusts,"India is bracing itself for a growing assault on its western front, with droves of intruders flying in from Pakistan.
Locusts have been spotted in more than 17 districts there, including some where they have never been reported before.
India's previous cycle of attacks by desert locusts lasted from May last year to this February, causing reported damage across 371,000ha, totalling 10 billion rupees (S$187.7 million), in Rajasthan alone.
The crisis comes amid the worst outbreak of desert locusts in eastern Africa in decades, which has seen favourable breeding weather since 2018 caused by high rainfall.
These locusts are slated to arrive in India during the monsoon season, allowing them to lay eggs for a further generation of breeding in the country.","worst, reported, monsoon, desert, africa, india, locusts, gears, outbreak, swarms, locust, crisis",Pest and disease outbreaks
1,05/2020,NEW DELHI ,India gears up for a new crisis - voracious desert locusts that may cause food shortages,https://www.straitstimes.com/asia/south-asia/india-gears-up-for-a-new-crisis-voracious-desert-locusts-that-may-cause-food,"NEW DELHI - India is bracing for a growing assault on its western front with droves of intruders flying in from Pakistan.
Locusts have been spotted in more than 17 districts here, including some where they had never been reported before.
The previous cycle of attacks by desert locusts in India lasted from May 2019 to February this year, causing reported damage across 371,000 hectares of 10 billion rupees (S$187.5 million) in Rajasthan alone.
The crisis comes amid the worst outbreak of desert locusts in eastern Africa in decades, which has seen favourable breeding weather since 2018 caused by high rainfall.
These desert locusts are slated to come into India during the monsoon, allowing them to lay eggs for a further generation of breeding in India.","worst, reported, desert, africa, shortages, food, india, crisis, cycle, locusts, outbreak, swarms, voracious, cause, locust, gears, pakistan",Pest and disease outbreaks
2,04/2021,"This battle between a Kenyan settlement chief and a massive swarm of locusts in Samburu County, caught on camera by photojournalist Luis Tato, was among the nominees for this year's World Press Photo of the Year award.

Mr Henry Lenayasa (above), chief of Archers Post settlement, was trying to scare off locusts that were ravaging a grazing area in April last year, amid Kenya's worst infestation of desert locusts in 70 years.

Swarms of locusts from the Arabian Peninsula had migrated into Ethiopia and Somalia in the summer of 2019.

Continued successful breeding, together with heavy autumn rain and a rare late",Making a futile last stand against locusts in Kenya,https://www.straitstimes.com/multimedia/photos/making-a-futile-last-stand-0,"This battle between a Kenyan settlement chief and a massive swarm of locusts in Samburu County, caught on camera by photojournalist Luis Tato, was among the nominees for this year's World Press Photo of the Year award.
Mr Henry Lenayasa (above), chief of Archers Post settlement, was trying to scare off locusts that were ravaging a grazing area in April last year, amid Kenya's worst infestation of desert locusts in 70 years.
Swarms of locusts from the Arabian Peninsula had migrated into Ethiopia and Somalia in the summer of 2019.
The locusts multiplied and invaded new areas in search of food, arriving in Kenya and spreading across other countries in eastern Africa.
A single swarm can contain between 40 million and 80 million locusts per sq km.","locust, chief, infestation, region, making, stand, settlement, food, locusts, kenya, futile, yearsswarms, swarm, million",Pest and disease outbreaks
3,05/2020,KARACH (REUTERS) ,Pakistan readies for second battle against crop-devouring locusts,https://www.straitstimes.com/asia/south-asia/pakistan-readies-for-second-battle-against-crop-devouring-locusts,"""The price of flour and vegetables will sky-rocket,"" making staple foods hard for some to afford, added Mr Bhurgri, who is also general secretary of the Sindh Chamber of Agriculture.
Last year, Pakistan suffered its worst attack of locusts since 1993, for which the country was largely unprepared.
""Neither the central, nor the provincial government is doing anything about it,"" said Mr Bhurgri, who grows vegetables, red chillies, cotton and sugarcane on about 600 acres (242ha) of land.
'PERFECT SETTING'The locusts arrived in Pakistan from Iran in June 2019, devouring cotton, wheat and maize, among other crops.
But it has persisted due to favourable weather conditions for continued locust breeding, linked to global warming, according to FAO's Pakistan office.","battle, bhurgri, crops, billion, vegetables, food, cotton, locusts, second, mr, cropdevouring, readies, locust, pakistan",Pest and disease outbreaks
4,06/2020,NEW DELHI (REUTERS) ,Locusts invade satellite city of India's capital,https://www.straitstimes.com/asia/south-asia/locusts-invade-satellite-city-of-indias-capital,"NEW DELHI (REUTERS) - Desert locusts on Saturday (June 27) invaded Gurugram, a satellite city of India's capital New Delhi, prompting the authorities to ask people to keep their windows shut and bang utensils to ward off the fast-spreading swarms.
Delhi's international airport, which borders Gurugram - home to some of the world's top corporations - has asked pilots to take extra precautions during takeoff and landing due to the locusts, Reuters partner ANI reported.
People posted pictures of the locusts on Twitter, with some criticising the government for not containing the outbreak.
""Locusts too are getting aware that unless they reach New Delhi, it doesn't become breaking news!,"" Devinder Sharma, an agricultural expert, said in a tweet.
India, which is battling its worst desert locust outbreak in decades, is using specialist vehicles and fire engines to spray insecticides in at least seven populous states in the north, centre and west of the country.","indias, locust, season, worst, desert, delhi, summer, locusts, city, spray, satellite, invade, capital, gurugram, north",Pest and disease outbreaks
5,06/2020,"NEW DELHI • Desert locusts yesterday invaded Gurugram, a satellite city of India's capital New Delhi, prompting the authorities to ask people to keep their windows shut and bang utensils to ward off the fast",Swarms of locusts invade New Delhi's satellite city,https://www.straitstimes.com/asia/south-asia/swarms-of-locusts-invade-new-delhis-satellite-city,"NEW DELHI • Desert locusts yesterday invaded Gurugram, a satellite city of India's capital New Delhi, prompting the authorities to ask people to keep their windows shut and bang utensils to ward off the fast-spreading swarms.
Delhi's international airport, which borders Gurugram - home to some of the world's top corporations - has asked pilots to take extra precautions during take-off and landing due to the locusts, Reuters partner ANI reported.
Gurugram has never faced a locust attack before.
People posted pictures of the locusts on Twitter, with some criticising the government for not containing the outbreak.
""Locusts too are getting aware that unless they reach New Delhi, it doesn't become breaking news!""","season, desert, delhi, summer, locusts, city, swarms, spray, satellite, invade, locust, gurugram, previous, delhis, north",Pest and disease outbreaks
6,07/2020,"The enemy is unknown; the weaponry, therefore, improvised.

Farmers in different parts of India are facing up to invading locusts ",Indian farmers improvise in desperate fight against invading locusts,https://www.straitstimes.com/asia/south-asia/indian-farmers-improvise-in-desperate-fight-against-invading-locusts,"""It was as if disaster had struck us from the skies,"" said Mr Rulaniya, 60, describing the attack in and around 5 sq km of his farm.
Mr Rulaniya revved his motorcycle engine.
Locusts had devoured shoots of his groundnut, mung and gwar bean crops, causing a loss of around 250,000 rupees (S$4,670).
Farmers like Mr Rulaniya are reeling from what is being described as the worst locust invasion in India since 1993.
Incoming locust swarms have spread wider in India in search of food because of the lower availability of vegetation in summer months.","desperate, locust, seen, food, indian, india, locusts, rulaniya, mr, swarms, improvise, told, invading, farmers, fight",Pest and disease outbreaks
7,07/2020,NEW DELHI ,Drones to household utensils - weapons India is deploying against locusts,https://www.straitstimes.com/asia/south-asia/drones-to-household-utensils-weapons-india-is-deploying-against-locusts,"NEW DELHI - The enemy is unknown; the weaponry, therefore, improvised.
That afternoon, locusts, which had until then flown over his farm, decided to settle on his property and nearby areas in Rajasthan's Nagaur district.
""It was as if disaster had struck us from the skies,"" said Mr Rulaniya, 60, describing the attack in and around five sq km of his farm.
Mr Rulaniya revved his motorcycle engine.
""We would chase them from there, they would return to the fields,"" Mr Rulaniya told The Straits Times.","household, chase, drones, india, deploying, settle, locusts, rulaniya, weaponry, mr, treeswe, turnthat, weapons, unknown, utensils",Pest and disease outbreaks
8,05/2020,NEW DELHI (BLOOMBERG) ,"India's farmers told to scare locusts away by beating drums, using loudspeakers",https://www.straitstimes.com/asia/south-asia/indias-farmers-told-to-scare-locusts-away-by-beating-drums-using-loudspeakers,"NEW DELHI (BLOOMBERG) - Farmers are being asked to make as much of a racket as possible, using drums, tin containers, utensils and even hiring mobile disc jockeys, in an attempt to scare away locust swarms that are attacking India.
Millions of locusts are invading several Indian states and there are concerns they might reach New Delhi, the capital.
Citizens have been keeping doors and windows closed to stop locusts entering into their homes.
The government is planning to spray pesticides during the night when locusts rest on trees, he said.
There are plans to deploy helicopters for aerial spraying, according to India's farm ministry.","indias, locust, district, crops, utensils, drums, tin, loudspeakers, locusts, using, beating, away, trees, insects, told, farmers, states, scare",Pest and disease outbreaks
9,12/2020,ADDIS ABABA (BLOOMBERG) ,"New locust swarms in Africa, Yemen prompt UN appeal for funds",https://www.straitstimes.com/world/new-locust-swarms-in-africa-yemen-prompt-un-appeal-for-funds,"ADDIS ABABA (BLOOMBERG) - The United Nations Food and Agriculture Organisation is seeking US$40 million (S$53 million) to help fight desert locusts, with new swarms seen in the Horn of Africa and Yemen.
The funds will support surveillance and control operations in the most-affected countries including Ethiopia, Kenya, Somalia, Sudan and Yemen, the FAO said in a statement on Wednesday (Dec 16).
A single swarm contains as many as 80 million locusts that can destroy crops sufficient to feed 2,500 people for a year.
""Locust swarms are already forming and threatening to re-invade northern Kenya,"" the FAO said in the statement.
That helped prevent the loss of an estimated 2.7 million tonnes of cereal worth nearly US$800 million, according the agency.","africa, threatening, fao, statement, appeal, locusts, sudan, kenya, yementhe, swarms, surveillance, prompt, million, locust, yemen, funds",Pest and disease outbreaks
