,date,location,news title,news source(url),content summary,keywords,class_name
0,02/2022,COLOMBO (REUTERS) ,Sri Lanka says open to talks with IMF as economic situation worsens,https://www.straitstimes.com/asia/south-asia/sri-lanka-says-open-to-talks-with-imf-as-economic-situation-worsens,"COLOMBO (REUTERS) - Sri Lanka is open to discussions with the International Monetary Fund (IMF) and other multilateral lenders for assistance, a Cabinet spokesman said on Tuesday (Feb 22), as it faces its worst economic crisis in years.
""Sri Lanka has sought IMF assistance multiple times in the past and we are still open to that option,"" Cabinet spokesman and Plantation Minister Ramesh Pathirana said.
Sri Lanka's foreign exchange reserves have plummeted to US$2.36 billion (S$3.2 billion), hitting imports of essential goods, including fuel, and inflation is quickening.
""We are keeping lines of communication open with the IMF and other multilateral lenders such as the Asian Development Bank,"" Mr Pathirana told reporters.
""We hope and pray no war in Ukraine as soaring oil prices will really hurt Sri Lanka,"" he said.","fuel, lanka, power, talks, worsens, imf, pathirana, parliament, assistance, open, billion, economic, situation, sri, opposition",Man-Made Disaster
1,02/2022,Tunis (AFP) ,Tunisians fear more economic pain as IMF talks loom,https://www.straitstimes.com/world/tunisians-fear-more-economic-pain-as-imf-talks-loom,"Such a deal would likely mean cuts to subsidies and public sector wages, which many fear would spell more suffering for the most vulnerable.
The economic crisis since then has pushed tens of thousands of Tunisians to seek better lives overseas.
Arab Spring's birthplaceAt the Halfaouine market in a winding street near central Tunis, Jani's customers are already feeling the pain.
That sparked a revolt which forced Ben Ali into exile and sparked the Arab Spring uprisings around the region.
Successive governments staged hiring sprees to tamp down social unrest, inadvertently tripling the wage cost of Tunisia's public sector, one of the world's most bloated.","started, tunis, talks, imf, sector, fear, public, used, tunisians, zine, tunisias, sparked, ali, economic, pain, loom",Man-Made Disaster
2,02/2022,SEOUL (REUTERS) ,North Korea calls for economic growth despite 'complicated problems',https://www.straitstimes.com/asia/east-asia/north-korea-calls-for-economic-growth-despite-complicated-problems,"Leader Kim Jong Un did not attend the meeting, which was led by Mr Choe Ryong Hae, chairman of the SPA Standing Committee.
The gathering came as North Korea faces mounting economic woes amid sanctions over its weapons programmes and Covid-19 lockdowns that sharply cut trade with China, its major ally and economic lifeline.
The United Nations' special rapporteur on human rights in North Korea has said the country's most vulnerable people risk starvation amid deepening isolation during the pandemic.
The economy suffered its biggest contraction in 23 years in 2020 due to sanctions, the pandemic and bad weather.
North Korea has not confirmed any Covid-19 cases, but has closed borders and imposed strict travel bans and other restrictions.","calls, peoples, economy, spa, struggle, pandemic, north, despite, sanctions, growth, kim, persevering, improved, korea, economic, lives, trade",Man-Made Disaster
3,01/2022,NEW YORK (NYTIMES) ,World Economic Forum: What will Davos be without the annual meeting?,https://www.straitstimes.com/world/europe/world-economic-forum-what-will-davos-be-without-the-annual-meeting,"NEW YORK (NYTIMES) - For the second year in a row, the World Economic Forum scrapped its annual meeting in the Alpine resort town of Davos, Switzerland, because of the Covid-19 pandemic.
It was at the January 2020 annual meeting that many executives and world leaders first heard about the coronavirus, as news reports about a mysterious illness began to trickle out of Wuhan, China.
Last year, the forum abandoned Davos and planned to hold the meeting in Singapore during the summer, but the Singapore event was cancelled, too.
And for a second year in a row, with Davos the event on hold, Davos the town is stuck in limbo.
Before the pandemic, ""Davos"" came to connote not simply the annual meeting of the WEF itself, but a state of mind.","annual, wef, forum, pandemic, event, davos, switzerland, meeting, town, economic, world",Man-Made Disaster
4,01/2022,BEIJING (BLOOMBERG) ,5 things to watch for in China's economic report on Monday,https://www.straitstimes.com/business/economy/5-things-to-watch-for-in-chinas-economic-report-on-monday,"December data for industrial production, retail sales and fixed asset investment, due the same day, are also expected to be weaker.
Several economists have brought forward their forecasts for rate reductions as policymakers make it a priority this year to stabilise the economy.
That slowdown, coupled with subdued infrastructure investment, could drive fixed asset investment growth lower to 4.8 per cent for the whole year.
Economists see retail sales growth slowing further to 3.8 per cent in December from a year earlier.
China's zero-Covid-19 strategy, while benefiting industrial production, is set to inflict more pain on consumption, especially on catering and travel.","economists, report, watch, slump, slowest, chinas, rate, growth, cent, stimulus, investment, things, economic, property, bloomberg",Man-Made Disaster
5,01/2022,BANGALORE ,Sri Lankans forced to cut back on food in worst economic crisis,https://www.straitstimes.com/asia/south-asia/sri-lankans-forced-to-cut-back-on-food-in-worst-economic-crisis,"BANGALORE - Sri Lankans are struggling with shortages and spiralling prices of essential staples like rice, coconut, milk and fuel as the island nation grapples with its worst ever economic crisis.
The country faces the prospect of bankruptcy this year if it does not rebuild currency reserves to import essentials and meet debt obligations totalling US$29 billion (S$39 billion).
The Sri Lankan government has been trying to negotiate loans and arrange currency swaps with bilateral donors.","swaps, food, trying, staples, worst, us29, struggling, totalling, currency, billion, forced, cut, economic, lankans, sri, crisis",Man-Made Disaster
6,12/2021,ISTANBUL (AFP) ,Turkey's economic crisis turns books into vanishing luxuries,https://www.straitstimes.com/world/europe/turkeys-economic-crisis-turns-books-into-vanishing-luxuries,"ISTANBUL (AFP) - Turkish doctoral student Gulfer Ulas saw the first edition of her favourite Thomas Mann collection published for 33 liras (S$3.80).
The jump exemplifies the debilitating unpredictability of Turkey's raging economic crisis on almost all facets of daily life - from shopping to education and culture.
Mr Erdogan has ripped up the economic rule book by orchestrating sharp interest rate cuts in a bid to bring down chronically rising consumer prices.
Turks' fears about further erosion of their purchasing power prompted a surge in gold and dollar purchases that erased nearly half the lira's value in a matter of weeks.
And you go to a second edition in a week and the price climbs to 35 liras,"" Mr Hepkon told AFP.","ulas, vanishing, book, liras, student, luxuries, turkeys, mr, turns, week, value, erdogan, economic, turkish, books, crisis",Man-Made Disaster
7,01/2022,SINGAPORE ,Pearlyn Phau's building Singlife with Aviva into the next big financial services platform,https://www.straitstimes.com/business/invest/shes-building-singlife-with-aviva-into-the-next-big-financial-services-platform,"SINGAPORE - Since the Asian financial crisis, when Singapore pushed its banks to consolidate, the Republic has been familiar with seeing lenders look for merger partners.
More recently, parts of the ANZ consumer franchise in several markets, including Singapore, were bought by local giant DBS Group Holdings.
Consolidation in the insurance industry, though, has been rare.
So, when home-grown insurtech start-up SingLife announced it was taking a 75 per cent stake in the local operations of British giant Aviva, there was more than ordinary excitement over the $3.2 billion deal, the largest in the insurance space on the island.","local, singlife, taking, giant, seeing, singapore, stake, space, building, big, startup, platform, financial, aviva, pearlyn, phaus, services, insurance",Man-Made Disaster
8,01/2022,BANGALORE ,Sri Lanka's president asks China for help amid its worst financial crisis,https://www.straitstimes.com/asia/south-asia/sri-lankas-president-asks-china-to-restructure-debt-repayments,"Mr Wang’s visit is crucial as it comes during Sri Lanka’s worst financial crisis, with inflation rising to record levels, food prices soaring and foreign exchange reserves running dry.
The Sri Lankan President asked China for help in restructuring debt repayments, and a concessional trade credit scheme for imports.
In October last year, the Sri Lankan authorities asked India for a credit of US$500 million for fuel.
The Sri Lankan commercial high court blocked payment for it and, in turn, China blacklisted the Sri Lankan state bank.
Last Friday, a day before Mr Wang’s visit, Sri Lanka’s People’s Bank released US$6.9 million to the Chinese company.","lanka, lankan, asks, worst, lankas, visit, financial, rajapaksa, wang, tourism, chinese, president, help, amid, sri, crisis, china",Man-Made Disaster
9,12/2021,"As we approach the end of 2021, warning lights are flashing over China's economy, foreshadowing difficult and austere days ahead.

Apart from academics' warnings and the Central Economic Work Conference's assessment, news about civil service pay cuts in various provinces and cities has been circulating online since the beginning of the month",China's measures to avert a looming economic crisis,https://www.straitstimes.com/opinion/chinas-measures-to-avert-a-looming-economic-crisis,"As we approach the end of 2021, warning lights are flashing over China's economy, foreshadowing difficult and austere days ahead.
Apart from academics' warnings and the Central Economic Work Conference's assessment, news about civil service pay cuts in various provinces and cities has been circulating online since the beginning of the month.","pay, chinas, warning, various, month, warnings, work, service, online, provinces, avert, economic, measures, lights, looming, crisis",Man-Made Disaster
