,date,location,news title,news source(url),content summary,keywords,class_name
0,02/2017,"HARARE • Southern Africa has been struck by a pestilence so severe that farmers have invoked plagues of biblical proportions.

Hungry caterpillars called fall armyworms are on the move across the continent from Zambia southwards. Earlier this month, South Africa's agricultural department issued a report noting that, for the first time, this unfamiliar pest had been spotted in the country's Limpopo province.

""Little is known on how this particular pest entered southern Africa,"" the report stated. ""Since this pest is very new in Africa, very little is known on its long",Armyworms invade southern Africa,https://www.straitstimes.com/world/africa/armyworms-invade-southern-africa,"HARARE • Southern Africa has been struck by a pestilence so severe that farmers have invoked plagues of biblical proportions.
Hungry caterpillars called fall armyworms are on the move across the continent from Zambia southwards.
""Little is known on how this particular pest entered southern Africa,"" the report stated.
""Since this pest is very new in Africa, very little is known on its long-term effects.""
It was identified as the fall armyworm a few days later.","pest, south, armyworm, africa, armyworms, fall, known, report, southern, plagues, invade, africas",Pest and disease outbreaks
1,05/2018,"KISUMU, KENYA (AFP) ",Africa struggles for weapons against armyworm curse,https://www.straitstimes.com/world/africa/africa-struggles-for-weapons-against-armyworm-curse,"In just two years, the so-called fall armyworm has colonised three-quarters of Africa, according to the British-based Centre for Agriculture and Biosciences International (CABI).
The fall armyworm is believed to have made its bridgehead in West Africa after being accidentally brought in from South America, its native home, by sea or air cargo.
The larval, or caterpillar, armyworm is perfectly adapted for destruction.
In the final two weeks, the armyworm caterpillar metamorphoses into a moth able to cover up to 100 kilometres in a night.
But for the experts, one thing is certain: the fall armyworm has made Africa its home.","caterpillar, armyworm, struggles, africa, crops, crop, food, fall, kenya, curse, maize, weapons, farmers",Pest and disease outbreaks
2,08/2021,KANDAHAR (NYTIMES) ,Afghan military was built over 20 years. How did it collapse so quickly?,https://www.straitstimes.com/asia/south-asia/afghan-military-was-built-over-20-years-how-did-it-collapse-so-quickly,"In the past several days, Afghan security forces have collapsed in more than 15 cities under the pressure of a Taleban advance that began in May.
This implosion comes despite the United States having poured more than US$83 billion (S$112 billion) in weapons, equipment and training into the country's security forces over two decades.
Building the Afghan security apparatus was one of the key parts of the Obama administration's strategy as it sought to find a way to hand over security and leave nearly a decade ago.
These efforts produced an army modelled in the image of the US military, an Afghan institution that was supposed to outlast the American war.
On one front line in the southern Afghan city of Kandahar last week, the Afghan security forces' seeming inability to fend off the Taleban's devastating offensive came down to potatoes.","officials, fighting, forces, week, kandahar, equipment, military, 20, built, security, taleban, quickly, afghan, collapse",Pest and disease outbreaks
3,08/2016,REVIEW / ROMANCE,Murder story falls flat,https://www.straitstimes.com/lifestyle/entertainment/murder-story-falls-flat,"Nanavati, who was tried in the Bombay High Court in 1959 for murdering Prem Ahuja, his wife's lover.
The case - which hinged on whether the murder was premeditated or committed in the heat of the moment - is widely regarded as the catalyst for the Indian government ending the jury trial system in the 1960s.
The jury, swayed by media reports portraying Nanavati as a victim of the system, acquitted him (although the High Court subsequently found him guilty).
However, all nuances of such a landmark case are lost to overtures of melodrama and bad acting in Rustom.
Even D'Cruz as Cynthia puts on such a flat performance as an adulteress racked with guilt that you end up being distracted by her beautiful saris.","kumar, rustom, jury, flat, moment, nanavati, falls, naval, reallife, system, cynthia, court, murder",Pest and disease outbreaks
4,02/2020,MANILA/SAN FRANCISCO (NYTIMES) ,"In Manila and San Francisco, rising seas are a crisis right now",https://www.straitstimes.com/asia/se-asia/in-manila-and-san-francisco-rising-seas-are-a-crisis-right-now,"One rich, one poor, they sit on opposite sides of the Pacific Ocean: the San Francisco Bay Area (population seven million) and metropolitan Manila (almost 14 million).
And in both places, climate change has magnified years of short-sighted decisions.
The Bay Area allowed people to build right at the water's edge, putting homes, highways and even airports at risk of catastrophic flooding.
Now Manila and the Bay Area face tough choices.
METROPOLITAN MANILA: RISING WATER, SINKING CITYMs Desiree Alay-ay is in the thick of trade-offs.","metropolitan, area, seas, san, rising, worth, water, face, climate, francisco, right, crisis, places, bay, sea",Pest and disease outbreaks
5,08/2016,"The army initially said that they had all been killed but later revised the death toll to three as one soldier was revived after emergency treatment and transferred to a military hospital in neighbouring Kaohsiung city.

""We are still investigating the cause of the accident,"" said military spokesman Alfonso Yang.

According to the army, the driver was unable to make a left turn when the vehicle possibly malfunctioned and then fell into the river.

President Tsai Ing",Three soldiers dead after tank plunges into river in Taiwan,https://www.straitstimes.com/asia/east-asia/three-soldiers-dead-after-tank-plunges-into-river-in-taiwan,"""We are still investigating the cause of the accident,"" said military spokesman Alfonso Yang.
According to the army, the driver was unable to make a left turn when the vehicle possibly malfunctioned and then fell into the river.
President Tsai Ing-wen expressed her condolences and demanded the military speedily investigate the cause of the incident, her spokesman said.
The accident happened days before President Tsai is due to preside over an annual live-fire exercise codenamed ""Han Kuang 32"" (Han Glory), also to be held in Pingtung county.
Last month, an anti-ship missile misfired from a military patrol boat stuck a Taiwanese fishing boat in the waters off Penghu and killed one person.","plunges, river, soldiers, accident, boat, tank, killed, yearly, military, dead, han, cause, army, tsai, spokesman, taiwan",Pest and disease outbreaks
6,11/2018,And for a part of the world with coastlines as extensive as in South,Climate change pushing the world into hunger?,https://www.straitstimes.com/singapore/climate-change-pushing-the-world-into-hunger,"And for a part of the world with coastlines as extensive as in South-east Asia, the rising sea levels caused by climate change will bring even more misery.
""The major countries that will witness the effects of climate change are Vietnam, Myanmar, Cambodia and Laos.
Also, climate change does not even have to hit South-east Asia directly to affect it.
And whatever food Singapore produces can also be affected by climate change.
Climate change does not discriminate against specific crops like rice either, and threatens all the main grains that the world depends on.","rice, global, southeast, levels, food, world, pushing, change, maize, climate, hunger, sea",Pest and disease outbreaks
7,01/2022,"HASAKA, Syria (NYTIMES) ","US allies retake control of prison in Syria, subduing Islamic State fighters",https://www.straitstimes.com/world/middle-east/us-allies-retake-control-of-prison-in-syria-subduing-islamic-state-fighters,"On Sunday clearing operations continued in the Ghweran neighbourhood around the prison to find Islamic State sleeper cells.
Kurdish forces threw flash grenades into homes where they believed Islamic State fighters were hiding as residents gathered in the streets.
The latest round of fighting began this month after an attack by the Islamic State group on the prison, which housed more than 3,000 Islamic State members and almost 700 minors.
On Saturday, the SDF said that about 30 Islamic State fighters surrendered overnight but that the remaining militants in the prison were believed to be holding teenage detainees as human shields.
""We think there are cubs of the caliphate with them,"" Farhad Shami, an SDF spokesperson, said in reference to the children forced by the Islamic State to become fighters.","forces, allies, sdf, kurdish, subduing, syria, islamic, prison, fighters, militia, state, operations, retake, control, fighting",Pest and disease outbreaks
8,06/2021,TAIPEI (BLOOMBERG) ,Far-flung Taiwan island Pratas risks triggering a US-China clash,https://www.straitstimes.com/asia/east-asia/far-flung-taiwan-island-pratas-risks-triggering-a-us-china-clash,"The rest broke off and briefly darted further south toward tiny Pratas Island in the South China Sea before turning back.
If all incursions into Taiwan's air-defense-identification zone between Pratas and the Chinese mainland are included, the patrols have become an almost daily occurrence.
The Chinese focus on Pratas serves several aims of President Xi Jinping, highlighting Taiwan's vulnerability to attack while probing its defenses.
Taking Pratas Island - located closer to Hong Kong than Taiwan - could give China a new launching ground for future military operations without provoking a full-scale conflict with the US.
Meanwhile, the drumbeat of exercises adds to the domestic political concerns for Taiwanese President Tsai Ing-wen, who rejects Beijing's claims to sovereignty.","president, xi, island, triggering, risks, taiwanese, taiwans, clash, china, military, uschina, taipei, pratas, farflung, chinese, taiwan",Pest and disease outbreaks
9,03/2021,"RACE 1 (1,200M)

6 Love Me More has trialled well and looks ready for his debut. 2 Summit Cheers is looking to remain unbeaten. Talented, he is the main danger. 5 Glenealy Generals is racing well. 9 So Awesome falls into a similar category. He is worth including.

RACE 2 (1,200M)

2 Fantastic Treasure won nicely on debut. With luck, he rates as the one to run down. 14 Voyage Star slots in light and has drawn well. He gets his chance. 5 Galactic can figure with the right run. 1 Enchanting Start is slowly coming to hand. He bears watching with Zac Purton engaged.

RACE 3 (2,000M)

10 Pakistan Friend can roll forward and play catch me if you can. He is on the up. 3 Vincy won well last start. With luck, he has a chance for back",Excellent Proposal for Hong Kong Derby,https://www.straitstimes.com/sport/excellent-proposal-for-hong-kong-derby,"3 Maldives just needs to bring his form to Sha Tin to be considered a winning chance.
RACE 8 (2,000M) BMW HONG KONG DERBY2 Excellent Proposal, the winner of the Hong Kong Classic Mile, shapes as the one to beat.
5 Tourbillon Diamond is a one-time winner in Hong Kong.
RACE 10 (1,600M)9 Master Montaro is a two-time winner from four Hong Kong starts.
• Comments courtesy of The Hong Kong Jockey Club","hong, winning, forward, won, kong, worth, derby, proposal, winner, drawn, class, excellent, chance",Pest and disease outbreaks
