,news title,news source(url),content summary,keywords
0,Start-ups bringing Pakistan's farming into digital age,https://www.straitstimes.com/asia/south-asia/start-ups-bringing-pakistans-farming-into-digital-age,"CHAK 26 SP, Pakistan (AFP) - Agriculture entrepreneurs are bringing the digital age to Pakistan's farmers, helping them plan crops better and distribute their produce when the time is right.
Agriculture is the mainstay of Pakistan's economy, accounting for nearly 20 per cent of gross domestic product and around 40 per cent of the workforce.
Cows and donkeys rest near a muddy road leading to a pavilion in Chak 26, which is connected to a network via a small satellite dish.
""I've never seen a tablet before,"" said Mr Munir Ahmed, 45, who grows maize, potatoes and wheat.
""Digitising agriculture... and the rural population is the only way to prosper,"" he told AFP.","farming, way, project, 26, farmers, mr, told, age, water, digital, chak, tablet, pakistans, startups, bringing"
1,Worm your way into an insect farm,https://www.straitstimes.com/life/travel/worm-your-way-into-an-insect-farm,"SINGAPORE - Having been squeamish about insects all my life, my skin crawls when I glimpse my first tray of superworms.
Hundreds of yellow and black-tipped larvae, fatter than mealworms, squirm vigorously in a single, dense layer.
I yelp and back away.","way, superwormshundreds, farm, worm, yelp, squirm, skin, singapore, vigorously, squeamish, tray, insect, single, yellow"
2,New high-tech trout farm to boost Singapore's annual farmed fish output by about 25%,https://www.straitstimes.com/singapore/new-high-tech-trout-farm-will-increase-singapores-current-annual-farmed-fish-output-by-a-quarter,"SINGAPORE - A high-tech farm cultivating trout is set to begin operating in Neo Tiew next year.
The farm will be capable of producing about 1,200 tonnes of rainbow trout annually, boosting Singapore's supply of locally farmed fish, Blue Aqua International, the shrimp aquaculture technology firm behind the new farm, said on Tuesday (Jan 11).
That figure is about a quarter of the current annual local farmed fish production.
From 2016 to 2019, local fish production rates were between 4,578 tonnes and 4,851 tonnes annually, while 2020 saw the production of about 3,960 tonnes, as farms adjusted their output owing to lower sales during the Covid-19 pandemic.
""Trout flesh is also a very appealing orange-red colour, with salmon flesh paler in comparison,"" said Dr Farshad.","farmed, production, farm, singapore, trout, dr, tonnes, salmon, boost, species, cost, annual, fish, hightech, 25, output, singapores"
3,China to curb purchases of US farm goods in 2022 as ties fray: Fitch Solutions,https://www.straitstimes.com/business/economy/china-to-curb-purchases-of-us-farm-goods-in-2022-as-ties-fray,"China may continue to limit soya bean and other agricultural purchases from the US as geopolitical tensions persist, the research company said in a note.
Fitch Solutions highlighted other key agribusiness themes in 2022, including soaring input costs and strained supply chains.
It said the US-China relationship poses a risk to logistics as escalating tensions could disrupt trade routes.
But soaring fertilizer and energy prices are seen as the greatest risk to grain prices this year, according to a Fitch poll.
This would likely reduce the production of key crops such as wheat and rice, as well as arabica coffee.","prices, 2022, solutions, ties, china, risk, purchases, share, soya, tensions, fray, curb, trade, production, farm, strained, soaring, goods, fitch"
4,"Food supply hit ahead of CNY, Ramadan after floods wiped out Malaysian farms",https://www.straitstimes.com/asia/se-asia/food-supply-hit-ahead-of-cny-ramadan-after-floods-wiped-out-malaysian-farms,"""I had to throw away some 1,200 eggs as they could be contaminated with bacteria from the flood waters,"" he told The Straits Times.
Mr Azim, who has no income this month, will have to feed them vitamins and anti-stress supplements.
Chilli grower Ahmad Irham Mohd Noor, 40, saw his entire farm in Dengkil, Selangor, completely destroyed in floods which reached 3.4m high, with losses of around RM100,000 (S$32,300).
The disruptions in the food supply chain - ahead of Chinese New Year next month and Ramadan in April - come after a series of massive floods devastated parts of Malaysia from Dec 18.
Malaysia Federation of Vegetable Farmers Association president Lim Ser Kwee said many farmers were badly hit by floods in states such as Johor, Selangor and Pahang.","cny, supply, farm, malaysian, floods, told, wipe, farms, ramadan, vegetables, month, ahead, high, hit, chinese, flood, johor, food"
5,Urban farms where you least expect them - at bus stops,https://www.straitstimes.com/singapore/environment/veggies-at-bus-stops-to-increase-public-awareness-on-farming-sustainability,"SINGAPORE - Singapore plans to produce 30 per cent of our nutritional needs locally and sustainably by 2030, but not many Singaporeans know much about the high-tech farms that produce them.
A new campaign by sovereign wealth fund GIC to raise the profile of urban farms in Singapore aims to change that, with seven bus stops islandwide sprouting vegetables such as kailan, butterhead lettuce and Chinese cabbage.
“It’s a nice change from the usual ads that no one really pays attention to, and it’s quite interesting to learn that Singapore has farms also,” said the Chinese national.
Another commuter, who wanted to be known only as Madam Ong, 61, said the display helped to improve the aesthetics of the bus stop at the Fu Lu Shou complex, where she was waiting to take a bus home.
She said: “We had to build a bespoke hydroponics system to sufficiently irrigate the crops planted at the bus stops and ensure that they had optimal growing conditions within the advertising box.","farming, stops, singapore, expect, street, urban, farms, vegetables, stop, vegetable, bus"
6,Thailand to expedite pig farm inspections to prevent swine fever,https://www.straitstimes.com/asia/se-asia/thailand-to-expedite-pig-farm-inspections-to-prevent-swine-fever,"BANGKOK (BLOOMBERG) - The Thai government will expedite pig farm inspections nationwide in an effort to prevent an outbreak of African swine fever after reports that the nation detected its first case in a pet hog.
The Cabinet has also supported the budget for added hog surveillance, Mr Thanakorn said.
In the past three years, Thailand has been able to control the epidemic well and has not concealed information about the swine outbreak that has killed more than 500 million pigs in neighbouring Vietnam, Myanmar, Laos and Cambodia, he said.
Prices could rise to 300 baht a kilogram ahead of Lunar New Year celebrations, when demand for pork rises.
The South-east Asian nation last Thursday banned exports of live pigs until April, in an effort to cool the price rally.","farm, prevent, inspections, thanakorn, swine, baht, pig, bangkok, reported, thailand, pork, expedite, pet, outbreak, fever, pigs"
7,"Pongal festivities with cattle farm, pot painting to kick off in Little India on Jan 7",https://www.straitstimes.com/singapore/pongal-festivities-with-cattle-farm-pot-painting-to-kick-off-in-little-india-on-jan-7,"SINGAPORE - Unlike the subdued celebrations last year (2021), Pongal this year will see a whole raft of hands-on activities including pot painting.
Organised by the Little India Shopkeepers and Heritage Association (Lisha), the festivities will feature special activities for students and migrant workers.
Visitors will be able to catch a glimpse of cows, calves and goats, which will be on exhibit from Friday in Little India.
The activities will be complemented by this year's Pongal light-up, which will be on display until Feb 6 in Little India.
Readers can check the Indian Heritage Centre's website for more details.","visitors, farm, india, jan, pot, little, heritage, pongal, kick, painting, festivities, activities, including, cattle, students, indian"
8,Forum: Funding schemes available to boost yield and raise productivity of local farms,https://www.straitstimes.com/opinion/forum/forum-funding-schemes-available-to-boost-yield-and-raise-productivity-of-local-farms,"We thank Mr Tio Boey for his suggestions on supporting local farms, ""Small local farmers need more support to survive"" (Dec 23).
To ensure that limited farmland is optimised, the farmland plots are released through tenders with an emphasis on productivity and technology.
The ACT Fund is available for application by our local farms until Dec 31, 2025.
Besides the ACT Fund, SFA also embarked on several initiatives to promote and raise consumer demand for local produce.
SFA will continue to support and work closely with local farms to ramp up production, and we hope that consumers can also join us in this endeavour by supporting our local produce and our farmers.","production, schemes, yield, raise, productivity, forum, farmers, produce, farms, local, boost, available, support, fund, farmland, funding, food"
9,Affected Bah Soon Pah plant nurseries and farms to get lease extension until May 31,https://www.straitstimes.com/singapore/community/affected-bah-soon-pah-plant-nurseries-and-farms-to-get-lease-extension-until-may-31,"SINGAPORE - Plant nursery and farm tenants in Bah Soon Pah Road, in Yishun, who originally had to vacate their plots by Dec 31 last year will now have until May 31 to do so.
The affected nurseries had appealed to Home Affairs and Law Minister K. Shanmugam and National Development Minister Desmond Lee for an extension of their leases while they arrange for the move to their new sites.
Mr Shanmugam and the two agencies met the affected tenants on Thursday and told them that the agencies had considered the situation and were able to give the tenants a five-month lease extension.
To help the affected nurseries secure an alternative site early, NParks had told them of scheduled land tender launches in advance, and helped them in the land tender process.
To date, five nurseries in Bah Soon Pah that are accredited under the Nursery Accreditation Scheme (NAS) have found replacement plots.","agencies, extension, soon, lease, flats, pah, tenants, told, farms, tender, nurseries, land, affected, plant, 31, bah, nparks"
10,India intensifies push for natural farming as it tries to reduce emissions,https://www.straitstimes.com/asia/south-asia/india-intensifies-push-for-natural-farming-as-it-tries-to-reduce-emissions,"KOLKATA - India is intensifying a push into natural farming, lured by a burgeoning market for organic produce and compelled by the need to reduce agriculture-related emissions as it strives to attain its net zero goal by 2070.
The government has endorsed a farming practice known as Zero Budget Natural Farming (ZBNF), which is built around soil mulching and aeration, besides the use of low-cost inputs such as cow dung and urine, jaggery, pulse flour and fruit pulp.
The government introduced a special scheme last year to support natural farming practices, including ZBNF.
More than 650,000 hectares spread across 11 states in India is currently under various forms of natural farming.
Among the key reasons for the government's growing interest in ZBNF and other natural farming schools is the ballooning cost of subsidising fertilisers.","farming, intensifies, india, natural, push, shift, rupees, zbnf, indias, support, fertilisers, emissions, tries, reduce, agriculture, sustainable"
11,"Black soldier fly farm creates biomaterials for pharmaceutical, medtech industries",https://www.straitstimes.com/singapore/consumer/black-soldier-fly-farm-creates-biomaterials-for-pharmaceutical-medtech-industries,"SINGAPORE - Black soldier flies - with their innate ability to turn discarded food into nutrients for plants and animals - have found a central role in Singapore's transition towards a zero-waste nation.
While numerous black soldier fly farms have been popping up around the island, one farm has been taking its food waste valorisation initiatives up a notch, by creating biomaterials for use in the medtech, pharmaceutical and cosmetic industries.","farm, singapores, waste, creates, turn, pharmaceutical, taking, industries, transition, black, biomaterials, zerowaste, soldier, medtech, valorisation, fly, food"
12,Indian farmers end yearlong protests as Modi's government caves in,https://www.straitstimes.com/asia/south-asia/indian-farmers-end-yearlong-protests-as-modis-government-caves-in,"NEW DELHI (BLOOMBERG) - Indian farmers, who continued their protests even after Parliament repealed three contentious farm laws, have finally decided to call off their agitation after the government accepted most of their other demands.
Farmers will start vacating the protest sites from Saturday (Dec 11) after a victory march, he said.
The rollback has also signalled the government lacks the stomach to push through tough reforms when faced with popular resistance.
The three farm laws would have eased rules around the sale, pricing and storage of farm crops.
Key DemandsDespite the repeal of the farm laws last month, the farmers continued to push ahead with their key demands that included setting up of a mechanism to ensure farmers get minimum support rates for all harvests.","caves, protests, end, farm, yearlong, farmers, push, modis, mr, protest, agitation, rates, laws, repeal, indian"
13,NTU scientists discover 'cure' for asthma in dust found in rural farms,https://www.straitstimes.com/singapore/scientists-discover-cure-for-asthma-in-dust-found-in-rural-farms,"Researchers found that children raised in these communities had one of the lowest rates of asthma, even when compared with children raised on other farms.
The scientists now believe Amish children could hold clues to how asthma and other types of allergies could be prevented.
Scientists from Singapore's Nanyang Technological University (NTU) took the research a step further and identified the precise chemical compounds present in dust that are responsible for protection against asthma in children.
Dr Shane Snyder, who is the executive director of NTU's Nanyang Environment and Water Research Institute (Newri), and his team have identified four chemical compounds.
The chemical compounds were not present in animals from industrial farms, he noted.","ntu, discover, chemical, animals, compounds, amish, dust, farms, scientists, raised, compared, rural, asthma, children, allergies, cure"
14,Trends to watch in 2022: Farming in Singapore flourishes,https://www.straitstimes.com/life/trends-to-watch-in-2022-farming-in-singapore-flourishes,"SINGAPORE - The sight of bare supermarket shelves, as Singaporeans scrambled to load up on supplies before the circuit breaker in 2020, would have sent chills down many spines.
Although the mad buying was a temporary phenomenon, because supermarkets shelves were restocked swiftly, those few days of panic hoarding highlighted just how vulnerable Singapore can be.","farming, singaporeans, 2022, shelves, singapore, trends, supermarkets, spinesalthough, supermarket, vulnerable, swiftly, watch, supplies, temporary, flourishes"
