,news title,news source(url),content summary,keywords
0,"Cyclone Batsirai weakens after hitting Madagascar, floods feared",https://www.straitstimes.com/world/cyclone-batsirai-weakens-after-hitting-madagascar-floods-feared,"VATOMANDRY, MADAGASCAR (AFP) - Cyclone Batsirai weakened overnight but floods were still expected due to heavy rain after it hit eastern Madagascar with strong winds, the island's meteorological office said on Sunday (Feb 6).
But ""localised or generalised floods are still feared following the heavy rains"", it said, adding that Batsirai should emerge at sea in the Mozambique Channel later on Sunday.
The national meteorological office has said it fears ""significant and widespread damage"".
In the hours before the cyclone hit, residents hunkered down in the impoverished country, still recovering from the deadly Tropical Storm Ana late last month.
Community leader Thierry Louison Leaby lamented the lack of clean water after the water utility company turned off supplies ahead of the cyclone.","office, meteorological, floods, weakens, winds, island, water, weakened, feared, batsirai, hit, madagascar, hitting, cyclone"
1,"22 dead, dozens injured as flooding hits Ecuador's capital",https://www.straitstimes.com/world/eighteen-dead-46-injured-as-flooding-hits-ecuadors-capital,"QUITO (AFP, REUTERS) - At least 24 people perished in a landslide in Ecuador’s capital Quito, and 12 others were missing, Mayor Santiago Guarderas said on Tuesday (Feb 2), as rescue teams searched homes and streets covered by mud following the worst deluge in nearly two decades.
Other videos showed a torrent sweeping away trees, vehicles, dumpsters and even electricity poles, while some people were rescued from the muddy water by neighbours.
Ecuador is facing heavy rains in several areas, which have caused rivers to overflow and affected hundreds of homes and roads.
The 17-hour deluge caused a deluge that damaged roads, agricultural areas, clinics, schools, a police station and an electric power substation.
The resultant failure sent a kilometre-long deluge through a sports field where volleyball players were practicing with spectators on the sidelines.","capital, landslide, muddy, missing, caused, streets, mud, structure, away, water, quito, kills, spectators, ecuadors, deluge, 12, 24"
2,"Heavy rains cause landslides and flooding in Brazil, killing at least 19",https://www.straitstimes.com/world/heavy-rains-cause-landslides-and-flooding-in-brazil-killing-19,"BRASILIA (REUTERS) - Landslides and flooding from heavy rains in Sao Paulo state have killed at least 19 people since Friday, including seven children, public safety officials said on Sunday (Jan 30).
According to São Paulo state authorities, nine other people were injured in the rains and four more were missing, while some 500 families were left homeless across the state.
The hardest-hit municipalities around greater São Paulo included Aruja, Francisco Morato, Embu das Artes and Franco da Rocha.
The storms also caused damages upstate in Varzea Paulista, Campo Limpo Paulista, Jau, Capivari, Montemor and Rafard, state officials said.
Since December last year, heavy rains have triggered deadly floods in north-east Brazil, threatened to delay harvests in the mid-west and briefly forced the suspension of mining operations in the state of Minas Gerais.","million, upstate, paulista, landslides, state, flooding, brazil, paulo, heavy, 19, killing, officials, são, varzea, rains, cause"
3,Malaysia floods caused nearly $2 billion in losses,https://www.straitstimes.com/asia/se-asia/malaysia-floods-caused-nearly-2-billion-in-losses,"KUALA LUMPUR (REUTERS) - Floods that had devastated much of Malaysia in recent weeks have caused an estimated RM6.1 billion (S$1.97 billion) in overall losses, a government report said on Friday (Jan 28).
Dozens of people died while more than 120,000 were displaced after unusually heavy rain caused severe flooding in multiple states in mid-December and early January.
In a special report on the floods' impact, the Department of Statistics said damage to public assets and infrastructure caused losses of RM2 billion, followed by RM1.6 billion in damage to homes.
Selangor was also the worst hit overall, with about half of Malaysia's losses recorded in the state, the report said.
Malaysia's government has previously said it would provide about RM1.4 billion ringgit in cash aid and other forms of relief to those affected by the floods.","caused, floods, report, state, losses, kuala, recorded, malaysia, damage, billion, overall, nearly"
4,Malaysia PM blames Selangor amid arguments over accountability for flood crisis,https://www.straitstimes.com/asia/east-asia/malaysia-pm-blames-selangor-amid-arguments-over-accountability-for-flood-crisis,"Datuk Seri Ismail singled out Selangor, the most developed state, in a special parliamentary session meant to address issues surrounding the causes and management of the crisis.
""There were weaknesses in the state and district-level disaster management committees, and I was forced to intervene,"" he said in his opening address.
""The Selangor flood management did not improve after the second and third day, leading to dissatisfaction over slow aid,"" said Mr Ismail, while comparing the disaster management responses in Selangor to that in Pahang - his home state.
The floods in Selangor claimed 25 lives, and Pahang was the second-worst affected state with 21 deaths.
However, Mr Ismail said that unlike Selangor, Pahang's disaster management apparatus was more prepared and orderly, and had ""managed well"" despite some challenges.","slow, management, crisis, logging, floods, state, pahang, disaster, blames, ismail, malaysia, accountability, role, arguments, amid, flood, selangor"
5,China says Henan officials under-reported deaths in July flood,https://www.straitstimes.com/asia/east-asia/china-says-henan-officials-under-reported-deaths-in-july-flood,"BEIJING (BLOOMBERG) - Local government officials under-reported the number of people who died or went missing during severe flooding in central Henan province last July, China's Cabinet said, following a months-long investigation into the disaster.
Officials in Henan either concealed or delayed the recording of 139 such cases, the State Council, China's top government body, said in a report posted on its website late on Friday (Jan 21).
The final toll from the disaster was 398, the report showed.
At the time, the central government said that it will ""hold anyone responsible for dereliction of duty"".
The problems uncovered by the report will be transferred to the Central Commission for Discipline Inspection, the State Council said.","council, zhengzhou, china, report, underreported, deaths, state, missing, disaster, chinas, provincial, officials, henan, central, flood"
6,"Haiti quakes kill two, send residents flooding into the streets",https://www.straitstimes.com/world/haiti-quakes-kill-two-send-residents-flooding-into-the-streets,"PORT-AU-PRINCE (REUTERS) - Haiti was struck by a 5.3 magnitude earthquake and a series of smaller tremors on Monday (Jan 24) that killed two people and led panicked residents of the Caribbean nation's southern peninsula to flood into the streets.
Mr Jean Robert Leger, a resident of the town of Pestel on the southern peninsula, said the impact appeared to be minimal.
""We see that the houses next to the sea that were already damaged have collapsed some more.""
Children ran out of school buildings in Les Cayes and ""people were terrified,"" even though there was no damage, according to one resident.
The Coast Guard said it has rescued 559 Haitians since Oct 1, compared with 1,527 in the 12 months leading up to October.","quakes, haiti, peninsula, residents, streets, flooding, pestel, months, killed, reported, magnitude, send, southern, kill, les, tremors, homes"
7,Beijing punishes local officials for handling of deadly Henan floods,https://www.straitstimes.com/asia/east-asia/beijing-punishes-local-officials-for-handling-of-deadly-henan-floods,"BEIJING (REUTERS) - Beijing has punished almost 100 officials and company managers for dereliction of duty around catastrophic floods that hit Henan province and killed hundreds of people last July, state news agency Xinhua said on Friday (Jan 21).
They were among 89 local officials punished by the central government for what Beijing called poor handling of the emergency response to the floods, Xinhua said, citing the conclusions of an investigation led by the central government in Beijing.
The government has called the Henan floods the worst since China began keeping meteorological records.
From July 17-23, 398 people died or went missing in Henan province, according to the Xinhua report, published on the central government's website on Friday.
In China, regional and municipal officials are frequently demoted by the central government in response to the poor handling of manmade and natural disasters.","xinhua, punishes, zhengzhou, handling, floods, response, deadly, local, beijing, officials, henan, province, punished, central"
8,"Despite clinic loss, doctors in Malaysia press on with free services for flood victims",https://www.straitstimes.com/asia/se-asia/despite-clinic-loss-doctors-in-malaysia-press-on-with-free-services-for-flood-victims,"PETALING JAYA (THE STAR/ASIA NEWS NETWORK) - Her clinic was a total loss after the floods hit, with water destroying an expensive X-ray machine and all the medication.
Unexpected massive floods hit several states in mid-December, when the country experienced the heaviest rainfall in the past 100 years.
Eight of the 11 states in Peninsular Malaysia, including Selangor, Pahang and Negri Sembilan, were affected by the floods.
Having been a victim of floods herself in 1995 in that same area, Dr Shalini said she understood how it felt to be in such a position.
So the couple put aside their worries about their damaged clinic and started a temporary medical camp on Dec 25.","clinic, floods, services, despite, dr, shalini, doctors, victims, press, malaysia, states, space, loss, free, camp, hit, flood, medical"
9,"Food supply hit ahead of CNY, Ramadan after floods wiped out Malaysian farms",https://www.straitstimes.com/asia/se-asia/food-supply-hit-ahead-of-cny-ramadan-after-floods-wiped-out-malaysian-farms,"""I had to throw away some 1,200 eggs as they could be contaminated with bacteria from the flood waters,"" he told The Straits Times.
Mr Azim, who has no income this month, will have to feed them vitamins and anti-stress supplements.
Chilli grower Ahmad Irham Mohd Noor, 40, saw his entire farm in Dengkil, Selangor, completely destroyed in floods which reached 3.4m high, with losses of around RM100,000 (S$32,300).
The disruptions in the food supply chain - ahead of Chinese New Year next month and Ramadan in April - come after a series of massive floods devastated parts of Malaysia from Dec 18.
Malaysia Federation of Vegetable Farmers Association president Lim Ser Kwee said many farmers were badly hit by floods in states such as Johor, Selangor and Pahang.","cny, supply, farm, malaysian, floods, told, wipe, farms, ramadan, vegetables, month, ahead, high, hit, chinese, flood, johor, food"
10,How the Merlion could be flooded by rising seas,https://www.straitstimes.com/singapore/environment/how-the-merlion-could-be-flooded-by-rising-seas,"The simulation on rising sea levels is among 45 visuals, videos and interactive projects by the ST newsroom that are on display.
Readers can see for themselves the potential impact on landmarks and places they are familiar with - if not enough is done to tackle climate change.
A host of other factors, including coastal surges and extreme high tides, may further add to the rising sea levels.
But such a nightmare scenario can be averted, with Singapore's ongoing efforts to fight climate change and protect its shores.
Said ST digital editor Ong Hwee Hwee, who oversees the project: ""Some may still think climate change is a distant threat.","change, rise, flooded, exhibition, singapore, rising, seas, climate, levels, high, sea, merlion, st"
11,Good samaritans step forward with free services for flood victims in Malaysia,https://www.straitstimes.com/asia/se-asia/good-samaritans-step-forward-with-free-services-for-flood-victims-in-malaysia,"KUALA LUMPUR - Nearly a month after devastating floods in Malaysia, stories of good Samaritans abound with people offering motorcycle repairs and medical services for free.
Volunteer mechanics have been donating their time as well as spare parts to fix motorcycles that were damaged during what was described as one of the worst floods ever seen in the Klang Valley in Selangor.","repairs, step, spare, floods, services, parts, valley, forward, victims, samaritans, malaysia, good, worst, free, seen, flood, selangor"
