,news title,news source(url),content summary,keywords
0,"Global food prices hit 2-decade high, threatening world's poorest",https://www.straitstimes.com/business/economy/global-food-prices-hit-2-decade-high-threatening-worlds-poorest,"WASHINGTON (NYTIMES) - Food prices have skyrocketed globally because of disruptions in the global supply chain, adverse weather and rising energy prices, increases that are imposing a heavy burden on poorer people around the world and threatening to stoke social unrest.
A global index released on Thursday (Feb 3) by the United Nations Food and Agriculture Organisation showed that food prices in January climbed to their highest level since 2011, when skyrocketing costs contributed to political uprisings in Egypt and Libya.
Even before the pandemic, global food prices had been trending upwards as disease wiped out much of China's pig herd and the United States-China trade war resulted in Chinese tariffs on US agricultural goods.
But as the pandemic began in early 2020, the world experienced seismic shifts in demand for food.
While food prices appear set to stabilise, events like a conflict in Ukraine, a major producer of wheat and corn, or further adverse weather could change that calculation, Mr Bogmans said.","price, weather, world, prices, 2decade, hit, threatening, increases, poorest, pandemic, supply, worlds, food, cent, high, global"
1,"Ukraine tensions can choke supply of energy, food for S'pore and Asia",https://www.straitstimes.com/business/companies-markets/ukraine-tensions-can-choke-supply-of-energy-food-for-spore-and-asia,"SINGAPORE - Far away from Singapore, there is a conflict brewing in eastern Europe that can make a bad situation worse in the global commodities markets and in turn cause problems here.
The stand-off between Russia and the West over Ukraine can add more volatility in energy and food prices, which are already in flux, and further boost inflation in Singapore and elsewhere by adding to the supply constraints caused by the pandemic.","spore, singapore, situation, volatility, turn, standoff, ukraine, russia, supply, worse, choke, food, asia, west, energy, tensions"
2,Agri-food sector growing rapidly in S'pore with drive towards sustainable food innovation,https://www.straitstimes.com/business/economy/agri-food-sector-growing-rapidly-in-spore-with-drive-towards-sustainable-food-innovation,"SINGAPORE - As the world grapples with challenges to food supplies such as climate change, Singapore has been shoring up its food security through agri-food innovation.
The high-tech agriculture sector in Singapore is expected to create about 4,700 jobs by 2030.
Among firms driving Singapore's agri-food sector growth is plant-based food manufacturer Next Gen Foods, which launched its chicken alternative TiNDLE in Singapore last March.
While Next Gen Foods' product R&D is done in Singapore, its production facility is in the Netherlands.
Food technologist Claudia Lee works on new product development at Next Gen Foods, researching and developing new plant-based products to address global consumer demand.","spore, rapidly, singapore, foods, growing, sustainable, agrifood, plantbased, sector, food, innovation, tindle, development, product, gen, drive"
3,Researchers develop blueprint for sustainable food system using black soldier flies,https://www.straitstimes.com/singapore/researchers-develop-blueprint-for-sustainable-food-system-using-black-soldier-flies,"SINGAPORE - Imagine a future where food waste is converted into nutrients for food production, all in a work of magic by the ubiquitous black soldier fly.
This is exactly the vision that an interdisciplinary team of researchers hopes to realise, as they develop a blueprint to integrate food waste management and sustainable food production in urban settings like Singapore.
As larvae, black soldier flies are able to consume up to four times their body weight in food waste daily, converting the waste into a by-product known as frass - which can be used to substitute or supplement commercial fertilisers in agriculture.
The project, which Prof Nalini led with Professor Stephen Cairns from the Singapore-ETH Centre's Future Cities Lab Global programme, is done in collaboration with researchers from the Nanyang Technological University (NTU) and ETH Zurich.
Prof Cairns said: ""Designing fully circular food systems for high-density cities like Singapore requires experimentation at different scales.","singapore, system, researchers, production, blueprint, soldier, project, sustainable, flies, using, national, nalini, prof, food, develop, waste, black"
4,"President Xi says country's low-carbon push must guarantee energy, food security",https://www.straitstimes.com/asia/east-asia/chinas-xi-says-countrys-low-carbon-push-must-guarantee-energy-food-security,"SHANGHAI (REUTERS) - China's ambitious low-carbon goals should not come at the expense of energy and food security or the ""normal life"" of ordinary people, President Xi Jinping said, signalling a more cautious approach to climate change as the economy slows.
Mr Xi told senior Communist Party leaders in a speech published late on Monday (Jan 24) that China needs to ""overcome the notion of rapid success"" and proceed gradually.
""Reducing emissions is not about reducing productivity, and it is not about not emitting at all,"" Mr Xi was quoted by state news agency Xinhua as saying.
""We must stick to the overall planning and ensure energy security, industrial supply chain security and food security at the same time as cutting carbon emissions,"" he said.
With energy supplies still a major concern after a wave of shortages hit manufacturers last year, Mr Xi also told party leaders that ""the gradual withdrawal of traditional energy must be based on the safe and reliable replacement by new energy"".","emissions, security, push, guarantee, state, xi, lowcarbon, told, china, food, countrys, targets, party, energy, mr, president"
5,Omicron's spread means more food outages at US grocery stores,https://www.straitstimes.com/world/united-states/omicrons-spread-means-more-food-outages-at-us-grocery-stores,"WASHINGTON (BLOOMBERG) - The highly contagious Omicron virus variant is disrupting already stressed food supply chains, sickening so many workers that more shortages at grocery stores are all but certain.
All of that will help fuel wage increases and price surges for consumers, as well as 2020-style food outages.
""Labour shortages due to Omicron are going to exacerbate the issue.""
On the receiving side, the company is having trouble getting supplies from food manufacturers, especially processed items such as cereal and soup, Mr Sarsam said.
More food inspectors are calling in sick, too, said Ms Paula Soldner, chair of the National Joint Council of Food Inspections Locals.","seeing, means, workforce, omicron, outages, supply, variant, stores, food, cent, spread, manufacturers, omicrons, shortages, labour, grocery"
6,"Food supply hit ahead of CNY, Ramadan after floods wiped out Malaysian farms",https://www.straitstimes.com/asia/se-asia/food-supply-hit-ahead-of-cny-ramadan-after-floods-wiped-out-malaysian-farms,"""I had to throw away some 1,200 eggs as they could be contaminated with bacteria from the flood waters,"" he told The Straits Times.
Mr Azim, who has no income this month, will have to feed them vitamins and anti-stress supplements.
Chilli grower Ahmad Irham Mohd Noor, 40, saw his entire farm in Dengkil, Selangor, completely destroyed in floods which reached 3.4m high, with losses of around RM100,000 (S$32,300).
The disruptions in the food supply chain - ahead of Chinese New Year next month and Ramadan in April - come after a series of massive floods devastated parts of Malaysia from Dec 18.
Malaysia Federation of Vegetable Farmers Association president Lim Ser Kwee said many farmers were badly hit by floods in states such as Johor, Selangor and Pahang.","malaysian, ahead, hit, farms, month, farm, wipe, told, supply, johor, chinese, food, floods, cny, high, flood, ramadan, vegetables"
7,Defending the Amazon: How indigenous culture protects Colombia's rainforest,https://www.straitstimes.com/world/defending-the-amazon-how-indigenous-culture-protects-colombias-rainforest,"""We've been living here for thousands of years and there's no destruction of the forest,"" said Ms Souza, a member of the Matapi indigenous group.
There are also areas that cannot be touched - both sacred sites and sections of land near small isolated indigenous groups that avoid contact with others.
Rules governing fishing also exist - including that setting off dynamite, a method used elsewhere in the Amazon to kill fish, is banned.
Almost half of the remaining intact forests in the Amazon Basin are in indigenous territories, according to the United Nations.
A 2021 UN report found that in nearly every Latin American country, indigenous lands showed lower deforestation rates than other forest areas.","protects, rainforest, trees, souza, indigenous, small, using, forest, colombias, ms, soil, used, amazon, defending, culture"
8,Colombia demands removal from 'hunger hotspots' list,https://www.straitstimes.com/world/colombia-demands-removal-from-hunger-hotspots-list,"BOGOTA (AFP) - Colombia took umbrage on Monday (Jan 31) at being included in a report by UN agencies on 20 ""hunger hotspots"", demanding to be removed from the list of countries considered at risk of ""acute food insecurity"".
Other countries on the list included South Sudan, Ethiopia, Somalia, Madagascar and Yemen.
The country asked to be removed from the list of ""hotspots"" and for statements made about Colombia to be ""corrected"", Foreign Minister Martha Lucia Ramirez told reporters.
It also highlighted a lack of food security for 1.1 million Venezuelan migrants who fled their country and now live in Colombia.
Mr Alan Bojanic, the FAO representative in Colombia, lamented that the way the data was presented ""was not the best"".","foreign, removed, migrants, list, included, removal, food, million, demands, hunger, report, hotspots, colombia"
9,Trickle of humanitarian aid enters North Korea as border closure drags on,https://www.straitstimes.com/asia/east-asia/trickle-of-humanitarian-aid-enters-north-korea-as-border-closure-drags-on,"SEOUL (REUTERS) - After nearly two years of border closures to protect North Korea against the pandemic, some humanitarian aid is trickling into the country, though shipments of key supplies including food remain blocked, according to United Nations organisations.
North Korea has not reported any Covid-19 cases and has imposed strict anti-virus measures, including border closures and domestic travel curbs since the pandemic began early 2020.
North Korea called that report ""slander,"" but leader Kim Jong Un has admitted to a ""tense"" food situation.
Since August 2021, ""very few relief items"" were permitted to enter North Korea, after undergoing a quarantine period of more than three months followed by disinfection procedures, the World Food Programme said in its December report on North Korea.
The World Health Organisation (WHO) said in October that Covid-19 aid supplies had arrived in North Korea but were being held in quarantine at Nampo.","korea, humanitarian, world, enters, trickle, supplies, country, closure, aid, covid19, drags, food, united, border, shipments, report, north"
