,date,title,intro,url,content summary,keywords
0,3-Mar-22,Co-branding collaboration: CRUST reveals new model to help big food firms benefit from upcycling,Singapore upcycling products firm CRUST has revealed a new collaborative upcycling business model of working with big food and beverage brands to develop new co-branded products from their existing food waste.,www.foodnavigator-asia.com/Article/2022/03/03/crust-reveals-new-co-branding-upcycling-model-to-help-big-food-firms,"CRUST is best-known for the creation of its upcycled beer​ made using surplus bread from bakeries and e-commerce platforms, and also recently soft-launched an upcycled non-alcoholic beverage line​ CROP after various challenges in 2021, aiming for a full-scale launch in March 2022.
According to CRUST Group Founder and CEO Travin Singh, in addition to the firm’s conventional business model of producing and selling its own upcycled products, it is also adding a new business model which has been dubbed ‘Sustainable Unique Label’ or SUL, which will see the firm coming in as an R&D partner for other food and beverage firms to work on the development of unique upcycled products.
“The target in particular will be big food firms that have a lot of food waste left over from their production operations which they would usually donate or throw away, as currently most of them are not aware or not able to upcycled this waste,”​ Travin told FoodNavigator-Asia​.
“In addition to SULs, we’re also planning to do a lot more in terms of special projects with high PR value to bring up consumer awareness of upcycled products, e.g.
“CROP also has an additional good point of marketing which is that it is a functional drink, as it contains parabiotics (compounds containing inactivated unused parts of probiotics) that are believed to improve microbiome health,”​ he said.","['model', 'upcycling', 'reveals', 'firms', 'cobranding', 'upcycled', 'big', 'crust', 'singapore', 'worked', 'need', 'beverage', 'help', 'collaboration', 'beer', 'food']"
1,2-Mar-22,"Funding ‘massive impact’: Plant-based, cell-cultured and fermentation tech sectors to benefit from new APAC fund","A new APAC-focused investment fund says it can create a ‘massive impact’ by supporting firms targeting large-scale animal-based industries, including plant-based, cell-cultured and fermentation outfits.",www.foodnavigator-asia.com/Article/2022/03/02/plant-based-cell-cultured-and-fermentation-tech-sectors-to-benefit-from-new-apac-fund,"The new investment fund is dubbed Better Bite Ventures, which recently announced the initial 10 companies in its portfolio which will benefit from its US$15mn fund.
Of these, four are cell-cultured firms, three are plant-based and two use fermentation technology, signifying the fund’s aim to cover all the bases.
“We maintain a strong focus on authentic Indonesian and South East Asian flavours as well as strong nutrition profile [as our main value proposition because] these can help boost the appeal of plant-based foods here,”​ Angelina told us.
“We believe in hybrid products - for example, plant-based meat with some cultivated fat - will take current products to the next level when it comes to taste and mouthfeel,”​ he told us.
Better Bites Ventures is also funding an as-yet anonymous molecular farming start-up as part of its first batch of investments.","['protein', 'early', 'firms', 'fermentation', 'products', 'meat', 'massive', 'cellcultured', 'foods', 'fund', 'benefit', 'plantbased', 'better', 'sectors', 'tech', 'funding', 'impact', 'ventures']"
2,2-Mar-22,‘Corporate daigou boom’: Formula firm Bubs boosted by formal platforms for sellers,"Infant formula maker Bubs reported a record high gross revenue coming from corporate daigou companies, which help individual sellers navigate hurdles such as procurement and deliveries.",www.foodnavigator-asia.com/Article/2022/03/02/bubs-says-china-sales-boosted-by-corporate-daigou-boom,"Gross revenue from the corporate daigou channel hit a record high, reporting a 276 per cent increase as compared to the prior corresponding period (pcp).
Bubs is also pinning hopes on the return of China students, a major source of daigou agents, to Australia.
Pre-COVID-19, there were 211,965 China students in the country between January and December in 2019, according to data from Australia’s Department of Education, Skills, and Employment.​Between January and September last year, there were 166,319 China students in Australia.
Key stats ​Bubs recorded a group gross revenue of AUD$38.5m (US$27.9m) – up73 per cent pcp, while its EBITDA profit was AUD$1.2m (US$870k).
Strong growth was also seen from its CBEC channel, where gross revenue was up 53 per cent pcp.","['formal', 'company', 'firm', 'boosted', 'daigou', 'corporate', 'boom', 'product', 'platforms', 'cent', 'revenue', 'gross', 'bubs', 'students', 'china', 'sellers', 'formula']"
3,1-Mar-22,Exports wish list: Malaysian palm oil sector reveals hottest prospects for overseas growth,"Vietnam, the Philippines, along with Middle Eastern and North African nations have been identified as key growth opportunities for the Malaysian palm oil sector, as it seeks to open up new export channels.",www.foodnavigator-asia.com/Article/2022/03/01/malaysian-palm-oil-sector-on-overseas-export-growth-prospects,"When we spoke with the Malaysian Palm Oil Council (MPOC) last year, CEO Datuk Dr Wan Zawawi Wan Ismail had already shared the council’s plans to move beyond China and India​ – Malaysia’s current top export destinations for palm oil – in order to diversify the country’s export markets.
“The current palm oil market has only two major palm oil exporters with Indonesia taking about 70% and us taking about 26% to 27%, and it has been this way for some time now.
If implemented well and successfully, this would create an environment of fewer logistical barriers for palm oil entry.
Japan in particular is being eyes for its packaged food sector.
“There’s also Dubai which will be seeing a lot of B2B palm oil demand due to a post-COVID-19 impact where global events will start to be held, such as Expo Dubai.","['list', 'sector', 'reveals', 'wish', 'malaysian', 'markets', 'hottest', 'potential', 'philippines', 'countries', 'demand', 'palm', 'market', 'oil', 'prospects', 'overseas', 'food']"
4,28-Feb-22,South Korea export stars: Kimchi and premium fruit exports see record growth in 2021,"South Korea’s kimchi and premium fruits including strawberries and grapes have experienced record growth numbers in 2021 due to evolving post-COVID-19 consumer trends, according to recent government reports.",www.foodnavigator-asia.com/Article/2022/02/28/south-korea-kimchi-and-premium-fruit-exports-see-record-growth-in-2021,"In its latest release of annual reports detailing food export achievements of the previous year, the South Korean Ministry of Agriculture, Food and Rural Affairs (MAFRA) highlighted that kimchi and premium fruits have achieved record growth in 2021.
“In particular, South Korean kimchi exports reached a record high of around US$159.9mn, [marking the] fifth consecutive year of growth since 2017,”​ said MAFRA Minister Kim Hyeon-soo via a public statement.
“Together, both of these premium fruits brought in US$103.1mn worth of export revenue for the country, exceeding the US$100mn mark for the category for the first time,”​ added Kim.
Overall, the country’s agri-food product exports also reached a record high in 2021, surpassing the US$10bn mark for the first time to reach US$11.4bn in value.
Apart from kimchi and premium fruits as above, MAFRA also highlighted good growth numbers for items such as ginseng (16.3% growth), ramen (11.8% growth), beverages (18.2% growth), sauces (14.7% growth) and processed rice products (18.1% growth).","['south', 'products', 'mafra', 'growth', 'export', 'fruits', 'kimchi', '2020', 'rice', 'fruit', 'record', 'premium', 'exports', 'stars', 'korea']"
5,28-Feb-22,‘Economic sabotage’: Philippines sugar dispute grinds on as producers demand import plan is scrapped,"Controversy continues to surround the Philippines’ Sugar Regulatory Administration’s (SRA) efforts to import 200,000 metric tonnes of premium refined sugar into the country, with the domestic industry securing a temporary halt to the measures.",www.foodnavigator-asia.com/Article/2022/02/28/philippines-sugar-dispute-continues-as-producers-demand-import-plan-is-scrapped,,
6,28-Feb-22,Socially responsible price hikes? Nestle promises APAC rises only if ‘non-compensable’ costs increase,"Nestle has promised APAC consumers that any unavoidable price hikes as a result of ‘non-compensable’ cost increases will be passed on to consumers in a ‘socially responsible’ manner, after announcing positive organic growth in its Asia, Oceania and sub-Saharan...",www.foodnavigator-asia.com/Article/2022/02/28/nestle-promises-apac-rises-only-if-non-compensable-costs-increase,"Nestle reported its FY2021 full-year results on February 17, where it posted overall 7.5% organic growth in total sales to CHF87.1bn (US$94.8bn) and a 1.4% increase in profits to CHF15.1bn (US$16.4bn).
When queried by FoodNavigator-Asia ​on whether any potential price hikes are upcoming for APAC markets, particularly developing markets in the region where many socioeconomically challenged consumers are located, Nestle CEO Mark Schneider did not rule this out but promised that the firm would be as ‘socially responsible’ as possible if push came to shove.
“The APAC region is very important to us, one which we are very bullish about and that we will continue to invest in,”​ said Schneider.
Price uncertainty​As far back as April last year, talk was already rife about a potential price hike for Nestle products when Schneider already urging caution and warning about ‘broad based inflation’ affecting the company’s operation and production costs.
Nestle took the top spot of the Access to Nutrition Index (ATNI) last year, which ranks F&B firms based on how healthy, accessible and affordable their products are for consumers.","['price', 'products', 'hikes', 'noncompensable', 'nutrition', 'increase', 'sales', 'nestle', 'responsible', 'markets', 'growth', 'promises', 'costs', 'socially', 'consumers', 'region', 'important', 'apac', 'rises']"
7,22-Feb-22,‘Holy grail’ of alternative protein: BlueNalu confident in cultured seafood profitability as industry matures,"Cultured seafood pioneer BlueNalu believes the sector will become one of the most profitable and successful alternate protein options in the near future, based on its rapid maturation as well as widespread demand in regions like Asia.",www.foodnavigator-asia.com/Article/2022/02/22/BlueNalu-confident-in-cultured-seafood-profitability-as-industry-matures,"According to BlueNalu CEO Lou Cooperhouse, amongst all the existing alternative meat technologies and products being developed today, he believes that cultured seafood is the ‘holy grail’ for the alternative protein sector, particularly so in Asia.
“When I started looking at the alternative protein sector, I was studying all the opportunities that might exist in that world and was fascinated by all the options i.e.
plant-based, fermentation technology and cell culture technology,”​ Cooperhouse told FoodNavigator-Asia​.
“We've also found through our research that foodservice operators are very motivated [to try cultured seafood] because they currently have such an inconsistent supply chain - It's the reason why restaurants don't always have seafood on their menu, it's very variable because the supply chain is so unpredictable,”​ he added.
“So [the time when] we could really see cultured seafood hitting the market in larger volumes is actually not that far away,”​ Cooperhouse concluded.","['production', 'protein', 'holy', 'grail', 'seafood', 'asia', 'really', 'supply', 'confident', 'industry', 'factories', 'large', 'matures', 'bluenalu', 'scale', 'cultured', 'profitability', 'food']"
8,22-Feb-22,Carlsberg Malaysia predicts ‘challenging’ year ahead despite profits rise and premium popularity,"Carlsberg Malaysia has predicted that the year ahead will continue to be a challenging one for the beer industry in view of rising costs and the COVID-19 Omicron variant, despite having seen a significant rise in profits and premium product sales in the...",www.foodnavigator-asia.com/Article/2022/02/22/carlsberg-malaysia-predicts-challenging-year-ahead,"Carlsberg Malaysia announced its FY2021 financial results on Feb 17 2021, posting a 23.9% jump in net profits to hit RM201mn (US$48mn), and flat annual revenue (-0.73%) to RM1.78bn (US$425.3mn).
Much of the company’s profits were regained in Q42021, where it saw an 88.2% rise year-on-year profit of RM71.4mn (US$17.1mn).
“The most significant growth we saw was in our premium products portfolio, where there was a 15% increase in sales,” ​Carlsberg Malaysia Managing Director Stefano Clini told the floor at a press conference following the financial results announcement.
“In 2021, some of the most expensive costs we saw were for aluminium and barley malt, but we managed to prevent significant impacts by hedges e.g.
having a fixed price for barley set before the commodity increased in price,”​ Carlsberg Malaysia Chief Financial Officer Vivian Gun said.","['rise', 'products', 'financial', 'saw', 'investment', 'carlsberg', 'malaysia', 'ontrade', 'popularity', 'profits', 'challenging', 'predicts', 'ahead', 'premium', 'despite', 'hit', 'beer']"
9,21-Feb-22,Building back butter? Nepali peanut butter brand Sanchai targets post-COVID exports recovery,"Nepalese peanut butter brand Sanchai, that was founded to provide much needed jobs for women, is seeking to bounce back from its COVID-19 slowdown by exporting to Singapore and exploring market opportunities in the United States.",www.foodnavigator-asia.com/Article/2022/02/21/nepali-peanut-butter-brand-sanchai-targets-post-covid-exports-recovery,"Established by Japanese entrepreneur Naka Kotobuki, the firm started selling natural peanut butter and a sugar-free version in 2018.
In Nepal, the products are sold at some supermarkets and grocery stores in Kathmandu, with tourists its main clientele.
So Kotobuki decided to build a factory to create employment for women, while cultivating the local peanut industry.
Sanchai partners with farmers to buy peanuts, and hires local women at its factory to turn these peanuts into a higher value items.
Its peanut butter products are free from additives, containing only peanuts, brown sugar (sugar-version), Himalayan salt and organic spices.","['targets', 'products', 'japan', 'nepali', 'khotang', 'exports', 'women', 'nepal', 'tourists', 'recovery', 'peanut', 'building', 'postcovid', 'sanchai', 'local', 'peanuts', 'brand', 'butter', 'kotobuki']"
10,21-Feb-22,Step-by-step: Hybrid products ‘steady strategy’ for alt protein industry to convert consumers - experts,"Hybrid meat products comprising ‘real’ meat and plant-based meat have been hailed as one of the steadiest strategies available for the alternative protein industry to convert consumers, gain acceptance and maximise its reach in Asian markets.",www.foodnavigator-asia.com/Article/2022/02/21/hybrid-products-steady-strategy-for-alt-protein-industry-to-convert-consumers,"Hybrid meat products could be a combination of plant-based protein with either conventional or cultured ‘real’ meat, and industry experts believe that ironically the presence of this ‘real’ meat in products could be what crucial to converting consumers to eventually reducing their consumption of traditionally-produced meat.
“So until [real replacements] are made, I believe the future of alternative proteins in Asia [for the foreseeable future] will lie in hybrid products, a combination of plant-based ingredients with conventional meat,”​ Wang added.
Chinese plant-based meat firm HEROTEIN for example is partnering with cultured animal product company Mission Barns to develop a line of hybrid meat products.
“In terms of cost, it will take some time for the price of cultured meat to come down, and the food system needs an alternative protein option that is more affordable and available to the masses within a shorter period of time.
So hybrid products look like the best option to solve these challenges and gain consumer acceptance more quickly for the alternative protein market to grow faster.”​HEROTEIN aims to be the first to launch hybrid products within the country, which is a bold objective given that cultured meat has yet to see regulatory frameworks set up as of yet.","['protein', 'steady', 'stepbystep', 'chicken', 'products', 'consumers', 'meat', 'plantbased', 'industry', 'hybrid', 'experts', 'convert', 'real', 'cultured', 'product', 'strategy']"
11,21-Feb-22,‘Doubtful practicality’: Concerns over Indonesia’s new trade licensing policy following pilot launch with five food commodities,"Food industry and policy experts have voiced doubts about the practical benefits of Indonesia’s new trade licensing policy, the Neraca Komoditas, which is kicking off this year for five major food commodities.",www.foodnavigator-asia.com/Article/2022/02/21/concerns-over-indonesia-s-new-trade-licensing-policy-following-pilot-launch,"This effort will see the integration of multiple national databases pertaining to local commodity supply and demand, and its pilot launch will commence with five food industry products: rice, salt, sugar, beef, and fisheries.
“If the NK is implemented successfully, it will cut one step out of the licensing process and reduce opportunities for corruption.
“A lot of red tape can be cut as quotas for import and export will be allocated by the Ministry of Trade based on the NK, not by individual letters from the technical ministries (e.g.
“Eliminating quota permits would eliminate their potential to aid corruption.
Eliminating the entire permit system would streamline the process more effectively than cutting some of the existing red tape,”​ said the authors.","['practicality', 'indonesias', 'following', 'pilot', 'launch', 'doubtful', 'potential', 'working', 'process', 'system', 'corruption', 'ministries', 'trade', 'policy', 'data', 'nk', 'licensing', 'ministry', 'food']"
12,17-Feb-22,‘Winning strategy’: Why hybrid meat / plant protein products can help overcome taste and texture challenges,"Hybrid products containing both animal and plant proteins are offering manufacturers the chance to overcome taste and texture challenges, while simultaneously tapping into the large number of consumers who are eager to learn about alternative proteins.",www.foodnavigator-asia.com/Article/2022/02/17/hybrid-meat-plant-protein-products-can-help-overcome-taste-and-texture-challenges,"And according to data from Kerry’s recent protein-focused report The Protein Mindset,​ many plant protein sources hold strong market potential due to positive associations with health and nutrition.
This means that companies looking to market plant-based products in this region need to place more emphasis on the main driving criteria of taste and nutrition – areas which can also be the most challenging for this market.
“Plant proteins have strong market potential but taste, texture and nutritional optimisation are challenges [that many firms still] need to overcome,”​ stated the report authors.
“[Here, we believe that] hybrid formulations with both plant and other proteins are appealing to consumers and represent a winning strategy for manufacturers to overcome these challenges.
“This finding was not a surprise, as the majority of consumers driving the plant-based market are flexitarians, consumers who still consume animal protein but seek to integrate more plant proteins into their diets,”​ said the authors.","['protein', 'proteins', 'asia', 'products', 'meat', 'consumers', 'winning', 'market', 'plantbased', 'texture', 'plant', 'overcome', 'hybrid', 'taste', 'strategy']"
13,14-Feb-22,Change is in the wind: Nestle Australia highlights plant-based portfolio and 100% renewable energy switch,Nestle Australia has highlighted its switch to 100% renewable energy for all operations as well as its rapidly broadening plant-based product portfolio as key initiatives that will help the firm to reach its 2050 net zero emissions goal.,www.foodnavigator-asia.com/Article/2022/02/14/nestle-australia-highlights-plant-based-portfolio-and-100-renewable-energy-switch,"“We don’t have a specific percentage [of our portfolio] we are looking to convert into plant-based products as such, but plant-based products are also a key part of [reaching] our 2030 and 2050 goals,”​ said Stuart.
Stuart agreed that the firm’s biggest challenge is the climate, and stressed that extensive trials are conducted before any new packaging materials can be approved for use.
“Our biggest challenge in developing sustainable packaging materials in our region is humidity, particularly in the Pacific Islands, as moisture can affect product quality,”​ she said.
“In these instances we still use packaging materials which have a higher moisture barrier to prevent moisture entering the pack, an approach that is widely used in humid areas.
Heat can also be a concern for shelf life because it affects the quality of the product, but is less likely to affect packaging.","['used', 'energy', 'products', 'highlights', 'quality', 'nestle', 'switch', 'plantbased', 'carbon', 'australia', 'renewable', 'wind', 'change', 'emissions', 'portfolio', 'packaging', 'product', 'materials']"
14,8-Feb-22,"Where there’s a will, there’s a whey: Australia’s Hartshorn eyes international opportunities with sheep whey spirits",Australia-based Hartshorn Distillery has big plans for international market expansion with its award-winning sheep whey-based spirits and out-of-the-ordinary product innovations.,www.foodnavigator-asia.com/Article/2022/02/08/Australia-s-Hartshorn-eyes-international-opportunities-with-sheep-whey-spirits,"Hartshorn Distillery is run by sheep milk product specialists Ewenique Enterprises, which also operates sheep cheese firm Grandvewe and personal care firm ewe care.
Now, Gilliver is looking to expand Hartshorn’s horizons and markets in a big way, confident that the quality and uniqueness of the spirits can hold its own in the international arena.
“Most distilleries use just below half of their yield, but we use only the best 10% of distillate to ensure minimal impurities and maximum quality,”​ she added.
There’s also a whey-based liqueur as well as a ‘whey-skey’, which is the world’s first sheep whey-based whiskey.
From cheese to alcohol​The whey to make Hartshorn’s spirits comes from its Grandvewe sheep cheese business, which is also making a name in its own right in Australia.","['used', 'cheese', 'sheep', 'hartshorn', 'vodka', 'theres', 'unique', 'whey', 'opportunities', 'international', 'milk', 'wheybased', 'australias', 'eyes', 'spirits']"
