,date,location,news title,news source(url),content summary,keywords,class_name
0,07/2019,"GUADALAJARA (Mexico) • A freak hailstorm struck Guadalajara, one of Mexico's most populous cities, shocking residents and trapping vehicles in a deluge of ice pellets up to 2m deep.

""I've never seen such scenes in Guadalajara,"" said the state governor Enrique Alfaro. ""Then we ask ourselves if climate change is real. These are never",Mexican city hit by freak hailstorm,https://www.straitstimes.com/world/americas/mexican-city-hit-by-freak-hailstorm,"GUADALAJARA (Mexico) • A freak hailstorm struck Guadalajara, one of Mexico's most populous cities, shocking residents and trapping vehicles in a deluge of ice pellets up to 2m deep.
""I've never seen such scenes in Guadalajara,"" said the state governor Enrique Alfaro.
At least six neighbourhoods in the city outskirts woke up to ice pellets up to 2m deep on Sunday.
While children scampered around and hurled iceballs at each other, Civil Protection personnel and soldiers brought out heavy machinery to clear the roads.
While no casualties were reported, two people showed ""early signs of hypothermia"", said the state Civil Protection office.","freak, reported, guadalajara, mexican, hit, city, hailstorm, ice, pellets, civil, deluge, vehicles, state, protection, mexico",Severe weather disruptions
1,12/2018,"Sydney was hit yesterday by a violent hailstorm which pelted hailstones the size of tennis balls across the city, causing widespread damage and bringing the city to a standstill.

The Insurance Council of Australia declared the storm a ""catastrophe"".

""It is pretty clear... that the damage is likely to be widespread and catastrophic in its proportions,"" Mr Campbell Fuller, a spokesman for the council, told ABC News.

The storm struck various parts of Sydney between 4pm and 6pm local time as thick grey clouds shrouded Australia's largest city in darkness.

Heavy rain was followed by one or two short bursts of hailstones, lasting about a minute each. The hail smashed car windscreens and damaged panelling, broke home windows and tore through trees and foliage.

The cost of the damage is expected to be in the tens, or possibly hundreds, of millions of dollars.

Sydney resident Wayne Wilson said his street was pummelled by ""baseball",Violent hailstorm cripples Sydney,https://www.straitstimes.com/world/violent-hailstorm-cripples-sydney,"Sydney was hit yesterday by a violent hailstorm which pelted hailstones the size of tennis balls across the city, causing widespread damage and bringing the city to a standstill.
The storm struck various parts of Sydney between 4pm and 6pm local time as thick grey clouds shrouded Australia's largest city in darkness.
After the hailstorm, between 6pm and 7pm, about 30,000 lightning strikes were recorded in the greater Sydney region.
""This Sydney hail is some of the weirdest-looking hail I've seen,"" said one comment.
A catastrophic hailstorm in Sydney in 1999 caused damage of more than A$1.5 billion (S$1.47 billion) and was one of the costliest disasters in Australian insurance history.","widespread, sydney, damage, car, hail, violent, city, hailstorm, storm, insurance, told, cripples",Severe weather disruptions
2,07/2019,"TIGNES • Colombian Egan Bernal snatched the Tour de France yellow jersey from home hopeful Julian Alaphilippe in bizarre circumstances yesterday, as the 19th stage was stopped by a hailstorm before the final climb into Tignes.

Team Ineos rider Bernal, who began the day 1min 30sec behind, was rewarded for attacking on the penultimate climb up Col de L'Iseran, the 2,770m roof of the Tour.

Alaphilippe began eating back into the lead with a brilliant descent, only to be told to stop riding after organisers called off the 126.5km stage from Saint",Bernal takes yellow as hailstorm halts stage,https://www.straitstimes.com/sport/bernal-takes-yellow-as-hailstorm-halts-stage,"TIGNES • Colombian Egan Bernal snatched the Tour de France yellow jersey from home hopeful Julian Alaphilippe in bizarre circumstances yesterday, as the 19th stage was stopped by a hailstorm before the final climb into Tignes.
Team Ineos rider Bernal, who began the day 1min 30sec behind, was rewarded for attacking on the penultimate climb up Col de L'Iseran, the 2,770m roof of the Tour.
Alaphilippe began eating back into the lead with a brilliant descent, only to be told to stop riding after organisers called off the 126.5km stage from Saint-Jean-de-Maurienne because of the dangerous conditions ahead.
In another blow for the home fans, a tearful Thibaut Pinot, who had been fifth overall, pulled out with a thigh problem an hour into the stage.
The timings were taken from the top of Col de L'Iseran and unofficial timings give Bernal, 22, a lead of 45sec as he seeks to become the first Colombian to win the Tour.","yellow, riders, bernal, timings, takes, hailstorm, halts, conditions, ahead, race, climb, liseran, stage, organisers",Severe weather disruptions
3,12/2018,SYDNEY ,Widespread damage in Sydney after violent hailstorm,https://www.straitstimes.com/asia/australianz/widespread-damage-in-sydney-after-violent-hailstorm,"SYDNEY - Sydney was hit by a violent hailstorm which pelted tennis ball-size hailstones across the city on Thursday (Dec 20), causing widespread damage and bringing the city to a standstill.
""It is pretty clear... that the damage is likely to be widespread and catastrophic in its proportions,"" Mr Campbell Fuller, a spokesman for the council, told ABC News.
The storm struck various parts of Sydney between 4pm and 6pm local time, as thick grey clouds shrouded Australia's largest city in darkness.
The hail smashed car windscreens and damaged panelling, broke home windows, and tore through trees and foliage.
The cost of the damage is expected to be in the tens - or possibly hundreds - of millions of dollars.","sydney, damage, hailstones, car, violent, city, hailstorm, storm, windscreens, council, damaged, widespread",Severe weather disruptions
4,02/2019,(REUTERS) ,Golf: Hailstorm causes final round delay at Pebble Beach Pro-Am,https://www.straitstimes.com/sport/golf/golf-hailstorm-causes-final-round-delay-at-pebble-beach-pro-am,"(REUTERS) - The Pebble Beach Pro-Am appears headed for a Monday (Feb 11) finish after a hailstorm halted play in the final round on Sunday.
The late-morning hail quickly covered the greens and gave officials no choice but to suspend play, even before the leaders had teed off in northern California.
Englishman Paul Casey started the round at 15 under, three strokes clear of Phil Mickelson.
Thirteen of Mickelson's 43 PGA Tour victories have come in his home state of California.
With a victory, he would match Mark O'Meara's record of five victories in the storied Pebble Beach event, which dates back to 1937 when it was won by Sam Snead.","causes, leaders, won, proam, pebble, golf, 15, round, hailstorm, delay, victories, victory, tour, beach, final, play",Severe weather disruptions
5,05/2018,BORDEAUX • Violent hailstorms ravaged parts of the Bordeaux wine region in south,Hailstorms ravage parts of France's Bordeaux vineyards,https://www.straitstimes.com/world/europe/hailstorms-ravage-parts-of-frances-bordeaux-vineyards,"BORDEAUX • Violent hailstorms ravaged parts of the Bordeaux wine region in south-western France last Saturday, causing major damage in hundreds of vineyards, with thousands of hectares of vines destroyed, producers said yesterday.
This comes just a year after the Bordeaux region suffered one of its worst harvests in history, with a fall of 39 per cent year on year due to late frosts, which lead to a jump in prices.
It then devastated vineyards of Cotes de Bourg and Cotes de Blaye on the right bank of the Gironde river and, farther east, in the Gensac and Pessac-sur-Dordogne.
It was a hailstorm of unprecedented violence for 10 minutes,"" Mr Didier Gontier, head of a winegrowers association in the Cotes de Bourg area, told Franceinfo radio on Sunday.
There are 112,000ha of vines in the Bordeaux vineyard, the second-largest wine-producing region in France after Languedoc Roussillon.","vineyard, region, affected, ravage, hailstorms, frances, winegrowers, hit, cotes, mr, parts, vineyards, bordeaux, bourg",Severe weather disruptions
6,07/2019,"TIGNES, France (REUTERS) ",Cycling: Bernal takes Tour de France yellow jersey as hailstorm stops stage,https://www.straitstimes.com/sport/cycling-bernal-takes-tour-de-france-yellow-jersey-as-hailstorm-stops-stage,"TIGNES, France (REUTERS) - Egan Bernal looked set to become the first Colombian rider to win the Tour de France after claiming the lead - and the Team Ineos leadership - in dramatic conditions in a 19th stage that was cut short by a hailstorm and a landslide on Friday (July 26).
The stage was, however, cut short from 130km to 59km after landslides forced the organisers to skip one major climb.
As we said this morning we were going to take it on,"" said Team Ineos manager Dave Brailsford, who led Team Sky - the British outfit's previous sponsor - to six of the last seven Tour de France titles.
""We've maybe not been the strongest that we've been all race, but today was the day.
I haven't seen any GC but for sure he'll have a decent advantage so we fully support him now,"" said Thomas.","title, rider, set, lead, cycling, bernal, day, thomas, win, tour, race, france, authority, team, ineos, stamps, stage",Severe weather disruptions
7,05/2018,BORDEAUX (AFP) ,'Unprecedented' hailstorm in France hits Bordeaux winegrowers,https://www.straitstimes.com/world/europe/unprecedented-hailstorm-in-france-hits-bordeaux-winegrowers,"BORDEAUX (AFP) - Winemakers in western France in the famed Bordeaux and Cognac areas are inspecting damage to their vines after an ""unprecedented"" storm in which pebble-sized hailstones caused widespread destruction.
It was a hailstorm of unprecedented violence for 10 minutes,"" the head of a winegrowers association in the Cotes-de-Bourg area, Didier Gontier, told Franceinfo radio on Sunday.
He said that an area of around 2,000 hectares had been affected which could bankrupt some growers, particularly those already affected by a late frost last year, he added.
More details about the scale of the destruction are expected early in the week.
Agriculture Minister Stephane Travert told parliament on Saturday that the government was looking into ""what measures we can put in place and what support we can offer"" to the industry.","area, association, areas, affected, told, winegrowers, hailstorm, local, hits, cognac, france, bordeaux, wines, unprecedented",Severe weather disruptions
8,03/2018,IPOH (THE STAR/ASIA NEWS NETWORK) ,Hailstorm in Ipoh shocks residents,https://www.straitstimes.com/asia/se-asia/hailstorm-in-ipoh-shocks-residents,"IPOH (THE STAR/ASIA NEWS NETWORK) - A freak thunderstorm hit Ipoh on Monday (March 19) as hailstones rained down hard in the Ipoh Garden area.
""I then heard loud 'tick tock' noises on my car roof and saw ice pellets raining down on the windscreen,"" she said.
Ms Kho, 34, described the situation as ""hundreds of stones thrown at my car"", adding that the storm lasted about 10 minutes.
Ipoh Garden resident Marianne Mong, 54, said her dog was jostling the front door, wanting to get into the house during the storm.
""I was on my way to fetch my son from school when the hailstorm struck.","residents, car, shocks, ipoh, son, hailstorm, stones, storm, thunderstorm, roof, thrown, saw, windscreen",Severe weather disruptions
9,08/2017,"A Ukrainian pilot has been hailed a hero and awarded the country's national medal of courage after he safely landed a passenger plane when a freak hailstorm over Turkey smashed its windscreen.

Captain Alexander Akopov was forced to execute a ""blind"" landing in low visibility at the Istanbul Ataturk Airport last Friday (July 28).

The 121 passengers and six crew members on board were unhurt.

According to The Telegraph, the Cyprus",Hero pilot lands passenger plane 'blind' in Turkey after hailstorm shatters windscreen,https://www.straitstimes.com/world/europe/hero-pilot-lands-passenger-plane-blind-in-turkey-after-hailstorm-shatters-windscreen,"A Ukrainian pilot has been hailed a hero and awarded the country's national medal of courage after he safely landed a passenger plane when a freak hailstorm over Turkey smashed its windscreen.
Captain Alexander Akopov was forced to execute a ""blind"" landing in low visibility at the Istanbul Ataturk Airport last Friday (July 28).
The 121 passengers and six crew members on board were unhurt.
The windscreen was shattered and left the pilots unable to see, prompting Captain Akopov to turn the plane around and head back to Istanbul.
A video of the landing, which has since gone viral on Facebook with nearly six million views, contained audio of anxious airport employees who expressed doubt that the plane would be able to land safely.","plane, turkey, viral, blind, safely, passenger, lands, pilot, hailstorm, airport, hero, landing, akopov, visibility, views, shatters, windscreencaptain, windscreen",Severe weather disruptions
