,date,location,news title,news source(url),content summary,keywords,class_name
0,11/2021,GLASGOW (BLOOMBERG) ,One billion people to face deadly heat stress if world warms 2 deg C,https://www.straitstimes.com/world/one-billion-people-to-face-deadly-heat-stress-if-world-warms-2-deg-c,"GLASGOW (BLOOMBERG) - One billion people will be at risk of extreme heat stress if global warming causes the world's temperature to rise by 2 deg Celsius, new modeling shows.
A study by the Met Office, the United Kingdom's's national meteorological service, warned that a 2 deg C rise could lead to a 15-fold increase of a potentially fatal cocktail of heat and humidity across the planet.
A 4 deg C rise would mean that nearly half of the world's population could be living in affected areas, according to the research, released at the COP26 climate conference in Glasgow.
The Met Office used an indicator which combines warmth and humidity, known as wet-bulb temperature, to assess heat stress risk.
Limiting global warming to 1.5 deg C is a key goal of this year's climate talks, where ""keeping 1.5 alive"" has become an unofficial motto.","met, impacts, temperature, heat, billion, c, world, rise, deg, warms, stress, face, deadly, warming, risk, climate",Severe weather disruptions
1,01/2022,"A woman crossing the road outside Bugis Junction in September last year while carrying a portable fan and an umbrella to shield herself from the sun.

Singapore is not insulated from the impact of climate change. Local temperatures are 1.8 deg C higher than they were in 1948, data from the National Environment Agency's Meteorological Service Singapore shows.

Global temperatures have warmed by about 1.1 deg C from pre",Get heated up,https://www.straitstimes.com/multimedia/photos/get-heated-up-0,"Singapore is not insulated from the impact of climate change.
Local temperatures are 1.8 deg C higher than they were in 1948, data from the National Environment Agency's Meteorological Service Singapore shows.
Global temperatures have warmed by about 1.1 deg C from pre-industrial times, which ended around 1850.
Find out more about global climate change at the Through The Lens photo exhibition at the National Museum of Singapore, organised by The Straits Times.
It explores the impact of global climate change on Singapore and how the country can do its part to combat the challenges.","times, singapore, temperatures, c, higher, global, impact, deg, change, straits, national, climate",Severe weather disruptions
2,02/2022,CANBERRA (XINHUA) ,Australia develops technology to preserve vaccines without refrigeration,https://www.straitstimes.com/asia/australianz/australia-develops-technology-to-preserve-vaccines-without-refrigeration,"CANBERRA (XINHUA) - Researchers from Australia's national science agency have developed a technology that could eliminate the need to refrigerate vaccines.
The metal organic frameworks - a dissolvable crystalline material - effectively protected vaccine molecules from heat stress, according to CSIRO researchers.
The team then developed a solution that dissolved the metal organic frameworks (MOFs).
They will next focus on testing the approach for vaccines including mRNA Covid-19 vaccines.
The team is expected to continue to progress this research and are looking to partner with animal and human health companies to commercialise their work, according to CSIRO.","organic, metal, preserve, csiro, frameworks, vaccine, temperatures, australia, technology, team, according, vaccines, refrigeration, develops, work",Severe weather disruptions
3,12/2020,SINGAPORE ,Ask The Vet: How can I tell if my dog is suffering from heat exhaustion?,https://www.straitstimes.com/life/home-design/ask-the-vet-4,"Avoiding heat stress in dogsI have a French bulldog that loves being outdoors.
If left unmanaged, it can progress to heat exhaustion and heat stroke, which has more severe signs such as weakness, collapse, disorientation and seizures.
Heat stroke can also potentially result in multiple organ failure and death.
If there are visible signs of heat stress when outside, take him to a water dispenser and provide fresh, cool drinking water.
Take him to the vet if the signs of heat stress are prolonged or not improving despite taking the measures above.","meowing, stroke, suffering, taking, heat, panting, kitten, including, ask, dog, tell, vet, stress, exhaustion, signs",Severe weather disruptions
4,08/2021,WASHINGTON (BLOOMBERG) ,"Extreme heat is a clear and growing health issue, two studies find",https://www.straitstimes.com/world/extreme-heat-is-a-clear-and-growing-health-issue-two-studies-find,"WASHINGTON (BLOOMBERG) - More than 356,000 people died in 2019 as a result of extreme heat and that number is likely to grow, according to a study published in The Lancet this week.
The findings echo another report, a two-part series called Heat And Health that was also published in The Lancet this week.
Otherwise, deaths will increase further and extreme heat will also lessen worker productivity and exacerbate other environmental challenges, such as wildfires, researchers said.
""The effects extreme heat exposure can have on the body present a clear and growing global health issue,"" said Dr Ollie Jay, a professor from the University of Sydney, and a co-author of the Heat and Health report.
In addition to causing heat stroke, high temperatures have been linked to increased hospitalisations and mental health issues.","studies, growing, reduce, temperatures, university, clear, heat, extreme, health, report, global, washington, study, issue",Severe weather disruptions
5,08/2021,TOKYO (REUTERS) ,Olympics: Tokyo heat roasts outdoor athletes amid heatstroke risk,https://www.straitstimes.com/sport/olympics-tokyo-heat-roasts-outdoor-athletes-amid-heatstroke-risk,"Sweat-soaked reporters donned wet towels as the women's 3,000m steeplechase qualifier played out, the event's trademark water hazard appearing more enticing than ever.
The risks of heatstroke at one of the hottest Games on record are borne by the athletes, but also by the thousands of staff, especially at outdoor venues.
""Before the outset of the coronavirus problem, the important issue for the Tokyo Games was a response to heat illness,"" Mr Muto told reporters.
The Tokyo Games, from July 23 to Aug 8, coincide with the year's hottest weather in Tokyo where the temperature can rise to 35 deg C or more.
The 1964 Tokyo Summer Olympics were held in October.","tokyo, athletes, olympics, roasts, gold, amid, games, outdoor, heat, womens, water, hottest, heatstroke, risk, athletics",Severe weather disruptions
6,07/2016,"What is this plant (above)? A few months ago, I moved it from a spot on the balcony that was getting partial sunlight to a more shady area inside. I moved the plant as the leaves started falling and it looked weak. But this did not help. I use a loose potting compound and a diluted nitrogen",Root Awakening: Yellowing leaves may point to heat stress,https://www.straitstimes.com/lifestyle/home-design/root-awakening-yellowing-leaves-may-point-to-heat-stress,"I moved the plant as the leaves started falling and it looked weak.
It could be a type of Lipstick Vine which belongs to the genus Aeschynanthus and is a member of the African Violet family (Gesneriaceae).
Depending on the species you are growing, it may be good to expose your plant to as much sunlight as possible.
In your case, you may want to expose your Lipstick Vine to at least four hours of filtered sunlight daily to promote healthy growth.
Also, ensure your plant is kept moist at all times - the Lipstick Vine does not like its roots to dry out completely for prolonged periods.","sunlight, moved, growing, expose, yellowing, lipstick, plant, leaves, vine, heat, hours, point, root, stress, awakening, ensure",Severe weather disruptions
7,01/2022,TOKYO (REUTERS) ,"As Japan kicks off wage talks, policymakers face heat for 'bad' inflation",https://www.straitstimes.com/business/economy/as-japan-kicks-off-wage-talks-policymakers-face-heat-for-bad-inflation,"Under pressure from opposition lawmakers, Prime Minister Fumio Kishida blamed recent rising prices on global commodity inflation, stressing the need to boost wages and household incomes to achieve solid economic growth.
Bank of Japan Governor Haruhiko Kuroda also stressed the need for wage hikes to accompany any pick-up in inflation.
Some local media and opposition lawmakers have warned Japan may be experiencing ""bad"" inflation - driven by higher input costs and a weak yen - instead of ""good"" inflation backed by strong demand and wage growth.
The Premier said it was hard to draw a line on what constituted ""good"" or ""bad"" inflation, and declined to say when Japan could achieve the type of inflation considered desirable.
Japan has not been immune to the impact of global commodity inflation, with wholesale prices rising at a record pace, prodding more firms to raise prices and already shifting public perception that decades of weak inflation will persist.","mr, policymakers, japan, wages, kicks, heat, wage, prices, companies, talks, rising, cent, bad, weak, face, inflation",Severe weather disruptions
8,12/2019,"Two of the most severe marine heatwaves ever recorded struck back to back in recent years.

In the first, starting in 2015, ocean temperatures peaked at nearly 3 deg C above normal in the waters between Tasmania and New Zealand. A blob of heat that reached 2 deg C was more than seven times the size of Tasmania, an island the size of Ireland.

The region's past heatwaves normally lasted as long as two months. The 2015","On land, Australia's rising heat is 'apocalyptic.' In the ocean, it's even worse",https://www.straitstimes.com/asia/australianz/on-land-australias-rising-heat-is-apocalyptic-in-the-ocean-its-even-worse,"In the first, starting in 2015, ocean temperatures peaked at nearly 3 deg C above normal in the waters between Tasmania and New Zealand.
A blob of heat that reached 2 deg C was more than seven times the size of Tasmania, an island the size of Ireland.
South of the equator, Australia's summer stretches from December to February - and soaring temperatures turned the mainland deadly this year.
The bats, called flying foxes, cannot survive temperatures above 42 deg C. Another 10,000 black flying foxes, a different species, also died.
A month later, more than 100 ringtail possums fell dead in Victoria when temperatures topped 35 deg C for four consecutive days.","ocean, mr, later, marine, temperatures, australias, tasmania, heat, worse, apocalyptic, rising, c, species, deg, south, waters, land",Severe weather disruptions
9,08/2017,"The most common complaint we hear from athletes is that it is too hot to be running in Singapore.

One has to either run early in the morning before the sun rises or in the evening after the sun sets. Hardly do we get to do what we read about in running magazines ","Feeling the heat? No sweat, it is all just a part of the process",https://www.straitstimes.com/sport/feeling-the-heat-no-sweat-it-is-all-just-a-part-of-the-process,"Hardly do we get to do what we read about in running magazines - running on nice soft trails on cool summer days.
To understand the science behind heat stress, let us first understand how heat is generated and lost in our bodies during exercise.
The harder and longer we exercise, the more this process (called respiration) occurs, and more heat is produced as a by-product.
EXTERNAL HEAT GAINIn addition to endogenous heat production, heat can be gained from the surroundings as well.
In order to keep the body temperature at a safe level, the increase in heat gain and production is balanced by the following mechanisms.","feeling, bodies, exercising, exercise, running, heat, produced, hot, stress, sweat, process, understand, production",Severe weather disruptions
