,date,location,news title,news source(url),content summary,keywords,class_name
0,02/2022,BANGKOK (REUTERS) ,Thailand scrambles to contain second oil leak off east coast,https://www.straitstimes.com/asia/se-asia/thailand-scrambles-to-contain-second-oil-leak-off-east-coast,"BANGKOK (REUTERS) - Ships were deployed in Thailand on Thursday (Feb 10) to contain a fresh oil spill off its eastern coast, authorities said, two weeks after an undersea pipeline leak in the same area damaged coastal communities and marine life.
The pipeline, owned by Star Petroleum Refining Public Company (SPRC), sprang a leak on Jan 26 and spewed an estimated 47,100l to 55,000l of oil into the sea.
It was patched up within a day but not before it damaged a beach area in Rayong province and threatened corals in the shallow waters.
Deputy governor of Rayong province, Pirun Hemmarak, said the latest spill was unlikely to reach the shoreline under current tide conditions.
The spill comes as Thailand sees a steady increase in visitors following the recent easing of its tight entry restrictions and quarantine.","province, oil, contain, east, rayong, pipeline, spill, eastern, scrambles, second, coast, damaged, thailand, leak",Man-Made Disaster
1,01/2022,BANGKOK (REUTERS) ,Oil spill threatens corals in eastern Thailand,https://www.straitstimes.com/asia/se-asia/oil-spill-threatens-corals-in-eastern-thailand,"BANGKOK (REUTERS) - The authorities are rushing to prevent an oil spill in eastern Thailand from damaging fragile corals, after officials said on Sunday (Jan 30) the leak that began last week is drifting towards more coastal areas.
""If the oil reached inside this area, it could impact the beach and cause heavy damage to the shallow water corals,"" Mr Varawut said.
The oil began leaking from a pipeline owned by Star Petroleum Refining Public Company (SPRC) late on Tuesday.
Before it was brought under control, an estimated 50,000 litres of oil escaped into the ocean 20km from the coastline of eastern Thailand.
The latest satellite image from the government's Geo-Informatics and Space Technology Development Agency (GISTDA) showed the oil spill has spread to cover a sea area of 67 sq km.","varawut, beach, oil, late, area, eastern, spill, corals, prevent, began, thailand, threatens",Man-Made Disaster
2,02/2022,"QUITO, ECUADOR (AFP) ",Oil spill pollutes nature reserve in Ecuadoran Amazon,https://www.straitstimes.com/world/oil-spill-pollutes-nature-reserve-in-ecuadoran-amazon,"QUITO, ECUADOR (AFP) - An oil spill in eastern Ecuador has reached a nature reserve and polluted a river that supplies water to indigenous communities, the country's Environmental Ministry said on Monday (Jan 31).
Heavy rains caused a mudslide in the eastern Napo province on Friday, during which a rock struck and ruptured a pipeline owned by private company OCP Ecuador.
Neither the government nor OCP Ecuador have quantified the extent of the spill, but the environmental authority has described it as a ""major"" pollution event.
'Water cannot be used'OCP Ecuador said on Monday that ""small traces"" of oil had reached water sources.
The company had built retention pools in which to collect the spilled oil, and managed ""to contain the vast majority,"" he added.","water, ministry, oil, traces, spill, nature, ecuador, pollutes, river, ocp, remediation, small, reserve, amazon, ecuadoran",Man-Made Disaster
3,01/2022,BANGKOK (REUTERS) ,Oil from leaking pipeline reaches shores of eastern Thailand,https://www.straitstimes.com/asia/se-asia/oil-spill-reaches-shoreline-in-eastern-thailand,"BANGKOK (REUTERS) - Some of the oil that leaked from an underwater pipeline in the Gulf of Thailand washed up on a beach in the country's eastern province of Rayong late on Friday (Jan 28), a senior official said.
Attapon Charoenchansa, director-general of the pollution control department, confirmed to reporters late on Friday while inspecting Mae Ramphueng Beach in Rayong that the oil spill had reached the shoreline.
He said officials from the navy, SPRC and other trained volunteers will help clean the oil from the beach.
SPRC workers earlier unfurled long inflatable oil boom barriers near the tide line to try and keep the slick from spoiling the tropical beaches.
The Thai government has filed an official complaint to seek compensation for the damages the oil spill caused, deputy transport minister Atirat Ratanasate told reporters on Friday.","sea, beach, oil, rayong, late, sprc, shores, pipeline, slick, eastern, spill, leaking, affected, thailand, reaches",Man-Made Disaster
4,01/2022,BANGKOK (REUTERS) ,Thai beach declared disaster area after oil spill,https://www.straitstimes.com/asia/se-asia/thai-beach-declared-disaster-area-after-oil-spill,"BANGKOK (REUTERS) - A beach in eastern Thailand was declared a disaster area on Saturday (Jan 29) as oil leaking from an underwater pipeline in the Gulf of Thailand continued to wash ashore and blacken the sand.
Some of the oil reached the shoreline at Mae Ramphueng beach in Rayong province late on Friday after spreading over 47sq km of sea in the gulf.
About 150 SPRC workers and 200 navy personnel had been deployed to clean up the beach and oil boom barriers had been set up, the navy said.
Twelve navy ships and three civilian ships along with a number of aircraft were also working to contain the spill at sea with booms and dispersant spray.
""We and the company are still working at sea to reduce the amount of oil by cornering the spill and sucking up the oil and spraying dispersant,"" Rear Admiral Artorn Charapinyo, deputy commander of the first Naval Area command, told reporters.","sea, ships, beach, oil, disaster, sprc, pipeline, area, spill, declared, navy, thai, thailand, working",Man-Made Disaster
5,01/2022,LIMA (AFP) ,Peru races to save birds threatened by oil spill after Tonga volcano eruption,https://www.straitstimes.com/world/peru-races-to-save-birds-threatened-by-oil-spill-after-tonga-volcano-eruption,"LIMA (AFP) - A Lima zoo is racing to save dozens of seabirds, including protected penguins, left covered in oil after 6,000 barrels of crude spilled off Peru's coast due to waves triggered by Tonga's undersea volcano eruption on Jan 15.
A team of veterinarians is caring for the birds, bathing them with special detergents to remove the suffocating oil.
""We have never seen anything like this in the history of Peru,"" said Ms Bermudez, while tending to a bird.
The abnormally large waves were triggered by the eruption of an undersea volcano near the archipelago of Tonga, thousands of kilometres away.
The spill near Lima has fouled beaches and harmed the fishing and tourism industries, with crews working non-stop to clean up the mess.","eruption, sea, penguins, save, oil, waves, threatened, spilled, tonga, spill, undersea, volcano, lima, zoo, races, peru, birds, triggered",Man-Made Disaster
6,01/2022,"LIMA, PERU (NYTIMES) ",Oil spill triggered by tsunami devastates coast of Peru,https://www.straitstimes.com/world/oil-spill-triggered-by-tsunami-devastates-coast-of-peru,"The Environment Ministry estimated some 6,000 barrels of crude had spilled into a biodiverse swathe of Peru's Pacific - well above the seven gallons that the refinery's operator, Spanish oil company Repsol, initially reported to authorities when the disaster occurred on Saturday (Jan 22).
The government said the oil slick on the surface of the sea extended over an area of water equal to 320 football fields.
""We're facing one of the biggest eco-cides on our coast,"" President Pedro Castillo said from a polluted beach Thursday.
Repsol said on Friday that it was carrying out an internal investigation into the spill.
""We reaffirm our commitment to respond effectively and transparently to the public and the competent authorities, prioritising people and communities,"" the Spanish oil company said in a statement.","company, sea, authorities, respond, oil, state, spill, devastates, spanish, peru, tsunami, coast, marine, triggered",Man-Made Disaster
7,01/2022,LIMA (AFP) ,Peru declares 'environmental emergency' on coastal area hit by oil spill,https://www.straitstimes.com/world/peru-declares-environmental-emergency-on-coastal-area-hit-by-oil-spill,"LIMA (AFP) - Peru on Saturday (Jan 22) declared an ""environmental emergency"" along a stretch of coast hit by an oil spill caused by freak waves from a volcanic eruption in the South Pacific.
In Peru the oil spill near Lima has fouled beaches, killed birds and harmed the fishing and tourism industries.
The environment ministry said 174 hectares - equivalent to 270 football fields - of sea, beaches and natural reserves were affected by the spill.
In declaring the emergency Saturday, the environment ministry said: ""the spill amounts to a sudden event of significant impact on the coastal marine ecosystem, which has major biological diversity.""
Its refinery is in the town of Ventanilla near Lima.","ministry, oil, waves, environmental, coastal, area, spill, lima, beaches, hit, refinery, peru, near, emergency, declares",Man-Made Disaster
8,12/2021,PORT LOUIS (AFP) ,Partying ship captain convicted over Mauritius oil spill,https://www.straitstimes.com/world/partying-ship-captain-convicted-over-mauritius-oil-spill,"PORT LOUIS (AFP) - The captain and first mate of a bulk carrier that crashed into a coral reef off Mauritius, causing the Indian Ocean archipelago's worst-ever environmental disaster, have been convicted of endangering safe navigation.
The MV Wakashio, a Japanese-owned but Panamanian-flagged vessel, ran aground in July 2020, spilling more than 1,000 tonnes of toxic fuel into the pristine waters of Mauritius, coating mangroves, corals and other fragile ecosystems.
The vessel's captain, Sunil Kumar Nandeshwar, who was convicted by a court in the capital Port Louis on Tuesday (Dec 21), admitted drinking during an onboard party.
He and first officer, Hitihanillage Subhoda Janendra Tilakaratna, were found guilty of ""endangering safe navigation"" and are due to be sentenced on Dec 27.
The MV Wakashio was sailing from Singapore to Brazil with 3,800 tonnes of fuel oil and 200 tonnes of diesel onboard when it ran into the reef off the southeast coast of Mauritius.","sea, ran, oil, waters, mauritius, convicted, wakashio, vessels, spill, reef, safe, partying, ship, captain, tonnes, sailing",Man-Made Disaster
9,11/2021,FREETOWN (REUTERS) ,At least 99 killed in fuel tanker blast in Sierra Leone capital,https://www.straitstimes.com/world/at-least-99-killed-in-fuel-tanker-blast-in-sierra-leone-capital,"FREETOWN (REUTERS) - At least 99 people were killed and more than 100 injured in the capital of Sierra Leone late on Friday (Nov 5) when a fuel tanker exploded following a collision, local authorities said.
The wounded were treated in hospitals and clinics across the capital, deputy health minister Amara Jambai told Reuters.
""We've got so many casualties, burnt corpses,"" said Brima Bureh Sesay, head of the National Disaster Management Agency, in a video from the scene shared online.
""It's a terrible, terrible accident.""
Videos shared online shortly after the explosion showed people running through clouds of thick smoke as large fires lit up the night sky.","fuel, red, terrible, medical, shared, leone, sierra, post, online, blast, hospital, scene, tanker, told, crash, killed, capital, 99",Man-Made Disaster
