,date,location,news title,news source(url),content summary,keywords,class_name
0,02/2022,SINGAPORE ,The cycling tribes of pandemic Singapore,https://www.straitstimes.com/life/the-cycling-tribes-of-pandemic-singapore,"SINGAPORE - With more cyclists thronging the roads and park connectors, the pandemic biking craze is still going strong in Singapore.
Different cycling tribes and practices have emerged, perhaps made more visible by the large numbers.","practices, park, visible, cycling, strong, tribes, singaporedifferent, pandemic, singapore, roads, thronging",Human health crises
1,02/2022,JAKARTA ,WHO calls for strengthened role as US proposes new pandemic fund,https://www.straitstimes.com/asia/se-asia/who-must-be-bolstered-to-strengthen-global-health-security-says-tedros,"JAKARTA - Efforts to strengthen global health security in a future health crisis will succeed only if the role of the World Health Organisation (WHO) is also enhanced, the agency’s head said on Thursday (Feb 17), as its biggest donor, Washington, proposed a new global pandemic prevention fund.
""Any efforts to enhance the governance, systems, and financing of global health security can only succeed if they also enhance WHO's role,"" he said.
At a separate discussion, US Treasury Secretary Janet Yellen urged G-20 members to back the proposed fund for pandemic prevention and preparedness.
World Bank Group President David Malpass told the same panel the agency was ""working rapidly on a new financial intermediary fund... to increase financing for pandemic preparedness and response.""
Strengthening the global health architecture is one of Indonesia's priorities under its leadership of the G-20, President Joko Widodo and Mr Sadikin have said.","told, preparedness, panel, g20, health, future, role, pandemic, global, minister, fund, calls, proposes, strengthened",Human health crises
2,02/2022,SINGAPORE ,"First maritime trade event since pandemic to be held at MBS with 7,000 to attend",https://www.straitstimes.com/singapore/first-maritime-trade-event-since-pandemic-to-be-held-at-mbs-with-7000-to-attend,"SINGAPORE - After four years, Asia Pacific Maritime, South-east Asia's biennial maritime trade show, will be held in person at Marina Bay Sands next month, with 7,000 attendees from around the world set to attend.
The event, from March 16 to 18, will be the region's first large-scale maritime trade show since the pandemic struck.
The maritime exhibition connects international maritime suppliers with buyers from South-east Asia, with companies expected to showcase their latest inventions.
All registered trade professionals will be granted free access to conference sessions, which used to be payable.
RX's group project director Yeow Hui Leng said: ""Meeting face to face is exceptionally essential for maritime professionals.","event, professionals, maritime, touch, pandemic, international, singapore, attend, 7000, used, mbs, trade, face, held, southeast",Human health crises
3,02/2022,WASHINGTON (REUTERS) ,US Treasury Secretary Yellen to urge G-20 help for developing countries to end pandemic,https://www.straitstimes.com/world/united-states/us-treasury-secretary-yellen-to-urge-g-20-help-for-developing-countries-to-end-pandemic,"WASHINGTON (REUTERS) - US Treasury Secretary Janet Yellen will urge her G-20 counterparts to work towards ending the Covid-19 pandemic in developing countries and ensuring they have the resources needed to support an equitable recovery, a US Treasury official said on Tuesday (Feb 15).
The US Treasury official laid out US priorities for the meeting, which comes as Covid-19 Omicron variant cases are receding in many wealthy countries but are still rising in many developing countries.
Ms Yellen will urge the G-20 to tailor their policies to individual country circumstances to secure an inclusive recovery and to close the gap in vaccine access for poorer countries, the official said.
Ms Yellen also will urge G-20 countries to support a proposed global fund housed at the World Bank to invest in pandemic prevention and preparedness, with its estimated US$75 billion (S$101 billion) cost a ""bargain"" compared with Covid-19's global economic and human costs.
Public resources can help catalyse additional private financing for reducing emissions, the official said.","end, world, support, countries, pandemic, secretary, global, yellen, help, developing, treasury, official, meeting, urge, g20",Human health crises
4,02/2022,SINGAPORE ,Eating Air: Beat another pandemic in an immersive game on St John's Island,https://www.straitstimes.com/life/eating-air-column-beat-another-pandemic-in-an-immersive-game-on-st-johns-island,"A vanished scientist and a journal with missing pages indicate that the solution is found on unlikely St John's Island, one of the few virus-free spots in the world, together with Sentosa (don't play play).
This immersive game, called Escape From St John's Island, may be a little on the nose in a time of Covid-19 fatigue, but it is tantalisingly linked to local history.
Did you know that St John's Island was a world-class quarantine centre more than 100 years ago?
Do the flora and fauna on the island have anything in common with the monkeys, civets and bats associated with pandemics past and present?
We have to solve puzzles at each stage of Escape From St John's Island.","air, beat, singapores, scientist, eating, past, pandemic, pandemics, teammates, johns, game, immersive, st, island",Human health crises
5,02/2022,SYDNEY (AFP) ,Coronavirus pandemic-weary Australian nurses go on strike,https://www.straitstimes.com/asia/australianz/coronavirus-pandemic-weary-australian-nurses-go-on-strike,"SYDNEY (AFP) - Thousands of nurses walked off the job in Australia's largest city Sydney on Tuesday (Feb 15), protesting against staff shortages and Covid-19 pandemic-related stresses and strains.
Defying a strike ban, thousands decked in scrubs and surgical masks marched to the state Parliament over what they say are intolerable conditions.
""The community needs to hear the truth - current staffing levels are inadequate, unsafe and putting patients at risk,"" said the New South Wales Nurses and Midwives' Association.
In a statement, the New South Wales Health Department thanked nurses for working ""tirelessly during the two years of the Covid-19 pandemic"".
But it added that ""there are more nurses and midwives in New South Wales public hospitals than at any other time in history"".","shortages, staff, thousands, nurses, coronavirus, strike, covid19, south, cases, pandemicweary, australian, wales, sydney",Human health crises
6,02/2022,SINGAPORE ,Singaporeans apply Total Defence to help country fight pandemic: Ng Eng Hen,https://www.straitstimes.com/singapore/singaporeans-apply-total-defence-to-help-country-fight-pandemic-ng-eng-hen,"SINGAPORE - The Republic has one of the lowest Covid-19 death rates because Singaporeans played their part in defending the country against the pandemic through Total Defence, said Defence Minister Ng Eng Hen.
His message comes before the country commemorates Total Defence Day on Feb 15, the date that the British formally surrendered to the Japanese during World War II in 1942 which led to nearly four years of Occupation.
Dr Ng said that while military defence is a pillar of national defence, Total Defence - rolled out in 1984 - requires effort from every Singaporean.
He added that applying Total Defence to the threat of the Covid-19 pandemic has helped the Republic maintain stability.
This is the power of Total Defence in facing any threat,"" said Dr Ng.","defence, apply, total, threat, hen, singaporeans, pandemic, singapore, national, covid19, eng, added, help, country, fight, republic",Human health crises
7,02/2022,NEW YORK (BLOOMBERG) ,Covid-19 pandemic: What's next for the world?,https://www.straitstimes.com/world/covid-19-pandemic-whats-next-for-the-world,"In the midst of a vast wave of milder infections, countries around the world are dialling back restrictions and softening their messaging.
Many people are starting to assume they've had their run-in with Covid-19 and that the pandemic is tailing off.
Before any of that, the world has to get past the current wave.
""When we were celebrating the amazing effectiveness of booster shots against the Delta variant, the bar was already being raised by Omicron.""
It's sobering for a world that's been trying to move on from the virus with a new intensity in recent months.","world, virus, omicron, wave, pandemic, thats, covid19, trying, months, whats, dont, isnt, variant",Human health crises
8,02/2022,ONTARIO (REUTERS) ,"Canada's Ontario to lift some pandemic measures, Alberta ends masks in schools",https://www.straitstimes.com/world/canadas-ontario-to-lift-some-pandemic-measures-alberta-ends-masks-in-schools,"The moves, which the provinces' premiers attributed to a waning Omicron wave, comes as protesters opposed to pandemic measures closed three border crossings with the United States and paralysed parts of Ottawa for three weeks.
It will now lift the so-called vaccine passports system on March 1 and remove capacity limits, including on restaurants and bars, on Thursday.
""Given how well Ontario has done in the Omicron wave we are able to fast-track our reopening plan,"" Premier Doug Ford said.
In Alberta, students will no be longer required to wear masks in schools as of Monday.
Last week, the province also ended its vaccine passport system and removed some capacity limits for small venues.","province, feb, masks, health, schools, alberta, wave, pandemic, week, omicron, lift, ends, limits, canadas, capacity, ontario, remove, measures",Human health crises
9,02/2022,SINGAPORE ,More firms went on overseas projects in 2021 despite pandemic: ESG,https://www.straitstimes.com/business/economy/more-firms-went-on-overseas-projects-in-2021-despite-pandemic-esg,"SINGAPORE - Severe travel restrictions amid the pandemic failed to deter increasing numbers of ambitious local companies seeking government assistance to expand overseas.
It said on Friday (Feb 11) that it facilitated overseas projects for 340 companies last year, a 10 per cent jump from 2020.
The projects included introducing potential business partners and customers to help companies secure new overseas investments and deals.
He added that the agency will boost its internationalisation drive given the opportunities the return to global growth provides for firms.
The top destination markets for local firms were China and South-east Asia, particularly Vietnam, Malaysia and Indonesia, but many companies also ventured further afield.","local, 2021, restrictions, pandemic, companies, internationalisation, singapore, projects, overseas, business, went, despite, esg, travel, firms",Human health crises
