,date,location,news title,news source(url),content summary,keywords,class_name
0,10/2021,"EIN GEDI, ISRAEL (AFP) ",Sinkholes on receding Dead Sea shore mark 'nature's revenge',https://www.straitstimes.com/world/middle-east/sinkholes-on-receding-dead-sea-shore-mark-natures-revenge,"EIN GEDI, ISRAEL (AFP) - In the heyday of the Ein Gedi spa in the 1960s, holidaymakers could marinate in heated pools and then slip into the briny Dead Sea.
A spectacular expanse of water in the desert, flanked by cliffs to east and west, the Dead Sea has lost a third of its surface area since 1960.
Receding salt water leaves behind underground salt deposits.
Dr Ittai Gavrieli of the Israel Geological Institute told Agence France-Presse there are now thousands of sinkholes all around the shores of the Dead Sea, in Jordan, Israel and the occupied West Bank.
They reflect human policy that has literally decimated the flow of water into the Dead Sea.","jordan, receding, sinkholes, sea, natures, israel, ein, spa, salt, mark, gedi, revenge, water, dead, shore",natural calamities
1,09/2021,SINGAPORE ,South Korean disaster flick Sinkhole cracks jokes about property market,https://www.straitstimes.com/life/entertainment/south-korean-disaster-flick-sinkhole-cracks-jokes-about-property-market,"SINGAPORE - A movie about a building toppling into an abyss has lifted the spirits of its makers by becoming a box-office hit at home in South Korea.
Sinkhole opened there in August with a US$5.6 million (S$7.5 million) box-office haul, the highest for a Korean film this year (2021).","toppling, opened, market, million, sinkhole, cracks, disaster, s75, spirits, singapore, flick, us56, boxoffice, property, south, movie, jokes, korean",natural calamities
2,06/2021,"PUEBLA, MEXICO (AFP) ",Huge sinkhole threatens to swallow Mexican home,https://www.straitstimes.com/world/huge-sinkhole-threatens-to-swallow-mexican-home,"PUEBLA, MEXICO (AFP) - A giant sinkhole that is expanding by dozens of metres each day has alarmed residents in a rural area of central Mexico, where it is threatening to swallow a house.
When the Sanchez family heard a loud crash on Saturday (May 29), they first thought that it was a lightning strike.
But they soon discovered that the ground had collapsed just metres from their home in a field in Santa Maria Zacatepec in the state of Puebla.
Scientists and the authorities are considering hypotheses, including a geological fault or variations in the soil's water content, as possible causes.
""It will grow until nature decides, when the water stops exerting pressure,"" Puebla state governor Miguel Barbosa said.","sinkhole, hole, sanchez, metres, family, water, authorities, swallow, state, puebla, huge, mexican, mexico, threatens",natural calamities
3,01/2021,ROME (AFP) ,Cars swallowed by sinkhole outside Italy hospital,https://www.straitstimes.com/world/europe/cars-swallowed-by-sinkhole-outside-italy-hospital,"ROME (AFP) - Patients had to be evacuated from a hospital in Naples on Friday (Jan 8) after a huge section of the carpark collapsed, causing water and electricity to be cut off.
Nobody was hurt in the incident although several cars fell into the sinkhole measuring about 500 sq m, firefighters said.
""Intervention in the car park of the Ospedale del Mare for a sinkhole,"" Italy's fire service tweeted, adding that several parked cars had fallen inside and dog units were on site.
The hospital was a centre for coronavirus patients during the first wave of infections last year, although only six were being treated there on Friday.
The ward was ""temporarily closed because of the absence of hot water and electricity"", the local health service said.","cars, service, electricity, sinkhole, italy, wave, outside, naples, hospital, patients, terms, swallowed, water",natural calamities
4,01/2021,"Patients had to be evacuated from a hospital in Naples after a huge section of the carpark collapsed, causing water and electricity to be cut off. No one was hurt, though several cars fell into the sinkhole measuring about 500 sq m, firefighters said. ""Intervention in the carpark of the Ospedale del Mare for a sinkhole,"" Italy's fire service tweeted last Friday, adding that several parked cars had fallen inside. Mr Vincenzo De Luca, head of the Campania region which includes Naples, said: ""Fortunately, it has not caused any damage either in terms of systems engineering or especially in terms of human lives."" He blamed a hydro",Cars swallowed by sinkhole outside hospital in Italy,https://www.straitstimes.com/world/europe/cars-swallowed-by-sinkhole-outside-hospital-in-italy,"Patients had to be evacuated from a hospital in Naples after a huge section of the carpark collapsed, causing water and electricity to be cut off.
No one was hurt, though several cars fell into the sinkhole measuring about 500 sq m, firefighters said.
""Intervention in the carpark of the Ospedale del Mare for a sinkhole,"" Italy's fire service tweeted last Friday, adding that several parked cars had fallen inside.
The hospital was a centre for coronavirus patients during the first wave of infections last year, though only six patients were being treated there last Friday.
The ward was ""temporarily closed because of the absence of hot water and electricity"", said the local health service.","cars, service, electricity, sinkhole, italy, outside, naples, carpark, hospital, patients, terms, swallowed, water",natural calamities
5,01/2020,BEIJING (AFP) ,"Huge sinkhole swallows bus, kills six in China",https://www.straitstimes.com/asia/east-asia/huge-sinkhole-swallows-bus-kills-six-in-china,"BEIJING (AFP) - An enormous sinkhole swallowed a bus and pedestrians in China, sparking an explosion, killing six people and leaving 10 more missing, state media said on Tuesday (Jan 14).
Footage showed people at a bus stop running from the collapsing road, as the bus - jutting into the air - sank halfway into the ground.
Sinkholes are not unknown in China, where they are often blamed on construction works and the country's rapid pace of development.
In 2016, at least three people fell into a huge sinkhole in central Henan province which swallowed a section of road and passers-by.
An initial investigation showed that the collapse might have been caused by water pipes buried under the road breaking up due to the rain.","kills, province, swallows, sinkhole, road, china, investigation, swallowed, showed, explosion, huge, bus, incident",natural calamities
6,01/2020,"An enormous sinkhole swallowed a bus and pedestrians in China, sparking an explosion, killing six people and leaving 10 more missing, state media said yesterday.

The incident occurred around 5.30pm on Monday in Xining, the capital of Qinghai province, the state","Six killed, 10 missing after bus disappears into sinkhole in China",https://www.straitstimes.com/asia/east-asia/six-killed-10-missing-after-bus-disappears-into-sinkhole-in-china,"An enormous sinkhole swallowed a bus and pedestrians in China, sparking an explosion, killing six people and leaving 10 more missing, state media said yesterday.
The incident occurred around 5.30pm on Monday in Xining, the capital of Qinghai province, the state-run CCTV broadcaster said, adding that 16 people had been taken to hospital.
Footage showed people at a bus stop running from the collapsing road, as the bus - jutting into the air - sank over halfway into the ground.
Several people disappeared into the sinkhole as it spread, including what appeared to be a child.
The incident, outside a hospital, also triggered an explosion inside the hole, video showed.","missing, sinkhole, taken, china, xining, killed, triggered, explosion, swallowed, disappears, yesterdaythe, video, bus, incident",natural calamities
7,11/2019,A 3m,Sinkhole swallows car in KL,https://www.straitstimes.com/asia/se-asia/sinkhole-swallows-car-in-kl,"A 3m-wide sinkhole swallowed a car along Jalan Maharajalela in Kuala Lumpur on Sunday night.
City Traffic Investigation and Enforcement Department chief Zulkefly Yahya said the incident occurred at 11.35pm.
""A 42-year-old woman was driving her car along the road when the sinkhole appeared.
She could not avoid it and the vehicle fell in,"" he said.
The driver was not injured in the incident.","vehicle, swallows, sinkhole, road, car, woman, zulkefly, swallowed, kl, yahya, incident, traffic",natural calamities
8,11/2019,KUALA LUMPUR (THE STAR/ASIA NEWS NETWORK) ,Sinkhole swallows car in Kuala Lumpur,https://www.straitstimes.com/asia/se-asia/sinkhole-swallows-car-in-kuala-lumpur,"KUALA LUMPUR (THE STAR/ASIA NEWS NETWORK) -A 3m wide sinkhole swallowed a car along Jalan Maharajalela in Kuala Lumpur on Sunday (Nov 24) night.
City Traffic Investigation and Enforcement Department chief Asst Comm Zulkefly Yahya said the incident occurred at 11.35pm.
""A 42-year-old woman was driving her car along the road when the sinkhole appeared.
She could not avoid it and the vehicle fell in,"" he said when contacted Monday.
ACP Zulkefly said the driver was not injured in the incident.","vehicle, swallows, lumpur, sinkhole, car, woman, zulkefly, yahya, kuala, wide, incident",natural calamities
9,08/2019,"Construction workers at the site of a large sinkhole along a street in the city of Amiens, northern France, on Tuesday.

The sinkhole ",Huge sinkhole opens up in northern France,https://www.straitstimes.com/world/huge-sinkhole-opens-up-in-northern-france,"Construction workers at the site of a large sinkhole along a street in the city of Amiens, northern France, on Tuesday.
The sinkhole - five metres deep and 10 metres wide - appeared in the centre of Amiens overnight on Sunday.
The local municipal services believe it could have been triggered by the collapse of a medieval cellar under a pub in the vicinity.
Gas and electricity supplies in the area were cut off and local media said nobody is believed to have been hurt when the sinkhole appeared.","tuesdaythe, workers, local, sinkhole, metres, vicinitygas, wide, triggered, opens, appeared, northern, france, huge, amiens",natural calamities
10,05/2018,WASHINGTON (WASHINGTON POST) ,Sinkhole opens up on White House lawn - and it's growing,https://www.straitstimes.com/world/united-states/sinkhole-opens-up-on-white-house-lawn-and-its-growing,"WASHINGTON (WASHINGTON POST) -For all the concern over leaks at the White House, a more pressing problem might be the sinkhole on the North Lawn that appears to be growing by the day.
The pit in the ground, which was first reported by White House correspondents on site this week, appears to have opened just outside the press briefing room and deputy White House press secretary Hogan Gidley's office.
Steve Herman, a reporter with Voice of America, tweeted that he first spotted the sinkhole last week.
It was not clear what caused the emergence of the White House sinkholes.
""It's not like a growing sinkhole right outside the press briefing room at the White House has any existential meaning to it at all, right?""","house, lawn, sinkhole, washington, week, outside, growing, right, opens, tweeted, room, press, white",natural calamities
11,11/2018,"A woman survived a fall into a sinkhole that suddenly opened up in a pavement in Lanzhou, China.

The sinkhole was about 3m wide and more than 3m deep, and the woman was trapped inside with half her body submerged in mud, according to Chinese news website Xin Jing Bao Wang.

Footage of the incident, that occurred at 5.47pm on Sunday (Nov 11), was recorded by a security camera and has been making the rounds online. A Facebook post by Chinese state broadcaster CGTN with the video has garnered 1.2 million views as of Wednesday evening.

In the video, a bystander rushed forward to help the woman but stopped himself out of fear that the ground around the sinkhole would continue to crumble.

The woman was eventually rescued from the pit with a rope and the help of passers",Woman survives fall into sinkhole in China,https://www.straitstimes.com/asia/east-asia/woman-survives-fall-into-sinkhole-in-china,"A woman survived a fall into a sinkhole that suddenly opened up in a pavement in Lanzhou, China.
The sinkhole was about 3m wide and more than 3m deep, and the woman was trapped inside with half her body submerged in mud, according to Chinese news website Xin Jing Bao Wang.
In the video, a bystander rushed forward to help the woman but stopped himself out of fear that the ground around the sinkhole would continue to crumble.
A witness told Xin Jing Bao Wang that she saw a passer-by on a motorcycle throw his helmet down for the trapped woman to wear for protection.
This is not the first time a sinkhole has appeared in Lanzhou, according to Wenxue City News.","fall, chinese, sinkhole, china, lanzhou, jing, city, woman, trapped, help, xin, survives, video",natural calamities
