,date,location,news title,news source(url),content summary,keywords,class_name
0,09/2021,SINGAPORE ,Singapore's unemployment rate up by 0.2% in July for first time in 10 months,https://www.straitstimes.com/singapore/singapores-unemployment-rate-up-by-02-in-july-for-first-time-in-10-months,"SINGAPORE - For the first time in 10 months, Singapore's resident and citizen unemployment rates saw a slight increase in July, rising 0.2 percentage point each, following tightened Covid-19 restrictions under phase two (heightened alert).
Figures from the Ministry of Manpower showed that the resident unemployment rate, which covers Singapore citizens and permanent residents, rose from 3.5 to 3.7 per cent, while unemployment among Singapore citizens rose from 3.7 to 3.9 per cent.
The overall unemployment rate in July was 2.8 per cent, up from 2.7 per cent in June.
Said Mr Tan: ""We will continue to monitor the unemployment rates closely.
Analysts feel that the slight bump in the unemployment rate due to temporary measures to curb the spread of Covid-19 under phase two (heightened alert) was expected.","rates, unemployment, manpower, measures, covid19, months, singapore, sectors, singapores, tan, phase, rate, 02",Severe weather disruptions
1,01/2021,"<div style='position: relative;width: auto;padding: 0 0 21.43%;height: 0;top: 0;left: 0;bottom: 0;right: 0;margin: 0;border: 0 none' id=""experience","Wine and dine in style, cuddle up to alpacas and go truffle hunting: You can dream now, travel later",https://www.straitstimes.com/life/travel/wine-and-dine-go-hot-air-ballooning-and-walk-with-llamas-why-these-places-are-perfect,"PepperGreen also has its own olive grove and you can ask to sample their Extra Virgin Olive Oil at the Cellar Door, too.
Try the PepperGreen Estate Hosted Wine and Dine Experience where a sample tasting will be followed by a three-course menu accompanied with a glass of your favourite from the tasting.
Visit peppergreenestate.com.auWild Food AdventuresThis tour company organises delightful immersive experiences crafted to unveil the best of the wine region.
Besides making reservations for top restaurants, I like to try my luck stumbling upon neighbourhood eateries less patronised by tourists.
Once we're all able to travel safely again, I'll be headed straight back to finding my next favourite local joint as yet discovered by Instagrammers.""","gardens, truffle, wine, dine, food, lunch, hunting, dream, alpacas, wines, cuddle, visit, local, travel, door, style, experience, later",Severe weather disruptions
2,06/2021,SPIELBERG (AFP) ,Motor racing: Verstappen ready to pounce as cracks widen in Mercedes armour,https://www.straitstimes.com/sport/formula-one/motor-racing-verstappen-ready-to-pounce-as-cracks-widen-in-mercedes-armour,"SPIELBERG (AFP) - Max Verstappen will seek to extend his lead over Lewis Hamilton in the world championship at Sunday's (June 27) Styrian Grand Prix as the cracks in Mercedes' armoury widen.
Last year, when the sweeping circuit in the Styrian Alps also hosted two successive season-opening events, Mercedes won both with Hamilton and Valtteri Bottas claiming one apiece.
However, Verstappen won in 2018 and 2019 and he has been the dominant force since Hamilton's last win in early May.
If he can triumph again in the Styrian race, he will be well-placed for a repeat seven days later in the Austrian Grand Prix and might then have a comfortable cushion in points advantage before Hamilton's home British Grand Prix at Silverstone in July.
His erstwhile Mercedes teammate Nico Rosberg won the 2016 title, when Hamilton went five without a win.","won, pounce, cracks, mercedes, styrian, win, armour, racing, verstappen, motor, grand, prix, hamilton, team, ready, widen, sundays",Severe weather disruptions
3,05/2019,"""From mid",12 straight days of tornadoes have US approaching 'uncharted territory',https://www.straitstimes.com/world/united-states/12-straight-days-of-tornadoes-have-us-approaching-uncharted-territory,"Tuesday, Mr Marsh said, was the 12th consecutive day with at least eight tornado reports, breaking the record.
""We are flirting in uncharted territory,"" Mr Marsh said of the sustained period of severe weather.
Dealing with tornadoes and climate change, he said, is ""absolutely complicated"", and there are relatively few papers that discuss tornadoes and climate because ""it's almost impossible to see any signal in the data"".
But researchers have found that tornadoes are increasingly clustered in short periods of time.
So far this year, tornadoes have been blamed for at least 38 deaths in the US, including this week's fatality in Celina.","12, emergency, tornadoes, uncharted, tornado, marsh, mr, straight, territory, storm, approaching, researchers, change, weather, climate, days",Severe weather disruptions
4,04/2018,TOKYO (AFP) ,Super Rugby: Waratahs rout Sunwolves for third straight win,https://www.straitstimes.com/sport/super-rugby-waratahs-rout-sunwolves-for-third-straight-win,"TOKYO (AFP) - The New South Wales Waratahs overpowered the winless Sunwolves 50-29 to clinch their third straight Super Rugby win on Saturday (April 7), as scrum-half Jake Gordon bagged two tries.
Fresh from an Australian derby victory over the ACT Brumbies in Canberra, the Waratahs scored seven tries, while the struggling Sunwolves grabbed four.
The Waratahs improved their record to four wins from six games, while the Sunwolves stretched their losing steak to six straight defeats.
They have now lost 32 of 36 games since joining Super Rugby in 2016.
The Waratahs maintained their best start to a Super Rugby season since 2009.","sunwolves, super, rugby, tries, win, scored, second, straight, naiyaravoro, waratahs, rout, try",Severe weather disruptions
5,04/2021,SINGAPORE ,"Elvin Ng v Patrick Lee bullying saga: Who said what, when and why",https://www.straitstimes.com/life/entertainment/elvin-ng-vs-patrick-lee-bullying-saga-who-said-what-when-and-why,"Elvin Ng v Patrick LeeOn an episode of The Inner Circle that aired on April 7, Ng, 40, alleged that he was bullied on set by a Taiwanese actor playing his older brother while filming a series in Malaysia.
Netizens quickly pieced together that Ng was talking about Taiwanese model-actor Patrick Lee, who has in recent years focused on bodybuilding.
Ng kept his cool despite Lee's heated response and said that whatever happened between him and Lee ""doesn't matter"".
He ended the post with: ""Live and let live, there are bigger things.""
Patrick Lee v Danny Yeo/Xu Bin/Zax Wang/Amanda Chu","post, lee, set, live, lees, bullying, v, taiwanese, elvin, patrick, saga, ngs, actor",Severe weather disruptions
6,10/2018,KINSHASA (AFP) ,2018 Nobel Peace Prize: Laureate Denis Mukwege a brave healer of DR Congo's most horrific wounds,https://www.straitstimes.com/world/africa/2018-nobel-peace-prize-laureate-denis-mukwege-a-brave-healer-of-dr-congos-most-horrific,"The 2018 Nobel Peace Prize co-winner had been repeatedly nominated for his work with gang rape victims from the conflicts that have ravaged his homeland.
""We have been able to draw a red line against chemical weapons, biological weapons and nuclear arms,"" he told AFP in 2016.
FIRED INSIDE HERHe began working at Lemera hospital, south of Bukavu, which was where he first learnt to deal with severe post-natal lesions that left women incontinent for life.
Recalling the moment he saw such a patient for the first time in 1999 - the year he set up Panzi hospital - Mukwege recounted how the rapists had inserted a gun into a woman's genitals and fired.
I thought it was the work of a madman, but the same year I treated 45 similar cases,"" he said.","repeatedly, war, denis, laureate, nobel, south, set, peace, hospital, mukwege, women, healer, wounds, work, prize, victims, dr, horrific, weapons",Severe weather disruptions
7,03/2017,(THE SPORTS XCHANGE) ,"NBA: Spurs get one over bogey team Grizzlies, Raptors make it 4 straight with Heat win",https://www.straitstimes.com/sport/basketball/nba-spurs-get-one-over-bogey-team-grizzlies-raptors-make-it-4-straight-with-heat,"The win was the third straight for the Spurs but just the first in three games this season against Memphis, a team which always gives San Antonio fits.
Reserve KJ McDaniels added a season-high 16 points and Jeremy Lin added 13 after sitting out of Tuesday's win over the Detroit Pistons with a sprained right ankle.
DeMar DeRozan scored 40 points, and the Raptors rallied from an early 15-point deficit to defeat the Heat 101-84.
Miami got 16 points and 14 rebounds from Hassan Whiteside.
Jusuf Nurkic contributed 16 points and 10 rebounds for Portland.","raptors, san, 12, win, nba, scored, straight, memphis, heat, grizzlies, games, spurs, added, team, 16, points, bogey",Severe weather disruptions
8,05/2018,HONG KONG (BLOOMBERG),The gambler who cracked the horse-racing code in Hong Kong,https://www.straitstimes.com/asia/the-gambler-who-cracked-the-horse-racing-code-in-hong-kong,"Horse racing is something like a religion in Hong Kong, whose citizens bet more than anyone else on Earth.
The following year, the Hong Kong Jockey Club phoned Mr Benter at an office he'd established in Happy Valley.
By the time he moved back to Pittsburgh, he'd inspired others in Hong Kong to form syndicates of their own.
That failure, however, led to a second period of his career as lucrative as Hong Kong was.
Thirty-two years after he first arrived in Hong Kong, Mr Benter is still betting on horses at venues around the world.","betting, kong, cracked, benter, horseracing, code, mr, horses, jockey, club, hong, million, woods, gambler",Severe weather disruptions
9,07/2019,SINGAPORE ,Retiree stung to death by hornets in Hillview while hunting for rambutans and durians,https://www.straitstimes.com/singapore/retiree-stung-to-death-by-hornets-in-hillview-while-hunting-for-rambutans-and-durians,"""My father was a retiree, so in his free time, he liked to go out and pluck durians and rambutans.
On that fateful day, he accidentally intruded on some hornets and they stung him and chased him,"" said the younger Mr Quek.
The younger son said that the last time he and his elder brother saw their father was at dinner last Thursday.
He said that foraging for fruits was a favourite pastime of the elder Mr Quek, who would usually share his pickings with friends in the neighbourhood, from the nearby market and coffee shop.
He grew up in a kampung so he knew how to do it,"" said the younger Mr Quek.","quek, retiree, rambutans, hillview, bukit, son, hunting, mr, father, durians, death, tree, sons, run, younger, stung, hornets",Severe weather disruptions
10,03/2021,AUCKLAND (REUTERS) ,Sailing: Team New Zealand win America's Cup 7-3,https://www.straitstimes.com/sport/sailing-team-new-zealand-win-americas-cup-7-3,"AUCKLAND (REUTERS) - Team New Zealand won the 36th America's Cup on Wednesday (March 17), beating Luna Rossa 7-3 in the best-of-13 series with a dominant 46-second victory in race 10 off the coast of Auckland.
Defender TNZ retained the 'Auld Mug', international sport's oldest trophy, four years after beating Oracle Team USA 7-1 at the 2017 match in Bermuda.
It was their fourth America's Cup triumph after winning in 1995, 2000 and 2017.
Italy's hopes of winning sailing's showpiece event were dashed again in the nation's third America's Cup match, having lost 5-0 to TNZ in 2000 and 4-1 to the United States in 1992.
Luna Rossa had a poor exit from the second gate and TNZ's lead blew out to 27 seconds to leave the Italians hoping for a mistake from the New Zealanders.","winning, sailing, tnz, zealand, win, race, americas, seconds, team, tnzs, 73, cup, rossa, mistake",Severe weather disruptions
