,date,location,news title,news source(url),content summary,keywords,class_name
0,02/2022,MUNICH (NYTIMES) ,Would it be a massive strike or minor incursion if Russia moves on Ukraine?,https://www.straitstimes.com/world/europe/would-it-be-a-massive-strike-or-minor-incursion-if-russia-moves-on-ukraine,"Hours before, Mr Biden had informed them that US intelligence agencies had just learnt that the Kremlin had given the order for Russian military units to proceed with an invasion.
Now the debate has shifted to how Mr Putin will do it: in one massive nationwide attack; a series of bites that dismantle the country, piece by piece; or a python-like squeeze.
Mr Putin might be betting that he can shatter Ukraine's economy and oust its government without having to immediately roll in tanks.
French President Emmanuel Macron said both the US and Russia have agreed to a summit in the coming days.
The White House confirmed Mr Biden had agreed to the meeting with Mr Putin in principle, provided Russia does not invade Ukraine.","russia, incursion, massive, russian, biden, president, intelligence, mr, ukraine, minor, strike, moves, world, piece, coming, putin",trade dispute
1,02/2022,PARIS (REUTERS) ,Major strike at Paris metro disrupts daily commute for millions,https://www.straitstimes.com/world/europe/major-strike-at-paris-metro-disrupts-daily-commute-for-millions,"PARIS (REUTERS) - A major strike paralysed most of Paris's metro network and city train grid on Friday (Feb 18), disrupting the daily commutes of millions of people, as workers demand pay hikes.
The French capital's RATP public transport company said six subway lines were closed, down from eight reported earlier on Friday, with the remaining lines operating only partially.
""We call on businesses to make maximum use of home office working,"" Transport Minister Jean-Baptiste Djeebbari said on Twitter.
In recent years, Paris' public transport system, one of the world's busiest, has been thrown into chaos several times.
Parisians remember above all the month-long walkouts in the fall of 2019 when public transport and railway workers protested against plans for pension reform by President Emmanuel Macron.","millions, workers, unions, reform, ratp, paris, commute, metro, transport, public, pay, daily, strike, lines, disrupts, major, walkouts, reported",trade dispute
2,02/2022,"DONETSK, UKRAINE/MOSCOW (REUTERS) – Russia’s strategic nuclear forces held exercises overseen by President Vladimir Putin on Saturday (Feb 19), and Washington accused Russian troops massed near Ukraine’s border of advancing and being “poised to strike”.

With Western fears of war rising, foreign ministers from the G","Putin oversees nuclear drills, US says Russian forces ‘poised to strike’",https://www.straitstimes.com/world/europe/putin-launches-nuclear-drills-as-us-says-russia-poised-to-invade-ukraine,"DONETSK, UKRAINE/MOSCOW (REUTERS) – Russia’s strategic nuclear forces held exercises overseen by President Vladimir Putin on Saturday (Feb 19), and Washington accused Russian troops massed near Ukraine’s border of advancing and being “poised to strike”.
US Defence Secretary Lloyd Austin said Russian forces were beginning to “uncoil and move closer” to the border.
Venting his frustration at a security conference in Munich, Ukrainian President Volodymyr Zelenskiy said the global security architecture was “almost broken”.
Hypersonic, cruise missilesThe Kremlin said Russia had successfully test-launched hypersonic and cruise missiles at sea during the strategic nuclear forces’ military exercises.
Putin observed the exercises on screens with Belarusian leader Alexander Lukashenko from what the Kremlin called a “situation centre”.","austin, zelenskiy, russian, oversees, president, military, exercises, forces, nuclear, ukraine, strike, drills, security, poised, world, putin",trade dispute
3,02/2022,DAMASCUS (AFP) ,Israel strikes town south of Damascus: Syrian state media,https://www.straitstimes.com/world/middle-east/israel-strikes-town-south-of-damascus-syrian-state-media,"DAMASCUS (AFP) - Israeli shelling struck a town south of Damascus on Wednesday (Feb 16) evening, causing material damage, according to Syrian state media.
This is the second Israeli aerial strike on Syria this month, after Israel targeted anti-aircraft batteries on Feb 9 in response to a missile fired from Syria.
A war monitor said the target of Wednesday's shelling was a Syrian army post.
""The shelling targeted a regime military post,"" Rami Abdel Rahman, who heads the Syrian Observatory for Human Rights, told AFP.
Israel has repeatedly said it seeks to prevent its arch foe Iran from extending a footprint in Syria.","monitor, shelling, targeted, media, syrian, strikes, israel, damascus, syria, israeli, state, war, targeting, town, strike, south",trade dispute
4,02/2022,LONDON (REUTERS) ,Horse racing: Olympic champion Todd suspended for horse-striking video,https://www.straitstimes.com/sport/horse-racing-olympic-champion-todd-suspended-for-horse-striking-video,"LONDON (REUTERS) - Twice Olympic equestrian champion Mark Todd has been handed a suspension by the British Horseracing Authority (BHA) after a video emerged showing him striking a horse with a branch.
The 65-year-old New Zealander, who now trains racehorses, was seen striking a horse several times while attempting to coax it towards a water jump in a cross-country schooling session.
""The Chair of British racing's Independent Judicial Panel has today approved an application from the BHA that an interim suspension should be placed on the training licence of Sir Mark Todd following the emergence over the weekend of a video showing him striking a horse with what appears to be a branch,"" the BHA said in a statement on Wednesday (Feb 16).
The interim suspension means Todd, who trains in Wiltshire in Britain, will be unable to race horses in Britain or internationally until investigations into the circumstances surrounding the incident are carried out.
Todd, who won individual gold medals at the 1984 Los Angeles and 1988 Seoul Olympics and also took a bronze medal in the team event at the London 2012 Games, has apologised for the incident.","horse, video, trains, london, racing, suspension, mark, bha, showing, todd, horsestriking, suspended, olympic, striking, champion",trade dispute
5,02/2022,"PARIS (AFP, REUTERS) ",Football: Mbappe strikes late to give PSG Champions League edge over Real Madrid,https://www.straitstimes.com/sport/football/football-mbappe-strikes-late-to-give-psg-champions-league-edge-over-real-madrid,"PARIS (AFP, REUTERS) - Kylian Mbappe struck in the fourth minute of injury time to give Paris Saint-Germain a precious 1-0 win over Real Madrid in the first leg of their heavyweight Champions League last-16 tie on Tuesday (Feb 15).
PSG coach Mauricio Pochettino was delighted with his team’s performance but had a special praise for Mbappe’s sublime late strike.
“It’s a narrow win perhaps but it gives us hope for the game in Madrid,” he told reporters.
Real also knew all about the threat of Angel di Maria, who won the Champions League with the Spanish giants in 2014.
For most of the first half, PSG played perhaps their best football since the arrival of Messi last August.","mbappe, late, champions, football, played, paris, best, madrid, told, strikes, psg, courtois, world, real, league, edge",trade dispute
6,02/2022,SYDNEY (AFP) ,Coronavirus pandemic-weary Australian nurses go on strike,https://www.straitstimes.com/asia/australianz/coronavirus-pandemic-weary-australian-nurses-go-on-strike,"SYDNEY (AFP) - Thousands of nurses walked off the job in Australia's largest city Sydney on Tuesday (Feb 15), protesting against staff shortages and Covid-19 pandemic-related stresses and strains.
Defying a strike ban, thousands decked in scrubs and surgical masks marched to the state Parliament over what they say are intolerable conditions.
""The community needs to hear the truth - current staffing levels are inadequate, unsafe and putting patients at risk,"" said the New South Wales Nurses and Midwives' Association.
In a statement, the New South Wales Health Department thanked nurses for working ""tirelessly during the two years of the Covid-19 pandemic"".
But it added that ""there are more nurses and midwives in New South Wales public hospitals than at any other time in history"".","sydney, staff, south, wales, pandemicweary, nurses, cases, coronavirus, strike, shortages, covid19, thousands, australian",trade dispute
7,02/2022,LISBON (REUTERS) ,Earthquake of magnitude 6.1 strikes Madeira Islands,https://www.straitstimes.com/world/europe/earthquake-of-magnitude-61-strikes-madeira-islands,"LISBON (REUTERS) - An earthquake of magnitude 6.1 struck the Madeira Islands in the region of Portugal on Wednesday (Feb 16), the European Mediterranean Seismological Centre (EMSC) said.
The quake was at a depth of 30km, the EMSC said.
This story is developing.","struck, islands, magnitude, seismological, quake, mediterranean, 61, portugal, saidthis, saidthe, strikes, emsc, earthquake, region, madeira",trade dispute
8,02/2022,COLOMBO (AFP) ,Sri Lanka outlaws strikes as unions cripple hospitals,https://www.straitstimes.com/asia/south-asia/sri-lanka-outlaws-strikes-as-unions-cripple-hospitals,"COLOMBO (AFP) - Sri Lanka's President banned strikes in the health and electricity sectors on Saturday (Feb 12) as trade union action that has crippled state-run hospitals entered its sixth day.
The move followed health unions ignoring a court order on Thursday instructing them to suspend their strike pending a hearing of a petition against their action.
Sri Lanka is in the grip of a foreign exchange crisis that has crippled the economy, and the unions are demanding better promotional prospects, restructuring of their pay scales and higher allowances.
Thousands of health workers have been taking part in the strike action, leaving only emergency services functioning at state hospitals and putting off many routine services.
Electricity sector workers are not on strike, but they too have threatened trade union action if the government goes ahead with plans to sell a thermal power plant to a US company.","cripple, unions, workers, services, lanka, sri, strikes, outlaws, strike, health, trade, hospitals, action, sectors, union",trade dispute
9,02/2022,BURNLEY (REUTERS) ,Football: Fabinho strike earns Liverpool battling win at Burnley,https://www.straitstimes.com/sport/football/football-fabinho-strike-earns-liverpool-battling-win-at-burnley,"BURNLEY (REUTERS) - Brazilian Fabinho's first-half goal earned Liverpool a 1-0 win at Burnley on Sunday (Feb 13), as Jurgen Klopp's side closed the gap on Premier League leaders Manchester City to nine points.
Liverpool dug in defensively, with goalkeeper Alisson standing firm when called upon, to see out a sixth successive win in all competitions.
Victory moved Liverpool on to 54 points from 24 matches and if they win their game in hand on City the gap at the top would be just six points.
""We didn't score the second goal but defensively the team was very good today.
The first effort at goal was from Burnley after Josh Brownhill's fierce strike was tipped wide by goalkeeper Alisson at full stretch.","win, burnley, football, mane, goal, liverpool, battling, fabinho, alisson, successive, strike, second, earns, weghorst",trade dispute
