,news title,news source(url),content summary,keywords
0,"China, West rush tsunami relief supplies to tsunami-hit Tonga",https://www.straitstimes.com/asia/australianz/china-west-rush-tsunami-relief-supplies-to-tsunami-hit-tonga,"A navy vessel carrying drinking water and food will arrive from Fiji on Thursday, while two military aircraft will also deliver 33 tonnes of emergency supplies including drinking water, food, tents, and walkie-talkies, a Chinese foreign ministry spokesman said at a briefing late on Wednesday.
The Chinese navy will ship bulky items such as portable cabins, tractors, generators and water pumps to Tonga in coming days, it added.
Beijing claimed it was the first to supply drinking water and food supplies to Tonga on Jan 19, although this could not be independently verified by Reuters.
The Australian and New Zealand naval vessels have also arrived in Tonga, and Canberra promised an A$3 million (S$2.87 million) in humanitarian funding to Tonga.
The United States and its Western allies worry that China is using debt to secure influence over these stratigically important Pacific island nations, claims China has repeatedly denied.","relief, million, rush, china, tsunamihit, west, water, tonga, united, drinking, navy, supplies, chinese, pacific, food"
1,"Tonga struggles with ash, psychological trauma after eruption and tsunami",https://www.straitstimes.com/asia/tonga-struggles-with-ash-psychological-trauma-after-eruption-and-tsunami,"SYDNEY (REUTERS) - Families have stopped children playing outside as Tonga struggles to deal with ash and the psychological fallout of last week's volcanic eruption and tsunami, aid workers and residents said.
""Everyone is still struggling right now,"" said Mr Drew Havea, the vice-president of Tonga Red Cross.
Because of the ash, ""families are making sure their kids are not playing outside, that they are all indoors"", he said.
The psychological impact of waves rushing through and destroying villages will affect their lives for some time, he said.
The eruption of Hunga-Tonga-Hunga-Ha'apai volcano, which sits on the seismically active Pacific Ring of Fire, sent tsunami waves across the Pacific Ocean and was heard some 2,300km away in New Zealand.","trauma, red, ring, waves, outside, residents, tsunami, struggles, tonga, eruption, ash, psychological, volcano"
2,Three tiny islands have borne the brunt of Tonga's tsunami,https://www.straitstimes.com/asia/australianz/three-tiny-islands-have-borne-the-brunt-of-tongas-tsunami,"NUKU'ALOFA, TONGA (NYTIMES) - Tonga, the Pacific nation that was struck by a powerful tsunami last weekend, consists of about 170 islands, some tiny, stretching across 270,000 square miles (699,000sq km), an area roughly the size of Texas.
""Homes have been completely wiped out,"" Ms Katie Greenwood, a spokesperson for the Red Cross in Fiji, said of the three islands, Nomuka, Mango and Fonoifua.
As of Saturday (Jan 22), just three deaths from the tsunami had been confirmed in Tonga.
But Ms Greenwood said Nomuka, Mango and Fonoifua were buffeted by waves almost 50 feet (15m) high, compared with waves of only 4 feet on Tongatapu.
It is by far the hardest hit of any of Tonga's inhabited islands, many of which suffered only superficial damage and extensive ashfall.","tongas, way, islands, borne, mango, tiny, fonoifua, island, tsunami, nomuka, tongatapu, damage, tonga, brunt"
3,"In Tonga, a volcano-triggered tsunami underscores islands' acute climate risk",https://www.straitstimes.com/asia/australianz/in-tonga-a-volcano-triggered-tsunami-underscores-islands-acute-climate-risk,"By increasing temperatures and driving up sea levels, climate change will likely worsen disasters wrought by tsunamis, storm surges, and heat waves, experts say.
Their plea for global climate action is especially desperate, given that Pacific island nations account for only 0.03 per cent of global carbon emissions, according to the World Bank.
As sea levels continue to rise in coming decades, tsunamis and storm surges will likely be reaching further inland with even more risk of damage.
Sea water that washes ashore can taint agricultural soil and leave it useless for years.
With climate change warming the ocean's surface, such storm surges are more likely as the warm water fuels increasingly powerful cyclones.","global, acute, islands, storm, surges, volcanotriggered, waves, risk, climate, tsunami, water, tonga, sea, underscores, tsunamis"
4,"Fisherman recalls racing tsunami, raining rocks after Tongan volcano erupted",https://www.straitstimes.com/asia/australianz/fisherman-recalls-racing-tsunami-raining-rocks-after-tongan-volcano-erupted,"SYDNEY (REUTERS) - Mr Branko Sugar and his son were spearfishing on an outer reef in Tonga last Saturday (Jan 15).
The biggest wave I've ever seen,"" Mr Sugar told Reuters via telephone from Tonga on Friday where communications are still only being restored.
Mr Sugar turned his boat, a 400-horsepower 27-foot (8m) World Cat catamaran, and accelerated towards deep water near Eueiki Island.
As he raced for safety, Mr Sugar telephoned his home on Tonga's main island Tongatapu to warn of the approaching tsunami, but nobody answered.
We didn't know where to go,"" Mr Sugar said.","away, tsunami, raining, volcano, mr, spearfishing, fisherman, rocks, tongan, turned, erupted, sugar, recalls, boat, boats, racing, tonga, stopped, wave"
5,"Tsunami warnings triggered in Japan, Pacific islands after Tonga volcano eruption",https://www.straitstimes.com/asia/australianz/tsunami-waves-crash-ashore-in-tonga-after-powerful-eruption,"SYDNEY/TOKYO (REUTERS) - An underwater volcano off Tonga erupted on Saturday (Jan 15), triggering tsunami warnings and evacuation orders in Japan and causing large waves in several South Pacific islands, where footage on social media showed waves crashing into coastal homes.
Japan’s meteorological agency issued tsunami warnings in the early hours on Sunday and said waves as high as three metres were expected in the Amami islands in the south.
In a briefing, a Japan Meteorological Agency official urged people not to go near the sea until the tsunami advisory and more serious tsunami warnings had been lifted.
Tsunami waves of 83cm were recorded by gauges in the Tongan capital of Nuku’alofa and two-foot waves were seen at Pago Pago, the capital of American Samoa, the Pacific Tsunami Warning Center said.
Fiji issued a tsunami warning, urging residents to avoid the shorelines “due to strong currents and dangerous waves”.","capital, triggered, islands, waves, meteorological, warning, tsunami, warnings, japan, tonga, following, issued, eruption, pacific, volcano"
6,"World rushes aid to tsunami-hit Tonga as drinking water, food runs short",https://www.straitstimes.com/asia/australianz/world-rushes-aid-to-tsunami-hit-tonga-as-drinking-water-food-runs-short,"One Australian aid flight was turned around mid-flight on Thursday after being notified of a positive Covid-19 case onboard, an Australian defence official said.
More help is on the way with HMAS Adelaide en route from Brisbane and due in Tonga next week, the Australian High Commission in Tonga said on Facebook.
United Nations spokesperson Stephane Dujarric said in a briefing that Tonga has asked for urgent assistance and the agency is in close contact with the authorities.
Water quality testing continues, and most people are relying on bottled water,"" he said.
“We are incredibly concerned about the mental health of children in Tonga,"" said Ms Shairana Ali, CEO of Save the Children Fiji.","australian, assistance, tsunamihit, aid, runs, short, school, zealand, water, tonga, drinking, urgent, children, world, dujarric, rushes, food"
7,"Tsunami-hit Tonga islands suffered extensive damage, fears death toll to rise",https://www.straitstimes.com/asia/australianz/damage-on-tsunami-hit-tongas-main-island-hampering-relief-effort,"SYDNEY/WELLINGTON (REUTERS) - Tonga’s small outer islands suffered extensive damage from a massive volcanic eruption and tsunami, a Tongan diplomat said on Tuesday, raising fears of more deaths and injuries.
Distress signalThe United Nations had earlier reported a distress signal was detected in Ha’apai, where Mango is located.
The Tongan navy reported the area was hit by waves estimated to be 5-10 metres high, said the UN Office for the Coordination of Humanitarian Affairs (OCHA).
“It is very alarming to see the wave possibly went through Atata from one end to the other,” said Mr Tu’ihalangingie.
The NZDF images, which were posted unofficially on a Facebook site and confirmed by Mr Tu’ihalangingie, also showed tarpaulins being used as shelter on Mango island.","mango, tsunami, zealand, rise, mr, extensive, haapai, fears, tongan, pacific, islands, tsunamihit, toll, tonga, reported, damage, death, suffered, island"
8,"Australia, New Zealand step up efforts to aid tsunami-hit Tonga",https://www.straitstimes.com/asia/australianz/impact-assessment-aid-efforts-underway-as-world-responds-to-tonga-tsunami,"Australia’s Minister for the Pacific Zed Seselja said initial reports suggested no mass casualties from Saturday’s eruption and tsunami but Australian police had visited beaches and reported significant damage with “houses thrown around”.
""We know there is some significant damage, and know there is significant damage to resorts,” he said in an interview with an Australian radio station, adding that Tonga’s airport appeared to be in relatively good condition.
The eruption of the Hunga-Tonga-Hunga-Ha’apai volcano triggered a tsunami on the shores of Tonga and cut off phone and internet lines for the entire island.
Telephone networks in Tonga have been restored but ash was posing a major health concern, contaminating drinking water.
The family that manages the resort had run for their lives through the bush to escape the tsunami, it said.","tongas, assessed, big, red, resort, concern, tsunami, zealand, water, tonga, drinking, damage, eruption, ash, significant, pacific"
9,"All homes on a Tongan island destroyed, three dead after volcanic eruption, tsunami",https://www.straitstimes.com/asia/all-homes-on-a-tongan-island-destroyed-three-dead-after-volcanic-eruption-tsunami,"SYDNEY/WELLINGTON (REUTERS) - All the homes on one of Tonga's small outer islands were destroyed in the massive volcanic eruption and tsunami, with three people so far confirmed dead, the government said on Tuesday (Jan 18) in its first update since the disaster hit.
But the office of Prime Minister Siaosi Sovaleni said in a statement that every house on Mango island, where around 50 people live, had been destroyed, only two houses remained on Fonoifua, and Namuka island had suffered extensive damage.
Mr Sovaleni's office said a 65-year-old woman on Mango Island and a 49-year-old man on Nomuka Island had been killed, in addition to a British national whose death was confirmed on Monday.
The United Nations said on Monday a distress signal was detected in the outlying Ha'apai islands, where Mango is located.
TsunamiTsunami waves reaching up to 15m had hit the Ha'apia island group and the west coast of Tonga's main island, Tongatapu, the prime minister's office said.","tongas, office, islands, mango, dead, waves, volcanic, destroyed, tsunami, tuihalangingie, haapai, eruption, homes, tongan, island"
