,date,location,news title,news source(url),content summary,keywords,class_name
0,02/2022,KUALA LUMPUR (THE STAR/ASIA NEWS NETWORK) ,Tug of war over GE15: Star columnist,https://www.straitstimes.com/asia/se-asia/tug-of-war-over-ge15-star-columnist,"Only a few divisions want the Bera MP to continue as Prime Minister until the Parliamentary term ends in July 2023.
""He is the Prime Minister,"" the Umno insider said simply, adding that this is the first time an Umno Prime Minister is not party president.
""What the Umno president wants (GE15 soonest) is not what the Prime Minister from Umno wants.
According to the Umno insider, the PM is not keen to dissolve Parliament as he prefers Umno party polls be held before GE15.
Umno polls was due last year but was postponed for 18 months as the party expected Parliament to be dissolved.","party, president, columnist, war, ge15, star, seri, ismail, insider, umno, tug, minister, prime, polls",Conflict/Terrorist activities
1,02/2022,MOSCOW (AFP) ,"War fears mount as Russian President Putin to oversee drills, Ukraine leader Zelensky to meet allies",https://www.straitstimes.com/world/europe/war-fears-mount-as-putin-to-oversee-drills-zelensky-to-meet-allies,"MOSCOW (AFP) - Russia's leader will oversee major military drills along Ukraine's borders on Saturday (Feb 19), further escalating tensions after Washington said Moscow would invade within days, and Ukraine's president headed to Europe to drum up support.
Ukrainian President Volodymyr Zelensky was due to travel to Germany on Saturday to meet Western leaders, with talks between him and US Vice President Kamala Harris expected.
Biden said it ""may not"" be wise for Ukraine's leader to leave his country as war fears reached a fever pitch.
Compounding fears, Russia's defence ministry announced that President Vladimir Putin would personally oversee previously scheduled drills involving nuclear-capable missiles on Saturday.
Nato chief Jens Stoltenberg, attending the Munich Security Conference, warned the size of the assembled Russian force far exceeded that needed for military drills, and that Russia had the capacity to invade without warning.","president, war, drills, ukraine, leader, ukraines, putin, fears, military, washington, zelensky, russian, invade, meet, mount, moscow, oversee",Conflict/Terrorist activities
2,NA,"Your Browser is not allowed to access this page. Supporting Browsers: Chrome, Firefox, Safari, Edge or IE 11",The long shadow of 1942,https://www.straitstimes.com/multimedia/the-long-shadow-of-1942,"Your Browser is not allowed to access this page.
Supporting Browsers: Chrome, Firefox, Safari, Edge or IE 11.","browsers, chrome, edge, shadow, page, access, firefox, allowed, 1942, browser, long, safari, supporting",Conflict/Terrorist activities
3,02/2022,"STANYTSIA LUHANSKA, UKRAINE (NYTIMES) ","If war flames in Ukraine, two odd little enclaves may be the spark",https://www.straitstimes.com/world/europe/if-war-flames-in-ukraine-two-odd-little-enclaves-may-be-the-spark,"STANYTSIA LUHANSKA, UKRAINE (NYTIMES) - People pass the bare-bones checkpoint dragging wheeled suitcases along the muddy pavement, crossing one of the starkest political divides in Europe today.
Behind him was the Russian-backed separatist enclave known as the Luhansk People's Republic, which he said he was fleeing to avoid the draft.
For years, the Luhansk People's Republic and its fellow breakaway Ukrainian enclave, the Donetsk People's Republic, were largely ignored.
They were just two odd little political entities, Stalinist throwbacks with internal politics too esoteric to merit much attention from the outside world.
On one side of the roughly 250-mile (402km) frontline is Ukraine, a Western-looking nation aspiring to integrate with European democracies.","separatist, odd, war, enclaves, ukraine, spark, flames, statement, russianbacked, territories, peoples, crossing, republic, ukrainian, luhansk, little",Conflict/Terrorist activities
4,02/2022,(NYTIMES) ,A new class war comes to Canada,https://www.straitstimes.com/opinion/a-new-class-war-comes-to-canada,"(NYTIMES) - A great and mostly unknown prophet of our time is Michael Young, whose book, The Rise Of The Meritocracy, published way back in 1958, both coined the term in its title and predicted, in its fictional vision of the 21st century, meritocracy's unhappy destination: not the serene rule of the deserving and talented, but a society where a ruling class selected for intelligence but defined by arrogance and insularity faces a roiling populism whose grievances shift but whose anger at the new class order is a constant.
This year it's Canada's turn to live inside Young's somewhat dystopian scenario, set in the 2030s but here ahead of schedule.","title, war, young, turn, unhappy, vision, comes, term, class, way, youngs, canada, unknown",Conflict/Terrorist activities
5,02/2022,"PETRÓPOLIS, Brazil (AFP) ",'Scenes of war' amid search for victims of Brazil floods,https://www.straitstimes.com/world/scenes-of-war-amid-search-for-victims-of-brazil-floods,"PETRÓPOLIS, Brazil (AFP) - An increasingly desperate search was under way on Friday (Feb 18) for people buried by a deluge of mud that swept through the Brazilian city of Petropolis leaving what resembled ""scenes of war"" according to President Jair Bolsonaro.
""We saw enormous destruction, like scenes of war,"" Mr Bolsonaro told reporters after his helicopter flyover on Friday.
He had headed straight for Petropolis on his return to Brazil after an official visit to Russia and Hungary.
More than 500 firefighters with helicopters, excavation machinery and sniffer dogs continued the search even as hope dwindled of finding anyone alive.
Hundreds of volunteers are giving give a hand to residents digging through the mud themselves in a frantic search for missing loved ones.","war, victims, scenes, bodies, according, rio, brazil, city, mud, risk, swept, amid, search, floods",Conflict/Terrorist activities
6,02/2022,MUNICH (AFP) ,Germany accuses Russia of 'Cold War demands' before security conference,https://www.straitstimes.com/world/europe/germany-accuses-russia-of-cold-war-demands-before-security-conference,"MUNICH (AFP) - Germany on Friday (Feb 18) accused Russia of endangering Europe's security with demands that recall the Cold War, as Western leaders arrived for a Munich Security Conference set to be dominated by the Ukraine crisis.
""With an unprecedented deployment of troops on the border with Ukraine and Cold War demands, Russia is challenging fundamental principles of the European peace order,"" Ms Baerbock said in a statement.
But the Kremlin has also said it could be forced to respond militarily if Washington does not meet certain security demands.
""It is a loss that Russia is not taking advantage of this opportunity,"" Ms Baerbock said.
The talks will be hosted by Ms Baerbock, whose country currently holds the G-7 presidency.","baerbock, war, ms, cold, conference, ukraine, germany, russia, munich, demands, west, security, accuses, united",Conflict/Terrorist activities
7,02/2022,AMSTERDAM (REUTERS) ,Dutch apologise for violence in Indonesian War of Independence,https://www.straitstimes.com/world/europe/dutch-apologise-for-violence-in-indonesian-war-of-independence,"Mr Rutte was addressing the study's findings, which said the Dutch military had engaged in systematic, excessive and unethical violence during Indonesia's 1945-1949 struggle for independence, and this had been condoned by the Dutch government and society at the time.
""We have to accept the shameful facts,"" Mr Rutte said at a news conference after the findings were published.
""I make my deep apologies to the people of Indonesia today on behalf of the Dutch government.""
In March 2020, during a visit to Indonesia, King Willem-Alexander made a surprise apology for Dutch violence.
Mr Rutte repeated on Thursday that the Dutch offer to settle compensation claims remains open.","findings, war, dutch, conflict, independence, indonesian, violence, indonesia, military, review, netherlands, rutte, apologise",Conflict/Terrorist activities
8,02/2022,NEW YORK (BLOOMBERG) ,Risk of 'reverse currency war' as central banks fight inflation,https://www.straitstimes.com/business/economy/reverse-currency-war-risk-rising-as-central-banks-fight-inflation,"NEW YORK (BLOOMBERG) - Once accused of pushing their currencies lower to spur growth, top central bankers are now looking to appreciating exchange rates to help fight the menace of inflation.
Now, too much inflation has superseded too little growth as the primary concern for many economies.
The result is strategists at Goldman Sachs Group and elsewhere on Wall Street are declaring a ""reverse currency war"" is under way as policymakers find a tool for quelling inflation in strengthening exchange rates.
""It wouldn't surprise me if we increasingly see G-10 (Group of Ten) central banks recognising that actually a strong currency could be your friend during this tightening cycle.""
Goldman estimated that major central banks would need to raise rates on average by around 10 basis points to offset a 1 percentage point move in their trade-weighted currency.","reverse, inflation, war, rates, currencies, economies, exchange, growth, risk, euro, central, banks, currency, fight, accused",Conflict/Terrorist activities
9,02/2022,AMSTERDAM (REUTERS) ,Panel finds Dutch used excessive violence in Indonesian War of Independence,https://www.straitstimes.com/asia/se-asia/panel-finds-dutch-used-excessive-violence-in-indonesian-war-of-independence,"AMSTERDAM (REUTERS) - A major historical review has found the Netherlands' military engaged in systematic, excessive, unethical violence during Indonesia's 1945-1949 struggle for independence, and the Dutch government at the time condoned it.
The report also notes that Indonesian forces also used ""intense"" violence as they waged a guerrilla war and initially targeted Indo-Dutch and Moluccan minority groups.
In 2013 the Dutch ambassador to Indonesia issued an apology for summary executions, and during a visit in 2020, King Willem-Alexander made a surprise apology for ""excessive violence"" during the conflict.
In 1969 the Dutch government had found its forces had, on the whole, behaved correctly during the conflict.
""It is evident that at every level, the Dutch unquestioningly applied different standards to... colonial 'subjects',"" the summary said.","war, panel, forces, surprise, dutch, independence, excessive, indonesian, violence, report, review, used, finds, summary",Conflict/Terrorist activities
