,date,news title,news source(url),content summary,keywords
0,2021-01-08 16:07:22+08:00,"More than 48,000 people evacuated in Malaysia to escape floods",https://www.straitstimes.com/asia/se-asia/more-than-48000-people-evacuated-in-malaysia-to-escape-floods,"KUALA LUMPUR- More than 48,000 people in six Malaysian states were sheltering in 400 relief centres on Friday (Jan 8) to escape rising floodwaters as monsoon rain continued to lash parts of the country.
There were 27,073 evacuees were housed at 275 temporary relief centres in nine Pahang districts, Bernama reported.
In neighbouring Terengganu state, the flood victims totalled 12,899 people on Friday morning in 50 relief centres, higher than 8,138 evacuees on Thursday afternoon.
North-east Kelantan state has 6,319 people in relief centres on Friday morning in 74 relief centres.
The number of those at relief centres in Johor at 8am on Friday stood at 1,276, fewer than in recent days.","48000, malaysia, states, state, floods, relief, vegetable, escape, season, affected, terengganu, evacuated, centres, vegetables, supply"
1,2021-01-08 16:07:22+08:00,"Six dead, nearly 50,000 evacuated in Malaysia floods",https://www.todayonline.com/world/six-dead-nearly-50000-evacuated-malaysia-floods,"MENTAKAB (Malaysia) — At least six people have died and nearly 50,000 evacuated in Malaysia after monsoon rains pounded the country's east coast, authorities said Friday (Jan 8), causing what residents described as the worst flooding in half a century.
The water has covered my roof,"" 59-year-old factory worker Tan Kong Leng told AFP, tears filling his eyes.
The worst-hit state is Pahang, where around 27,000 people have been evacuated in recent days, according to the social welfare department.
In one village in the state cut off by floods, residents were evacuated in an excavator on Wednesday, while others were forced to swim through deep waters.
Mr Tan, the factory worker, and his wife took shelter at his plywood factory.","malaysia, told, floods, nearly, boats, residents, worsthit, factory, village, 50000, evacuated, worker, worst, dead"
2,2021-01-08 16:07:22+08:00,UAE provides urgent aid to those affected by floods in Malaysia - Malaysia,https://reliefweb.int/report/malaysia/uae-provides-urgent-aid-those-affected-floods-malaysia,"ABU DHABI, 9th January, 2021 (WAM) -- The United Arab Emirates has provided urgent humanitarian aid to those affected by the floods that swept the state of Pahang, Malaysia.
Sheikh Hamdan bin Zayed Al Nahyan, Ruler's Representative in Al Dhafra Region and Chairman of the Emirates Red Crescent (ERC).
The aid includes large quantities of medical and food supplies, and shelter materials, in the first phase of the aid programme that is implemented by the Emirates Red Crescent, benefitting more than 50,000 affected people.
The Emirates Red Crescent has completed its preparations to implement the directives of the wise leadership, and to expedite the provision of the assistance to those affected by the floods.
Al Falahi explained that the UAE aid programme to Malaysia is being prepared, based on field reports and humanitarian appeals, taking into account urgent needs at the current stage.","red, malaysia, urgent, state, floods, provides, emirates, programme, humanitarian, al, affected, zayed, aid, crescent, uae"
3,2021-01-08 16:07:22+08:00,Tens of thousands evacuated amid Indonesia floods,https://www.channelnewsasia.com/asia/indonesia-floods-south-kalimantan-borneo-414311,"JAKARTA: Tens of thousands of people have been evacuated and more than a dozen have been killed in recent days in flooding on Indonesia's Borneo island, officials said on Sunday (Jan 17).
National Disaster Mitigation Agency spokesperson Raditya Jati said floods brought by intense rains caused floodwaters as high as 3m.
As of Sunday, 39,549 people had been evacuated and at least 15 had been killed due to floods that affected 10 districts and cities in South Kalimantan province on Borneo island.","spokesperson, tens, killed, floods, indonesia, south, island, evacuated, amid, recent, borneo, thousands"
4,2021-01-08 16:07:22+08:00,"Johor hit by floods after heavy rain, 1,000 residents evacuated",https://www.channelnewsasia.com/asia/johor-floods-1000-people-evacuated-heavy-rain-malaysia-381711,"JOHOR BAHRU: About 1,000 people in Malaysia's southern state of Johor have been placed in temporary evacuation centres after flooding caused by two days of heavy rain which started on Friday (Jan 1).
Four districts - Kulai, Johor Bahru, Kluang and Kota Tinggi - were hit by flooding, said State Health and Environment committee chairman R Vidyananthan.
Traffic was affected as well.
There was a slippery stretch of road along the Kluang-Mersing route near Kluang, said the chairman of the Johor Public Works, Transport and Infrastructure Committee.
Vehicles could still pass but light vehicles could not get through another three locations along the same route as the roads were submerged in 0.2m to 0.6m of water.","flooding, state, floods, bahru, hit, residents, 1000, chairman, works, wellthere, heavy, route, johor, water, evacuated, rain, kluang"
5,2021-01-08 16:07:22+08:00,Body of student who went missing amid Johor floods found in Kluang,https://www.channelnewsasia.com/asia/body-student-who-went-missing-amid-johor-floods-found-kluang-383811,"KLUANG: The body of a Universiti Sains Islam Malaysia (USIM) student, who was reported missing on Sunday (Jan 3), was found at Kampong Bentong in Kluang at noon on Monday.
Ikmal is the second fatality linked to the recent Johor floods.
Low said the victim was believed to be on his way from his residence in Taman Suria to the house of an acquaintance known as ""Amir"", who lived in Kampung Bentong, when the incident occurred.
Low said the victim, a first-year USIM student, tried to contact his father but failed.
“The victim’s body was found today, and brought to the Enche’ Besar Hajjah Khalsom Hospital in Kluang for further action,” he said.","victims, today, went, floods, suria, body, usim, tried, johor, missing, victim, taman, amid, student, kluang"
6,2021-01-08 16:07:22+08:00,Why Landscapes Designed to Flood Are Environmentally Sound,https://metropolismag.com/viewpoints/why-landscapes-designed-to-flood-are-environmentally-sound/,"A “floodscape” could be seen as a contradiction in terms: Flood spreads wherever gravity leads it, covering the familiar topography with a dark, gray, and uniform blanket.
In that regard, flood is amorphous, as it can distort and temporarily erase forms and features from the visible landscape—nothing that could be described as a “scape” in the sense of articulated and meaningful scenery.
In my forthcoming book, Floodscapes, I explore humanity’s past relationship to flood processes, from ancient and mythical floods to the rise of environmental policies, as well as a selection of contemporary projects.
This new model sees a logic of negotiated cohabitation with natural processes replace the old narratives of heroic fight, hypothetical conquest, and absolute safety.
They allow us to build combinatory and consensual adaptation strategies, and they encourage stakeholders and architects of regional planning to play an active role in this historical enterprise.","landscapes, adaptation, natural, processes, floodscapes, terms, flood, designed, rivers, strategies, regard, environmentally, sound"
7,2021-01-26 05:00:03-08:00,‘No One Is Coming’: Residents Face Devastation After Floods,https://globalpressjournal.com/africa/uganda/no-one-coming-residents-face-devastation-floods/,"KASESE, UGANDA — Around 1 a.m. on May 7, 2020, Lorna Bambu heard screams.
Heavy rains had soaked western Uganda’s mountainous Kasese region the day before, and now the area’s rivers had burst their banks.
“In Kasese, rivers have been known to flood periodically since the 1940s,” says Evelyn Mugume, environment officer for the Kasese municipality.
Patricia Lindrio, GPJ Uganda Flooding from River Nyamwamba cut off one of the main roads in the Kasese area, affecting thousands of residents.
For Bambu and other Kasese residents, however, rebuilding has become a way of life.","region, floods, land, kasese, hospital, residents, devastation, uganda, help, camp, rivers, coming, face, flooding"
8,2021-01-18 17:43:11+08:00,Indonesia's South Kalimantan province hit by possibly worst floods in 50 years: President Joko,https://www.straitstimes.com/asia/se-asia/indonesias-south-kalimantan-province-hit-by-possibly-worst-floods-in-50-years-president,"SINGAPORE - Indonesia's President Joko Widodo on Monday (Jan 18) travelled to South Kalimantan to witness what he described as possibly the worst flooding in 50 years in the area.
Ten cities and regencies in the province battered by heavy rain since earlier this month have been affected.
In pouring rain, Mr Joko visited flooded villages, witnessed overflowing rivers and inspected damaged bridges.
""This is the biggest flood in South Kalimantan province in maybe more than 50 years.
Earlier this month, 36 people were killed in floods and landslides in Sumedang regency, in West Java.","province, killed, indonesias, floods, hit, month, landslides, south, joko, possibly, mr, kalimantan, rain, worst, president"
9,2021-01-19 00:00:00,Palm Output Hit by Double Whammy of Floods and Scarce Labor,https://www.bloomberg.com/news/articles/2021-01-19/palm-oil-output-hit-by-double-whammy-of-floods-and-scarce-labor,"Palm oil production in Malaysia is being dealt a double blow from a persistent shortage of workers to harvest the crop and torrential rains that have triggered floods in key growing areas of the world’s No.
2 supplier.
Relentless heavy rain and thunderstorms have led to flash floods in parts of Sabah, Sarawak, Johor, Pahang and Perak -- the biggest palm oil-producing states in the country.
While palm trees are typically water-loving and resistant to wet weather, prolonged floods could prevent harvesting -- leading to overripe fruit and poor oil quality -- and disrupt transport of fruit to mills.","weather, floods, output, fruit, worlds, hit, workers, wet, waterloving, double, whammy, labor, palm, typically, scarce, oil"
