,date,news title,news source(url),content summary,keywords
0,2021-01-27 00:00:00,"Microsoft surpasses $10 billion in security business revenue, more than 40 percent year-over-year growth",https://www.microsoft.com/security/blog/2021/01/27/microsoft-surpasses-10-billion-in-security-business-revenue-more-than-40-percent-year-over-year-growth/,"Yesterday, Satya shared an important milestone for our security business: $10 billion in revenue in the past 12 months representing more than 40 percent year-over-year growth.
In my first customer meeting at Microsoft, on which Satya joined me, a customer told me she just wanted a simple button that would make everything work—could Microsoft help?
These new solutions help protect users and businesses across devices, platforms, and clouds.
Microsoft Cloud App Security helps protect users, ensuring apps like Salesforce, Workday, and ServiceNow can be quickly adopted and safely managed.
To learn more about Microsoft Security solutions visit our website and watch our webcast to learn how to streamline and strengthen your security.","work, yearoveryear, solutions, growth, cloud, surpasses, revenue, help, identity, microsoft, billion, 40, protect, security, azure, business, customers"
1,2021-01-04 00:00:00,Where is Jack Ma? Alibaba's billionaire founder hasn't been seen publicly in 2 months following China's crackdowns on his companies,https://www.businessinsider.com/alibaba-founder-jack-ma-suspected-missing-2021-1,"And in November, China introduced regulations that halted what would have been a massive initial public offering for Ant Group, Ma's fintech company.
Ma reportedly dismissed the global financial regulations used by China as ""an old people's club"" and said that ""we can't use yesterday's methods to regulate the future.""
As speculation about Ma's whereabouts spread, a prediction about Ma from another billionaire Chinese businessman recirculated on social media.
Last week, the Chinese government ordered Ant Group, which owns Alipay, China's largest digital-payment platform, to scale back its operations after expressing concerns that its corporate governance was ""not sound.""
A representative for Ant Group did not immediately respond to Business Insider's request for comment for this story.","months, jack, crackdowns, representative, china, seen, companies, financial, business, mas, group, ma, insiders, following, founder, regulations, ant, publicly, chinas"
2,2021-01-04 00:00:00,Trump Reveals Extent of Pandemic Damage to Business Empire,https://www.bloombergquint.com/business/trump-reveals-extent-of-pandemic-damage-to-his-business-empire,"In total, Trump valued the assets from his businesses at between $1.3 billion and $1.7 billion.
The disclosures are not exact -- federal officials give the value of their assets and income in broad ranges, and the top value is “over $50 million.” Trump had 22 assets he listed in that range, including his Mar-a-Lago resort and the Trump International Hotel in Washington.","reveals, ranges, pandemic, extent, value, range, washington, damage, billion, resort, assets, total, trump, business, valued, empire"
3,2021-01-04 00:00:00,£4.6 billion in new lockdown grants to support businesses and protect jobs,https://www.gov.uk/government/news/46-billion-in-new-lockdown-grants-to-support-businesses-and-protect-jobs,"The cash is provided on a per-property basis to support businesses through the latest restrictions, and is expected to benefit over 600,000 business properties, worth £4 billion in total across all nations of the UK.
Throughout the pandemic we’ve taken swift action to protect lives and livelihoods and today we’re announcing a further cash injection to support businesses and jobs until the Spring.
This will help businesses to get through the months ahead – and crucially it will help sustain jobs, so workers can be ready to return when they are able to reopen.
A further £594 million is also being made available for Local Authorities and the Devolved Administrations to support other businesses not eligible for the grants, that might be affected by the restrictions.
The new one-off grants come in addition to billions of existing business support, including grants worth up to £3,000 for closed businesses, and up to £2,100 per month for impacted businesses once they reopen.","lockdown, existing, restrictions, discretionary, help, 46, local, businesses, support, billion, protect, grants, worth, jobs, business"
4,2021-01-04 00:00:00,Manufacturing PMI® at 60.7%; December 2020 Manufacturing ISM® Report On Business®,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-60-7-december-2020-manufacturing-ism-report-on-business-301200432.html,"DECEMBER 2020 MANUFACTURING INDEX SUMMARIESManufacturing PMI ®Manufacturing grew in December, as the Manufacturing PMI® registered 60.7 percent, 3.2 percentage points higher than the November reading of 57.5 percent.
THE LAST 12 MONTHSMonth ManufacturingPMI®Month ManufacturingPMI® Dec 2020 60.7Jun 2020 52.6 Nov 2020 57.5May 2020 43.1 Oct 2020 59.3Apr 2020 41.5 Sep 2020 55.4Mar 2020 49.1 Aug 2020 56.0Feb 2020 50.1 Jul 2020 54.2Jan 2020 50.9 Average for 12 months – 52.5 High – 60.7 Low – 41.5New OrdersISM®'s New Orders Index registered 67.9 percent in December, an increase of 2.8 percentage points compared to the 65.1 percent reported in November.
The Manufacturing ISM® Report On Business® survey is sent out to Manufacturing Business Survey Committee respondents the first part of each month.
ISM ROB Content is protected by copyright, trademark, trade secret, and other laws, and as between you and ISM, ISM owns and retains all rights in the ISM ROB Content.
The next Manufacturing ISM® Report On Business® featuring January 2021 data will be released at 10:00 a.m.","ism, month, manufacturing, 607, equipment, registered, industries, pmi, 2020, report, products, business, index, orders"
5,2021-01-04 00:00:00,SAP launches ‘Rise’ business transformation as a service,https://www.computerweekly.com/news/252495459/SAP-launches-Rise-business-transformation-as-a-service,"SAP’s chief executive officer, Christian Klein, has announced what the supplier is calling a “business transformation service” under the label “Rise”.
Alongside the announcement was confirmation of SAP’s acquisition of business process specialist supplier Signavio.
“Companies that can adapt their business processes quickly will thrive – and SAP can help them achieve this,” said Klein.
“It will be interesting to see if ‘Rise with SAP’ also helps customers build a strong business case to move to SAP S/4HANA.
“The SAP Business Technology Platform delivers one semantic layer across an enterprise, providing the foundation for a holistic business transformation,” the statement said.","rise, signavio, processes, transformation, intelligence, launches, sap, way, process, service, business, customers"
6,2021-01-04 00:00:00,"More than 900,000 UK small businesses ‘at risk’ of failing by early April",https://www.lse.ac.uk/News/Latest-news-from-LSE/2021/a-Jan-21/More-than-900000-UK-small-businesses-%27at-risk%27-of-failing-by-early-April,"Almost 15 per cent – more than one in seven – UK businesses are at great risk of imminent closure.
The report, A major wave of UK business closures by April 2021?
The scale of the problem is such that the “at-risk” group comprises 390,000 registered businesses or 906,000 of all businesses.
Registered businesses now in the at-risk group employ 1.9 million people – 8 per cent of private sector employment.
When all at-risk businesses are taken into account 2.5m – 9 per cent of jobs - are shown to be at stake.","900000, mr, failing, measures, help, risk, authors, businesses, early, 2021, major, small, uk, report, business"
7,2021-01-27 00:00:00,2021 SEO Trends Every Business Owner Should Consider,https://www.forbes.com/sites/forbesagencycouncil/2021/01/27/2021-seo-trends-every-business-owner-should-consider/,"Let's take a look at the value of SEO plus some of the trends that we may see in 2021.
Local SEO Will Play A Key Role In SEO StrategiesOftentimes, people use search engines to search for quality local goods and services.
Because of this, one of the SEO trends we will likely see on the rise in 2021 is local SEO playing a key role in SEO strategies.
And many of these zero-click searches are likely local searches.
So when thinking about your SEO, consider selecting words or phrases that people use in their everyday lives as keywords.","engine, content, searches, owner, trends, local, website, 2021, search, seo, google, consider, business, zeroclick"
8,2021-01-27 23:32:57+00:00,Japan's Showa Denko to sell aluminium business to Apollo,https://www.reuters.com/article/us-apollo-global-showa-denko-idUSKBN29W317,"TOKYO (Reuters) - Japan’s Showa Denko KK said on Thursday it would sell its aluminium business to U.S. investment fund Apollo Global Management as the materials maker steps up efforts to divest assets.
Specifically, Showa Denko said it plans to sell its aluminium rolling business for electronic components as well as the aluminium can business.
The divestiture is part of the company’s business portfolio overhaul following the $9.2 billion acquisition last year of Hitachi Chemical, a supplier of materials for semiconductors, displays and lithium-ion batteries.
Global private equity firms such as Apollo, KKR and Carlyle Group have been looking to expand in Japan, taking advantage of large Japanese companies coming under pressure to sell non-core assets and improve returns to shareholders.
Japanese cosmetics firm Shiseido Co Ltd said last week it was in talks to sell its lower-priced skincare and shampoo brands to private equity firm CVC Capital Partners.","equity, apollo, materials, private, japans, firm, billion, aluminium, showa, sell, business, denko"
9,2021-01-27 23:32:57+00:00,Insurance industry reacts to business interruption test case outcome,https://www.insurancebusinessmag.com/uk/news/breaking-news/insurance-industry-reacts-to-business-interruption-test-case-outcome-243793.aspx,"Read more: FCA COVID-19 business interruption test case verdict revealedFor Association of British Insurers (ABI) director general Huw Evans, the conclusion of the case offers welcome clarity in relation to several complex issues surrounding business interruption coverage.
Some payments have already been made where valid business interruption claims have not been impacted by the test case ruling.
“This judgement now sets out how business interruption insurance wordings should work.
“This judgement will have huge ramifications for insurance beyond business interruption and it is important this is also looked at as openly as possible,” said the CII official.
We are hugely grateful for its work in this space.”Read more: Insurance industry reaction: FCA moves forward in business interruption test caseAirmic chief executive John Ludlow, in response to the landmark ruling, stated: “Insurance buyers have faced a harsh insurance market in 2020-2021.","outcome, policyholders, reacts, insurance, industry, court, supreme, judgement, claims, test, interruption, insurers, business, case"
