,date,news title,news source(url),content summary,keywords
0,2021-01-20 15:59:56+00:00,"They don’t come as Pills, but try these 6 Underprescribed Lifestyle Medicines for a Better, Longer Life",https://inside.upmc.com/underprescribed-lifestyle-medicines/,"The majority of Americans are stressed, sleep-deprived and overweight and suffer from largely preventable lifestyle diseases such as heart disease, cancer, stroke and diabetes.
About 90% of the nearly $4 trillion Americans spend annually for health care in the U.S. is for chronic diseases and mental health conditions.
Chronic stress increases the risk of cardiovascular disease, irritable bowel disease, obesity, depression, asthma, arthritis, autoimmune diseases, cardiovascular disease, cancer, diabetes, neurological disorders and obesity.
Scientists are unraveling new mechanisms that explain how chronic stress can turn genes on and off.
Ask your doctor to “prescribe” these six “pills” for a longer and better life.","life, come, disease, medicines, pills, lifestyle, try, research, better, social, chronic, diseases, stress, sleep, health, underprescribed, longer, dont"
1,2021-01-26 00:00:00,Accor Partners With Miami-Based Faena to Fuel Its Lifestyle Hotel Strategy,https://skift.com/2021/01/26/accor-partners-with-miami-based-faena-to-fuel-its-lifestyle-hotel-strategy/,"It may not be an outright acquisition, but Accor's partnership with Faena further builds on the Paris-based hotel giant's plan to be a leader in the trendy, lifestyle hotel sector coming out of the pandemic.
The Paris-based hotel giant Tuesday announced plans to partner with Faena, a hospitality company with three hotels between Miami and Buenos Aires.
A close working relationship — which is not a sale to Accor, Faena founder Alan Faena emphasized in an interview with Skift — between the two companies is the latest Accor play to focus even further on luxurious lifestyle hotels, which generate a higher share of revenue from their restaurants and bars.
The original Faena District in Buenos Aires includes the Faena Hotel as well as the Faena Art Center and several residential buildings in what was a neglected stretch of the Puerto Madero neighborhood in the Argentine city.
It isn’t yet determined if the Faena brands would fall under the Ennismore purview, as Faena himself sees the company fitting in both the luxury and lifestyle molds.","faena, hotels, partnership, partner, lifestyle, miamibased, strategy, fuel, partners, accor, global, company, brands, hotel"
2,2021-01-27 00:00:00,Nova LifeStyle Plans to Launch HealthLine Membership in Malaysia,https://www.globenewswire.com/news-release/2021/01/27/2165156/37029/en/Nova-LifeStyle-Plans-to-Launch-HealthLine-Membership-in-Malaysia.html,"LOS ANGELES, Jan. 27, 2021 (GLOBE NEWSWIRE) -- Nova LifeStyle, Inc. (NASDAQ: NVFY) (“Nova LifeStyle” or the “Company”) today announced that it intends to launch a membership based Nova HealthLine platform in Malaysia under www.novahealthline.my on February 1, 2021As previously announced, Nova LifeStyle launched an online sales platform ( www.novahealthline.com ) in December to distribute health line products manufactured by 3H Korea Co Ltd.
The new platform will focus on customers in Malaysia and additional products for this platform will be announced soon.
The Company is in the process of developing a rewards program that will enhance the consumer experience and reward Nova HealthLine members for both platforms.
Tawny Lam, CEO, Chairperson and President of Nova LifeStyle, stated, “We believe membership based HealthLine platforms and reward programs will provide health conscious consumers with an added benefit that goes above and beyond just a healthy lifestyle.
All statements other than statements of historical fact are, or may be deemed to be, forward-looking statements.","plans, lifestyle, terms, membership, healthline, statements, furniture, launch, malaysia, platform, nova, products, forwardlooking"
3,2021-01-04 00:00:00,"Chipotle launches Cilantro-Lime Cauliflower Rice, four new lifestyle bowls in time for New Year's resolutions",https://www.usatoday.com/story/money/food/2021/01/04/chipotle-cauliflower-rice-lifestyle-bowls-launch-nationwide/4057421001/,"The fast-casual chain announced the nationwide launch of Cilantro-Lime Cauliflower Rice Monday.
Chipotle also announced it has four new lifestyle bowls that include the cauliflower rice.
Keto Bowl: Cilantro-Lime Cauliflower Rice, chicken, tomatillo-red salsa, cheese and guac.
Vegetarian Salad Bowl: Supergreens lettuce blend, Cilantro-Lime Cauliflower Rice, black beans, fajita veggies, fresh tomato salsa and guac.
Vegan Bowl: Cilantro-Lime Cauliflower Rice, black beans, sofritas, fresh tomato salsa, roasted chili-corn salsa and romaine lettuce.","rice, fresh, cauliflower, lifestyle, bowls, salsa, resolutions, launches, tomato, chicken, bowl, chipotle, cilantrolime"
4,2021-01-26 01:15:02+00:00,Wheels Up in talks with SPAC to go public: sources,https://www.reuters.com/article/us-aspirational-con-m-a-wheels-up-exclus-idUSKBN29V04B,"Aspirational Consumer Lifestyle has engaged with potential investors to buy into a private investment in public equity, or PIPE, transaction to raise additional funding for the deal to invest in Wheels Up, the sources said.
The sources, who requested anonymity to discuss the transaction, cautioned that it is possible talks could still collapse.
Aspirational Consumer Lifestyle and Wheels Up did not immediately respond to requests for comment.
The SPAC raised around $225 million in an initial public offering (IPO) on the New York Stock Exchange in September.
A SPAC is a shell company that raises funds in an initial public offering (IPO) with the aim of acquiring a private company, which then becomes public as result of the merger.","consumer, public, talks, lifestyle, sources, private, company, thakran, merger, investment, spac, wheels"
5,2021-01-15 00:00:00,"Intel has to be better than ‘lifestyle company’ Apple at making CPUs, says new CEO",https://www.theverge.com/2021/1/15/22232554/intel-ceo-apple-lifestyle-company-cpus-comment,"“We have to deliver better products to the PC ecosystem than any possible thing that a lifestyle company in Cupertino” makes, Gelsinger reportedly told Intel employees.
While Apple will still use Intel chips for some Macs in the future, the move away from reliance on Intel is significant.
Gelsinger now faces the reality of competing with Apple, AMD, and others after Intel has struggled to transition to a 10nm manufacturing process for years.
Bloomberg News recently reported that Intel has been in talks with both TSMC and Samsung to outsource some chip production.
Apple, AMD, Qualcomm, MediaTek, and other Intel competitors are already using TSMC for chip production.","amd, ceo, gelsinger, chip, lifestyle, production, apple, transition, tsmc, chips, better, intel, company, cpus, making"
6,2021-01-21 18:59:13+00:00,"Jason Derulo, Adam Levine Release New Single ‘Lifestyle’",https://www.rollingstone.com/music/music-news/jason-derulo-adam-levine-lifestyle-1117517/,"Last year, Derulo’s single “Savage Love” peaked at Number 11 on Rolling Stone‘s Top 100 Songs chart.
The track was built off a viral TikTok instrumental by Jawsh 685 titled “Laxed (Siren Beat).” Derulo had originally released the song without clearing the sample with the producer.
The issue was resolved a month later, and both Derulo and Jawsh 685 appeared in a music video together for the song.
Derulo also released a video for “Take You Dancing” in July.
Last summer, Levine and the rest of Maroon 5 released the video for “Nobody’s Love,” which advocated for decriminalizing marijuana.","released, single, track, lifestyle, release, maroon, jason, adam, song, summer, levine, derulo, love, jawsh, video"
7,2021-01-27 10:46:36+05:30,"To ward off cancer, other diseases we need to change lifestyle, by innovation",https://www.hindustantimes.com/lifestyle/health/to-ward-off-cancer-other-diseases-we-need-to-change-lifestyle-by-innovation-101611722551413.html,"The key factor in preventing non-communicable diseases is lifestyle management at the individual level with a focus on such innovations, which can help increase the awareness of risk factors management in society, claim an international team of researchers.
According to them, the management of cancer, diabetes, cardiovascular and respiratory diseases require many strategies from several perspectives and on different levels.
Non-communicable diseases (NCDs), also known as chronic diseases, are medical conditions that are associated with long duration and slow progress.
The top four killers among NCDs are cardiovascular diseases (17.9 million deaths annually), cancers (9 million), respiratory diseases (3.9 million), and diabetes (1.6 million).
high blood pressure, smoking, physical inactivity, obesity) and non-modifiable (such as age, gender, genetic factors) risk factors that contribute to the development of NCDs.","change, cancer, management, ncds, lifestyle, development, researchers, risk, innovation, ward, need, diseases, health, factors, study"
8,2021-01-21 15:18:31+09:00,Innovative electric vehicle charging station makes debut in Seoul as lifestyle complex,https://www.ajudaily.com/view/20210121150948255,"On the first floor, Hyundai Motor installed eight fast chargers with unique designs to reduce time.
customers can easily connect charging ports without feeling the weight of connecting lines.A coffee lounge was located on the second floor while the fourth floor was used as an office block.
The third floor provides a brand experience zone where customers can directly use products such as water purifiers and massage chairs, along with a shared kitchen and a cooking show.
SKI would develop various content for customers and vehicles at charging stations to be built in other areas.GS Caltex would use gas stations for all-in-one last-mile services and as a hub for logistics, cultural space and refueling to build innovative places where customers can enjoy a variety of lifestyle activities such as shopping and dining while refueling.
The refiner aims to create next-generation refueling services for drone delivery, small parcel delivery and car-sharing delivery services.","station, seoul, charging, lifestyle, variety, services, motor, stations, refueling, electric, innovative, vehicle, complex, floor, makes, debut, sk, customers"
9,2021-01-21 15:18:31+09:00,Wheels Up Partners said to be in talks with SPAC to go public,https://www.dealstreetasia.com/stories/wheels-up-partners-aspirational-consumer-225137/,"PremiumWheels Up Partners LLC is in talks to go public through a merger with blank-check acquisition company Aspirational Consumer Lifestyle Corp in a deal which could value the private jet charter company at more than $2 billion, people familiar with the matter said on Monday.","public, talks, matter, llc, value, premiumwheels, private, company, partners, merger, spac, wheels"
10,2021-01-21 15:18:31+09:00,How I went from a lifestyle of excess to less,https://lifestyle.livemint.com/fashion/trends/how-i-went-from-a-lifestyle-of-excess-to-less-111610376976373.html,"A few years ago, I had a rude awakening while cleaning my cupboard: I didn’t wear three-fourth of my belongings.
While I’ve always been conscious enough to use secondhand furniture and locally sourced home décor items, when it came to clothes, I just couldn’t embrace the “lifestyle of less”.
It did really change my outlook of what’s worth and what’s not.
Living a lifestyle of less is easy, but not so when for years you’ve allowed yourself to be seduced by banners and hoardings of lifestyle brands and lived a life of excess.
It’s the lifestyle of less that is therapeutic.","really, went, change, whats, excess, lifestyle, fashion, wear, past, brands, clothes, easy"
11,2021-01-21 15:18:31+09:00,"RIL rebrands its sports & lifestyle business, names it RISE Worldwide Limited",https://www.exchange4media.com/marketing-news/ril-rebrands-its-sports-lifestyle-business-names-it-rise-worldwide-limited-110514.html,"RISE Worldwide will continue to drive the full portfolio of owned and operated brand properties formerly under the banner of IMG-Reliance LimitedReliance Industries Ltd. today announced the rebranding of its sports & lifestyle business to ‘RISE Worldwide Limited’ as it independently ventures into the burgeoning industry in India and globally.
RISE Worldwide will continue to drive the full portfolio of owned and operated brand properties formerly under the banner of IMG-Reliance Limited.
RISE Worldwide is conceptualized with the belief that ‘Together We RISE as 1’; the company’s motto represents the passion, positivity, optimism and leadership of a young India, globally.
“RISE Worldwide aims to provide a comprehensive solution to the Sports, Lifestyle and Entertainment industries as one inclusive force creating a symbiotic ecosystem that engages in nation building by inspiring the youth through our various initiatives,” remarks RISE Worldwide spokesperson.
Read more news about (internet advertising India, internet advertising, advertising India, digital advertising India, media advertising India)","rise, various, worldwide, properties, rebrands, lifestyle, fashion, portfolio, india, limited, advertising, names, world, business, ril"
12,2021-01-05 00:00:00,7 Food And Lifestyle Trends That Will Define 2021,https://www.forbes.com/sites/eveturowpaul/2021/01/05/7-food-and-lifestyle-trends-that-will-define-2021/,"In the food and lifestyle arenas, 2020 was marked by shake ups in supply chains, online ordering, and new demands on local food systems.
Here are the top 7 trends anyone working in the food and lifestyle industries should be paying attention to in 2021.
Those under 40 believe that caring for one’s mental health is just as important as caring for one’s physical health and discussions of mental health are becoming more open and less stigmatized, particularly among Millennials and Gen Z.
Grocer shortages also inspired this movement, with many finding their local food systems to be more reliable.
“Relocalisation can not only improve food security, but support a more climate-smart sustainable food system,” notes the British agency Veris in their insights report.","food, lifestyle, movement, pandemic, trends, local, mental, sustainable, 2021, 2020, define, health, focus, foods"
