,Ticker,Title,Article,Summary,Link,Date
0,singapore,Singapore says police will be given access to Covid-19 contact tracing data,"Singapore has announced its police will be able to use data obtained by its coronavirus contact-tracing technology for criminal investigations, a decision likely to increase privacy concerns around the system.

The technology, deployed as both a phone app and a physical device, is being used by nearly 80% of the 5.7 million population, authorities said, after announcing its use would become compulsory in places such as shopping malls.

The TraceTogether scheme, one of the most widely used in any country, has raised privacy fears but authorities have said the data is encrypted, stored locally and tapped by authorities only if individuals test positive for Covid-19.

“The Singapore police force is empowered ... to obtain any data, including TraceTogether data, for criminal investigations,” the minister of state for home affairs, Desmond Tan, said on Monday in response to a question in parliament.

The privacy statement on the TraceTogether website says: “Data will only be used for Covid-19 contact tracing.”

Privacy concerns have been raised about such apps in various places, including Israel and South Korea.

“Concerns have focused on data security issues associated with the collection, use and storage of the data,” law firm Norton Rose Fullbright said of Singapore’s scheme in a review of global contact-tracing technology last month.

Asked about the TraceTogether privacy statement by an opposition MP, Tan said: “We do not preclude the use of TraceTogether data in circumstances where citizens’ safety and security is or has been affected, and this applies to all other data as well.”

Dissent is rare in Singapore, which has been ruled by the same party since its independence in 1965, has strict laws, widespread surveillance and restrictions on public assembly. Serious crime is also rare.

The prime minister, Lee Hsien Loong, has previously said privacy concerns about the technology had to be weighed against the need to curb the spread of the virus and keep the economy open.

Singapore has reported only a handful of local Covid-19 cases in the past few months, and its extensive disease surveillance and contact tracing efforts have won international praise including from the World Health Organization.

Australia based its own contact tracing app, Covidsafe, on the TraceTogether app source code.

The New South Wales Department of Health said last year that one major issue with the app – which would also have privacy implications if used by law enforcement – was falsely identifying close contacts.

“There were neighbours in the same apartment buildings or nearby houses, there were office workers who worked on different floors in the case, there were people who were in different restaurants with the case, [or] that was still on the same street or perhaps a few doors down or even over the road from the case,” researcher Jana Sisnowski said.

With Reuters","Singapore has announced its police will be able to use data obtained by its coronavirus contact-tracing technology for criminal investigations, a decision likely to increase privacy concerns around the system.
“The Singapore police force is empowered ... to obtain any data, including TraceTogether data, for criminal investigations,” the minister of state for home affairs, Desmond Tan, said on Monday in response to a question in parliament.
The privacy statement on the TraceTogether website says: “Data will only be used for Covid-19 contact tracing.”Privacy concerns have been raised about such apps in various places, including Israel and South Korea.
Singapore has reported only a handful of local Covid-19 cases in the past few months, and its extensive disease surveillance and contact tracing efforts have won international praise including from the World Health Organization.
Australia based its own contact tracing app, Covidsafe, on the TraceTogether app source code.",https://www.theguardian.com/world/2021/jan/05/singapore-says-police-will-be-given-access-to-covid-19-contact-tracing-data,2021-01-05 00:00:00
1,singapore,Singapore’s police now have access to contact tracing data,"Why it matters: Our Covid Tracing Tracker notes the privacy policies for dozens of apps around the world that notify users of potential exposure to covid-19. Although Singapore’s general attitudes about data privacy may not mirror what’s happening elsewhere, contact tracing apps around the world have raised questions of user privacy since the first were launched last year. The news from Singapore hits on activists’ and ethicists' concerns about data misuse, and groups like Human Rights Watch have outlined how surveillance could further hurt already marginalized communities.

In a recent essay in the journal Science, bioethicists Alessandro Blasimme and Effy Vayena from ETH Zurich in Switzerland said that the “piecemeal creation of public trust” was an important missing ingredient if we want more people to use these apps.

Data is still important: This isn’t the first time the use of contact tracing data has intersected with law enforcement. Last July, German restaurants, bars, and patrons raised objections when it was reported that police used information collected in contact tracing to track down witnesses in investigations. And in late December 2020, New York governor Andrew Cuomo signed a law that prohibits law enforcement and immigration authorities from accessing contact tracing data. Groups like the New York Civil Liberties Union, the Electronic Frontier Foundation, and the New York Immigration Coalition applauded the move.

This story is part of the Pandemic Technology Project, supported by the Rockefeller Foundation.","Although Singapore’s general attitudes about data privacy may not mirror what’s happening elsewhere, contact tracing apps around the world have raised questions of user privacy since the first were launched last year.
Data is still important: This isn’t the first time the use of contact tracing data has intersected with law enforcement.
Last July, German restaurants, bars, and patrons raised objections when it was reported that police used information collected in contact tracing to track down witnesses in investigations.
And in late December 2020, New York governor Andrew Cuomo signed a law that prohibits law enforcement and immigration authorities from accessing contact tracing data.
Groups like the New York Civil Liberties Union, the Electronic Frontier Foundation, and the New York Immigration Coalition applauded the move.",https://www.technologyreview.com/2021/01/05/1015734/singapore-contact-tracing-police-data-covid/,2021-01-05 00:00:00
2,singapore,Police's ability to use TraceTogether data raises questions on trust: Experts,"SINGAPORE - The revelation that TraceTogether data can be used for police investigations has raised questions over trust in government, especially in relation to data privacy, said observers on Tuesday (Jan 5).

Associate Professor Eugene Tan from the Singapore Management University said the news came across as the Government backtracking on its earlier assurance that TraceTogether would be used only for contact tracing.

""It clearly undermines their trust and credibility,"" said the former Nominated MP.

""This damage could undermine its future efforts, given its reiteration that Singapore has managed to keep Covid-19 under control due only to the people's trust in the Government's measures.""

Former Nominated MP Calvin Cheng said in a Facebook post that the Government ""should have been upfront that some privacy will be sacrificed for safety and security"".

After Minister of State for Home Affairs Desmond Tan on Monday said police are empowered under the Criminal Procedure Code (CPC) to obtain TraceTogether data for criminal investigations, netizens were quick to cite remarks by Minister-in-charge of the Smart Nation Initiative Vivian Balakrishnan during a June 8 press conference.

He had said then that TraceTogether data would be used ""purely for contact tracing, period"".

Addressing the House on Tuesday in an unscheduled statement on the issue, Dr Balakrishnan said: ""Frankly, I had not thought of the CPC when I spoke earlier.""

National University of Singapore sociologist Tan Ern Ser noted that Singaporeans generally have a high degree of trust in the Government.

But he suggested that an additional layer of safeguards should be created to allay concerns about data privacy, and make sure such data is not misused.

This could come in the form of a committee comprising prominent public figures to which the police would be accountable to, should they plan to use the TraceTogether data, he said.

""I don't think there's an easy, straightforward response to this issue,"" he added. ""The best safeguard, in my view, is the degree to which citizens trust the Government and Police that any data collected would only be used to protect citizens, rather than against them.""","SINGAPORE - The revelation that TraceTogether data can be used for police investigations has raised questions over trust in government, especially in relation to data privacy, said observers on Tuesday (Jan 5).
He had said then that TraceTogether data would be used ""purely for contact tracing, period"".
National University of Singapore sociologist Tan Ern Ser noted that Singaporeans generally have a high degree of trust in the Government.
But he suggested that an additional layer of safeguards should be created to allay concerns about data privacy, and make sure such data is not misused.
This could come in the form of a committee comprising prominent public figures to which the police would be accountable to, should they plan to use the TraceTogether data, he said.",https://www.straitstimes.com/singapore/politics/polices-ability-to-use-tracetogether-data-raises-questions-on-trust-experts,2021-01-05 23:37:30+08:00
3,singapore,PM Lee Hsien Loong receives first dose of Pfizer-BioNTech COVID-19 vaccine,"Public healthcare institutions, including hospitals and polyclinics, will start vaccinations for their staff on Friday. SGH estimated about 90 of its employees will get vaccinated on the first day.



The official roll out comes after a small-scale test run at the National Centre for Infectious Diseases, where 40 employees received their jabs on Dec 30.



Speaking to reporters at SGH, Mr Lee said he was happy to see the start of inoculations for healthcare and frontline workers.



""I took the opportunity to have my own jab this morning and now I'm done – 30 minutes waited, nothing happened,"" he said.

""I've got my card, and the appointment to come back in three weeks' time. It's painless, it's effective and it's important.""","Public healthcare institutions, including hospitals and polyclinics, will start vaccinations for their staff on Friday.
SGH estimated about 90 of its employees will get vaccinated on the first day.
Speaking to reporters at SGH, Mr Lee said he was happy to see the start of inoculations for healthcare and frontline workers.
""I took the opportunity to have my own jab this morning and now I'm done – 30 minutes waited, nothing happened,"" he said.
""I've got my card, and the appointment to come back in three weeks' time.",https://www.channelnewsasia.com/singapore/pm-lee-hsien-loong-covid-19-vaccine-first-dose-pfizer-biontech-394561,2021-01-05 23:37:30+08:00
4,singapore,PM Lee receives Covid-19 vaccine as Singapore starts nationwide vaccination drive,"SINGAPORE - Prime Minister Lee Hsien Loong took the Covid-19 vaccine on Friday (Jan 8) morning, at the start of a nationwide drive to vaccinate staff across various public healthcare institutions.

Also vaccinated were the Health Ministry's director of medical services Kenneth Mak, along with 88 healthcare workers from the Singapore General Hospital (SGH).

""It's painless, it's effective and it's important,"" Mr Lee said, speaking to reporters after the 30-minute observation period following the jab was up. ""I hope that Singaporeans will take it up as we roll it out.""

He added: ""We've got ample vaccines coming in. We ordered them early, we have enough for everybody in Singapore - all the residents, all the citizens and even the non-citizens who are staying here.""

The Prime Minister was at SGH to observe the start of inoculations for healthcare workers, and said he took the opportunity to get his own vaccine.

He was jabbed in his right arm, as he is left-handed, and will return in three weeks for the second dose.

The Pfizer-BioNTech vaccine requires two injections, given 21 days apart, and all who are vaccinated will be issued a vaccination card to remind them of follow-up appointments.

""The needle was very fine,"" Mr Lee added in Mandarin. ""You can hardly feel it when it goes in.""

He urged all Singapore residents to get the vaccine when it is available to them. ""It will make us safer, and it will make you and your loved ones safer too, so please take it when you get it.""

Administering the vaccine was senior staff nurse Fatimah Mohd Shah, 41, who gave the Prime Minister advice on what to look out for after his jab and took a photo with him afterwards.

""I felt happy and honoured to administer the vaccine for PM (Lee),"" said Ms Fatimah. ""Of course, I was a bit nervous, yes.""

PM Lee said last month that he and his Cabinet colleagues would be getting vaccinated early, to show Singaporeans they believe the vaccine is safe.

Singapore received its first shipment of vaccines on Dec 21, making it the first Asian country to receive the Pfizer-BioNTech product.

The vaccines were flown in from Brussels on a Singapore Airlines flight, and subsequently loaded onto a refrigerated truck and taken to a secret location.","SINGAPORE - Prime Minister Lee Hsien Loong took the Covid-19 vaccine on Friday (Jan 8) morning, at the start of a nationwide drive to vaccinate staff across various public healthcare institutions.
Also vaccinated were the Health Ministry's director of medical services Kenneth Mak, along with 88 healthcare workers from the Singapore General Hospital (SGH).
The Prime Minister was at SGH to observe the start of inoculations for healthcare workers, and said he took the opportunity to get his own vaccine.
""I felt happy and honoured to administer the vaccine for PM (Lee),"" said Ms Fatimah.
Singapore received its first shipment of vaccines on Dec 21, making it the first Asian country to receive the Pfizer-BioNTech product.",https://www.straitstimes.com/singapore/politics/pm-lee-receives-covid-19-vaccine-as-singapore-starts-nationwide-vaccination-drive,2021-01-08 12:30:00+08:00
5,singapore,Singapore begins COVID-19 vaccination campaign,"Your opinions matter to us times;

Feedback 0 / 5",Your opinions matter to us times;Feedback 0 / 5,https://www.aa.com.tr/en/asia-pacific/singapore-begins-covid-19-vaccination-campaign/2103030,2021-01-08 12:30:00+08:00
6,singapore,Overseas travel to remain difficult even after all in Singapore get Covid-19 vaccine: Gan Kim Yong,"SINGAPORE - International travel will not revert to normal even after everyone in Singapore has been vaccinated as travel depends on the global Covid-19 situation, said Health Minister Gan Kim Yong.

When it does resume, it is likely to take place progressively, through bilateral arrangements, which could then expand into regional arrangements, he added.

""This is a bit like a circuit breaker,"" said Mr Gan, who co-chairs the multi-ministerial task force handling the crisis. ""It's not going to be, flip a switch and (it's) free for everybody to travel.""

He was responding to a question on whether Singaporeans can expect to travel in the next 12 months during a press conference to mark one year of Singapore's battle with Covid-19.

Education Minister Lawrence Wong, the task force's other co-chair, acknowledged that many people hope that vaccination will allow them to travel without quarantine restrictions.

But at present, Singapore is still studying the evidence and is not yet ready to change the rules, he said.

In any case, Singapore is likely to be in ""pandemic mode"" for the next 12 to 18 months even if certain safe distancing measures are eased in that time, Mr Wong added.

""Even if the majority of people in Singapore get vaccinated, it's impossible for the world to be vaccinated by this year,"" he said. ""Which means that all around us, there will be countries where the virus may very well still be raging.""

He also pointed out that the International Air Transport Association has predicted that passenger volumes are not expected to return to pre-coronavirus levels until at least 2024.

""The whole recovery is not a one-year issue... it's more like a four-year affair before you see some of these industries recovering back to where they were before,"" Mr Wong said.

""So that's the picture for aviation and travel, and we have to be realistic that this is what it is, and it will have some impact on our own industries, particularly those that are reliant on aviation and tourism.""","SINGAPORE - International travel will not revert to normal even after everyone in Singapore has been vaccinated as travel depends on the global Covid-19 situation, said Health Minister Gan Kim Yong.
""This is a bit like a circuit breaker,"" said Mr Gan, who co-chairs the multi-ministerial task force handling the crisis.
Education Minister Lawrence Wong, the task force's other co-chair, acknowledged that many people hope that vaccination will allow them to travel without quarantine restrictions.
""Even if the majority of people in Singapore get vaccinated, it's impossible for the world to be vaccinated by this year,"" he said.
""The whole recovery is not a one-year issue... it's more like a four-year affair before you see some of these industries recovering back to where they were before,"" Mr Wong said.",https://www.straitstimes.com/singapore/overseas-travel-to-remain-difficult-even-after-all-in-singapore-get-covid-19-vaccine-gan,2021-01-21 18:30:00+08:00
7,singapore,"More than 113,000 people in Singapore receive first dose of COVID-19 vaccine: MOH","SINGAPORE: More than 113,000 people have received the first dose of the COVID-19 vaccine, the Ministry of Health (MOH) said in an update on Thursday (Jan 28).

More than 50 have also received their second dose and completed the full vaccination regimen.

The numbers are expected to go up in the coming weeks as vaccination operations continue, MOH said.

Polyclinics and selected Public Health Preparedness Clinics (PHPCs) will also serve as vaccination sites. Seniors can currently be vaccinated at nine polyclinics and 21 PHPCs.

From next Monday, all 20 polyclinics across Singapore will also begin offering COVID-19 vaccinations, MOH said.

Vaccinations for senior citizens aged 70 and above began on Wednesday at Ang Mo Kio and Tanjong Pagar.

More than 250 were vaccinated on the first day, MOH said.

Sign-ups for COVID-19 vaccination by seniors have been encouraging, the ministry said, adding that it expects more seniors to sign up in the coming days.

""As of Jan 27, we have sent personalised letters to more than 10,000 seniors in Ang Mo Kio and Tanjong Pagar, and more than one-third of them have booked their appointments within two days of receiving the invitation,"" MOH said.

""The remaining seniors in these areas will receive their invitation letters in the coming week.""

These letters will be progressively sent out to seniors across Singapore from mid-February.

To ensure seniors can conveniently receive their required jabs, more vaccination centres will be set up over the next few weeks. These will be located in ""high population catchment areas and/or along major public transport routes for greater accessibility"".

""In total, there will be around 40 vaccination centres, with each vaccination centre planned for an estimated capacity of 2,000 vaccinations per day,"" the ministry said.

MOH, HSA MONITORING VACCINE SAFETY

MOH and Health Sciences Authority (HSA) said they were closely monitoring the safety profile of the Pfizer-BioNTech COVID-19 vaccine as it is being administered to our population.



“Among the more than 113,000 individuals who have received the Pfizer-BioNTech vaccine, HSA has received 432 adverse event reports from healthcare professionals as of 27 January 2021,” said MOH.

“Most of these reports were for regular symptoms such as injection site pain and swelling, fever, headache, fatigue, body aches, giddiness, nausea and allergic reactions (such as itch, rash, swelling of eyes or lip). These symptoms are reactions generally associated with all vaccinations and they generally resolved on their own within a few days.”

MOH also added there were three reported cases of anaphylaxis among those who received the COVID-19 vaccine.

The instances of anaphylaxis – or rapid onset of severe allergic reactions – were quickly resolved by healthcare professionals.

“The individuals, in their 20s and 30s, developed multiple symptoms such as rash, breathlessness, lip swelling, throat tightness and giddiness,” said MOH.

“All three individuals had a history of allergies, including allergic rhinitis and food allergy such as to shellfish, but none had a history of anaphylaxis which would have precluded them from receiving the vaccine.""

Anyone who develops anaphylaxis to the first dose of COVID-19 vaccine should not receive the second dose, according to MOH's website.







Download our app or subscribe to our Telegram channel for the latest updates on the coronavirus outbreak: https://cna.asia/telegram","SINGAPORE: More than 113,000 people have received the first dose of the COVID-19 vaccine, the Ministry of Health (MOH) said in an update on Thursday (Jan 28).
From next Monday, all 20 polyclinics across Singapore will also begin offering COVID-19 vaccinations, MOH said.
Sign-ups for COVID-19 vaccination by seniors have been encouraging, the ministry said, adding that it expects more seniors to sign up in the coming days.
MOH, HSA MONITORING VACCINE SAFETYMOH and Health Sciences Authority (HSA) said they were closely monitoring the safety profile of the Pfizer-BioNTech COVID-19 vaccine as it is being administered to our population.
Anyone who develops anaphylaxis to the first dose of COVID-19 vaccine should not receive the second dose, according to MOH's website.",https://www.channelnewsasia.com/singapore/covid-19-vaccine-113-000-receive-first-dose-moh-437456,2021-01-21 18:30:00+08:00
8,singapore,Singapore to restrict entry of some travellers from South Africa after reports of new COVID-19 strain,"SINGAPORE: People with a travel history to South Africa within the last 14 days will not be allowed to enter or transit through Singapore starting Monday (Jan 4), the Ministry of Health (MOH) announced.

The restriction will apply to long-term pass holders and short-term visitors, including those who have obtained prior approval to enter Singapore, the ministry said in a press release on Friday.

Returning Singaporeans and permanent residents will be required to take a COVID-19 polymerase chain reaction (PCR) test upon arriving in Singapore at the start of their 14-day stay-home notice.

""These test requirements do not apply to those who are only transiting through Singapore,"" said MOH.



The tighter border measures will be put in place given the ""deteriorating situation in South Africa"", said the ministry, and to prevent the spread of a potentially more contagious strain of the COVID-19 virus circulating in South Africa.

“While the strain has been suggested to be more transmissible, there is currently insufficient evidence to determine if this strain is associated with any change in disease severity, antibody response or vaccine efficacy,” it added.

“These aspects are being investigated. MOH will evaluate the data as it emerges and review our border measures accordingly.”

South Africa confirmed a record 17,710 new cases of COVID-19 on Wednesday, with a positivity rate of 33 per cent, Reuters reported.

The rate shows the number of positive tests against the total tested and is an indicator of how quickly the virus spreads.

South Africa's government has attributed the surge in cases to the new strain, called 501.V2.

Currently, travellers with a recent travel history to South Africa are required to serve a 14-day stay-home notice at dedicated facilities upon arrival in Singapore.

Those who are not Singapore citizens or permanent residents are also required to take a COVID-19 PCR test within 72 hours before departure and present a valid COVID-19 test result as a condition of approval to enter Singapore.

Download our app or subscribe to our Telegram channel for the latest updates on the coronavirus outbreak: https://cna.asia/telegram","SINGAPORE: People with a travel history to South Africa within the last 14 days will not be allowed to enter or transit through Singapore starting Monday (Jan 4), the Ministry of Health (MOH) announced.
The restriction will apply to long-term pass holders and short-term visitors, including those who have obtained prior approval to enter Singapore, the ministry said in a press release on Friday.
The tighter border measures will be put in place given the ""deteriorating situation in South Africa"", said the ministry, and to prevent the spread of a potentially more contagious strain of the COVID-19 virus circulating in South Africa.
Currently, travellers with a recent travel history to South Africa are required to serve a 14-day stay-home notice at dedicated facilities upon arrival in Singapore.
Those who are not Singapore citizens or permanent residents are also required to take a COVID-19 PCR test within 72 hours before departure and present a valid COVID-19 test result as a condition of approval to enter Singapore.",https://www.channelnewsasia.com/singapore/covid-19-travellers-south-africa-to-singapore-no-entry-transit-1329861,2021-01-21 18:30:00+08:00
9,singapore,"All travellers, including Singaporeans, to take COVID-19 test upon arrival in Singapore","SINGAPORE: All travellers, including Singaporeans and permanent residents, will need to take a COVID-19 polymerase chain reaction (PCR) test upon arrival in Singapore, announced the Ministry of Health (MOH) on Saturday (Jan 16).

This will take effect from 11.59pm on Jan 24, as part of tighter border measures to manage the risk of imported COVID-19 cases.



Existing stay-home notice requirements, including a PCR test at the end of the notice period, will continue to be in place, said the ministry.



To facilitate the testing process, travellers are ""strongly encouraged"" to register and pre-pay for their on-arrival COVID-19 PCR test before departing for Singapore, said MOH.



Currently, travellers who are not Singaporeans or permanent residents and who have a recent travel history to high-risk countries or regions are required to take a PCR test within 72 hours before departure. They are then tested again at the end of their stay-home notice period.

In a media release, MOH noted the emergence of new COVID-19 variants and the worsening coronavirus situation around the world.

""The multi-ministry task force regularly reviews Singapore’s border measures to manage the risk of importation and onward local transmission from travellers,"" said MOH.



""Given the resurgence of COVID-19 cases around the world, we will be putting in place more stringent measures for travellers to manage the risk of importation.""



FURTHER MEASURES FOR TRAVELLERS FROM UK AND SOUTH AFRICA

The ministry also announced that all Singaporeans and permanent residents returning from the United Kingdom and South Africa will be subject to an additional seven days of self-isolation at their place of residence, following their 14-day stay-home notice period at dedicated facilities.

This takes effect from 11.59pm on Jan 18.

They will be tested at the end of their stay-home notice, as with the current requirement, and again after they have completed their seven-day self-isolation period, said MOH.

These further precautions will apply to travellers who are currently serving their stay-home notice, and they will be in place until further notice.

Singapore authorities had earlier restricted entry and transit for all long-term pass holders and short-term visitors with a recent travel history to the UK and South Africa, due to concerns of a more contagious variant of the coronavirus circulating in those countries.

INSURANCE COVERAGE

With effect from 11.59pm on Jan 31, visitors applying to enter Singapore under the Air Travel Pass (ATP) and Reciprocal Green Lanes (RGLs) will need to have travel insurance for their COVID-19-related medical treatment and hospitalisation costs in Singapore, with a minimum coverage of S$30,000.

""The travel insurance will help them pay for the costs of their medical treatment in Singapore. The visitors can purchase the travel insurance from Singapore-based or overseas insurers,"" said MOH.

Currently, short-term visitors entering Singapore under the ATP and RGLs are required to bear the full costs of medical treatment, should they be suspected of being infected with the coronavirus or require treatment for COVID-19 while in Singapore.



""As the global situation evolves, we will continue to adjust our border measures to manage the risk of importation and transmission to the community,"" said MOH.

""The Ministry of Health will also continue to review the data and evidence on any new viral strains and update the measures accordingly.""

Any changes to border measures will be updated on the SafeTravel website.

Travellers are advised to visit the website to check for the most updated border measures before entering Singapore and be prepared to be subjected to the prevailing border measures upon entry, including payment for their stay at dedicated stay-home notice facilities, tests and treatment.



Download our app or subscribe to our Telegram channel for the latest updates on the coronavirus outbreak: https://cna.asia/telegram","SINGAPORE: All travellers, including Singaporeans and permanent residents, will need to take a COVID-19 polymerase chain reaction (PCR) test upon arrival in Singapore, announced the Ministry of Health (MOH) on Saturday (Jan 16).
This will take effect from 11.59pm on Jan 24, as part of tighter border measures to manage the risk of imported COVID-19 cases.
Existing stay-home notice requirements, including a PCR test at the end of the notice period, will continue to be in place, said the ministry.
To facilitate the testing process, travellers are ""strongly encouraged"" to register and pre-pay for their on-arrival COVID-19 PCR test before departing for Singapore, said MOH.
These further precautions will apply to travellers who are currently serving their stay-home notice, and they will be in place until further notice.",https://www.channelnewsasia.com/singapore/covid-19-test-travellers-singaporeans-border-measures-moh-411966,2021-01-21 18:30:00+08:00
